"","cSObM2TOMPOOM080315.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report"
"2304600",1313,1191,1714,171,615,1205,549,798,1558,1103,1454
"1798205",244,255,348,27,158,251,123,189,321,237,333
"2528642",740,829,1217,85,404,845,267,527,967,688,962
"1686310",129,76,94,12,47,87,49,48,95,59,100
"2759660",15,21,26,1,7,12,9,9,29,14,28
"515256",1,2,7,0,0,1,0,0,0,0,2
"1933904",3,2,5,2,3,7,4,4,1,2,5
"1933910",0,0,0,0,0,0,0,0,0,0,0
"40933",1,0,8,0,0,2,1,0,2,0,3
"2267275",10,5,5,0,0,1,1,4,5,2,9
"1094489",4,6,13,1,4,13,6,7,10,7,14
"52764",10,0,5,2,3,2,1,4,5,1,5
"634504",4,8,7,1,2,7,0,4,4,4,10
"1225179",0,0,0,0,0,1,0,0,0,1,0
"687861",5,4,5,0,3,7,1,0,10,2,1
"774",13,5,9,2,3,6,2,4,5,2,6
"1095900",4,2,5,0,3,1,0,2,1,2,3
"1318743",7,9,4,1,1,4,5,5,14,4,5
"1094491",4,5,7,2,2,7,0,1,4,5,8
"38323",2,1,5,0,0,7,0,0,7,0,4
"85701",3,2,8,0,2,5,2,0,3,4,3
"696125",1,2,3,0,3,3,0,0,5,2,1
"2133959",3,2,2,0,1,2,0,0,0,2,3
"807",1,1,5,0,0,4,1,1,3,2,2
"2764186",5284,11344,5717,587,4609,5424,1161,2920,9389,6006,4129
"2714944",4842,9041,5649,606,4246,4886,1134,2799,8077,5669,3998
"2681549",2243,2566,2900,292,1532,1896,991,1727,3049,2392,2287
"2714942",3239,3820,4843,559,2480,2873,747,1823,3785,4174,2929
"2714943",3516,5427,4260,520,2964,3424,998,2207,5170,4172,3059
"2653203",1881,2137,2214,241,1520,1657,816,1265,2586,1834,1811
"745310",2004,2039,2210,220,1354,1607,925,1434,2311,1803,1787
"1327635",1919,1865,2031,221,1535,1636,753,1184,2398,1542,1682
"2735134",1405,1780,1822,189,1141,1365,554,1088,2117,1413,1625
"2698679",1718,2177,2119,205,1358,1565,732,1101,2276,1791,1644
"1938607",1791,1693,1803,211,1321,1523,679,1163,2327,1272,1510
"2492837",1527,1598,1707,161,1017,1198,561,1107,1701,1394,1436
"2596913",1338,1694,1770,199,1139,1447,528,937,1995,1402,1458
"2711156",1302,1489,1607,178,926,1140,591,952,1685,1318,1329
"1523415",1231,1607,1591,173,1061,1268,455,842,1884,1226,1253
"2219696",1248,1516,1577,165,1012,1199,449,881,1738,1230,1273
"2599297",1256,1322,1521,149,1068,1040,599,898,2270,1172,1309
"2565555",934,1191,1203,116,682,954,391,692,1321,988,964
"1030157",922,1019,1083,138,709,743,418,668,1114,910,893
"2759526",861,1090,1124,130,736,874,393,622,1374,934,949
"1517554",881,1105,1132,125,712,841,363,626,1221,854,931
"1390395",840,872,997,109,590,729,337,595,1035,807,884
"1517551",728,980,922,108,667,741,316,559,1093,747,830
"1961362",466,602,582,57,337,473,204,339,704,485,477
"2319844",413,492,505,46,315,374,173,292,583,395,417
"304378",196,190,245,41,128,162,112,239,260,168,199
"1628059",16,37,17,5,9,25,5,21,50,17,24
"849864",5,4,1,0,1,4,0,0,4,1,1
"1381597",69,5,7,1,129,4,9,46,6,3,6
"28214",0,2,3,1,1,1,0,2,0,2,1
"90322",0,1,1,0,0,0,0,0,0,0,0
"386874",5587,10382,10515,1139,8590,8277,1884,3793,10466,8252,5853
"1176646",5399,9459,9525,1023,6340,7279,1652,3564,9069,7414,5319
"1045317",5877,11367,8606,873,5747,6929,1356,3528,9597,8108,5840
"363835",4855,7176,6254,677,4116,4719,1307,3016,6829,6125,4496
"2071607",4305,4674,5396,576,3102,3550,1041,2452,4599,5180,4260
"2594473",3829,3276,4583,494,2694,2904,868,1861,3337,4998,4071
"392499",428,408,526,59,262,300,131,263,440,317,432
"653931",2233,2558,2789,293,1599,2060,937,1477,2898,1997,2205
"1123269",2090,2207,2606,328,1380,1744,884,1517,2570,2089,2043
"93064",1779,1780,2067,254,1666,1374,811,1166,3185,1522,2385
"1609977",1425,1641,1718,166,1218,1438,541,1000,2087,1297,1489
"1549858",1392,1707,1760,198,1047,1313,499,956,1830,1368,1362
"1560345",1347,1616,1578,171,1024,1240,518,961,1838,1213,1298
"1813879",1223,1596,1485,132,989,1262,466,779,1739,1206,1225
"424800",968,1134,1191,137,773,848,340,679,1317,925,948
"13689",901,1036,1199,114,710,811,412,664,1266,882,932
"621456",36,45,54,1,12,43,13,35,41,31,56
"2698828",511,577,614,62,370,461,207,379,710,527,484
"2789327",9845,1547,2478,606,825,1323,1363,3464,4784,1134,5191
"627192",1275,1309,1476,189,806,1108,554,873,1552,1138,1246
"1315974",1089,722,1118,242,554,595,402,757,1081,643,842
"2676077",898,698,925,164,584,536,328,452,914,565,717
"2082188",850,592,863,170,529,533,335,536,875,570,722
"1843368",763,614,812,149,386,443,277,388,789,488,652
"1855519",1427,859,1730,683,987,611,577,584,1382,603,953
"2072936",748,754,879,121,472,597,299,503,810,622,667
"2733867",652,539,703,117,323,435,262,359,704,448,508
"407020",799,510,1409,276,454,412,321,316,782,388,593
"2565554",161,170,208,31,85,139,60,95,214,119,149
"484429",120,106,90,14,66,74,66,81,163,70,124
"520734",227,104,92,15,107,62,121,94,203,69,139
"2185111",11,7,12,1,12,12,4,14,13,4,13
"13690",1505,1128,1750,287,792,1070,620,1101,1655,1106,1464
"135719",879,787,1000,123,517,669,388,528,1031,612,775
"120107",929,796,861,164,549,636,408,532,1005,604,772
"690566",849,587,956,190,486,546,313,410,842,615,772
"1673076",717,553,740,106,338,483,266,429,765,492,634
"452662",737,594,757,127,469,515,324,420,823,515,666
"1332080",800,598,701,146,411,528,377,390,889,479,648
"76947",1030,547,1260,364,502,465,408,405,988,435,772
"1208342",132,104,130,19,68,73,65,92,159,128,162
"1054037",128,135,174,49,172,94,47,95,146,78,137
"861109",19,14,8,4,3,9,3,9,22,18,11
"56193",5,1,3,1,2,2,1,6,5,3,4
"595605",0,0,1,0,0,1,0,0,0,0,0
"1357916",1538,1155,2347,320,1030,901,777,815,1453,1088,1297
"1874061",970,731,1024,131,759,643,730,459,970,682,865
"2486273",1175,973,1500,335,877,780,721,636,1172,956,1111
"2565556",6018,983,3192,303,1726,760,5359,607,1775,1178,1707
"292913",2015,1029,1186,130,879,810,1209,614,1181,866,950
"1914525",1195,845,1050,146,829,611,852,594,1115,664,932
"1866325",213,79,103,18,60,53,205,69,159,41,92
"1913578",54,50,65,6,24,45,11,14,59,40,46
"33050",2270,1853,2490,353,1710,1423,1488,1450,2230,1592,1863
"2448440",1197,903,1050,121,783,740,638,1506,1216,759,870
"2054227",1247,1039,1307,165,934,762,774,602,1215,823,978
"1515612",1208,838,1148,208,1041,649,1020,536,1112,721,961
"317655",1095,760,978,117,707,571,737,506,949,735,788
"267128",601,607,565,76,384,415,353,342,677,417,476
"2675225",1376,1615,2179,249,1254,1389,579,1082,1978,1439,1622
"2571749",1155,1239,1357,136,739,996,614,986,1551,1014,1167
"1609758",852,1025,1079,166,600,792,447,681,1283,773,1055
"1016987",1460,720,754,213,479,562,330,1702,911,530,694
"2780074",719,784,871,170,473,688,349,3724,934,579,722
"702113",695,375,475,76,250,320,198,710,503,351,523
"164608",224,212,279,36,142,197,113,278,312,210,277
"158500",1322,1262,1437,468,779,1097,713,1003,1674,1036,1400
"279238",1010,1180,1331,153,729,857,455,894,1409,900,1018
"1176536",692,808,948,107,511,658,388,617,992,699,807
"1088721",372,352,492,53,277,312,171,391,524,278,430
"2762748",1565,1786,1808,191,1216,1345,941,1091,2374,1469,1479
"2711215",1124,1252,1245,133,756,900,451,731,1634,1049,1073
"941907",3989,3459,4154,490,2286,2646,2122,3004,4398,3928,3261
"2584094",355,444,546,54,279,379,170,276,532,372,394
"2077182",462,478,497,53,298,371,211,315,585,364,405
"1806885",324,371,403,41,164,309,147,209,441,343,364
"2725558",152,154,156,33,92,126,54,78,184,128,134
"392610",273,277,328,41,176,227,120,307,345,259,319
"2026624",1373,1369,1683,173,891,1145,550,986,1757,1274,1368
"2724527",385,399,481,51,263,332,166,263,488,382,389
"1850238",1547,1677,1930,194,1048,1366,671,1100,1875,1576,1600
"1842535",309,346,366,53,202,229,133,283,366,277,281
"1550728",262,304,284,19,168,238,111,407,329,250,240
"1921510",1125,1209,1139,124,751,856,504,722,1377,969,1032
"1634516",811,898,984,97,566,609,374,535,1244,605,781
"2762729",728,859,794,84,541,587,364,530,961,787,731
"2806553",184,160,193,17,101,125,56,99,205,140,165
"120045",35,24,38,0,15,9,24,27,34,24,15
"120044",13,38,53,2,13,21,9,20,38,15,23
"2633097",3745,4247,4710,420,2667,3386,1903,2714,5843,3484,3768
