"","X0n7bM2TOMPOOA100365.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report"
"53461",3137,349,4173,1778,958,1144,1664,312
"2618968",1433,160,2293,1020,724,647,1080,195
"1090615",1340,161,2303,966,584,602,1002,192
"35760",483,47,578,272,272,221,472,60
"158787",439,53,591,271,190,197,448,52
"216816",434,38,544,328,213,169,393,60
"1694",371,38,487,277,195,150,350,61
"77635",329,18,393,206,141,129,295,53
"28025",318,21,351,184,160,123,244,38
"1681",279,27,368,181,132,126,296,45
"78448",249,23,284,198,152,107,269,47
"1680",211,25,214,123,102,77,211,26
"1689",180,12,164,108,66,68,148,15
"1685",175,19,208,112,90,64,242,28
"1765219",153,15,169,103,62,57,121,22
"33905",151,21,181,94,65,63,135,28
"638619",146,9,143,93,64,59,148,23
"1683",143,17,141,90,67,62,131,16
"1603886",141,16,190,78,81,73,132,25
"1684",129,16,168,97,49,62,139,19
"1686",125,8,123,84,53,49,115,13
"28026",56,7,71,45,36,29,79,7
"762210",46,2,54,15,13,7,28,4
"2020965",43,4,46,18,11,14,41,6
"1691",11,1,22,11,7,5,20,5
"1687",10,3,5,7,16,9,14,1
"78258",121,9,194,75,47,45,110,14
"2702",24,2,18,7,7,7,19,6
"2792978",2,0,3,4,1,4,9,1
"78259",16,1,11,11,7,9,20,3
"304895",3140,334,4584,2114,1482,1528,2443,484
"283811",2072,268,3077,1402,1111,1113,1535,305
"131568",1746,226,3122,1405,983,1082,1585,340
"2629395",1235,131,2101,911,547,616,994,188
"414996",1187,157,1862,787,713,767,2066,423
"1891644",1174,103,1718,824,635,682,1125,191
"28049",855,82,1359,598,365,366,504,101
"1884913",46,6,73,30,13,7,34,2
"1884905",39,3,49,32,17,14,55,8
"1884914",26,2,33,13,11,4,44,4
"1884907",12,1,26,11,9,6,11,1
"1884904",11,4,24,6,6,8,12,0
"573600",9,0,8,14,6,3,26,1
"1884915",12,1,15,5,7,2,15,1
"1884634",5,0,6,2,3,1,18,1
"1884916",5,0,3,5,1,0,9,0
"2637691",13185,2053,34370,11924,3880,3755,2745,461
"49319",6778,1016,16287,5848,2155,1933,1820,394
"42256",1933,250,4267,1622,734,626,637,130
"2051957",1127,162,2318,857,409,364,469,68
"496014",10588,1096,13801,6130,4965,6815,5829,978
"191495",16468,1640,21641,8839,7527,8861,7682,2024
"2627773",11600,1250,15707,6640,5826,8293,6337,1230
"2789776",9827,863,13458,5586,4753,4474,12352,2513
"467094",4139,352,5098,2372,1719,1305,3282,609
"53635",1378,118,1531,816,600,524,938,147
"2648737",762,69,813,440,330,284,503,84
"84112",383,35,411,262,212,158,300,46
"1335613",313,39,464,225,140,102,251,39
"471189",290,28,309,180,138,101,229,30
"446660",306,24,328,182,130,114,244,23
"2636013",156,17,170,92,72,69,149,18
"1870985",646,38,603,399,286,257,450,59
"1531429",361,31,355,216,220,154,320,51
"84110",277,22,278,170,118,96,215,18
"79604",193,18,177,128,96,65,198,16
"1944646",54,5,72,29,21,12,13,0
"84163",34,3,51,22,8,9,41,3
"2638792",954,91,994,608,501,396,752,106
"1805478",553,43,619,338,300,210,464,66
"604330",488,36,536,272,203,177,428,47
"133926",317,22,345,176,139,131,212,41
"1871022",301,31,337,195,146,106,265,20
"2003188",249,24,255,153,118,90,178,18
"1382",37,2,12,14,7,5,15,1
"74426",488,40,530,317,229,194,418,46
"33871",267,28,325,197,129,85,169,21
"2649358",3035,298,4397,1923,1436,1118,2124,329
"1670831",2947,286,4045,1859,1402,1091,1655,326
"1670830",2892,262,4001,1902,1323,1118,2087,312
"185979",2826,1065,6560,1956,3040,2262,28720,5349
"33932",1930,19,59,977,61,109,671,154
"86661",857,203,1847,665,640,968,5818,944
"653685",774,245,2202,522,921,1583,6890,2508
"450367",616,385,3394,554,133,76,153,26
"189381",158,13,212,87,134,139,1244,255
"1408",130,13,223,50,58,87,641,88
"561879",118,48,730,162,120,548,5540,176
"1664069",116,8,116,67,66,41,280,67
"1670641",91,39,298,57,159,117,1415,447
"1742359",78,18,162,56,99,122,878,170
"1397",74,41,154,42,148,142,2402,863
"324767",71,7,116,45,80,127,888,113
"632773",71,7,79,54,36,18,114,21
"1783501",58,7,45,26,112,82,354,61
"1471",48,13,112,33,70,63,508,101
"79883",46,9,63,52,53,39,392,61
"218284",44,9,64,27,44,40,608,68
"46224",43,7,45,19,49,50,499,110
"38875",42,10,68,30,93,44,1709,680
"1441095",41,14,119,28,50,40,378,55
"1413",41,4,41,23,23,34,293,50
"1547283",36,23,112,21,82,103,538,132
"1476025",35,2,56,19,49,55,491,91
"1792192",31,15,81,30,18,77,822,59
"1479",31,10,28,33,19,46,244,33
"1925021",27,1,27,16,20,10,65,14
"1404",5478,3810,24157,4976,5144,4927,93254,10741
"1402861",288,2753,21347,208,5206,5085,52471,7613
"412384",102,82,539,103,17,23,353,34
"86664",42,13,127,33,75,76,836,167
"2675274",2313,2504,14413,1264,1556,2417,5815,1540
"152268",61,21,166,39,189,233,1494,399
"79885",769,4,50,305,33,29,282,52
"199441",338,6,49,33,31,54,352,66
"79880",223,45,467,313,287,226,1643,676
"86665",78,5,66,36,57,38,291,68
"300825",15,2,24,12,20,16,113,22
"2598861",14,3,35,10,10,15,98,20
"129338",261,22,225,176,109,76,230,31
"2642459",184,17,190,137,93,63,366,42
"1422",114,5,126,77,64,33,154,17
"1505648",111,7,91,73,47,35,99,19
"1921421",106,25,124,76,116,93,249,47
"33940",13,1,12,6,8,3,27,4
"213419",10,0,13,6,5,2,9,1
"1478",734,253,1965,530,101,79,433,72
"228899",144,60,284,44,132,110,1900,288
"421767",98,39,242,62,43,42,452,49
"264697",58,18,113,42,28,36,191,22
"1407",40,9,58,14,48,51,430,70
"2502791",469,8,66,113,38,26,127,31
"2698411",152,7,87,67,64,81,384,101
"2099786",74,2,39,33,22,9,113,18
"129985",250,47,439,126,381,530,15819,510
"279826",139,64,392,92,161,1171,1544,191
"1740721",155,31,230,118,168,389,831,170
"1193713",121,29,159,87,116,151,772,122
"1215031",19,0,16,4,8,14,61,11
"2636778",127,47,203,86,168,112,1908,610
"28031",54,10,64,29,51,26,396,58
"1421",23,6,37,12,29,23,208,41
"2086577",23,8,45,15,101,66,3586,900
"1145276",1,0,5,5,1,1,20,3
"746691",136,2,60,101,175,278,946,202
"182710",63,22,57,26,249,243,5022,944
"2052660",41,10,67,26,39,49,626,103
"2620237",73,14,97,41,117,122,1526,342
"163877",33,8,61,18,73,43,679,109
"1482",32,6,38,16,47,41,1212,216
"2017483",26,5,47,20,98,66,789,142
"302167",9,2,13,6,23,15,132,37
"1473",2,1,21,0,10,5,263,78
"1398",215,17,210,153,102,110,537,71
"665099",143,93,760,91,4062,1762,33705,2447
"859143",39,10,49,20,85,63,712,332
"2639704",48,4,55,38,40,32,244,37
"247480",38,2,35,31,39,30,230,44
"294699",35,4,34,23,27,22,194,33
"33934",25,6,26,24,16,13,136,28
"198467",5,0,3,0,5,4,22,2
"196180",3,1,2,2,5,3,16,2
"255247",86,34,205,45,97,56,286,44
"1221500",44,10,46,28,35,28,208,42
"386490",128,166,1903,115,136,116,3944,346
"402384",27,4,30,22,103,43,564,100
"45668",26,2,52,22,100,33,586,105
"1570",24,5,46,30,77,33,622,122
"2614679",41,3,62,46,72,60,512,160
"1472767",31,7,31,17,127,64,713,283
"35841",71,3,42,49,37,41,355,70
"1230341",70,7,85,35,65,40,291,61
"1295642",47,6,50,26,21,24,118,21
"1426",11,2,3,15,10,6,43,15
"153151",5,0,10,2,6,1,24,4
"2625209",54,13,62,33,258,189,1100,256
"2628296",51,2,71,26,75,71,619,92
"2651280",48,9,82,20,27,40,321,57
"2283160",36,10,59,18,63,60,366,65
"2636677",8,1,17,3,8,5,98,12
"2636913",42,2,51,15,55,36,504,65
"33936",39,9,42,32,35,37,276,46
"1532552",39,7,56,18,48,44,329,62
"1449",37,1,16,10,81,17,705,126
"2594883",31,1,34,16,58,40,387,76
"1467",25,8,43,14,53,35,520,67
"2213194",23,4,35,12,43,34,390,65
"1028381",1,0,0,0,1,0,1,0
"185978",5743,795,8470,3879,3853,3015,15576,3694
"61624",1135,219,1470,818,529,510,1305,345
"2704462",586,53,696,399,280,232,762,149
"44251",507,54,352,310,161,105,418,75
"2704463",358,23,318,251,185,124,452,86
"49283",351,33,337,202,185,159,491,63
"562959",330,30,345,240,204,137,629,108
"1126833",296,37,336,213,167,120,432,88
"79263",256,28,262,179,136,101,436,74
"375489",253,26,240,156,140,91,408,226
"1870820",226,30,205,135,134,68,1300,525
"169760",226,28,221,141,131,97,390,81
"1406",196,49,303,114,190,117,632,113
"248903",194,93,733,157,105,116,867,386
"2495582",188,19,181,117,102,84,344,54
"365617",184,19,205,114,85,66,235,39
"682956",183,11,206,98,50,45,155,22
"414771",164,17,176,90,82,55,254,49
"162209",154,17,157,106,73,91,448,63
"2509456",142,11,187,72,57,50,344,60
"2044880",142,11,149,109,159,59,276,48
"2707005",107,7,148,70,55,41,226,55
"1619311",100,16,126,68,47,35,171,32
"1462996",99,8,90,72,69,42,255,53
"160799",94,2,110,70,60,42,173,30
"1178515",93,12,100,70,77,43,247,29
"1473112",91,15,116,67,54,53,206,51
"44250",90,12,85,46,51,41,242,28
"189425",79,6,89,62,37,25,126,24
"1616788",79,8,108,48,42,36,198,28
"1338368",74,12,92,42,48,49,247,46
"1401",72,11,179,52,80,72,1745,331
"683737",69,10,86,39,50,43,195,40
"1778678",67,11,102,50,24,27,208,30
"1464",63,6,68,41,51,32,214,25
"189426",59,9,50,19,23,17,130,44
"172713",58,15,88,34,48,30,116,16
"198119",50,8,96,33,38,31,132,30
"1712516",50,7,83,40,47,41,246,47
"528191",39,11,177,44,60,16,85,14
"159743",38,4,96,36,42,18,99,13
"253703",33,4,34,23,10,17,131,23
"128574",28,7,61,30,24,25,85,24
"1763538",27,9,54,21,26,18,137,30
"59893",18,2,41,12,25,3,28,5
"59843",12,2,19,8,10,3,94,23
"2684853",1023,171,1447,693,404,283,1103,176
"51101",320,28,290,193,176,116,703,79
"1393",210,29,236,119,104,73,1268,98
"54911",146,15,174,110,152,54,4706,298
"1465",43,6,72,35,45,54,263,46
"54913",30,4,32,22,20,10,188,23
"2636738",776,65,854,526,482,349,1748,468
"2674991",523,38,623,370,256,225,768,123
"2507935",57,8,73,33,44,35,169,38
"377615",903,80,887,595,460,324,1101,132
"2583377",557,50,636,451,289,229,721,98
"55079",145,9,138,71,152,148,579,121
"1471761",11585,78,341,5132,257,223,300,89
"714067",221,16,217,133,90,65,222,73
"1380685",52,3,42,25,21,19,135,28
"2490858",267,17,303,191,150,111,210,21
"2026",156,13,160,141,49,32,1127,77
"37482",131,15,112,108,117,94,234,42
"405212",1126,98,1190,715,599,437,876,143
"471514",234,20,257,174,102,102,301,28
"2622400",119,8,100,76,71,45,166,29
"1903704",662,57,608,422,342,258,1149,137
"1214604",213,21,224,132,162,132,465,64
"2055160",181,14,222,109,88,77,151,22
"33943",115,11,130,73,58,57,120,7
"2677223",95,6,80,59,51,34,119,20
"2662419",165,15,162,112,78,91,444,54
"1038856",115,7,117,68,60,43,214,16
"1499687",66,16,68,49,29,33,169,22
"200991",64,10,61,36,30,16,90,13
"1176255",52,3,59,33,28,16,85,8
"192421",44,1,25,28,21,13,99,10
"161360",27,3,27,15,12,6,135,16
"414778",21,2,15,10,16,11,123,14
"1302659",14,3,9,12,16,13,94,22
"1215089",13,2,20,13,12,10,79,6
"1374",5,2,6,5,4,6,16,1
"1598147",2,1,2,3,4,4,28,2
"2647733",129,15,128,100,89,76,823,111
"1571",95,8,100,65,59,57,438,64
"298596",19,6,22,11,26,24,170,19
"1474",15,1,11,5,26,17,130,14
"1476",5,3,5,5,10,6,42,4
"76853",122,55,214,51,136,24,607,244
"2637870",29,6,35,13,25,31,251,50
"51173",57,1,23,50,31,22,305,79
"367743",43,2,25,39,22,18,225,57
"459472",84,21,154,55,39,39,207,22
"417367",41,8,62,41,30,33,252,46
"2642018",17,0,16,9,17,19,196,36
"2644826",32,4,33,5,281,14,142,48
"1650",20,1,12,6,12,6,139,20
"1508404",48,3,58,20,31,26,208,32
"241244",22,7,31,12,19,15,201,31
"2617942",19,5,37,14,25,23,258,55
"1282",43,1,69,39,28,26,143,30
"1280",39,5,56,25,68,34,378,111
"1283",22,6,25,6,22,14,93,20
"214473",22,1,10,4,31,26,1068,123
"1288",18,0,24,7,204,5,72,32
"91994",17,1,21,10,18,19,129,56
"2815305",16,4,28,20,12,20,106,28
"170573",15,1,12,9,6,7,73,10
"155085",14,0,17,9,10,4,43,7
"45972",13,2,15,8,7,1,45,15
"2044912",13,1,12,7,5,8,49,7
"29388",13,1,10,5,11,5,64,9
"1290",13,2,9,9,9,10,91,13
"29378",12,1,10,6,198,10,132,161
"28035",12,1,12,7,8,6,53,9
"70255",12,1,9,0,1,3,22,6
"1294",12,4,13,2,7,3,38,11
"33028",11,1,11,7,6,3,58,8
"46126",11,2,11,5,6,3,65,13
"2282419",10,0,7,3,40,10,40,38
"1292",10,1,8,7,2,4,22,2
"985762",9,2,9,5,5,6,37,3
"29385",9,1,13,5,70,14,153,53
"1295",9,3,8,6,5,3,22,8
"1286",9,3,10,8,13,7,73,12
"308354",8,1,20,11,8,10,92,14
"29379",7,1,11,4,3,3,49,7
"1284",7,2,12,7,5,54,245,86
"46127",7,0,15,1,15,8,64,8
"29382",7,1,5,2,9,7,110,31
"29384",6,0,9,3,7,5,31,22
"985002",5,0,3,3,1,1,7,0
"29380",5,1,6,3,8,2,37,6
"2781774",5,0,10,5,2,9,31,9
"1654388",4,0,1,2,0,5,19,6
"1281",4,2,10,2,10,4,42,8
"61015",3,5,14,3,6,5,26,7
"246432",3,1,4,3,3,3,47,6
"1461582",78,3,29,38,64,15,199,72
"946432",6,1,14,2,29,8,101,34
"69966",24,1,17,5,11,14,71,9
"1855823",23,2,28,24,14,16,105,23
"2619255",3,0,0,0,1,2,8,0
"1903056",1,0,3,0,2,0,38,19
"1296",20,7,53,15,855,36,368,239
"71237",14,1,24,2,13,5,74,12
"42858",10,0,9,3,228,18,297,412
"150056",5,1,3,4,3,3,25,3
"643214",5,2,13,6,5,1,54,6
"407035",32,0,41,19,44,17,377,185
"1817405",11,1,3,3,12,9,110,28
"33986",449,51,528,274,254,200,851,132
"1378",33,5,34,22,29,23,167,24
"1639",44,5,77,27,101,72,1671,447
"1638",18,1,28,10,8,12,117,16
"1006155",18,2,27,15,6,10,69,8
"1640",13,1,13,3,11,6,39,16
"1641",13,2,14,9,12,8,95,18
"1642",10,4,10,3,9,37,277,81
"2642072",10,1,6,9,9,12,114,12
"1643",5,1,11,12,7,9,107,13
"2756",14,1,12,5,10,12,84,8
"269673",81,8,71,46,41,37,158,21
"1584",118,3,126,75,54,35,110,27
"2620435",38,4,44,24,21,15,71,9
"47770",16,2,12,9,184,7,251,76
"227945",13,0,6,4,5,8,21,5
"83683",11,0,8,3,6,3,9,2
"1579",10,0,9,3,11,5,12,3
"33959",10,0,16,3,158,4,115,47
"1600",9,1,8,7,9,0,31,5
"109790",9,1,8,2,8,3,30,2
"147802",8,0,8,8,5,4,27,7
"303541",8,2,7,10,1,3,14,2
"1587",8,2,5,0,121,6,35,39
"1604",6,1,20,6,78,6,27,30
"1218494",6,0,1,0,0,0,13,0
"267818",5,1,11,2,9,4,7,1
"1218493",5,0,3,3,2,1,12,5
"2269374",5,0,3,6,0,1,12,1
"1596",4,2,4,1,4,1,12,0
"508451",2,0,3,1,5,2,13,2
"2107999",1,0,2,5,1,1,1,0
"267363",101,13,103,60,50,40,79,13
"1580",73,5,81,52,43,17,70,14
"2292255",27,2,39,16,27,15,32,8
"637971",26,2,17,13,12,7,38,2
"1613",69,4,92,48,43,40,74,15
"35787",69,6,78,57,58,32,75,19
"97478",40,5,42,15,18,12,36,7
"1598",24,5,22,10,93,12,169,52
"227942",8,0,6,5,4,3,18,4
"1633",6,1,2,2,31,5,37,19
"104955",6,0,4,6,6,5,13,1
"1582",52,1,24,24,14,10,43,4
"47715",42,6,36,16,17,10,68,5
"88233",29,5,28,25,16,7,43,6
"1597",26,2,19,14,15,9,34,3
"57037",16,1,16,12,7,6,21,1
"1583",39,4,24,15,13,5,329,45
"137591",22,3,16,20,28,6,114,8
"2506420",22,6,22,12,10,11,30,7
"155866",14,4,18,9,7,3,22,2
"1631871",14,0,5,4,4,2,30,7
"46256",13,3,4,4,3,3,14,3
"1162633",12,2,11,3,1,2,16,0
"759620",7,1,8,4,2,5,21,6
"1629",6,0,16,4,4,5,22,6
"1249",4,7,6,5,5,6,61,8
"2683241",1,0,2,2,4,2,5,4
"304207",100,7,103,62,53,40,127,12
"1589",52,6,51,29,32,15,75,10
"1590",26,0,28,18,42,46,107,2
"60520",18,6,14,12,8,1,26,3
"1245",18,0,16,10,3,3,34,3
"1244",10,2,11,10,7,2,26,3
"1246",8,2,8,7,4,4,23,0
"1252",8,1,5,6,0,2,8,1
"33964",7,4,1,1,3,0,3,1
"1511761",5,1,2,4,3,1,6,1
"33968",3,0,5,0,4,3,24,0
"136609",1,0,0,0,0,0,1,0
"1622",13,1,6,3,7,1,20,1
"1623",13,5,16,13,10,7,37,6
"1624",12,3,23,9,125,17,105,94
"1605",11,1,10,4,6,5,12,1
"228229",9,0,6,4,7,3,25,5
"89059",7,2,13,13,5,2,22,4
"1601",4,1,16,11,19,7,20,9
"1581",26,3,17,22,8,5,26,6
"152331",11,1,9,3,10,5,18,1
"1588",10,3,19,10,10,7,42,2
"33962",8,0,11,2,6,3,16,4
"1138822",7,0,4,3,5,3,8,1
"1255",19,3,7,6,6,8,22,6
"1670797",17,2,23,18,12,4,40,7
"114090",11,0,2,4,5,4,23,1
"51663",9,1,2,2,3,2,19,6
"187452",4,0,6,7,4,10,14,5
"1599",27,3,38,11,7,11,72,9
"164393",14,0,13,1,5,10,19,3
"28038",10,2,13,8,8,4,24,4
"60519",3,0,5,2,2,3,22,2
"2203724",22,1,16,10,10,6,16,0
"1247",16,1,7,13,11,2,15,2
"336988",14,0,13,12,5,5,17,4
"2636988",3,0,6,2,4,4,22,2
"1847728",10,0,10,4,3,1,17,0
"938155",6,2,3,4,5,0,4,2
"1612",5,0,1,2,2,0,7,1
"2304606",5,1,7,8,1,3,14,1
"1602",4,0,13,3,1,3,11,1
"83526",4,1,12,2,4,4,10,0
"392416",4,1,3,5,4,1,20,1
"2714036",4,0,2,2,4,2,9,0
"1007676",2,3,8,3,4,3,37,2
"1074467",2,0,4,2,2,2,13,2
"1607",21,0,14,7,17,11,38,3
"1610",18,4,15,12,16,11,47,7
"375175",12,4,20,8,3,4,16,3
"240427",26,2,31,24,11,20,30,4
"176292",13,0,18,10,0,3,18,1
"231049",30,2,25,17,4,5,58,4
"468911",11,5,10,1,2,6,26,2
"82688",8,1,4,2,7,2,26,4
"1618",2,0,11,6,5,6,37,5
"1720083",15,0,4,4,8,11,30,5
"1296540",7,1,5,5,3,5,9,1
"293371",4,0,4,5,1,2,20,4
"1193095",3,0,9,3,3,1,15,1
"1614",4,0,1,4,1,5,16,4
"53444",3,1,6,1,2,4,12,1
"1625",1,0,2,4,3,0,11,2
"51664",10,0,10,2,12,1,48,2
"148814",4,0,8,2,2,0,14,3
"2419772",3,1,9,0,7,3,25,3
"1603",8,3,6,9,16,3,29,4
"1303590",5,3,13,3,1,5,21,6
"2608887",55,4,38,31,27,22,104,8
"1307",42,4,67,38,32,25,142,19
"119603",40,4,21,25,20,16,83,9
"2173853",24,5,25,18,8,8,32,2
"1305",24,6,38,17,18,16,73,11
"1303",23,5,22,9,7,5,71,10
"671232",22,1,15,7,6,15,35,3
"1302",21,2,10,13,7,4,40,2
"1308",20,1,14,6,3,5,17,2
"1310",14,0,13,7,6,10,20,1
"1313",14,2,17,7,5,4,44,2
"1309",14,0,10,8,7,1,30,1
"1811193",12,0,10,9,11,1,25,2
"28037",12,0,17,7,10,12,26,3
"1335",11,1,12,4,5,6,37,3
"1340",11,0,13,6,2,4,22,0
"1329",10,0,6,1,2,3,17,1
"1341",10,2,14,8,7,7,17,4
"1304",10,2,13,10,3,3,20,2
"1314",10,1,15,7,15,8,44,3
"1318",9,0,5,3,4,2,25,1
"1326",8,0,8,2,5,8,12,3
"45634",8,1,19,13,7,2,40,1
"82348",8,1,8,8,5,3,21,3
"315405",7,0,6,6,2,1,8,0
"1888195",7,0,10,2,2,2,19,1
"1825069",7,1,4,5,1,1,6,1
"1349",7,0,15,4,3,6,34,4
"1348",7,0,3,2,1,5,19,3
"1111760",6,1,4,1,1,2,10,1
"400065",6,1,6,6,0,2,17,2
"361101",6,1,9,3,5,3,18,2
"149016",6,0,2,1,1,2,32,5
"257758",5,0,3,3,3,0,4,0
"113107",5,1,6,2,4,1,13,0
"2021971",5,1,7,7,4,3,24,3
"1345",5,0,13,7,10,7,31,2
"2490633",4,0,1,0,1,0,2,0
"1814128",3,0,9,5,6,1,14,4
"102684",2,0,0,1,2,0,5,1
"2382163",2,0,1,3,1,0,4,1
"1343",2,0,2,3,3,2,7,0
"1917441",2,0,1,0,0,0,0,0
"33040",2,0,0,1,1,0,1,0
"1311",2,0,2,3,5,3,50,28
"1346",2,0,10,2,8,3,24,3
"197614",1,0,0,0,0,0,1,0
"1363",25,1,18,14,11,10,42,4
"1359",24,0,32,14,15,8,31,5
"1358",19,5,18,8,12,11,58,7
"1366",16,2,14,10,13,7,23,4
"2419773",9,2,4,4,6,0,23,1
"1151742",8,3,8,8,2,2,22,3
"2643510",8,1,9,4,5,1,12,4
"1364",2,0,4,6,2,2,10,1
"2749961",1,0,1,0,1,1,2,0
"33945",38,4,31,20,15,15,91,14
"160453",26,2,22,11,7,4,46,5
"1351",25,2,32,8,5,20,138,18
"37734",20,4,34,11,23,8,122,10
"1352",19,3,19,10,96,20,216,83
"1354",17,2,16,10,13,11,96,25
"53346",17,3,20,8,10,5,71,6
"53345",16,4,13,4,9,4,44,7
"118060",16,0,14,8,8,4,73,5
"1805431",13,1,9,6,8,3,37,3
"44008",10,1,22,10,191,9,83,78
"2005703",8,1,15,5,8,11,40,9
"417368",7,2,8,5,7,1,36,6
"2608891",7,0,5,5,1,3,13,2
"1353",6,0,13,5,1,0,4,0
"357441",1,0,1,0,0,0,0,0
"2571750",11,0,6,1,8,3,41,7
"218144",10,2,4,2,6,7,31,6
"2714946",9,2,3,3,1,3,41,6
"2648499",7,1,5,1,3,2,37,4
"519472",6,0,4,7,2,3,68,10
"2714947",6,1,19,3,9,6,27,6
"633807",4,0,13,3,6,6,31,10
"51669",11,2,10,7,11,14,60,19
"290335",9,0,15,8,4,5,30,3
"526944",4,1,6,6,2,4,42,3
"33970",9,3,11,4,7,5,50,6
"119206",28,3,35,13,24,16,78,8
"1376",22,1,16,6,4,12,48,1
"51665",20,1,8,2,18,3,145,51
"1377",18,0,10,5,5,2,34,4
"87541",11,1,7,4,5,3,26,4
"128944",4,0,16,3,3,1,26,3
"46125",21,0,13,10,23,12,40,4
"2036206",17,0,18,15,6,6,28,2
"2748",19,2,18,8,9,12,66,9
"257487",18,2,23,16,18,12,99,18
"2751",8,2,24,7,13,8,71,15
"147709",7,1,4,4,2,4,28,4
"1868793",13,4,13,10,26,6,308,152
"2496265",11,1,9,10,21,3,86,10
"1868794",10,0,3,7,17,3,170,26
"708126",4,2,7,3,7,3,50,8
"2621505",3,1,7,6,8,2,60,9
"29394",23,4,28,20,16,6,91,8
"2632303",9,1,10,7,14,8,112,8
"73918",3383,311,4447,2278,1801,1409,2718,404
"28033",1,0,2,1,0,2,0,0
"1297617",259,22,357,196,130,96,239,42
"2610894",139,21,204,99,98,82,192,20
"2086584",113,10,130,58,68,51,90,16
"2060094",67,9,86,54,37,26,130,20
"86331",19,0,15,11,10,15,41,4
"178898",57,6,74,41,33,19,74,6
"1981510",24,0,10,5,4,4,26,2
"853",747,44,718,455,378,290,741,96
"292800",438,34,571,290,276,177,393,63
"2643836",374,24,321,237,166,120,372,44
"2629304",211,21,275,166,125,84,212,32
"351091",159,10,168,103,86,58,137,14
"253239",297,28,273,194,172,106,302,31
"1550024",264,29,330,172,125,105,221,27
"1677857",142,1,18,249,8,6,42,6
"288965",34,1,23,35,7,7,43,13
"1515",33,3,29,30,13,9,34,6
"1796620",163,12,189,94,81,66,141,20
"1161942",73,5,75,43,31,28,69,6
"1264",30,0,23,17,20,20,57,4
"1160721",15,0,10,9,11,4,17,0
"2608920",13,2,12,9,2,6,24,4
"1521",40,33,42,18,9,3,344,22
"2488810",36,1,22,12,9,4,90,10
"84032",70,3,62,48,23,15,46,9
"1510",37,2,22,32,15,8,39,3
"884684",23,3,9,17,5,8,41,4
"236753",12,0,4,1,2,6,16,5
"2093857",9,1,29,16,7,7,13,3
"2614128",339,26,236,163,150,129,596,69
"36745",120,2,75,62,16,19,55,11
"1491",95,6,77,41,86,70,236,17
"1520",65,3,62,37,36,95,72,15
"1502",58,9,71,38,58,32,204,39
"1501",57,4,39,28,27,38,83,8
"1534",46,2,47,22,17,19,107,15
"169679",36,1,26,11,10,16,41,2
"1492",30,4,39,24,29,18,67,23
"1716543",28,2,27,10,52,50,49,8
"36845",26,1,41,11,18,6,138,10
"84022",22,1,18,14,12,4,61,2
"238834",21,0,10,11,10,15,48,7
"1497",19,3,10,5,9,5,46,7
"223919",19,0,13,12,4,3,3,1
"1513",18,1,18,14,9,12,36,3
"1488",17,1,14,7,7,5,30,6
"1493",17,2,23,7,47,49,39,4
"217159",17,3,31,9,21,14,26,0
"1542",17,0,11,6,5,5,20,1
"1519",17,0,20,6,11,7,45,5
"29341",16,1,33,9,16,26,48,9
"1561",13,1,17,10,9,8,47,4
"332101",13,0,7,5,8,5,26,2
"94869",13,3,13,9,14,14,52,5
"1494",12,0,7,6,6,7,71,7
"394958",12,0,9,6,4,0,22,2
"46867",11,2,8,8,12,7,11,1
"1548",9,5,13,5,2,6,18,4
"1216932",9,6,16,11,14,10,129,13
"1509",8,1,14,7,5,6,19,1
"1504",8,2,9,3,13,6,19,3
"182773",7,0,14,8,7,4,55,7
"2068654",7,0,11,5,4,10,18,3
"1538",2,0,6,3,3,3,1,1
"84023",1,1,1,0,2,3,11,1
"154046",129,12,110,72,45,42,138,12
"208226",29,2,12,14,6,17,73,10
"461876",28,4,53,15,18,7,278,41
"2638829",35,4,60,15,30,15,62,2
"2629145",30,2,36,8,20,15,27,2
"1424294",30,6,12,18,20,15,60,5
"2633479",20,1,13,6,13,5,41,6
"1498",10,1,10,5,3,3,16,4
"2619470",7,5,15,4,3,2,25,2
"116090",6,0,12,4,7,4,38,2
"471827",400,32,440,247,249,165,284,51
"1564",91,4,74,44,38,34,135,14
"1565",48,1,55,35,35,16,79,6
"1833852",32,4,35,34,15,18,63,8
"59610",26,0,16,13,15,24,40,6
"79209",83,7,50,31,29,24,64,6
"1563",55,4,41,23,15,12,64,5
"339862",38,3,43,30,26,13,70,2
"885581",36,5,41,21,14,12,84,4
"49338",88,5,83,38,37,22,138,15
"142877",31,5,24,24,17,8,41,4
"36854",24,3,30,17,14,15,41,3
"233055",24,1,20,16,13,10,43,5
"102134",120,17,192,109,77,49,229,19
"55583",32,1,29,21,13,7,26,2
"2635733",18,2,23,15,8,3,31,1
"1712410",71,4,73,38,27,18,49,5
"51197",66,3,46,35,27,18,57,12
"58138",58,5,55,20,29,23,86,4
"51515",52,3,34,24,23,12,84,14
"863643",49,3,66,34,25,17,57,7
"2734",1477,121,1762,1007,934,804,1634,193
