"","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report"
"2493669",1375,898,4857,646,709,698,796,640,1052,1246,888
"2654248",1325,798,5794,736,570,704,782,631,946,695,591
"2493677",1246,696,3471,524,539,564,654,548,693,573,415
"2493679",911,578,3481,499,419,479,542,429,653,566,458
"2493678",918,513,3592,437,431,430,512,402,583,483,454
"2493671",797,491,2864,397,692,425,440,362,654,1507,1433
"2654249",750,435,3333,568,274,392,392,322,421,372,322
"2483404",817,526,3032,388,440,398,518,372,574,487,352
"2493681",775,475,2825,343,327,394,433,345,461,447,317
"2744523",837,422,2533,376,316,533,527,446,442,318,263
"2744516",731,410,2459,353,380,339,456,327,491,413,315
"1854057",1024,476,1765,265,244,401,373,340,337,392,213
"2744522",719,405,2310,407,251,355,423,298,464,274,252
"2483403",524,321,2274,260,221,267,330,216,376,319,258
"2744517",525,324,1741,238,288,286,321,259,380,325,264
"2493674",398,250,1376,200,337,236,257,228,335,743,652
"2493670",423,269,1412,199,329,190,237,182,343,677,664
"2744515",197,115,635,81,82,75,112,90,89,105,76
"278153",234,118,519,104,80,113,95,100,118,92,83
"2744520",101,62,407,39,59,57,58,41,79,59,40
"2744519",104,69,224,19,30,64,69,45,33,47,29
"2483402",72,45,174,32,33,29,48,33,36,43,20
"1670800",2712,1629,9483,1720,1128,1585,1706,1428,1881,1265,1122
"1082933",1460,842,5334,664,626,693,833,633,936,718,575
"935548",763,506,2847,398,372,387,479,347,535,384,309
"935546",99,56,334,33,64,70,61,45,72,43,42
"682633",886,470,1440,264,245,350,452,352,330,311,220
"278148",205,100,657,80,91,113,148,96,126,94,88
"754035",992,630,3559,515,452,512,621,445,731,558,448
"536019",1022,552,3513,504,572,515,607,476,718,575,463
"1777866",828,465,3031,469,396,431,511,347,587,461,383
"763057",86,56,315,53,42,32,51,56,71,67,45
"266835",223,125,628,91,114,94,119,100,128,102,89
"2725666",64,66,860,37,46,34,49,26,53,80,34
"2774562",530,912,4500,298,158,222,244,184,210,158,118
"374606",2026,1249,21367,1357,744,1050,1093,891,1160,894,693
"2666139",300,284,1926,260,90,123,127,102,221,117,103
"83263",323,374,2260,160,111,130,161,123,118,125,70
"266779",20712,2603,4396,720,1004,3756,1571,2893,2292,16274,839
"2599600",2427,1395,7210,1347,1013,1331,1492,1204,1566,1130,995
"1756988",1146,705,4065,662,541,620,697,558,793,621,450
"1852022",1785,1156,3716,625,973,974,1352,970,1297,941,699
"1620421",763,528,2102,304,419,446,521,467,570,405,247
"411684",663,495,2002,320,387,392,485,402,457,314,250
"2742145",1327,814,2968,564,725,695,918,680,877,615,495
"1867719",817,585,2480,350,387,475,480,389,483,450,305
"2718938",380,333,1411,163,230,202,281,194,274,182,163
"2712698",432,404,1138,180,323,258,355,294,379,322,171
"2305987",42,44,79,9,23,14,38,21,25,17,15
"2613769",9853,6803,40086,6170,5893,5384,6819,5112,6100,6018,4236
"384",5108,3422,13769,1919,2804,2686,3652,2678,3013,2598,1883
"29449",2436,1392,3886,724,869,774,1030,738,887,935,674
"348824",857,703,2656,443,572,530,667,521,556,492,352
"396",909,617,2401,354,528,442,612,395,512,507,343
"1312183",849,636,2622,391,728,482,610,494,633,507,416
"379684",990,614,4533,751,560,639,639,527,662,486,375
"1138189",683,482,2065,315,392,385,508,349,442,388,403
"56730",855,512,1618,274,326,449,476,457,388,404,238
"1138194",595,467,1573,263,334,329,463,343,376,299,299
"293958",599,475,2110,305,386,314,401,277,432,348,209
"1138190",501,358,1406,216,334,296,366,271,299,284,248
"398",556,380,2131,295,357,330,401,322,358,370,234
"1368430",582,367,3850,357,287,301,397,281,357,329,227
"451876",454,326,0,357,249,428,322,243,564,445,760
"240521",502,318,2669,319,280,290,384,262,337,260,205
"2583231",396,241,800,132,215,186,264,170,203,190,123
"1335061",378,238,2041,1032,235,338,360,251,243,221,187
"1538158",298,199,882,124,157,176,220,196,161,167,127
"2267833",293,238,1351,199,164,224,221,160,218,191,127
"648995",336,183,1458,236,144,378,185,128,340,144,251
"1538159",109,78,378,50,68,61,89,45,79,56,52
"2081791",89,58,195,27,36,31,40,41,50,41,25
"448181",21,3,221,25,0,15,5,9,2,11,6
"1183400",5564,2116,26597,1815,1612,11036,2506,1539,1884,1574,1209
"373",1038,848,4166,603,562,573,784,554,710,558,380
"2632611",1007,590,7914,625,571,990,726,519,660,530,309
"359",528,348,2214,285,291,317,378,277,352,238,181
"28099",422,284,1499,256,241,251,295,238,290,255,149
"160699",390,248,1636,310,211,241,263,220,224,202,159
"1183412",3,1,103,6,1,5,3,4,3,8,7
"399",2182,1395,37853,1765,1533,1316,1485,1119,1403,994,1091
"2629175",1852,1010,6961,2703,1088,1139,1159,997,1134,925,745
"1125847",167,84,1078,382,91,82,96,86,101,69,64
"663276",7435,3747,11563,2443,2641,3565,3882,3061,2779,2855,2034
"382",16399,2519,28478,0,2431,7869,7639,5434,3758,7106,5061
"2613772",2570,1716,16763,3462,1336,1592,1800,1341,1556,1234,984
"194963",5925,2355,3252,634,724,836,1073,889,707,744,537
"110321",1573,695,4102,1496,629,800,1065,678,754,699,559
"106592",4626,3392,8068,1570,1378,1427,2251,1263,1476,1138,907
"375549",1642,1104,4250,825,1055,1131,1299,1123,997,870,707
"2633371",1152,1253,3450,1182,588,566,1004,531,637,517,356
"1752398",1144,812,3358,565,645,796,969,694,793,703,488
"716925",1057,659,2714,608,595,680,841,727,723,651,451
"879274",2097,1330,65723,5511,979,3680,1519,1054,1221,907,769
"2715959",1819,1098,17656,5723,891,1153,1150,871,1133,806,621
"2795690",2785,2064,6538,1305,1693,1547,2037,1531,1756,1380,1050
"2341112",1366,834,3790,668,674,703,809,682,850,693,470
"1969821",1161,751,4186,631,718,653,806,703,725,565,419
"1273132",6,9,30,3,15,11,5,3,10,12,8
"1174529",0,3,0,0,0,0,1,2,0,4,0
"658172",5,2,9,1,4,2,5,104,3,1,1
"34020",4,5,67,2,11,3,20,9,2,22,5
"1261131",14,8,12,0,3,2,6,1,5,2,2
"426117",4337,2689,3637,635,2274,2001,2757,2274,2499,1891,1105
"2202828",2424,1504,2413,417,1268,1170,1569,1297,1533,1066,656
"2603276",1760,1051,1847,292,918,857,1157,919,1088,780,468
"2202826",1793,1055,1781,268,941,911,1201,962,988,809,463
"925818",732,481,813,131,368,404,491,372,440,369,209
"2067957",513,364,497,109,281,254,393,298,305,250,158
"1479019",302,207,315,36,197,183,227,170,202,159,89
"739141",156,88,147,24,77,66,87,65,78,66,44
"2696060",0,0,0,0,2,0,0,0,0,0,0
"460265",4114,2544,3477,606,2434,1928,2417,2035,2677,1719,930
"270351",3650,2307,3574,613,1866,1693,2320,1740,2102,1476,899
"2202825",2868,1766,2657,487,1407,1381,1839,1544,1609,1228,787
"2051553",1927,1114,1763,284,956,941,1397,1013,1110,802,520
"2202827",1942,1023,1697,298,986,963,1362,969,1175,839,520
"908290",1922,1153,2005,313,956,986,1239,959,1035,827,484
"269660",1706,1072,2066,292,882,869,1151,894,1017,768,467
"1775910",1649,918,1547,270,814,799,1035,785,948,678,388
"426355",402,254,422,54,225,196,288,184,267,169,114
"418223",221,162,311,30,153,138,192,124,141,93,50
"693986",112,60,89,15,70,37,58,42,52,43,15
"2807101",16406,6697,10233,3359,2642,5961,5210,5957,2840,4602,1534
"2082949",4063,1977,4867,2314,1440,1807,1807,1862,2092,1598,920
"1882682",16607,6605,8961,2716,2664,5320,4641,4758,3025,3910,1472
"2651334",4923,2542,5143,1414,1811,2368,2418,2084,2165,1998,1081
"441620",451,293,800,129,277,307,328,229,351,218,140
"272630",880,518,1097,136,406,391,555,423,428,359,231
"440085",306,205,311,66,140,149,186,161,183,127,56
"419610",246,162,265,45,144,137,200,124,133,120,73
"29429",66,40,81,12,39,33,38,48,36,30,19
"674703",9164,14259,9916,1025,11716,4355,8036,5728,10221,5350,6340
"444923",7,5,3,2,4,4,11,2,5,5,3
"1736675",4489,2416,46960,3176,1718,1980,2125,1637,2212,2113,2901
"2801335",1467,844,12191,2048,552,805,781,688,794,729,883
"2657486",1159,787,9890,1769,641,767,744,566,799,638,700
"2499144",1053,588,5117,989,521,594,720,577,725,599,545
"2083786",770,523,13009,1865,432,618,599,434,545,521,527
"2774137",966,548,7538,1548,492,609,653,487,726,657,584
"2664417",478,318,2367,401,298,330,374,298,417,370,341
"2759954",389,264,2311,487,210,237,254,192,239,222,205
"400770",1742,826,32258,5256,651,1094,1056,800,934,946,1055
"582899",1161,1140,4235,334,819,567,1006,627,712,799,511
"670307",912,907,2656,264,993,543,915,545,827,1730,464
"1029756",2066,2277,8982,532,1201,927,1885,996,947,799,650
"717785",1081,1055,2725,280,762,468,974,778,689,1109,545
"2233851",2470,1955,3713,536,1606,1254,1975,1423,1662,1278,917
"1079",2146,1743,3089,453,1388,1137,1641,1290,1368,1074,780
"1384459",1051,831,2191,372,772,509,917,648,579,523,378
"2170729",996,723,2318,373,651,496,907,585,584,435,348
"2742204",1542,1256,2830,548,1134,829,1350,967,1018,768,543
"2820278",1681,1278,3422,411,1104,949,1278,980,1100,870,677
"648757",1114,1065,2289,307,800,658,1013,654,836,592,430
"1447062",1473,931,7159,1243,876,827,1109,830,1219,1132,1034
"1082931",0,0,0,0,0,0,0,0,0,0,0
"1608628",587,502,1520,310,357,301,451,354,312,267,178
"1219035",492,383,1355,174,324,277,431,304,400,312,263
"1335043",503,337,3037,559,312,317,398,250,451,386,363
"454601",139,135,382,59,103,84,160,86,85,93,73
"331696",4444,4933,12484,955,5047,2385,3547,2886,5400,3650,4927
"2562284",3756,3566,27059,1630,10738,1985,2787,2216,3695,3381,4933
"2709380",3256,2410,5473,698,1814,1603,2165,2343,1914,1421,1096
"639283",2810,1954,22514,1111,1597,1524,2173,1814,1631,1277,913
"1850374",2007,1512,4333,507,1228,1140,1548,1305,1322,1022,725
"1745854",1597,1196,3362,399,994,902,1293,956,1085,839,610
"2528964",2826,2132,6960,646,1758,1581,2281,1727,1859,1573,948
"438753",2063,1630,3878,560,1353,1145,1626,1207,1375,1014,753
"2789216",2223,1638,4417,593,1323,1165,1548,1232,1381,1191,806
"2712222",3562,4473,49218,692,2773,1775,4000,2145,1918,1691,1410
"1235591",3933,3627,14226,1173,2463,2074,3440,2746,2455,1950,1683
"1482074",1961,1417,4113,575,1186,1087,1502,1156,1338,985,771
"573658",23,22,57,6,17,8,17,9,12,13,7
"134",1171,951,2167,294,861,657,1007,754,929,642,547
"173366",1139,1084,2010,272,849,668,1020,752,867,679,512
"655015",1284,1006,1834,290,862,676,988,772,950,656,460
"391905",1177,922,1647,266,871,651,925,852,771,650,450
"187303",692,562,1208,179,544,404,603,432,623,368,285
"595536",1651,1164,2344,331,1116,941,1337,989,1189,855,614
"2699395",1304,1021,1985,302,923,781,1189,793,1095,690,518
"1349819",1908,1187,3748,646,1082,941,1375,1045,1275,941,658
"2758041",1488,1018,3007,545,850,824,1126,877,1026,773,521
"2816454",1351,944,2782,456,700,742,950,773,783,690,444
"1638161",5,5,3,3,2,3,0,1,9,1,5
"1701758",1607,1008,3093,583,852,900,1209,848,1052,843,533
"686597",551,315,1644,208,264,277,337,284,335,227,198
"1122214",908,590,2325,360,540,497,630,511,637,494,341
"1486262",842,629,2437,362,521,470,623,442,605,409,330
"2583532",430,300,1721,208,278,308,388,252,364,283,198
"538381",2579,1694,4688,771,1442,1418,1961,1458,1658,1289,818
"1881061",1251,1021,2515,438,798,748,1060,752,908,678,463
"2021862",709,533,1509,243,461,422,553,433,456,393,247
"2590016",327,258,724,91,220,196,294,197,254,182,123
"2587861",300,289,655,106,185,166,230,203,224,163,103
"2587854",90,61,171,26,56,67,86,60,78,65,28
"1674922",66,57,207,18,48,40,53,42,30,33,29
"244592",417,297,883,144,211,196,261,182,271,182,142
"187304",124,79,227,30,54,68,89,58,51,54,39
"1402210",393,162,1340,165,136,164,197,139,173,227,138
"911045",205,162,448,57,137,95,164,99,127,100,78
"1702325",2770,1710,4809,757,1488,2316,2005,1531,1873,1435,895
"444444",1585,1064,2725,388,830,1091,1171,880,910,743,456
"395965",1127,934,2083,278,794,645,989,674,882,629,465
"227605",1041,826,1858,240,695,560,831,581,770,516,439
"569860",992,886,1931,224,722,558,814,611,855,594,462
"31994",545,432,1101,155,376,316,453,385,405,356,235
"402881",1248,1080,2813,407,909,809,1227,895,989,820,610
"1712261",878,695,1625,245,604,541,756,577,655,528,382
"1458461",393,330,799,101,266,271,309,244,298,262,162
"94625",729,342,9555,1941,345,426,555,292,1234,795,529
"2632610",272,184,1480,150,163,150,226,164,260,186,132
"271865",238,165,882,116,131,110,168,113,140,135,90
"529",188,115,1585,423,95,89,146,88,108,119,68
"419475",107,71,384,52,62,44,86,74,63,54,28
"571256",104,54,321,47,47,48,96,81,44,56,44
"1218315",13,10,133,82,9,9,16,7,12,8,2
"29459",23,13,53,5,19,14,22,10,11,9,8
"235",3,2,6,0,7,4,1,2,2,3,0
"236",7,7,8,1,3,5,10,0,2,6,3
"29461",7,6,35,1,1,16,10,8,9,1,2
"120577",2,4,2,0,2,0,2,1,3,1,1
"36855",1,1,3,0,0,1,1,0,1,2,1
"120576",0,1,13,4,3,2,4,2,1,1,2
"444163",1,3,2,1,0,1,0,0,0,0,0
"239106",91,63,403,60,44,43,82,42,57,45,47
"2304600",1714,1374,3496,549,1205,993,1454,1103,1191,954,615
"1798205",348,303,773,123,251,182,333,237,255,205,158
"2528642",1217,919,1923,267,845,611,962,688,829,649,404
"1686310",94,65,383,49,87,59,100,59,76,54,47
"2759660",26,15,100,9,12,17,28,14,21,12,7
"515256",7,6,3,0,1,0,2,0,2,1,0
"1933904",5,5,6,4,7,0,5,2,2,4,3
"1933910",0,0,0,0,0,0,0,0,0,4,0
"40933",8,5,12,1,2,3,3,0,0,2,0
"2267275",5,6,16,1,1,2,9,2,5,6,0
"1094489",13,15,28,6,13,6,14,7,6,7,4
"52764",5,6,8,1,2,1,5,1,0,6,3
"634504",7,5,26,0,7,5,10,4,8,1,2
"1225179",0,1,0,0,1,0,0,1,0,1,0
"687861",5,3,34,1,7,5,1,2,4,5,3
"774",9,10,28,2,6,8,6,2,5,1,3
"1095900",5,2,16,0,1,1,3,2,2,4,3
"1318743",4,7,25,5,4,6,5,4,9,4,1
"1094491",7,6,12,0,7,3,8,5,5,4,2
"38323",5,5,16,0,7,0,4,0,1,3,0
"85701",8,6,21,2,5,2,3,4,2,5,2
"696125",3,2,31,0,3,2,1,2,2,3,3
"2133959",2,1,16,0,2,1,3,2,2,2,1
"807",5,1,13,1,4,1,2,2,1,1,0
"2764186",5717,1938,3965,1161,5424,2745,4129,6006,11344,5264,4609
"2714944",5649,1816,3852,1134,4886,2498,3998,5669,9041,5102,4246
"2681549",2900,1524,4610,991,1896,1752,2287,2392,2566,2237,1532
"2714942",4843,1504,2549,747,2873,2129,2929,4174,3820,3181,2480
"2714943",4260,1446,3193,998,3424,1935,3059,4172,5427,3852,2964
"2653203",2214,1214,4572,816,1657,1342,1811,1834,2137,2152,1520
"745310",2210,1113,4278,925,1607,1464,1787,1803,2039,1776,1354
"1327635",2031,1041,3772,753,1636,1140,1682,1542,1865,1703,1535
"2735134",1822,1092,3120,554,1365,1126,1625,1413,1780,1538,1141
"2698679",2119,1072,3352,732,1565,1292,1644,1791,2177,1745,1358
"1938607",1803,1020,3185,679,1523,1118,1510,1272,1693,1517,1321
"2492837",1707,992,3228,561,1198,1055,1436,1394,1598,1231,1017
"2596913",1770,972,2887,528,1447,1115,1458,1402,1694,1684,1139
"2711156",1607,895,2956,591,1140,995,1329,1318,1489,1279,926
"1523415",1591,912,2775,455,1268,887,1253,1226,1607,1362,1061
"2219696",1577,872,3453,449,1199,919,1273,1230,1516,1429,1012
"2599297",1521,736,3130,599,1040,1027,1309,1172,1322,1283,1068
"2565555",1203,654,2032,391,954,744,964,988,1191,1071,682
"1030157",1083,610,2808,418,743,729,893,910,1019,950,709
"2759526",1124,650,1989,393,874,695,949,934,1090,1013,736
"1517554",1132,628,2043,363,841,685,931,854,1105,1004,712
"1390395",997,556,1940,337,729,662,884,807,872,884,590
"1517551",922,578,1865,316,741,597,830,747,980,866,667
"1961362",582,352,1342,204,473,367,477,485,602,554,337
"2319844",505,338,1046,173,374,282,417,395,492,401,315
"304378",245,210,659,112,162,148,199,168,190,157,128
"1628059",17,12,139,5,25,20,24,17,37,18,9
"849864",1,4,11,0,4,0,1,1,4,2,1
"1381597",7,22,125,9,4,1,6,3,5,15,129
"28214",3,0,22,0,1,0,1,2,2,2,1
"90322",1,2,1,0,0,0,0,0,1,0,0
"386874",10515,3430,7318,1884,8277,3863,5853,8252,10382,8719,8590
"1176646",9525,2696,6884,1652,7279,3539,5319,7414,9459,7146,6340
"1045317",8606,2511,4474,1356,6929,3314,5840,8108,11367,6359,5747
"363835",6254,2135,4444,1307,4719,3194,4496,6125,7176,5090,4116
"2071607",5396,1930,3533,1041,3550,3113,4260,5180,4674,4144,3102
"2594473",4583,1562,2500,868,2904,3279,4071,4998,3276,3513,2694
"392499",526,292,1471,131,300,297,432,317,408,329,262
"653931",2789,1592,5216,937,2060,1609,2205,1997,2558,2330,1599
"1123269",2606,1476,5205,884,1744,1650,2043,2089,2207,1994,1380
"93064",2067,966,4402,811,1374,1635,2385,1522,1780,1666,1666
"1609977",1718,1015,3376,541,1438,1102,1489,1297,1641,1535,1218
"1549858",1760,992,2904,499,1313,1075,1362,1368,1707,1692,1047
"1560345",1578,898,3224,518,1240,976,1298,1213,1616,1499,1024
"1813879",1485,776,2721,466,1262,947,1225,1206,1596,1570,989
"424800",1191,680,1897,340,848,665,948,925,1134,1108,773
"13689",1199,711,2844,412,811,759,932,882,1036,987,710
"621456",54,42,236,13,43,27,56,31,45,29,12
"2698828",614,388,1241,207,461,401,484,527,577,534,370
"2789327",2478,1404,84773,1363,1323,2057,5191,1134,1547,745,825
"627192",1476,952,3521,554,1108,921,1246,1138,1309,1057,806
"1315974",1118,539,11714,402,595,573,842,643,722,716,554
"2676077",925,478,4671,328,536,512,717,565,698,607,584
"2082188",863,495,4440,335,533,478,722,570,592,541,529
"1843368",812,517,3484,277,443,419,652,488,614,544,386
"1855519",1730,487,10108,577,611,537,953,603,859,871,987
"2072936",879,495,2347,299,597,458,667,622,754,611,472
"2733867",703,416,3564,262,435,359,508,448,539,430,323
"407020",1409,306,6075,321,412,327,593,388,510,449,454
"2565554",208,135,606,60,139,149,149,119,170,107,85
"484429",90,56,890,66,74,70,124,70,106,109,66
"520734",92,52,1504,121,62,66,139,69,104,80,107
"2185111",12,12,107,4,12,10,13,4,7,12,12
"13690",1750,1183,8935,620,1070,1027,1464,1106,1128,1133,792
"135719",1000,518,4434,388,669,555,775,612,787,655,517
"120107",861,511,5109,408,636,548,772,604,796,698,549
"690566",956,456,7104,313,546,435,772,615,587,612,486
"1673076",740,421,4476,266,483,399,634,492,553,463,338
"452662",757,412,5234,324,515,445,666,515,594,979,469
"1332080",701,423,4637,377,528,431,648,479,598,471,411
"76947",1260,337,7310,408,465,370,772,435,547,443,502
"1208342",130,79,1045,65,73,125,162,128,104,106,68
"1054037",174,79,1229,47,94,76,137,78,135,94,172
"861109",8,8,32,3,9,6,11,18,14,23,3
"56193",3,2,32,1,2,0,4,3,1,7,2
"595605",1,1,194,0,1,0,0,0,0,0,0
"1357916",2347,947,21483,777,901,1090,1297,1088,1155,947,1030
"1874061",1024,580,10139,730,643,797,865,682,731,662,759
"2486273",1500,772,15000,721,780,876,1111,956,973,790,877
"2565556",3192,709,53041,5359,760,2810,1707,1178,983,1008,1726
"292913",1186,643,21442,1209,810,833,950,866,1029,915,879
"1914525",1050,551,11815,852,611,960,932,664,845,736,829
"1866325",103,69,1604,205,53,85,92,41,79,72,60
"1913578",65,46,151,11,45,27,46,40,50,36,24
"33050",2490,1327,33838,1488,1423,1648,1863,1592,1853,1554,1710
"2448440",1050,591,14299,638,740,736,870,759,903,757,783
"2054227",1307,647,18732,774,762,839,978,823,1039,814,934
"1515612",1148,550,14440,1020,649,941,961,721,838,859,1041
"317655",978,496,9778,737,571,835,788,735,760,716,707
"267128",565,318,6150,353,415,451,476,417,607,403,384
"2675225",2179,1370,3404,579,1389,1211,1622,1439,1615,1306,1254
"2571749",1357,1185,3114,614,996,794,1167,1014,1239,935,739
"1609758",1079,1051,2451,447,792,746,1055,773,1025,855,600
"1016987",754,621,5433,330,562,457,694,530,720,523,479
"2780074",871,655,7220,349,688,491,722,579,784,610,473
"702113",475,396,1465,198,320,287,523,351,375,330,250
"164608",279,240,695,113,197,168,277,210,212,169,142
"158500",1437,1542,3277,713,1097,964,1400,1036,1262,1011,779
"279238",1331,997,2642,455,857,779,1018,900,1180,852,729
"1176536",948,853,1818,388,658,549,807,699,808,652,511
"1088721",492,386,1227,171,312,298,430,278,352,307,277
"2762748",1808,971,13004,941,1345,1177,1479,1469,1786,1655,1216
"2711215",1245,798,2375,451,900,771,1073,1049,1252,1174,756
"941907",4154,1868,6372,2122,2646,2762,3261,3928,3459,3535,2286
"2584094",546,299,960,170,379,329,394,372,444,401,279
"2077182",497,323,1020,211,371,319,405,364,478,372,298
"1806885",403,248,752,147,309,262,364,343,371,287,164
"2725558",156,115,390,54,126,105,134,128,154,130,92
"392610",328,206,870,120,227,163,319,259,277,253,176
"2026624",1683,953,2620,550,1145,973,1368,1274,1369,1188,891
"2724527",481,293,742,166,332,252,389,382,399,350,263
"1850238",1930,1231,4089,671,1366,1219,1600,1576,1677,1553,1048
"1842535",366,233,1132,133,229,181,281,277,346,259,202
"1550728",284,184,1147,111,238,195,240,250,304,202,168
"1921510",1139,695,2643,504,856,767,1032,969,1209,946,751
