"","s9OmM2TOMPOOB051285.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report"
"2493678",476,512,454,583,836,918,360,311,437,513,430
"2493671",410,440,1433,654,831,797,350,669,397,491,425
"2654249",347,392,322,421,804,750,267,212,568,435,392
"2483404",417,518,352,574,783,817,341,373,388,526,398
"2493681",386,433,317,461,773,775,300,307,343,475,394
"2744523",480,527,263,442,771,837,420,265,376,422,533
"2744516",408,456,315,491,718,731,329,285,353,410,339
"1854057",372,373,213,337,701,1024,273,263,265,476,401
"2744522",371,423,252,464,670,719,345,215,407,405,355
"2483403",300,330,258,376,568,524,243,226,260,321,267
"2744517",262,321,264,380,538,525,249,259,238,324,286
"2493674",242,257,652,335,438,398,189,336,200,250,236
"2493670",213,237,664,343,397,423,167,279,199,269,190
"2744515",86,112,76,89,193,197,77,64,81,115,75
"278153",113,95,83,118,147,234,78,63,104,118,113
"2744520",37,58,40,79,107,101,45,51,39,62,57
"2744519",54,69,29,33,100,104,56,37,19,69,64
"2483402",47,48,20,36,73,72,19,26,32,45,29
"1670800",1564,1706,1122,1881,2876,2712,1164,865,1720,1629,1585
"1082933",757,833,575,936,1432,1460,567,477,664,842,693
"935548",481,479,309,535,789,763,328,296,398,506,387
"935546",59,61,42,72,107,99,41,62,33,56,70
"682633",412,452,220,330,717,886,320,236,264,470,350
"278148",113,148,88,126,186,205,98,93,80,100,113
"754035",575,621,448,731,1062,992,428,399,515,630,512
"536019",530,607,463,718,1016,1022,402,397,504,552,515
"1777866",423,511,383,587,809,828,334,333,469,465,431
"763057",43,51,45,71,78,86,39,34,53,56,32
"266835",82,119,89,128,209,223,71,124,91,125,94
"2725666",44,49,34,53,93,64,40,30,37,66,34
"2774562",194,244,118,210,2408,530,163,120,298,912,222
"374606",977,1093,693,1160,2241,2026,780,575,1357,1249,1050
"2666139",91,127,103,221,510,300,72,64,260,284,123
"83263",175,161,70,118,723,323,118,90,160,374,130
"266779",4962,1571,839,2292,6197,20712,959,804,720,2603,3756
"2599600",1313,1492,995,1566,2386,2427,1105,795,1347,1395,1331
"1756988",663,697,450,793,1180,1146,471,396,662,705,620
"1852022",1169,1352,699,1297,1781,1785,973,828,625,1156,974
"1620421",521,521,247,570,837,763,409,308,304,528,446
"411684",418,485,250,457,765,663,348,258,320,495,392
"2742145",761,918,495,877,1370,1327,603,483,564,814,695
"1867719",498,480,305,483,839,817,375,291,350,585,475
"2718938",233,281,163,274,496,380,191,169,163,333,202
"2712698",253,355,171,379,538,432,252,196,180,404,258
"2305987",23,38,15,25,43,42,19,22,9,44,14
"2613769",5795,6819,4236,6100,10462,9853,4655,4400,6170,6803,5384
"384",3079,3652,1883,3013,5446,5108,2437,2356,1919,3422,2686
"29449",895,1030,674,887,2081,2436,695,669,724,1392,774
"348824",623,667,352,556,1151,857,485,461,443,703,530
"396",441,612,343,512,1086,909,384,412,354,617,442
"1312183",561,610,416,633,1004,849,449,495,391,636,482
"379684",621,639,375,662,921,990,471,371,751,614,639
"1138189",426,508,403,442,722,683,361,297,315,482,385
"56730",498,476,238,388,717,855,374,286,274,512,449
"1138194",352,463,299,376,676,595,338,246,263,467,329
"293958",385,401,209,432,666,599,321,281,305,475,314
"1138190",297,366,248,299,660,501,251,243,216,358,296
"398",373,401,234,358,615,556,237,290,295,380,330
"1368430",327,397,227,357,584,582,261,209,357,367,301
"451876",274,322,760,564,548,454,226,187,357,326,428
"240521",337,384,205,337,494,502,241,223,319,318,290
"2583231",207,264,123,203,401,396,184,161,132,241,186
"1335061",355,360,187,243,368,378,255,157,1032,238,338
"1538158",162,220,127,161,365,298,147,130,124,199,176
"2267833",225,221,127,218,333,293,165,134,199,238,224
"648995",128,185,251,340,242,336,127,109,236,183,378
"1538159",77,89,52,79,108,109,44,52,50,78,61
"2081791",48,40,25,50,101,89,40,39,27,58,31
"448181",5,5,6,2,3,21,0,4,25,3,15
"1183400",1863,2506,1209,1884,3249,5564,1439,1341,1815,2116,11036
"373",648,784,380,710,1138,1038,603,443,603,848,573
"2632611",721,726,309,660,1010,1007,532,463,625,590,990
"359",318,378,181,352,684,528,272,238,285,348,317
"28099",258,295,149,290,416,422,166,170,256,284,251
"160699",241,263,159,224,383,390,188,175,310,248,241
"1183412",2,3,7,3,1,3,3,0,6,1,5
"399",1229,1485,1091,1403,2125,2182,980,1017,1765,1395,1316
"2629175",1160,1159,745,1134,1701,1852,811,803,2703,1010,1139
"1125847",94,96,64,101,160,167,67,64,382,84,82
"663276",3567,3882,2034,2779,6087,7435,3169,2065,2443,3747,3565
"382",6561,7639,5061,3758,4028,16399,4769,2964,0,2519,7869
"2613772",1580,1800,984,1556,2787,2570,1347,1001,3462,1716,1592
"194963",1144,1073,537,707,2681,5925,839,558,634,2355,836
"110321",767,1065,559,754,1140,1573,738,483,1496,695,800
"106592",1538,2251,907,1476,4501,4626,1425,999,1570,3392,1427
"375549",1234,1299,707,997,1655,1642,1025,795,825,1104,1131
"2633371",655,1004,356,637,1308,1152,626,416,1182,1253,566
"1752398",827,969,488,793,1141,1144,745,518,565,812,796
"716925",764,841,451,723,1031,1057,734,472,608,659,680
"879274",1145,1519,769,1221,2375,2097,1050,773,5511,1330,3680
"2715959",948,1150,621,1133,1698,1819,824,724,5723,1098,1153
"2795690",1760,2037,1050,1756,3237,2785,1418,1315,1305,2064,1547
"2341112",745,809,470,850,1366,1366,602,450,668,834,703
"1969821",827,806,419,725,1144,1161,586,532,631,751,653
"1273132",8,5,8,10,26,6,9,4,3,9,11
"1174529",1,1,0,0,1,0,0,0,0,3,0
"658172",5,5,1,3,10,5,4,3,1,2,2
"34020",3,20,5,2,7,4,16,4,2,5,3
"1261131",0,6,2,5,7,14,2,0,0,8,2
"426117",2740,2757,1105,2499,3668,4337,1852,2192,635,2689,2001
"2202828",1525,1569,656,1533,2180,2424,1071,1215,417,1504,1170
"2603276",1052,1157,468,1088,1551,1760,788,843,292,1051,857
"2202826",1183,1201,463,988,1549,1793,789,921,268,1055,911
"925818",434,491,209,440,742,732,319,335,131,481,404
"2067957",351,393,158,305,463,513,247,238,109,364,254
"1479019",269,227,89,202,297,302,142,170,36,207,183
"739141",99,87,44,78,113,156,60,86,24,88,66
"2696060",0,0,0,0,1,0,0,0,0,0,0
"460265",2417,2417,930,2677,3457,4114,1639,8641,606,2544,1928
"270351",2192,2320,899,2102,3235,3650,1551,1734,613,2307,1693
"2202825",1842,1839,787,1609,2511,2868,1325,1341,487,1766,1381
"2051553",1153,1397,520,1110,1707,1927,824,953,284,1114,941
"2202827",1180,1362,520,1175,1626,1942,832,925,298,1023,963
"908290",1202,1239,484,1035,1590,1922,867,966,313,1153,986
"269660",1092,1151,467,1017,1443,1706,775,881,292,1072,869
"1775910",970,1035,388,948,1424,1649,736,770,270,918,799
"426355",245,288,114,267,331,402,203,214,54,254,196
"418223",147,192,50,141,256,221,134,130,30,162,138
"693986",58,58,15,52,77,112,49,51,15,60,37
"2807101",6901,5210,1534,2840,5813,16406,3874,3957,3359,6697,5961
"2082949",1977,1807,920,2092,2311,4063,1352,1855,2314,1977,1807
"1882682",5545,4641,1472,3025,6226,16607,3518,3948,2716,6605,5320
"2651334",2532,2418,1081,2165,3209,4923,1831,2129,1414,2542,2368
"441620",302,328,140,351,433,451,234,290,129,293,307
"272630",554,555,231,428,685,880,376,416,136,518,391
"440085",226,186,56,183,274,306,127,137,66,205,149
"419610",165,200,73,133,198,246,141,106,45,162,137
"29429",58,38,19,36,67,66,23,36,12,40,33
"674703",6648,8036,6340,10221,22740,9164,5497,7544,1025,14259,4355
"444923",7,11,3,5,6,7,5,3,2,5,4
"1736675",1895,2125,2901,2212,3923,4489,1605,1289,3176,2416,1980
"2801335",739,781,883,794,1192,1467,554,415,2048,844,805
"2657486",743,744,700,799,1156,1159,548,510,1769,787,767
"2499144",618,720,545,725,978,1053,526,337,989,588,594
"2083786",557,599,527,545,963,770,422,280,1865,523,618
"2774137",623,653,584,726,928,966,454,405,1548,548,609
"2664417",343,374,341,417,506,478,300,220,401,318,330
"2759954",260,254,205,239,426,389,211,164,487,264,237
"400770",922,1056,1055,934,1409,1742,735,516,5256,826,1094
"582899",703,1006,511,712,1699,1161,652,572,334,1140,567
"670307",609,915,464,827,1361,912,636,591,264,907,543
"1029756",1158,1885,650,947,3132,2066,1144,676,532,2277,927
"717785",686,974,545,689,1662,1081,614,486,280,1055,468
"2233851",1574,1975,917,1662,3009,2470,1305,1165,536,1955,1254
"1079",1382,1641,780,1368,2632,2146,1204,1083,453,1743,1137
"1384459",674,917,378,579,1368,1051,637,464,372,831,509
"2170729",677,907,348,584,1320,996,614,437,373,723,496
"2742204",1036,1350,543,1018,2012,1542,976,698,548,1256,829
"2820278",1165,1278,677,1100,2002,1681,878,935,411,1278,949
"648757",856,1013,430,836,1523,1114,724,568,307,1065,658
"1447062",885,1109,1034,1219,1386,1473,789,692,1243,931,827
"1082931",0,0,0,0,1,0,0,0,0,0,0
"1608628",380,451,178,312,754,587,303,244,310,502,301
"1219035",401,431,263,400,551,492,284,300,174,383,277
"1335043",349,398,363,451,522,503,293,254,559,337,317
"454601",91,160,73,85,178,139,83,89,59,135,84
"331696",2960,3547,4927,5400,7823,4444,2391,3263,955,4933,2385
"2562284",2300,2787,4933,3695,5897,3756,1829,3284,1630,3566,1985
"2709380",2012,2165,1096,1914,3731,3256,1467,1399,698,2410,1603
"639283",2048,2173,913,1631,3675,2810,1448,1286,1111,1954,1524
"1850374",1410,1548,725,1322,2384,2007,1049,1005,507,1512,1140
"1745854",1112,1293,610,1085,1825,1597,837,762,399,1196,902
"2528964",2049,2281,948,1859,3436,2826,1517,1361,646,2132,1581
"438753",1449,1626,753,1375,2443,2063,1086,1018,560,1630,1145
"2789216",1407,1548,806,1381,2386,2223,1120,1043,593,1638,1165
"2712222",2407,4000,1410,1918,7105,3562,2828,1982,692,4473,1775
"1235591",2795,3440,1683,2455,6772,3933,2350,1519,1173,3627,2074
"1482074",1366,1502,771,1338,2216,1961,1052,924,575,1417,1087
"573658",23,17,7,12,19,23,23,11,6,22,8
"134",868,1007,547,929,1471,1171,666,720,294,951,657
"173366",921,1020,512,867,1463,1139,732,706,272,1084,668
"655015",840,988,460,950,1432,1284,727,679,290,1006,676
"391905",914,925,450,771,1304,1177,716,614,266,922,651
"187303",568,603,285,623,820,692,416,406,179,562,404
"595536",1145,1337,614,1189,1946,1651,1003,894,331,1164,941
"2699395",942,1189,518,1095,1555,1304,745,757,302,1021,781
"1349819",1200,1375,658,1275,1831,1908,915,839,646,1187,941
"2758041",975,1126,521,1026,1467,1488,826,647,545,1018,824
"2816454",867,950,444,783,1351,1351,680,551,456,944,742
"1638161",6,0,5,9,4,5,3,4,3,5,3
"1701758",1012,1209,533,1052,1627,1607,830,814,583,1008,900
"686597",342,337,198,335,499,551,238,215,208,315,277
"1122214",626,630,341,637,951,908,467,434,360,590,497
"1486262",522,623,330,605,915,842,442,375,362,629,470
"2583532",302,388,198,364,503,430,253,207,208,300,308
"538381",1716,1961,818,1658,2623,2579,1293,1125,771,1694,1418
"1881061",872,1060,463,908,1541,1251,735,558,438,1021,748
"2021862",479,553,247,456,900,709,420,342,243,533,422
"2590016",254,294,123,254,380,327,186,176,91,258,196
"2587861",207,230,103,224,370,300,184,138,106,289,166
"2587854",68,86,28,78,94,90,52,46,26,61,67
"1674922",51,53,29,30,66,66,27,44,18,57,40
"244592",268,261,142,271,454,417,203,167,144,297,196
"187304",70,89,39,51,112,124,66,58,30,79,68
"1402210",201,197,138,173,284,393,139,134,165,162,164
"911045",136,164,78,127,257,205,110,115,57,162,95
"1702325",2386,2005,895,1873,2763,2770,1560,1335,757,1710,2316
"444444",1211,1171,456,910,1598,1585,846,669,388,1064,1091
"395965",795,989,465,882,1382,1127,669,688,278,934,645
"227605",698,831,439,770,1235,1041,562,550,240,826,560
"569860",707,814,462,855,1378,992,623,532,224,886,558
"31994",404,453,235,405,662,545,316,311,155,432,316
"402881",963,1227,610,989,1539,1248,859,695,407,1080,809
"1712261",691,756,382,655,1060,878,606,482,245,695,541
"1458461",325,309,162,298,494,393,287,232,101,330,271
"94625",390,555,529,1234,505,729,383,326,1941,342,426
"2632610",158,226,132,260,303,272,136,121,150,184,150
"271865",147,168,90,140,224,238,107,89,116,165,110
"529",121,146,68,108,165,188,76,80,423,115,89
"419475",66,86,28,63,95,107,52,50,52,71,44
"571256",65,96,44,44,90,104,61,33,47,54,48
"1218315",11,16,2,12,31,13,8,18,82,10,9
"29459",23,22,8,11,22,23,22,12,5,13,14
"235",0,1,0,2,10,3,2,6,0,2,4
"236",4,10,3,2,6,7,6,0,1,7,5
"29461",11,10,2,9,4,7,7,5,1,6,16
"120577",2,2,1,3,4,2,2,0,0,4,0
"36855",1,1,1,1,1,1,0,0,0,1,1
"120576",1,4,2,1,1,0,1,2,4,1,2
"444163",1,0,0,0,1,1,0,0,1,3,1
"239106",73,82,47,57,90,91,45,39,60,63,43
"2304600",1159,1454,615,1191,2218,1714,1036,831,549,1374,993
"1798205",268,333,158,255,416,348,214,173,123,303,182
"2528642",902,962,404,829,1355,1217,598,613,267,919,611
"1686310",68,100,47,76,118,94,64,57,49,65,59
"2759660",16,28,7,21,25,26,9,11,9,15,17
"515256",1,2,0,2,6,7,1,2,0,6,0
"1933904",3,5,3,2,6,5,5,4,4,5,0
"1933910",0,0,0,0,1,0,0,0,0,0,0
"40933",2,3,0,0,3,8,6,0,1,5,3
"2267275",5,9,0,5,15,5,4,3,1,6,2
"1094489",10,14,4,6,15,13,8,10,6,15,6
"52764",3,5,3,0,12,5,1,3,1,6,1
"634504",4,10,2,8,11,7,4,3,0,5,5
"1225179",0,0,0,0,1,0,1,1,0,1,0
"687861",9,1,3,4,10,5,7,4,1,3,5
"774",7,6,3,5,10,9,4,2,2,10,8
"1095900",0,3,3,2,7,5,2,4,0,2,1
"1318743",5,5,1,9,7,4,2,5,5,7,6
"1094491",4,8,2,5,6,7,2,5,0,6,3
"38323",1,4,0,1,6,5,0,4,0,5,0
"85701",3,3,2,2,4,8,6,3,2,6,2
"696125",5,1,3,2,3,3,1,2,0,2,2
"2133959",1,3,1,2,3,2,0,1,0,1,1
"807",1,2,0,1,1,5,2,1,1,1,1
"2764186",7384,4129,4609,11344,2401,5717,4154,3816,1161,1938,2745
"2714944",7033,3998,4246,9041,2318,5649,3909,4184,1134,1816,2498
"2681549",3092,2287,1532,2566,2161,2900,1855,1672,991,1524,1752
"2714942",5018,2929,2480,3820,2093,4843,2808,2146,747,1504,2129
"2714943",5280,3059,2964,5427,1941,4260,2975,3167,998,1446,1935
"2653203",2348,1811,1520,2137,1859,2214,1483,1483,816,1214,1342
"745310",2303,1787,1354,2039,1660,2210,1526,1421,925,1113,1464
"1327635",1963,1682,1535,1865,1543,2031,1397,1541,753,1041,1140
"2735134",1888,1625,1141,1780,1494,1822,1256,1162,554,1092,1126
"2698679",2212,1644,1358,2177,1494,2119,1338,1441,732,1072,1292
"1938607",1706,1510,1321,1693,1436,1803,1190,1365,679,1020,1118
"2492837",1768,1436,1017,1598,1412,1707,1149,1089,561,992,1055
"2596913",1849,1458,1139,1694,1409,1770,1188,1175,528,972,1115
"2711156",1584,1329,926,1489,1330,1607,1008,957,591,895,995
"1523415",1493,1253,1061,1607,1330,1591,942,1091,455,912,887
"2219696",1458,1273,1012,1516,1236,1577,1025,1057,449,872,919
"2599297",1558,1309,1068,1322,1227,1521,965,900,599,736,1027
"2565555",1238,964,682,1191,984,1203,784,817,391,654,744
"1030157",1172,893,709,1019,941,1083,735,690,418,610,729
"2759526",1182,949,736,1090,935,1124,788,716,393,650,695
"1517554",1091,931,712,1105,900,1132,749,765,363,628,685
"1390395",1013,884,590,872,821,997,701,573,337,556,662
"1517551",960,830,667,980,808,922,704,612,316,578,597
"1961362",585,477,337,602,510,582,385,411,204,352,367
"2319844",513,417,315,492,439,505,359,324,173,338,282
"304378",208,199,128,190,349,245,145,167,112,210,148
"1628059",26,24,9,37,25,17,15,32,5,12,20
"849864",0,1,1,4,14,1,1,3,0,4,0
"1381597",2,6,129,5,13,7,4,11,9,22,1
"28214",2,1,1,2,2,3,1,1,0,0,0
"90322",0,0,0,1,2,1,0,0,0,2,0
"386874",10366,5853,8590,10382,6649,10515,5618,5825,1884,3430,3863
"1176646",9494,5319,6340,9459,3351,9525,5167,5114,1652,2696,3539
"1045317",10617,5840,5747,11367,3152,8606,5676,7107,1356,2511,3314
"363835",8037,4496,4116,7176,2893,6254,4221,4093,1307,2135,3194
"2071607",6801,4260,3102,4674,2710,5396,4038,2826,1041,1930,3113
"2594473",6601,4071,2694,3276,2539,4583,3744,2016,868,1562,3279
"392499",449,432,262,408,380,526,347,301,131,292,297
"653931",2691,2205,1599,2558,2216,2789,1697,1797,937,1592,1609
"1123269",2633,2043,1380,2207,2110,2606,1578,1600,884,1476,1650
"93064",2017,2385,1666,1780,1586,2067,1380,1179,811,966,1635
"1609977",1683,1489,1218,1641,1453,1718,1066,1288,541,1015,1102
"1549858",1814,1362,1047,1707,1423,1760,1108,1209,499,992,1075
"1560345",1550,1298,1024,1616,1385,1578,1018,1073,518,898,976
"1813879",1470,1225,989,1596,1197,1485,1006,1093,466,776,947
"424800",1142,948,773,1134,1037,1191,777,740,340,680,665
"13689",1079,932,710,1036,1035,1199,737,827,412,711,759
"621456",53,56,12,45,57,54,30,26,13,42,27
"2698828",668,484,370,577,575,614,439,371,207,388,401
"2789327",1384,5191,825,1547,2856,2478,2683,1816,1363,1404,2057
"627192",1422,1246,806,1309,1355,1476,886,869,554,952,921
"1315974",833,842,554,722,759,1118,672,607,402,539,573
"2676077",745,717,584,698,740,925,527,488,328,478,512
"2082188",747,722,529,592,738,863,448,533,335,495,478
"1843368",626,652,386,614,695,812,436,428,277,517,419
"1855519",723,953,987,859,695,1730,703,727,577,487,537
"2072936",764,667,472,754,666,879,521,529,299,495,458
"2733867",572,508,323,539,646,703,407,402,262,416,359
"407020",515,593,454,510,501,1409,424,491,321,306,327
"2565554",137,149,85,170,194,208,118,122,60,135,149
"484429",82,124,66,106,101,90,101,337,66,56,70
"520734",87,139,107,104,91,92,85,90,121,52,66
"2185111",6,13,12,7,16,12,14,12,4,12,10
"13690",1445,1464,792,1128,1688,1750,1066,918,620,1183,1027
"135719",885,775,517,787,808,1000,533,541,388,518,555
"120107",807,772,549,796,756,861,582,580,408,511,548
"690566",720,772,486,587,682,956,526,491,313,456,435
"1673076",625,634,338,553,628,740,469,462,266,421,399
"452662",663,666,469,594,614,757,485,430,324,412,445
"1332080",618,648,411,598,580,701,445,500,377,423,431
"76947",558,772,502,547,522,1260,528,566,408,337,370
"1208342",154,162,68,104,120,130,112,175,65,79,125
"1054037",105,137,172,135,97,174,107,265,47,79,76
"861109",19,11,3,14,9,8,5,11,3,8,6
"56193",3,4,2,1,4,3,4,8,1,2,0
"595605",0,0,0,0,1,1,0,1,0,1,0
"1357916",1313,1297,1030,1155,1708,2347,871,759,777,947,1090
"1874061",876,865,759,731,1490,1024,641,487,730,580,797
"2486273",1159,1111,877,973,1261,1500,813,719,721,772,876
"2565556",1118,1707,1726,983,1027,3192,999,627,5359,709,2810
"292913",1076,950,879,1029,965,1186,749,703,1209,643,833
"1914525",896,932,829,845,914,1050,812,616,852,551,960
"1866325",53,92,60,79,94,103,60,51,205,69,85
"1913578",42,46,24,50,49,65,38,37,11,46,27
"33050",1991,1863,1710,1853,2064,2490,1504,1237,1488,1327,1648
"2448440",970,870,783,903,1206,1050,721,639,638,591,736
"2054227",1083,978,934,1039,1006,1307,746,625,774,647,839
"1515612",908,961,1041,838,876,1148,710,593,1020,550,941
"317655",877,788,707,760,766,978,628,512,737,496,835
"267128",539,476,384,607,505,565,347,416,353,318,451
"2675225",1839,1622,1254,1615,2337,2179,1222,1060,579,1370,1211
"2571749",1176,1167,739,1239,1841,1357,896,833,614,1185,794
"1609758",932,1055,600,1025,1538,1079,788,765,447,1051,746
"1016987",696,694,479,720,1067,754,466,527,330,621,457
"2780074",772,722,473,784,1015,871,477,489,349,655,491
"702113",488,523,250,375,607,475,358,471,198,396,287
"164608",269,277,142,212,438,279,221,203,113,240,168
"158500",1359,1400,779,1262,2304,1437,1007,1102,713,1542,964
"279238",1143,1018,729,1180,1438,1331,803,822,455,997,779
"1176536",928,807,511,808,1298,948,607,527,388,853,549
"1088721",389,430,277,352,681,492,342,358,171,386,298
"2762748",1917,1479,1216,1786,1467,1808,1212,1257,941,971,1177
"2711215",1236,1073,756,1252,1122,1245,830,795,451,798,771
"941907",5129,3261,2286,3459,2353,4154,2801,2177,2122,1868,2762
"2584094",508,394,279,444,484,546,338,315,170,299,329
"2077182",507,405,298,478,425,497,394,276,211,323,319
"1806885",421,364,164,371,381,403,309,235,147,248,262
"2725558",159,134,92,154,177,156,109,95,54,115,105
"392610",313,319,176,277,307,328,244,179,120,206,163
"2026624",1646,1368,891,1369,1317,1683,1094,894,550,953,973
"2724527",461,389,263,399,419,481,319,304,166,293,252
"1850238",1897,1600,1048,1677,1680,1930,1285,1072,671,1231,1219
"1842535",342,281,202,346,362,366,210,201,133,233,181
"1550728",296,240,168,304,239,284,206,161,111,184,195
"1921510",1218,1032,751,1209,1040,1139,827,817,504,695,767
"1634516",839,781,566,898,1026,984,582,555,374,640,580
"2762729",947,731,541,859,767,794,583,540,364,487,537
"2806553",163,165,101,160,199,193,114,96,56,148,100
"120045",16,15,15,24,37,38,12,18,24,34,13
