"","FvY2M2TOMPOOB051329.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report"
"1394180",28,2,27,24,20,31,29,22,20,24,14
"1457195",17,2,10,19,6,9,12,6,4,13,2
"859656",10,2,5,14,11,11,7,5,9,4,4
"1262456",0,0,0,0,1,0,0,1,0,0,0
"1130829",0,0,0,0,0,0,0,0,0,0,0
"402626",194,15,195,311,180,259,177,133,130,258,115
"428406",131,15,104,151,109,157,99,88,79,147,76
"190721",725,68,612,1453,519,770,528,503,516,931,455
"105219",482,56,412,872,430,653,520,336,366,616,302
"1310165",59,8,29,63,44,61,37,24,38,69,25
"1944648",9,0,6,8,1,3,1,2,7,8,1
"1310168",2,0,0,2,0,0,1,0,4,0,1
"1416914",10,2,11,17,11,7,9,4,7,23,5
"93221",717,83,670,1018,706,928,593,468,460,959,357
"445709",741,75,690,1258,715,892,552,454,530,984,435
"2518599",559,49,484,873,471,634,466,357,384,728,351
"656178",634,69,472,941,476,710,442,408,351,702,306
"93219",527,59,492,930,468,679,407,379,314,696,300
"656179",491,52,478,742,439,635,471,352,378,648,292
"93218",489,51,364,691,342,453,352,349,325,620,260
"1891094",385,52,361,667,363,524,331,296,281,511,219
"573737",379,36,334,557,332,447,306,280,237,444,233
"93222",354,35,329,503,336,399,276,229,216,488,177
"2814653",760,75,737,1014,816,917,655,562,501,1260,418
"2705547",48,4,40,39,23,52,37,28,24,40,30
"2705548",38,5,18,42,22,33,20,31,30,60,23
"758793",822,91,764,997,715,1003,719,506,510,1135,427
"47671",721,80,677,1155,652,822,580,594,519,944,479
"2594795",509,44,420,1141,373,561,400,311,751,617,323
"882378",410,73,651,733,664,522,372,343,315,667,272
"452638",13,3,14,66,8,15,14,10,8,21,5
"556054",34,8,36,75,27,36,27,29,36,56,32
"576611",0,4,0,0,0,0,36,35,0,0,34
"1743162",23,1,17,82,21,18,21,16,5,21,14
"1743174",20,2,19,35,9,22,12,15,15,10,12
"556053",40,23,78,124,53,65,42,23,32,36,20
"2527775",26,3,24,80,17,34,12,28,11,22,18
"1835254",14,1,14,120,12,14,10,13,16,25,9
"1743168",16,2,10,38,9,12,13,11,10,20,14
"2732163",79,21,124,4266,89,139,67,60,78,112,66
"1553431",51,6,38,81,31,36,34,27,32,51,33
"2651972",26,1,35,127,40,32,24,18,28,54,20
"2268024",50,7,20,133,42,47,37,20,29,67,39
"2753607",3096,607,3972,14022,2499,4571,2499,2216,2501,3917,3311
"946333",2778,524,2820,4949,2275,3542,2215,1993,1972,3481,2765
"420662",1032,259,978,2118,730,1251,806,638,703,1231,814
"2082386",1039,247,846,1807,716,1292,847,663,750,1308,819
"1430884",0,1,1,44,0,1,0,0,0,0,3
"983917",3003,513,3175,5343,2410,4185,2316,2067,2314,3726,2400
"395495",2102,388,1978,3820,1567,2883,1594,1502,1619,2651,1729
"1050370",923,93,931,1593,861,1107,736,625,691,1071,592
"75379",146,10,99,226,89,160,110,84,104,153,61
"426114",125,16,127,200,146,151,106,115,110,182,130
"639200",1834,327,1740,3411,1325,2572,1441,1200,1429,2271,1650
"1658665",3669,618,2758,3356,2255,3011,1539,1378,1394,2991,1520
"2697032",1510,225,1283,2984,1177,1631,1115,924,1219,1903,1304
"1296669",1057,183,1084,2231,850,1348,766,687,795,1230,958
"76731",1226,220,1063,2029,856,1365,807,649,760,1307,937
"392593",660,131,751,2132,617,944,519,471,653,835,651
"1768242",579,112,591,1544,408,811,427,359,525,767,603
"1746199",893,95,835,1426,735,934,706,511,615,1017,474
"1697043",960,95,905,1441,837,1067,689,609,683,1121,547
"463014",1047,112,913,1655,889,1106,818,687,807,1187,864
"463025",1198,132,1178,1794,1268,2422,914,1109,787,2127,687
"463040",1363,163,1293,1869,1124,2768,907,1110,812,1474,1075
"1416806",1063,112,1050,1587,972,1291,885,704,744,1261,594
"1416803",920,98,937,1449,862,1125,741,655,672,1257,570
"103855",858,91,880,1483,692,870,629,552,590,1000,496
"94624",850,84,3065,5116,1617,1041,652,559,727,1182,623
"123899",584,67,668,1217,556,682,469,408,399,746,367
"1331258",482,57,554,979,442,600,363,377,351,626,261
"1208658",11,1,3,9,2,8,8,6,7,9,2
"568707",0,0,0,2,0,0,0,0,0,2,0
"35814",278,32,303,547,301,335,236,214,238,365,172
"521",261,26,0,553,234,313,197,198,0,0,186
"463024",144,13,152,198,107,139,105,89,78,154,81
"520",69,10,67,107,57,71,58,53,34,78,46
"1208660",26,2,14,66,17,18,20,7,16,33,15
"762376",526,74,520,870,446,528,359,357,336,577,264
"1167634",58,7,36,73,28,59,31,28,41,47,51
"1758194",902,104,897,1639,768,1079,659,586,642,1040,483
"1881016",875,127,1584,14128,657,860,552,644,1838,925,515
"2282475",502,68,578,819,407,526,386,361,395,562,268
"217203",1567,288,1653,2781,1345,1704,1120,1047,4214,1826,985
"32002",1440,177,1395,2247,1172,1493,1091,950,1023,1609,814
"217204",738,92,740,1712,612,1892,526,492,820,810,420
"1353889",534,60,457,865,408,578,391,331,348,579,271
"1353891",342,39,311,619,279,377,248,239,197,402,194
"72557",12,0,5,48,6,8,8,3,11,6,5
"2488560",1896,191,1494,2986,1377,1915,1347,1252,1247,2154,911
"1940612",606,62,450,1167,435,587,384,380,373,598,314
"1437824",1236,137,1058,1849,936,1247,864,827,891,1431,685
"1851544",992,115,1014,1559,851,1142,730,637,677,1155,578
"2028345",320,31,353,656,294,351,222,228,301,392,208
"1007105",218,28,189,536,138,193,123,127,201,220,104
"2716226",95,16,104,218,70,100,65,61,117,111,70
"511",388,67,401,1288,304,469,292,260,423,463,289
"2813780",85,9,62,139,71,69,55,55,43,75,36
"323284",36,2,23,75,20,29,26,15,28,36,25
"206506",285,42,283,907,208,330,226,195,241,369,181
"1036672",170,22,147,421,137,172,112,103,191,177,89
"1247726",146,17,123,377,116,166,86,68,115,152,103
"2163011",140,17,132,298,109,149,121,90,94,155,64
"90245",34,3,20,113,19,29,15,23,20,32,12
"90244",16,2,20,84,20,17,11,16,23,27,21
"1072685",28,2,12,33,10,10,18,16,17,10,13
"643674",27,4,35,56,29,41,40,18,27,37,12
"29575",5,1,8,18,7,8,10,5,11,7,4
"1008459",6,0,3,41,5,6,4,1,6,2,7
"2652177",14,3,14,47,12,10,7,6,5,16,5
"1707785",1421,381,1731,2598,2107,1874,1345,1057,1345,1844,1274
"2769491",1087,404,1185,2147,1088,1302,888,865,1045,1266,1013
"1678028",887,319,1239,2813,1149,1108,704,589,1220,999,884
"1593482",1002,235,918,1589,845,1068,746,651,809,1170,746
"2765360",877,155,746,1649,613,937,609,525,1104,884,695
"2709302",17,2,15,23,5,16,13,18,16,15,17
"2709303",14,4,15,29,23,24,14,18,16,17,18
"1141883",1843,314,1983,6472,1998,2200,1517,1218,1642,2275,2211
"871742",1632,291,1634,2449,1564,2036,1278,1001,1159,1973,1229
"945844",1232,391,1553,2271,1311,1461,999,880,1162,1434,1198
"864828",1148,370,1034,1916,925,1252,879,757,880,1230,876
"321985",999,345,970,1863,854,1055,764,663,838,1145,793
"321983",1175,290,1032,1876,1040,1200,798,707,848,1233,830
"2072590",974,185,899,1795,794,985,650,586,786,1098,701
"321984",977,191,900,1673,849,1138,710,643,742,1056,679
"2045208",837,220,853,1671,742,999,629,599,1124,1069,648
"2014887",963,133,855,2163,837,1128,729,627,774,1091,702
"964",740,0,679,2107,553,835,533,481,582,894,478
"1262470",632,103,589,1628,589,773,509,420,552,858,525
"1235827",180,35,175,564,181,177,133,157,150,233,180
"1078773",33,4,20,74,15,34,19,21,28,30,19
"863372",488,75,422,2306,369,494,333,281,347,581,312
"92645",454,76,444,1337,357,598,381,326,386,572,351
"2025949",330,64,333,1197,288,426,250,222,353,438,287
"2497863",534,109,572,2088,532,738,472,391,574,774,660
"1644131",514,133,490,954,476,614,391,378,381,597,332
"1938606",248,36,234,487,232,298,180,158,220,309,138
"375286",151,42,222,1162,182,228,153,116,182,232,205
"1537274",154,24,83,308,107,146,85,94,75,168,66
"2808899",69,20,74,139,83,134,57,52,73,116,64
"1236179",49,9,34,199,46,59,44,42,44,52,32
"1349767",637,197,605,1613,594,769,528,401,608,675,487
"2590869",193,50,225,482,157,220,159,146,188,242,162
"368607",221,45,184,418,171,231,167,141,177,230,152
"29581",195,29,146,412,160,227,153,142,142,219,106
"2728020",1401,296,1450,2519,1358,1621,1141,873,1250,1768,1171
"2728021",865,678,842,2059,846,1128,706,573,890,1020,695
"1005048",325,40,261,884,255,372,224,203,229,397,185
"279058",642,101,593,2187,544,666,475,395,495,762,488
"279113",548,84,474,1583,443,729,449,380,460,714,413
"2601898",1296,197,1349,4707,1319,1692,1133,898,1229,1948,1554
"2058624",72,9,57,341,50,71,43,55,62,84,57
"2058625",94,10,75,352,53,101,52,50,86,96,61
"401471",98,15,95,429,69,121,66,69,92,115,96
"1809410",127,17,134,919,126,153,99,69,123,142,145
"2807626",111,15,108,549,106,115,79,66,90,142,86
"556269",0,0,0,0,0,0,0,0,0,0,0
"2494234",385,30,347,530,383,430,335,239,308,398,225
"2584944",271,22,259,469,260,312,236,175,182,370,155
"40545",114,9,96,198,74,140,88,90,73,130,84
"1796652",77,7,40,117,43,104,54,53,51,82,50
"748247",1723,176,1417,2335,1391,1869,1375,1158,1225,2123,1339
"2016596",1519,175,1155,2125,1049,1566,1058,974,1077,1653,924
"356837",1439,141,1270,2092,1234,1608,1155,1026,1007,1723,1177
"2027405",1251,208,1143,2089,1085,1369,960,879,879,1431,860
"198107",1202,110,958,1577,999,1280,936,828,845,1362,1049
"418699",1463,170,1306,2322,1249,1712,1060,1011,1143,1742,1123
"2067960",1253,119,1053,1837,1078,1253,942,810,859,1512,725
"41977",1073,125,915,2051,922,1197,805,684,776,1215,801
"85643",1647,160,1373,2167,1411,1698,1228,1074,1277,1919,1116
"2005884",1646,152,1303,2366,1183,1634,1160,1095,1135,1839,1044
"1134435",1070,138,917,1614,969,1194,905,770,789,1418,779
"96773",789,64,589,1341,638,878,594,529,626,897,499
"44139",692,73,622,1128,562,701,542,443,482,757,425
"2184083",481,44,431,925,370,490,392,313,396,501,330
"76116",1293,133,1149,1706,1140,1378,1013,877,1227,1460,1075
"76115",1120,120,908,1484,976,1199,819,832,796,1217,995
"76114",1043,96,991,1352,1005,1210,839,760,837,1364,1018
"404405",3004,275,2347,3620,2379,3154,2202,2021,2281,3506,2706
"1765049",206,21,177,386,143,222,164,162,185,239,228
"640081",194,20,205,334,172,193,176,125,172,246,261
"2811415",1016,100,930,1549,888,1225,833,659,715,1137,605
"1735038",761,67,658,1410,607,816,604,549,623,886,711
"1565605",191,25,132,679,146,206,143,114,162,219,134
"2231055",346,37,399,776,315,413,267,243,1147,440,3468
"2654218",327,43,316,711,318,388,280,225,854,446,2483
"159087",465,51,473,971,372,590,390,358,1815,582,5691
"1751046",139,15,97,342,98,144,101,92,97,153,116
"2732067",4632,539,3859,4120,5302,6192,4904,3536,3007,6522,2598
"2732487",3937,453,3191,3773,4268,5165,4104,2925,2829,5495,2330
"1981880",1072,89,948,1915,938,1253,793,737,787,1193,718
"311182",564,53,448,988,400,628,389,360,484,672,444
"1223802",1292,135,1094,2467,1028,1531,1076,870,1037,1492,923
"1842540",1052,224,1049,3517,1010,1359,854,772,856,1406,982
"157592",837,86,835,1768,817,1037,695,520,668,1006,573
"44574",838,535,188,3977,99,1463,1035,506,3934,1451,1209
"44577",64,16,98,23221,60,84,46,46,388,60,13576
"261292",92,14,130,17685,77,115,64,53,342,82,2746
"153948",27,11,40,14494,21,38,9,14,155,18,2154
"228410",100,12,118,727,82,98,76,54,105,78,160
"335283",45,2,67,346,65,76,61,30,62,69,82
"1444684",24,4,35,198,23,21,16,22,28,35,39
"323848",1129,1694,2496,1078,1277,1616,486,1318,3887,6278,3368
"1288494",296,80,364,1008,326,334,219,207,332,345,319
"1266925",231,82,369,853,327,267,163,204,369,346,402
"292415",1653,4000,1446,5659,1515,1757,1375,1097,1180,1930,808
"1914471",1131,118,960,2293,937,1258,908,804,923,1378,686
"171865",516,46,492,1681,499,571,423,309,395,639,358
"1985873",269,35,272,737,233,273,221,153,230,310,156
"2675298",48,8,45,180,42,49,49,20,48,37,35
"2715678",867,99,729,1601,763,1005,702,623,567,1080,471
"1163617",453,46,410,855,357,560,348,264,362,469,276
"580332",597,54,494,974,484,671,482,373,462,598,377
"1188319",253,18,242,539,207,313,208,174,232,299,192
"395494",141,21,142,584,120,202,128,107,133,185,120
"2559597",144,8,131,303,89,139,104,105,127,153,539
"887061",63,14,88,176,37,92,46,38,122,114,53
"582744",89,11,79,173,61,88,51,44,120,123,58
"265072",231,50,389,706,200,256,157,143,379,416,149
"2588534",47,10,61,699,46,43,43,26,66,108,47
"1662285",77,29,435,7847,178,120,128,45,428,276,136
"2588536",23,1,28,71,15,19,14,15,13,18,16
"1581557",10,1,24,49,12,18,9,9,17,13,16
"1581680",19,3,33,134,24,22,10,17,40,31,14
"2588535",7,2,46,37,30,9,4,3,12,3,1
"583345",29,20,56,372,30,50,37,20,102,33,55
"666681",34,8,30,198,16,24,21,15,42,20,23
"2641838",921,82,716,1313,778,937,668,546,584,1018,461
"1108595",740,73,608,1076,573,806,585,485,530,849,389
"536",730,70,578,1175,569,764,517,505,444,853,365
"2202141",411,59,330,627,329,444,320,257,220,480,216
"2605945",393,54,328,563,340,406,272,239,225,470,193
"1778675",104,7,69,231,79,78,60,60,52,115,50
"394935",59,5,31,42,29,44,18,27,24,48,24
"235634",54,2,48,138,39,48,41,35,32,47,35
"537",42,6,50,167,48,55,29,44,30,70,29
"1906741",1029,105,885,1829,1000,1235,858,797,704,1322,534
"1009682",470,43,364,822,309,476,281,340,287,525,250
"748280",1049,101,808,1529,712,1044,748,707,673,1236,592
"1537400",236,24,219,425,172,202,132,142,156,253,110
"332411",147,21,119,346,97,142,110,84,145,151,84
"1590041",102,13,121,274,90,156,89,77,113,153,104
"519081",134,8,126,264,108,143,88,102,88,138,86
"57480",708,65,627,1052,633,817,573,500,574,945,405
"1192162",698,89,646,1283,542,779,537,522,485,794,394
"557598",93,16,90,173,80,119,78,61,84,138,60
"1938604",337,41,327,730,298,362,243,226,290,378,226
"1737446",78,4,76,248,62,68,49,49,47,78,44
"2739434",60,6,70,185,67,64,61,68,54,71,42
"2739061",45,4,26,85,39,36,25,31,29,49,37
"655307",166,20,130,227,121,139,114,82,113,185,82
"641148",64,4,47,59,41,56,38,28,32,67,23
"2709396",35,5,34,84,25,40,31,22,21,36,18
"1853276",38,4,37,70,31,53,30,29,26,31,25
"267212",170,21,149,239,148,187,132,96,117,177,81
"194197",126,9,91,291,88,127,87,91,79,115,49
"607712",144,15,126,323,107,151,107,83,98,157,75
"88719",15,3,15,36,11,13,8,8,14,23,12
"1853278",110,9,81,252,77,91,108,65,57,121,59
"135720",9,0,3,6,3,2,7,6,1,3,3
"662598",4,0,1,5,0,1,3,2,4,4,3
"1386087",0,0,0,1,0,0,0,1,0,0,0
"1815583",91,10,78,193,50,70,47,60,53,100,51
"492",55,9,50,98,48,76,45,30,35,66,35
"28091",51,4,33,109,29,50,62,35,35,55,49
"490",54,15,26,84,33,40,34,25,25,46,28
"326522",41,3,40,88,39,52,29,44,26,48,24
"485",31,6,34,73,0,56,35,23,28,37,13
"326523",47,1,55,76,44,47,44,29,23,42,22
"489653",6,1,8,8,3,6,3,4,7,8,4
"2666100",38,1,26,75,27,37,24,23,32,41,19
"493",23,4,30,112,25,25,15,20,19,30,11
"488",42,5,41,102,23,34,30,36,25,49,19
"640030",29,2,32,163,17,38,19,18,22,25,15
"607711",31,3,32,80,24,42,25,16,20,32,17
"28449",21,4,27,35,11,25,14,12,15,29,10
"483",5,1,12,37,8,17,15,10,5,5,11
"484",18,4,20,13,11,26,16,12,21,20,9
"489",15,2,12,12,14,12,6,3,7,10,8
"2290923",1157,122,1020,1775,1026,1418,935,873,766,1553,640
"682798",885,80,668,1362,571,908,682,493,595,851,455
"63",420,63,392,929,294,562,324,351,339,451,369
"96942",19,2,17,175,2,18,15,9,15,11,13
"539",133,22,138,272,114,130,135,80,114,144,86
"2528037",70,2,43,106,48,54,37,31,29,50,12
"505",100,13,77,126,54,100,64,44,48,73,37
"502",112,9,83,160,80,105,66,54,55,86,47
"504",43,3,29,52,22,29,30,15,19,23,24
"153493",34,4,38,71,27,36,33,31,33,36,28
"1196094",29,3,25,109,19,36,29,18,37,36,16
"194196",24,3,25,72,14,36,23,13,21,23,17
"641147",10,1,20,26,14,11,10,7,13,14,4
"522306",1346,121,1040,1822,1091,1372,959,862,847,1496,868
"2591109",918,115,814,1301,736,1075,766,606,664,987,522
"1208921",3,0,2,15,2,3,4,0,0,0,2
"1208920",1,1,1,46,3,2,1,1,4,0,1
"233181",5,0,4,12,3,3,4,5,6,2,2
"1576550",0,0,4,9,7,2,3,1,0,1,2
"33056",2,1,4,8,0,2,0,4,3,8,1
"1208919",4,0,2,10,3,8,8,2,3,2,2
"1381133",0,0,0,0,0,0,0,0,0,0,0
"1755504",896,38,375,558,262,542,300,327,220,344,187
"1856685",1168,52,380,629,256,553,249,383,250,372,217
"2725477",1893,93,722,1083,576,738,514,651,533,754,408
"2320867",1803,64,648,1044,480,665,434,548,391,639,281
"2731681",1205,109,605,777,223,321,270,345,343,312,250
"2614442",1461,43,397,776,279,360,316,350,272,425,204
"2653853",706,36,394,625,297,486,435,289,244,416,202
"1294143",855,38,337,1193,257,405,320,285,242,391,180
"2811422",626,43,340,572,293,347,291,303,222,448,206
"1930532",1147,42,361,1339,230,357,252,351,395,352,194
"2748080",564,30,324,576,192,288,225,208,203,320,138
"2054914",313,24,210,361,181,245,212,191,167,271,127
"658630",354,23,174,336,182,225,183,189,152,249,121
"1028989",400,33,236,402,213,271,182,171,167,235,106
"2724470",292,35,191,353,163,220,170,175,150,234,118
"1931241",336,26,206,560,146,234,162,174,191,208,120
"1881017",366,220,215,438,164,217,146,189,182,240,216
"2729423",410,75,2576,325,1994,270,202,157,231,321,242
"2735906",633,25,219,444,122,180,137,258,651,217,96
"2706126",266,25,211,408,176,222,159,146,158,249,142
"1573704",282,27,179,288,189,184,144,141,151,214,103
"2518644",259,16,158,305,104,180,119,147,126,154,71
"2498848",247,16,138,278,123,164,111,144,133,192,85
"143813",258,21,180,288,115,201,124,139,104,176,78
"2726956",455,19,206,369,117,192,116,161,312,180,99
"2726989",249,18,173,331,155,212,133,143,128,184,119
"1573718",165,17,89,168,75,120,99,90,68,102,59
"2749999",230,27,128,244,112,159,126,121,113,177,104
"2049589",258,21,121,302,76,142,116,118,118,150,98
"1736226",194,52,131,343,107,121,120,133,158,175,75
"2320270",204,12,108,184,139,116,88,98,92,157,76
"2054919",192,17,127,217,84,116,99,105,75,168,66
"2774873",253,24,119,210,104,168,98,134,87,182,65
"1283291",182,18,129,222,106,148,95,92,82,129,78
"2201356",158,20,121,147,88,130,82,78,76,143,46
"2804761",165,19,124,212,117,156,109,114,92,158,66
"2730847",180,13,106,250,96,135,106,97,87,146,59
"1573719",152,19,98,176,79,104,76,88,73,127,48
"1649877",177,23,122,215,106,136,98,88,96,134,63
"1981174",242,10,123,325,93,132,92,75,82,94,63
"2073078",149,9,81,206,78,144,74,88,77,134,51
"2730848",113,12,91,139,64,71,68,78,55,80,33
"2823875",168,31,100,144,90,106,83,75,87,96,50
"2219057",120,16,79,146,65,96,59,74,56,110,44
"2052956",140,6,76,248,44,107,69,79,59,100,33
"658644",149,15,77,146,64,100,86,65,59,114,49
"1898684",455,10,91,167,51,56,55,75,371,82,55
"253237",153,8,59,176,30,56,46,61,188,50,24
"1611770",132,6,60,220,52,73,54,64,50,91,40
"1573712",116,11,65,169,75,91,62,57,70,98,50
"1207075",74,4,35,82,34,74,43,39,37,88,38
"1534110",84,20,35,137,31,62,45,62,48,79,27
"2590776",84,9,48,111,56,70,66,60,41,74,29
"2213057",162,7,69,134,61,59,46,62,208,80,242
"2662033",98,14,67,128,49,66,41,42,41,75,39
"2774459",107,9,80,131,55,80,82,63,53,80,43
"2025658",118,12,59,112,47,79,55,55,44,90,45
"2812000",84,11,56,103,54,65,52,48,47,72,39
"1259844",75,60,49,370,41,51,43,36,171,61,33
"1702250",94,11,46,122,51,64,53,40,47,59,28
"2587845",145,10,73,136,52,64,42,67,124,63,189
"2604941",62,1,30,115,26,40,27,20,35,46,33
"1573711",99,7,50,56,35,65,40,29,40,63,27
"1855380",68,8,46,63,37,50,30,31,22,68,17
"2479392",101,4,49,129,26,47,33,36,41,59,29
"2597770",45,7,28,56,34,33,31,24,22,48,18
"1758730",68,5,36,85,35,30,22,31,25,41,18
"1500686",77,4,31,42,28,41,40,27,23,60,17
"2559074",40,3,24,66,16,48,27,19,37,34,28
"2054915",62,2,25,39,24,32,14,38,24,43,14
"118613",44,9,43,50,37,62,45,40,48,64,24
"658629",63,3,36,54,19,32,22,28,22,59,17
"2018067",43,8,27,49,29,36,30,15,28,59,22
"1500687",72,7,35,59,33,37,24,24,30,43,18
"1573720",41,1,15,58,15,36,23,27,14,32,12
"1636610",61,3,38,164,18,19,23,27,28,32,23
"2067572",41,4,24,50,26,22,14,11,16,29,14
"2126069",35,2,21,52,17,30,18,15,22,24,17
"1827300",48,4,33,45,28,34,29,16,31,37,23
"2005388",52,3,28,54,18,33,24,28,24,47,19
"2605424",34,0,24,27,18,28,21,9,19,18,14
"1855331",22,0,16,53,10,11,11,16,1280,31,5
"676210",43,6,31,55,24,62,16,24,22,31,11
"1173283",38,1,15,17,16,33,14,21,16,23,11
"2730851",26,4,22,23,13,31,15,21,17,17,15
"2069256",10,5,13,35,22,11,8,9,13,17,9
"2045200",25,4,17,21,21,19,14,19,1155,31,12
"2169583",24,2,16,24,13,21,15,14,11,23,16
"1659194",27,4,17,46,24,24,23,19,11,19,10
"2083055",17,1,11,18,19,13,11,12,14,27,12
"76885",6,7,4,30,7,6,10,10,16,12,15
"2083054",18,2,15,17,11,19,14,4,13,14,4
"2777367",8,0,6,27,6,5,11,11,8,9,9
"2749807",18,0,20,38,17,17,13,13,12,24,9
"658643",10,1,9,4,4,10,3,3,10,17,4
"1173270",42,1,9,17,5,15,10,16,8,21,5
"658642",15,1,15,25,8,9,7,9,5,14,3
"1886807",20,3,7,19,7,10,12,6,3,7,5
"1415630",22,2,14,25,4,11,9,10,9,13,9
"69328",13,5,6,33,12,8,12,8,7,10,7
"2651048",19,4,7,41,9,15,13,12,8,12,4
"1173273",20,0,10,20,2,12,13,9,13,13,9
"2654238",20,2,12,21,9,19,14,9,8,15,9
"2662034",16,5,5,325,10,10,10,3,71,8,15
"1173288",7,3,18,17,10,11,6,3,6,11,10
"658632",5,2,6,6,3,6,5,6,4,7,3
"2762896",26,6,12,35,1,8,4,8,1120,20,8
"1173280",7,0,5,10,5,18,3,5,4,9,1
"2083053",16,0,14,82,15,19,15,15,9,19,18
"658641",13,1,6,13,2,7,6,3,8,9,3
"2083052",42,2,8,57,10,4,12,8,23,14,3
"1173284",10,0,9,20,8,8,9,5,6,11,8
"147212",13,2,5,28,4,18,10,8,4,15,4
"2738843",32,1,21,24,32,17,10,8,7,23,4
"2587597",14,3,3,11,9,6,1,6,1,10,2
"2664899",15,2,7,15,9,25,8,7,5,8,6
"2083051",13,3,10,7,2,5,13,5,6,10,9
"1338689",9,2,4,12,5,2,6,2,8,1,0
"2545800",12,0,3,3,1,2,1,2,2,1,0
"306",1,0,3,4,1,1,4,2,6,0,0
"1495331",0,1,2,4,4,0,0,0,1,0,1
"2479393",4,4,0,6,1,4,3,13,1,5,3
"1761895",2,0,4,2,5,4,4,3,4,3,2
"2609418",5,0,1,8,8,4,5,2,4,6,2
"1523522",0,0,1,0,0,0,0,0,0,1,2
"287",4647,266,2277,4819,1744,2523,1764,1880,1696,2580,1211
"300",3985,149,11506,2451,2577,1192,829,1023,2395,1103,677
"53412",1303,52,566,853,452,716,389,498,366,586,270
"1232139",1751,301,1176,1579,1901,1221,766,738,618,734,358
"43263",2083,223,4744,7538,758,986,798,712,836,720,884
"627141",1148,82,634,1003,485,740,520,507,419,777,302
"53408",695,46,412,614,366,503,336,315,238,492,183
"294",3692,452,2254,4379,1906,2619,1858,1842,1684,2847,1180
"380021",1236,91,589,1153,538,725,579,548,487,765,382
"47878",521,48,297,525,271,426,312,328,203,403,186
"76758",524,50,300,561,261,360,256,263,223,384,188
"47883",401,36,234,523,160,272,178,186,193,307,169
"200451",298,23,195,309,140,206,146,140,140,257,99
"200450",310,23,195,352,164,252,146,147,155,309,101
"47879",264,63,149,493,115,195,126,121,1010,191,106
"46679",185,17,97,272,88,145,113,90,92,122,79
"183795",345,68,203,13884,140,157,121,118,468,174,1277
"76760",249,18,143,262,127,179,118,116,94,162,186
"29442",214,9,113,196,130,178,97,78,91,175,83
"78543",177,16,128,192,78,136,115,74,75,157,67
"651740",173,11,103,209,100,123,95,77,74,144,78
"129817",134,10,74,185,91,110,80,68,70,97,55
"169669",112,7,77,147,49,83,72,69,51,75,42
"75588",99,6,58,103,44,69,42,40,41,75,41
"76761",59,11,47,113,36,65,46,40,48,68,24
"75612",65,3,40,74,42,40,35,32,37,53,19
"303",5090,710,3148,16680,3449,3719,2542,2671,3193,3826,1906
"47885",1285,177,929,1372,724,991,602,634,602,990,486
"76759",658,76,445,864,359,415,330,361,355,559,269
"47880",992,50,398,840,309,381,271,359,284,423,189
"70775",292,34,223,500,176,222,171,118,185,216,114
"2217867",78,12,39,81,31,45,52,33,30,61,30
"78327",38,2,37,70,24,49,24,23,17,42,21
"578833",10459,463,4862,9630,3457,5029,3515,3934,5083,4887,5689
"74829",1216,72,725,4463,495,717,522,533,490,805,449
"271420",438,25,219,454,187,259,163,169,194,216,198
"47886",93,7,34,95,33,63,33,31,36,57,24
"587753",3181,249,1503,2884,1317,1900,1369,1478,1165,2077,908
"86185",225,15,122,301,111,185,121,107,131,168,93
"296",136,11,114,161,67,121,74,78,61,139,50
"2604832",1280,48,1341,739,364,6498,874,793,284,696,229
"251695",936,70,609,1331,479,693,483,475,484,614,364
"33069",270,20,187,424,163,215,139,149,131,201,90
"1190415",338,18,139,357,118,170,127,129,125,170,97
"36746",327,16,155,370,105,196,130,146,140,190,98
"53409",199,16,111,213,112,135,98,108,90,147,80
"251698",94,5,50,131,51,62,34,39,39,80,37
"50340",125,4,56,91,54,64,52,58,43,70,26
"251701",21,4,22,82,27,29,24,13,23,29,12
"2775504",9,2,11,31,8,8,5,4,7,7,3
"46257",5,0,1,7,2,3,0,2,2,3,1
"86840",0,0,0,1,2,2,1,0,0,0,1
"1392877",1476,93,1568,1180,1615,796,628,643,556,854,396
"319939",2223,93,986,1201,836,833,580,716,464,898,412
"237610",1456,103,765,1343,627,875,685,625,538,892,451
"1301098",267,15,265,185,192,130,120,113,85,178,61
"1245526",956,54,559,987,474,520,405,421,325,589,268
"384676",384,41,227,433,174,278,161,186,157,260,119
"43306",862,52,437,642,356,520,387,307,260,514,206
"157782",534,52,329,551,321,412,284,274,237,439,189
"2599595",497,49,321,555,316,403,305,291,216,419,152
"487184",501,28,271,725,253,351,238,238,255,343,163
"104087",408,38,214,469,186,255,212,200,183,288,136
"237609",423,32,256,490,167,241,190,212,184,315,190
"216142",462,32,229,420,172,273,192,216,158,292,119
"1499686",562,36,286,486,210,285,191,227,269,278,200
"472181",442,31,279,543,173,273,204,210,205,268,133
