"","X0n7bM2TOMPOOA100365.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report"
"108980",15,27,12,6,7,6,8,16,12,9,5
"2006115",14,10,3,3,4,2,6,9,15,4,3
"1871111",14,6,7,2,2,7,8,10,9,5,2
"2715163",11,11,5,1,4,3,8,9,6,5,1
"40215",10,17,14,5,9,20,39,15,28,7,7
"202956",10,5,8,1,3,10,6,10,13,4,6
"2136182",9,18,8,4,5,2,8,9,5,4,4
"436717",8,5,9,1,2,2,2,5,2,3,2
"106649",8,7,6,1,2,1,0,4,9,3,1
"2662362",7,11,4,0,5,7,2,8,2,6,3
"2715164",7,9,10,1,5,6,9,5,5,4,3
"2004650",2,5,3,0,5,2,9,3,9,8,2
"1324350",1,10,4,0,4,3,7,4,10,4,3
"1699621",21,18,10,2,9,12,17,19,11,8,1
"1028416",19,26,21,5,8,12,11,11,14,7,2
"1699623",16,12,1,2,5,1,5,4,7,9,2
"1720344",10,13,8,1,3,5,4,3,3,1,1
"1699622",10,8,2,0,5,2,1,1,3,5,0
"2772254",9,9,6,2,11,4,10,8,8,5,3
"571800",8,9,5,3,5,4,1,1,3,4,5
"349106",7,1,3,2,5,6,3,5,2,3,2
"1699624",4,5,5,2,6,2,6,1,7,3,3
"56811",4,0,3,1,1,0,0,1,0,1,0
"2733866",3,6,2,1,4,0,1,1,4,3,2
"2203895",2,2,2,0,3,1,0,2,2,3,1
"1028419",1,0,0,0,0,0,0,0,0,0,0
"256326",48,31,32,5,19,22,28,39,10,18,6
"45610",21,16,15,5,18,18,18,43,22,14,9
"259536",18,13,8,2,16,12,12,16,26,12,2
"330922",8,4,5,0,9,3,7,3,7,2,4
"34062",95,62,56,11,37,35,28,45,46,39,26
"476",21,20,11,2,11,12,10,5,7,9,4
"480",20,8,0,1,8,13,6,8,10,8,1
"34061",18,17,11,4,14,11,15,13,21,9,7
"386891",18,23,14,2,4,4,14,10,9,5,4
"478",8,9,10,2,11,9,4,6,12,7,4
"29433",6,2,3,2,0,0,2,5,3,3,1
"2283318",62,42,43,4,22,27,27,34,47,20,14
"453783",7746,8438,3279,21875,6055,3220,6787,6226,7279,4123,6235
"2290922",1754,1860,1029,1085,1388,1160,3566,1851,1924,2159,1553
"2762611",1005,1184,504,1241,992,711,808,987,1067,1233,805
"2781021",290,295,183,205,195,197,231,231,255,334,215
"2781022",252,263,171,226,211,169,193,233,241,247,123
"2714936",169,153,129,77,72,110,113,134,124,150,82
"2781024",140,158,108,150,116,98,107,110,144,168,96
"2781023",114,152,78,109,94,89,113,103,130,141,86
"69",4043,4390,2232,3152,3654,2721,3423,3636,4125,4069,2718
"2763317",3798,4481,1900,3568,4296,4274,4699,6022,5536,6222,6335
"2795387",1888,2051,879,2845,1833,1202,1813,1891,2243,1914,1570
"84531",1526,1648,928,1155,1421,986,1267,1371,1607,1444,982
"435897",1476,1563,888,1121,1260,967,1300,1296,1436,1329,930
"1605891",1351,1614,718,1494,1451,1074,1381,1494,1654,1886,1134
"1324796",1305,1418,659,1528,1159,1031,1687,1371,1473,2664,1644
"262324",1197,1200,680,805,967,760,957,1090,1157,1072,808
"2591633",1142,1332,618,1189,1208,838,940,1179,1289,1336,852
"2698682",860,940,439,918,824,595,830,813,947,1335,788
"40324",3921,4156,2440,1945,2490,2193,2594,2960,3494,3210,1888
"2072414",308,319,169,160,186,161,200,232,261,231,140
"2072413",282,309,178,125,181,170,190,202,248,210,134
"2072405",144,179,110,56,80,60,128,111,124,101,79
"2072407",125,96,60,35,61,51,55,75,64,57,43
"2072412",89,137,71,46,78,60,78,79,95,60,56
"2072406",83,104,33,28,41,45,32,61,67,57,30
"2072409",43,39,22,18,14,17,18,15,23,18,13
"2072408",29,41,23,11,22,29,16,30,20,41,11
"1904944",508,630,317,328,369,305,376,449,437,440,276
"2770322",461,467,258,281,308,283,322,364,388,412,251
"2691571",360,352,181,161,222,179,248,238,272,275,147
"2742129",200,210,128,132,126,90,141,136,176,139,102
"2303750",105,160,48,49,76,66,81,82,82,60,45
"2040586",98,100,54,47,50,71,198,120,73,112,64
"2005046",89,120,66,51,60,52,56,64,101,79,44
"2282124",27,24,27,18,13,15,9,16,32,23,15
"2682487",25,24,7,16,9,7,14,21,32,48,7
"2775920",25,30,13,27,24,11,17,17,15,11,17
"1827305",18,32,19,13,20,5,17,26,24,20,13
"216778",1603,1529,945,966,972,859,998,1106,1338,1244,785
"128780",929,1049,565,1382,677,580,652,781,840,887,447
"2045451",48,27,25,14,20,20,24,22,29,25,20
"83617",1,0,0,3,0,1,3,0,3,0,1
"149696",223,208,151,118,166,156,136,146,183,179,110
"359385",119,122,78,48,73,64,76,95,131,89,50
"340",88,117,63,52,68,59,90,77,85,76,45
"92826",79,60,32,15,41,60,46,42,57,64,40
"2724122",162,145,90,73,112,108,88,104,122,143,102
"2724123",159,161,92,74,98,74,127,118,108,117,73
"2724121",158,186,123,74,92,88,122,113,118,130,65
"2775162",15,30,14,16,19,13,24,10,19,11,7
"2776703",3,4,1,0,0,1,0,0,1,0,0
"152263",234,290,165,139,148,135,186,199,206,240,132
"134875",189,247,118,85,136,113,163,123,203,211,76
"487909",60,66,35,17,38,28,50,58,41,65,19
"56458",807,930,472,516,570,551,581,679,743,807,487
"64187",194,148,93,42,101,90,82,95,115,120,51
"129394",75,65,49,35,39,33,57,63,61,35,19
"56464",595,534,332,343,398,351,434,497,556,463,312
"346",589,602,343,215,371,309,326,388,426,386,240
"380358",3,3,1,1,1,1,2,1,4,0,1
"56455",469,477,317,251,335,291,322,371,381,435,235
"195709",99,98,70,47,46,60,77,65,69,87,43
"69929",77,65,40,21,35,39,40,36,44,32,35
"925775",52,60,38,19,32,28,50,39,61,35,19
"56453",331,320,217,185,225,195,221,233,240,306,166
"48664",325,414,200,163,198,174,231,266,249,226,140
"487904",84,111,63,32,50,52,74,79,82,61,49
"2754056",41,34,23,24,26,25,27,27,31,28,35
"707209",5,2,2,7,3,3,0,2,5,1,2
"454958",10,11,9,14,8,9,15,7,11,9,10
"325776",6,6,8,3,1,1,6,2,4,2,3
"487849",3,7,2,0,3,2,4,1,1,3,0
"1219375",244,274,174,85,144,128,169,193,203,232,90
"1982678",198,180,116,61,108,110,118,112,109,142,69
"1101443",24,15,19,4,8,3,2,7,11,3,5
"1304892",2,2,2,0,0,1,2,1,0,0,3
"2259622",150,128,126,77,104,114,88,122,111,130,78
"359387",15,24,9,11,14,8,6,10,15,5,7
"207721",14,16,9,0,9,5,8,8,12,7,8
"189396",6,22,7,8,11,7,7,12,11,16,6
"316273",1,0,0,0,2,2,2,0,0,0,0
"92828",74,83,57,36,49,49,46,53,68,78,57
"317013",4,3,2,24,0,1,1,1,2,4,1
"442694",15,8,12,4,177,7,11,23,37,6,0
"2799326",1299,1261,695,1267,997,800,1053,1118,1357,1316,837
"1896164",1049,1110,629,1318,898,692,742,968,3012,1193,855
"2508168",1004,966,590,974,826,652,750,848,1045,1126,675
"2799325",983,1003,570,915,719,626,816,804,1031,1098,658
"2761107",913,962,547,894,743,568,726,834,884,1081,693
"1176533",1268,1298,738,1214,1032,943,928,1107,1380,1435,869
"2006110",1222,1084,601,807,804,697,872,831,1029,1049,685
"2565782",1000,942,536,808,740,594,756,774,991,1007,669
"743721",1306,1231,718,1388,922,727,793,935,1143,1119,725
"128785",2181,1976,1297,7864,3213,1473,1112,1397,1612,4821,2087
"1045855",795,828,455,641,609,535,542,645,717,806,480
"2202149",1135,1195,563,1039,1034,787,1199,1063,1162,1778,1225
"2771436",1037,952,554,3278,804,683,745,878,1006,1308,763
"2714945",706,636,294,612,601,457,578,577,672,977,681
"215691",1258,1380,671,1207,1055,829,1208,1178,1280,1786,1183
"1463158",1026,971,558,834,816,641,785,842,949,1214,755
"370777",3430,2542,1220,1019,1839,1046,878,1107,1561,1389,933
"2511995",823,716,572,194,404,450,561,485,578,769,511
"698414",3,2,2,0,1,1,1,1,2,0,0
"1401256",3,5,2,0,0,1,0,4,0,1,1
"644357",2,0,4,0,0,2,0,1,1,1,0
"671135",2,5,2,1,0,1,1,0,2,2,0
"1444770",86,70,43,36,38,44,46,61,58,57,38
"445710",1337,1357,820,319,780,861,1130,922,1060,5404,1262
"2763498",728,652,467,219,357,379,574,442,486,2839,498
"2501295",278,280,207,93,168,151,215,148,205,848,230
"1217721",843,731,524,212,425,493,644,554,638,3161,594
"1849581",409,376,283,105,218,242,293,292,275,1219,332
"666685",1405,1295,848,424,734,853,1048,877,1017,5954,1214
"2778082",1112,1171,693,347,652,698,907,767,880,3939,957
"582702",746,783,517,238,424,517,555,458,529,7623,807
"1300342",2677,2398,1697,727,1368,1435,1619,1616,1922,2622,1382
"2589080",940,1006,652,260,510,522,676,634,828,1881,602
"1440763",905,908,590,201,504,525,656,578,702,1417,549
"2010829",1263,1109,832,338,678,714,874,806,951,3302,928
"2021234",839,604,617,114,334,423,363,408,501,483,274
"767434",479,420,294,107,239,266,285,278,338,548,249
"550",553,505,344,89,326,258,6101,414,482,233,183
"158836",201,200,120,40,136,112,125,135,205,92,61
"69218",125,121,71,18,63,67,91,90,101,51,32
"61645",106,101,66,22,77,68,87,88,74,59,26
"1812935",92,105,45,31,45,48,82,57,87,50,33
"2494701",65,61,26,8,24,25,57,31,31,27,24
"208224",45,34,28,5,27,17,17,14,29,27,74
"299767",30,34,26,52,20,21,24,25,26,25,7
"2071710",30,27,20,3,17,9,14,21,18,21,1
"2757714",23,31,20,11,25,28,14,18,21,16,8
"2724468",145,120,78,14,59,67,99,92,89,71,43
"2596949",127,134,65,24,64,59,52,71,90,55,48
"1914861",115,103,66,15,72,44,56,73,71,44,34
"2742676",51,53,46,6,28,24,19,29,39,23,16
"2742639",50,31,18,5,16,21,21,18,27,19,10
"399742",47,58,24,8,27,24,33,34,33,30,18
"2742619",24,24,9,7,8,14,12,14,17,12,4
"1166130",21,6,10,0,8,7,11,5,4,5,1
"2705458",13,12,10,1,7,3,10,5,10,8,3
"2500132",11,18,7,3,5,3,4,6,4,2,7
"1560339",9,28,11,2,9,5,3,11,10,6,3
"648691",5,0,1,0,0,1,2,1,1,0,1
"2565914",4,3,4,1,3,0,1,1,7,1,3
"1868135",3,1,1,3,1,1,2,1,3,2,1
"1827481",2,1,1,0,0,1,1,2,2,1,0
"2742673",1,2,0,1,1,3,1,3,2,4,1
"2742656",1,0,0,1,0,0,9,1,1,0,0
"2747372",1,0,1,1,1,0,2,0,1,0,0
"2051905",1,0,0,0,0,0,0,0,0,1,0
"881260",93,42,57,9,35,32,48,89,84,38,15
"2478464",63,52,29,13,25,30,31,28,31,20,10
"885040",36,38,23,12,22,20,17,21,34,21,24
"539813",3,3,4,0,2,2,2,1,1,2,1
"72407",19,12,12,1,7,3,4,9,11,7,4
"39831",5,2,1,0,4,1,2,3,3,3,1
"1328373",1,0,0,0,0,0,0,0,0,0,0
"1365186",1,0,0,0,0,0,0,0,0,0,0
"1420012",1,1,0,0,1,1,1,0,0,0,0
"548",328,290,211,44,144,126,187,190,246,123,89
"2681387",22,20,12,3,9,8,11,10,15,5,6
"2787706",7,4,5,0,1,3,2,6,6,5,0
"2675726",6,3,3,0,4,3,8,6,5,1,0
"2697371",4,3,5,0,2,0,2,1,1,1,0
"2015795",2,1,0,1,1,1,1,0,1,2,0
"2267618",2,0,0,2,0,1,0,1,4,0,1
"2675710",1,0,1,0,0,2,2,2,7,4,2
"571",208,195,116,43,94,107,130,147,182,114,56
"1134687",202,163,136,35,101,101,109,99,162,111,64
"1667327",9,9,5,1,0,5,3,3,6,3,4
"244366",102,0,0,15,0,64,80,73,92,0,0
"2026240",47,51,27,9,30,29,27,29,42,29,18
"2153354",43,41,23,2,21,29,24,32,36,19,15
"2489010",38,45,32,6,21,14,26,29,28,25,14
"2058152",21,26,11,11,18,17,24,10,26,8,5
"546",204,205,129,44,110,102,86,104,148,86,44
"67827",28,27,14,2,12,14,12,22,15,4,5
"1639133",16,10,14,71,8,7,12,8,13,5,1
"2816438",13,8,7,2,13,5,10,13,12,5,4
"57706",12,8,5,3,9,10,8,7,8,5,1
"133448",10,6,4,0,8,3,5,10,6,2,3
"1573676",61,56,41,9,40,27,31,46,50,30,29
"2742624",55,54,40,7,33,41,34,37,36,32,19
"2546350",23,19,18,5,2,11,15,7,18,6,9
"2781952",17,22,19,5,10,8,8,9,11,7,6
"1702170",7,0,0,1,0,0,0,0,3,4,2
"2742627",6,2,5,0,2,0,1,1,3,3,0
"1703250",3,0,1,0,1,2,3,3,3,2,4
"1920110",3,4,3,2,0,3,0,0,1,1,0
"2742675",3,0,1,0,2,0,1,2,0,1,1
"2742667",3,2,3,2,1,1,0,2,3,0,0
"2742626",2,0,0,0,1,0,1,1,4,3,1
"2742657",1,1,2,0,2,1,0,0,1,0,0
"2742625",1,1,3,2,1,2,0,5,4,1,0
"2742668",1,0,2,0,0,0,0,2,0,1,0
"2697370",1,0,1,1,1,1,0,0,0,0,1
"2742678",1,0,0,0,0,0,2,0,0,0,0
"637910",112,94,58,23,49,57,74,72,89,55,41
"67824",75,45,51,6,32,39,27,27,59,29,23
"1261127",50,42,35,10,22,20,21,18,40,14,16
"545",38,33,19,4,14,16,20,14,34,20,20
"2562449",37,32,23,10,17,19,31,16,28,14,9
"2653932",31,41,22,8,31,31,18,27,33,25,18
"1748967",6,4,6,2,1,3,3,7,4,5,0
"1563222",5,5,4,2,1,4,1,8,4,3,1
"1138308",18,11,13,1,10,10,14,12,13,8,7
"413498",146,151,88,13,71,81,94,93,102,76,51
"1074000",121,100,70,16,395,57,64,81,74,57,51
"1073999",102,102,54,14,61,64,68,74,78,61,48
"1159491",1,0,0,0,2,1,1,0,0,1,1
"1159613",24,19,10,3,12,11,9,16,15,9,4
"1906275",13,15,13,6,13,12,13,5,11,11,7
"2725560",79,61,48,19,42,36,37,42,54,31,16
"2492396",65,61,39,13,22,29,32,31,38,22,16
"2067958",48,41,48,6,23,20,35,27,52,19,10
"1300165",20,15,12,3,14,7,14,13,30,4,5
"1235834",14,9,8,4,4,4,6,9,1,3,9
"551989",57,54,30,9,13,21,30,30,38,22,16
"1177180",1,6,3,0,3,3,1,3,10,3,0
"497725",41,34,21,5,25,14,27,27,32,13,1
"1646340",41,45,35,7,25,26,17,34,25,24,8
"2714951",82,100,52,20,44,62,59,99,72,55,26
"2815358",78,75,46,12,55,59,41,47,90,31,25
"2282310",21,22,10,3,4,6,21,10,9,10,6
"2282309",19,21,12,2,21,7,6,15,15,25,4
"2681308",14,17,17,3,18,13,9,18,20,7,2
"2681309",9,3,1,3,1,8,5,4,2,2,0
"1920114",7,4,4,0,4,5,11,4,5,3,1
"2681307",7,21,12,2,8,15,19,10,6,7,9
"83655",183,203,124,25,93,93,95,116,117,98,61
"2822132",10,3,9,1,2,3,0,3,4,2,1
"83334",7,3,3,2,4,2,3,6,4,4,1
"696406",3,0,0,0,0,0,0,0,0,0,0
"2233553",3,0,0,0,0,0,3,3,0,0,0
"930406",3,0,0,0,1,0,0,0,0,0,0
"585034",2,1,0,0,3,0,1,0,0,0,0
"409438",1,2,1,0,2,1,0,2,2,1,0
"2048778",1,0,0,0,0,0,0,0,0,0,0
"2048781",1,0,0,0,0,0,0,0,0,0,0
"1392858",1,0,0,0,0,0,0,0,0,1,0
"2763104",1,0,0,0,8,4,0,13,11,12,1
"1045010",1,1,0,0,0,0,0,0,0,0,1
"244319",1,0,0,0,0,0,0,0,0,0,0
"1078034",1,0,0,0,0,1,0,1,0,0,0
"2810408",1,1,0,0,0,0,0,0,0,0,1
"2810404",1,0,0,0,1,1,0,0,0,2,0
"208962",63,60,30,10,23,28,30,33,45,18,18
"564",61,56,33,11,23,24,22,25,33,16,12
"1499973",32,26,18,4,16,16,18,22,23,14,5
"2044467",14,21,14,3,9,8,4,15,15,11,1
"575",84,87,48,8,47,47,44,55,70,39,25
"577",83,77,59,10,41,29,36,51,48,50,30
"54291",68,0,0,8,42,27,37,0,0,34,21
"1259973",22,17,8,4,12,11,14,18,26,9,6
"2259647",3,0,0,0,0,3,0,2,0,0,0
"61647",419,387,295,86,219,244,229,266,291,213,147
"701347",19,32,21,5,14,9,17,19,32,14,9
"59201",139,125,96,33,66,76,77,96,95,101,39
"59202",22,26,21,1,17,25,17,26,25,22,14
"59208",8,8,2,3,5,6,3,3,9,6,4
"59204",4,4,2,1,1,5,6,0,3,2,3
"59205",4,1,3,1,0,3,8,5,5,0,8
"59203",3,5,0,0,1,3,6,2,5,7,3
"41527",3,10,1,0,1,1,3,0,3,1,2
"1197719",2,1,2,0,1,0,0,0,0,0,0
"158822",331,268,193,52,162,155,152,198,198,145,67
"2545798",90,81,45,13,45,44,49,41,52,37,19
"158823",76,76,63,19,58,57,46,72,70,39,24
"61646",144,140,105,18,68,64,59,96,98,62,32
"2153385",37,20,18,4,19,16,22,23,17,20,7
"69220",29,22,16,2,6,18,16,28,27,12,6
"61648",76,54,47,9,25,40,30,42,45,34,18
"2774055",71,65,50,18,28,43,58,46,57,42,26
"51288",32,22,20,8,14,12,25,23,20,17,3
"566",142,118,80,27,67,78,86,86,116,67,26
"2579935",137,148,78,21,64,72,60,91,107,90,32
"158877",113,82,62,17,53,61,56,48,67,51,25
"1851514",107,89,61,16,61,52,42,57,74,66,26
"2479367",57,60,31,9,26,25,25,22,37,23,8
"82977",35,46,26,6,27,21,24,27,36,43,15
"146507",34,39,41,19,16,26,15,19,31,16,16
"84564",20,26,17,1,11,9,13,15,22,8,5
"1906659",11,7,3,2,7,3,4,3,6,6,2
"1906661",8,1,4,1,0,3,3,1,5,3,1
"1906657",7,7,4,4,6,11,11,9,7,4,2
"1682492",5,0,2,1,1,2,4,0,3,1,0
"472825",4,1,2,0,1,2,3,3,0,0,1
"199891",3,1,0,0,0,1,2,1,2,0,1
"1906660",1,3,0,2,1,0,2,0,0,3,0
"565",93,119,77,10,54,45,51,63,79,77,42
"1972431",64,60,34,4,28,28,30,37,44,18,14
"395631",13,4,5,2,3,2,4,4,3,2,2
"1756993",8,8,1,1,4,4,3,3,2,1,2
"563",87,110,67,13,56,72,47,73,77,47,21
"2675784",5,0,1,0,0,0,1,0,0,0,0
"2675785",3,1,6,0,1,0,2,1,0,0,1
"2675772",2,0,0,0,0,0,0,0,1,0,0
"2675775",2,0,1,0,0,0,0,1,1,1,0
"2675794",2,3,3,3,0,0,0,1,0,0,0
"2675793",2,1,2,0,4,2,1,2,1,0,1
"2675791",2,1,2,0,0,0,0,1,0,1,0
"2675789",2,4,0,0,0,2,0,1,4,0,0
"2675782",2,1,1,0,0,0,0,1,0,1,0
"2675783",2,1,1,0,0,0,2,0,0,0,0
"2675797",1,5,1,0,0,0,0,1,2,1,0
"2675795",1,0,0,0,1,1,1,0,0,0,0
"2675792",1,0,1,0,0,1,2,0,0,0,0
"2675788",1,0,0,0,0,0,0,1,0,1,0
"2675787",1,3,3,0,0,0,0,2,2,0,0
"2675786",1,1,0,0,1,1,0,0,0,0,0
"2675781",1,3,0,0,0,2,0,0,1,3,0
"2675780",1,1,0,0,0,0,0,0,0,0,0
"2675779",1,1,1,0,0,0,1,0,0,1,0
"2675778",1,1,1,0,4,1,0,0,1,0,0
"2675776",1,1,0,0,1,0,0,0,0,0,0
"1048758",29,25,11,2,23,33,9,22,26,13,3
"42897",1,0,1,0,0,0,0,0,2,0,0
"622",4,3,3,0,0,2,2,1,1,3,2
"621",1,3,1,0,3,0,3,1,1,0,0
"2487150",8,8,3,1,7,5,5,8,14,4,4
"401619",3,2,0,0,0,0,2,1,1,0,0
"428411",2,5,0,1,4,1,0,1,1,2,0
"476281",4,1,2,2,3,2,1,3,4,1,3
"911022",8,10,5,3,5,6,4,5,3,2,1
"1334564",7,7,3,1,4,3,5,5,3,6,5
"273526",6,16,8,3,5,5,4,9,16,6,3
"435998",3,7,1,3,1,1,1,0,2,1,1
"2420306",79,62,55,7,31,36,36,49,45,34,19
"104623",59,52,36,11,29,46,29,30,71,34,16
"671990",52,51,27,11,31,24,27,34,21,18,32
"2597702",50,44,34,6,41,24,34,32,44,22,14
"2033438",28,34,13,2,37,32,32,39,31,24,8
"2448483",14,19,11,5,5,3,6,11,11,7,2
"2447890",14,14,14,6,6,13,8,11,11,26,6
"2724469",7,7,3,1,3,2,3,1,8,2,0
"2773264",6,3,1,1,3,1,3,7,6,2,0
"2482769",6,4,4,2,4,5,3,5,4,3,2
"2785630",4,3,0,0,4,3,2,2,3,2,1
"1327989",4,15,7,2,3,6,5,9,13,7,2
"488142",4,6,7,0,1,4,7,4,5,1,4
"1758196",3,1,0,0,2,1,3,2,1,2,1
"2485839",2,2,1,0,1,0,1,2,0,4,0
"1154756",64,47,42,8,17,28,40,48,36,22,7
"682634",10,25,4,1,8,3,4,7,5,9,2
"1006598",1,1,0,2,1,0,1,0,8,0,4
"61652",167,157,113,23,131,106,96,123,198,111,59
"618",153,193,114,18,95,87,81,96,117,99,45
"47917",150,132,98,21,89,75,99,100,120,103,48
"2741499",123,97,81,18,41,58,56,67,58,52,26
"399741",6,10,8,2,3,4,3,7,9,4,4
"82995",80,74,53,14,28,34,26,36,44,30,20
"568817",10,10,5,1,2,1,10,5,4,2,0
"1346614",5,5,5,2,2,5,3,5,1,0,0
"137545",29,26,17,8,19,15,4,12,23,17,12
"61651",22,20,18,10,13,4,12,9,14,12,7
"300181",11,11,9,2,5,6,5,6,7,8,4
"458197",9,9,4,1,3,1,3,2,7,1,0
"1443113",16,10,6,1,4,4,4,2,13,10,0
"34053",3,4,1,1,6,0,2,2,1,3,1
"367190",15,14,5,4,9,8,15,10,9,8,2
"633",9,14,6,0,5,8,5,14,10,9,3
"632",7,10,11,2,6,6,5,5,2,6,3
"29486",39,42,27,10,15,22,28,33,31,14,16
"935293",35,34,27,8,26,32,13,24,28,21,10
"28152",33,18,12,2,14,11,13,11,10,4,8
"1453495",28,22,12,6,10,16,8,12,16,14,8
"29484",25,29,18,3,15,8,8,24,10,14,8
"349967",25,31,19,5,12,11,16,14,32,14,14
"29485",20,18,14,1,12,17,8,14,12,17,6
"263819",19,17,13,6,10,9,14,9,8,20,6
"2607663",16,11,11,5,16,7,15,9,11,15,4
"2339259",9,6,9,0,3,0,2,3,6,2,1
"349968",3,2,2,0,0,1,1,1,2,3,1
"419257",3,2,3,0,5,4,4,8,9,7,1
"1179669",2,4,4,0,3,3,9,3,1,2,7
"2126321",342,339,212,47,170,195,205,207,233,170,97
"745277",82,48,45,8,29,42,51,48,59,41,17
"1151116",1,1,0,1,1,1,1,3,3,2,0
"1805933",94,86,76,18,68,58,58,68,63,53,26
"741091",3,1,1,1,1,1,0,1,2,1,0
"2703885",16,11,3,1,6,2,7,8,10,6,1
"929813",195,189,111,28,104,126,121,133,148,124,50
"1646377",126,124,97,17,82,85,82,104,115,74,47
"41202",110,129,81,23,64,60,72,78,91,44,40
"1441930",41,55,56,9,34,16,33,33,44,16,24
"1878942",21,19,5,4,11,8,10,9,13,3,8
"2575375",138,103,87,26,49,80,84,77,103,50,28
"592316",105,95,57,20,41,80,58,64,93,63,41
"1484158",101,107,68,17,161,67,54,132,112,75,46
"2052056",86,87,53,12,40,46,42,58,48,33,28
"2490851",83,70,53,14,38,41,52,49,66,43,27
"2479547",49,38,26,5,16,25,13,30,36,22,16
"2768165",7,8,3,0,3,4,0,2,5,5,1
"2787629",6,11,3,0,9,1,2,6,14,0,0
"59814",314,302,160,51,180,194,183,209,222,174,102
"712898",10,8,8,0,5,3,6,3,4,1,3
"549",168,250,118,33,108,93,104,133,110,87,43
"932677",1,1,1,0,0,1,0,0,1,0,0
"1123863",1,0,0,0,1,1,0,1,2,0,0
"55209",115,108,69,14,55,59,55,63,84,50,24
"66271",19,11,5,1,9,2,13,13,5,9,4
"1891675",93,101,59,18,49,36,41,55,51,48,23
"1076550",65,94,51,25,23,36,42,35,51,39,21
"1235990",13,11,7,2,1,7,1,4,3,3,0
"470933",4,12,7,3,6,4,6,4,7,6,1
"1619313",185,141,91,28,92,89,71,82,97,52,43
"55211",112,98,82,22,60,65,60,79,72,51,36
"2681984",66,77,53,15,40,50,35,47,47,43,32
"2547962",19,18,19,2,8,12,10,14,15,13,7
"215689",15,26,16,3,12,17,6,18,23,2,11
"465817",90,72,51,12,39,35,53,60,67,47,24
"634500",36,26,22,2,15,20,12,15,21,24,17
"1407064",3,2,0,0,1,0,1,2,0,0,0
"716540",1,0,0,0,0,1,1,0,1,0,1
"1922217",56,44,35,8,23,29,24,40,29,21,15
"79967",20,13,12,0,7,13,5,9,10,8,1
"665914",195,166,122,28,102,133,131,116,136,102,58
"665913",156,138,145,27,89,101,158,104,114,89,60
"1458355",151,145,102,19,86,75,99,88,104,76,53
"1615494",108,108,59,19,44,46,61,54,86,48,38
"1241869",10,5,7,0,4,3,3,2,3,0,0
"118103",8,2,3,0,1,1,2,0,3,0,2
"135842",8,1,2,2,2,8,0,2,3,2,9
"1315998",7,8,4,0,9,7,5,5,9,1,2
"2315800",7,8,5,0,7,6,8,6,11,8,2
"2518979",6,0,0,0,0,0,0,1,1,0,0
"98785",5,0,2,0,0,1,0,1,1,0,0
"2518977",4,1,0,1,0,0,0,0,0,0,0
"1660043",4,2,2,0,1,0,1,0,0,0,2
"1258543",3,3,0,0,0,1,1,1,3,0,0
"1241860",3,4,3,0,2,0,1,0,1,2,2
"1241836",3,3,3,0,0,1,0,1,3,1,1
"1241834",3,0,0,0,0,1,0,0,0,2,0
"911343",3,1,1,1,1,3,0,2,0,0,1
"2518976",3,11,5,1,2,3,0,3,7,4,2
"2173854",3,1,0,1,1,1,0,1,2,2,0
"118101",3,1,4,1,0,2,0,0,1,1,1
"2495405",3,2,1,0,1,1,1,2,2,3,7
"557993",2,0,0,0,0,0,2,0,1,1,4
"1241865",2,2,3,0,2,0,1,2,1,1,0
"1241859",2,1,0,0,2,2,2,0,0,0,0
"118110",2,10,1,0,0,3,5,1,0,0,0
"1660040",2,2,0,0,0,3,1,0,0,1,0
"655384",2,0,0,0,0,1,0,1,0,1,0
"571428",2,0,0,0,0,1,1,2,0,1,0
"1878935",2,5,2,1,0,1,2,1,1,3,0
"1507522",1,0,0,0,1,5,1,0,0,3,1
"2315802",1,4,3,0,1,0,0,0,2,1,1
"1265350",1,0,1,0,0,0,0,1,1,0,1
"1921549",1,1,0,0,1,1,3,1,1,0,0
"2518980",1,1,0,0,0,0,0,0,1,1,0
"98793",1,3,0,0,0,3,0,0,0,3,2
"1241878",1,0,0,0,3,0,0,3,2,0,3
"98794",1,2,1,2,1,0,0,0,1,0,0
"98804",1,1,0,0,2,0,0,0,0,3,0
"118118",1,1,1,0,0,0,1,0,1,1,0
"261318",1,0,0,0,2,0,0,2,0,0,1
"571430",1,1,2,0,2,0,0,0,0,3,0
"1241832",1,0,4,0,1,2,1,2,2,4,2
"1241833",1,1,2,1,1,4,1,1,0,1,0
"1241884",1,0,8,1,0,4,1,1,1,3,4
"53336",48,34,20,9,21,12,20,26,23,28,13
"82987",41,33,33,8,16,24,15,19,46,23,9
"2487345",41,38,24,5,14,18,19,19,22,14,13
"36868",5,7,0,0,8,5,4,10,4,5,0
"590409",25,26,9,1,14,15,7,9,14,5,10
"1427366",14,13,6,3,7,4,6,7,4,9,2
"1224147",13,6,7,0,3,4,3,6,4,4,4
"1224153",9,9,7,4,3,5,6,8,9,2,1
