"","X9JUZM2TOMPOOB100355.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report"
"1404864",159,1409,1204,2561,209,1040,698,753,872,676,1487
"858423",189,1439,1230,2573,199,1099,647,819,916,645,1280
"1325090",263,1386,1568,5234,264,1377,904,1036,938,731,1697
"83627",161,1316,957,2502,219,1060,692,837,884,665,1199
"1325115",213,1271,1731,2517,175,1842,584,790,833,628,1721
"1325095",148,1234,915,2325,199,1012,608,723,811,578,1238
"1404768",144,940,1002,1758,146,800,469,516,541,436,1142
"244734",112,797,847,4139,153,681,408,502,561,564,913
"931866",63,339,201,537,38,243,136,153,166,134,242
"1275962",1,19,35,100,5,14,15,7,31,23,19
"1867715",756,2395,1487,10143,769,1506,1644,1615,1915,1315,1849
"2020412",422,1828,983,6887,932,1089,936,1139,1281,1000,1450
"2599640",406,2047,1159,5008,1294,1386,1292,1524,1821,1292,1745
"1842539",287,1786,1104,4036,587,1337,1240,1438,1642,1112,1708
"2015316",424,1656,1020,5952,854,1291,1093,1160,1371,1201,1737
"1792307",224,1483,840,3155,467,1059,955,1041,1246,841,1322
"1526658",272,1725,972,3969,537,1193,1128,1284,1425,1082,1505
"316058",208,1811,872,4542,391,1510,1086,1152,1301,1211,1717
"316055",173,1610,753,4173,326,1387,933,960,1113,1028,1504
"316056",215,1630,882,4478,362,1377,924,985,1099,1059,1590
"652103",31,313,179,1064,98,221,204,221,236,181,367
"395960",35,282,180,780,63,229,185,214,289,164,260
"2592814",10,44,24,120,2,40,32,42,35,27,42
"2592817",4,16,9,62,5,18,12,3,13,7,24
"2592815",1,19,15,30,7,25,21,22,19,16,21
"2592816",2,9,4,9,1,1,6,7,5,4,9
"943830",166,1506,653,4461,335,1096,751,890,985,984,1300
"1882747",225,2072,539,3199,197,1077,642,866,946,697,1069
"504832",0,11,36,123,4,19,12,11,18,26,7
"1333996",242,2621,1073,4269,471,2050,1390,1348,1614,1298,2257
"323097",412,1464,8529,44838,398,1317,729,1239,993,2888,1957
"323098",419,1121,14284,63896,947,920,640,719,759,1190,1276
"675281",332,2145,1972,13529,2174,1756,1511,1718,2118,1749,3688
"2584466",281,1484,1402,17587,2118,1150,980,957,1277,1743,3571
"2108445",228,1370,1149,11218,1866,652,677,644,947,885,1883
"2082387",178,1022,878,8908,1213,777,736,661,855,992,1769
"2493672",132,924,658,4921,698,710,628,702,754,1333,1246
"2493673",155,1029,622,4942,717,878,707,787,917,1472,1385
"2493676",141,903,663,5479,826,792,588,644,801,1165,1372
"2493668",160,829,593,4151,668,583,556,666,792,727,939
"2777475",217,1012,667,6353,837,1653,689,1005,820,6131,1884
"2493680",382,1547,666,4601,690,767,955,1152,726,1272,1355
"2493675",134,852,545,4351,693,586,562,583,701,797,1197
"2744518",161,853,629,5048,756,640,578,670,810,902,1286
"2744521",146,946,635,4039,671,573,650,733,833,744,986
"2493669",150,898,578,4857,646,709,590,728,717,1246,1185
"2654248",141,798,621,5794,736,570,497,613,750,695,1209
"2493677",122,696,517,3471,524,539,504,522,660,573,878
"2493679",83,578,406,3481,499,419,379,412,469,566,905
"2493678",77,513,383,3592,437,431,360,355,476,483,826
"2493671",77,491,324,2864,397,692,350,379,410,1507,816
"2654249",70,435,384,3333,568,274,267,254,347,372,692
"2483404",73,526,348,3032,388,440,341,384,417,487,783
"2493681",59,475,346,2825,343,327,300,356,386,447,660
"2744523",82,422,361,2533,376,316,420,415,480,318,562
"2744516",84,410,333,2459,353,380,329,347,408,413,682
"1854057",74,476,278,1765,265,244,273,373,372,392,445
"2744522",81,405,334,2310,407,251,345,268,371,274,544
"2483403",48,321,216,2274,260,221,243,255,300,319,547
"2744517",45,324,212,1741,238,288,249,253,262,325,493
"2493674",40,250,188,1376,200,337,189,243,242,743,395
"2493670",48,269,174,1412,199,329,167,210,213,677,381
"2744515",23,115,88,635,81,82,77,83,86,105,131
"278153",23,118,75,519,104,80,78,87,113,92,144
"2744520",17,62,46,407,39,59,45,39,37,59,78
"2744519",4,69,34,224,19,30,56,77,54,47,30
"2483402",5,45,34,174,32,33,19,35,47,43,65
"1670800",257,1629,1500,9483,1720,1128,1164,1110,1564,1265,2857
"1082933",125,842,651,5334,664,626,567,608,757,718,1184
"935548",73,506,343,2847,398,372,328,339,481,384,698
"935546",15,56,62,334,33,64,41,62,59,43,106
"682633",77,470,291,1440,264,245,320,353,412,311,519
"278148",27,100,70,657,80,91,98,97,113,94,179
"754035",105,630,450,3559,515,452,428,503,575,558,969
"536019",83,552,467,3513,504,572,402,441,530,575,866
"1777866",71,465,344,3031,469,396,334,376,423,461,673
"763057",7,56,36,315,53,42,39,45,43,67,93
"266835",19,125,81,628,91,114,71,76,82,102,147
"2725666",8,66,32,860,37,46,40,40,44,80,70
"2774562",56,912,191,4500,298,158,163,191,194,158,302
"374606",210,1249,924,21367,1357,744,780,757,977,894,1753
"2666139",26,284,107,1926,260,90,72,98,91,117,191
"83263",27,374,106,2260,160,111,118,124,175,125,181
"266779",2602,2603,689,4396,720,1004,959,4604,4962,16274,8303
"2599600",231,1395,1238,7210,1347,1013,1105,1039,1313,1130,2413
"1756988",85,705,618,4065,662,541,471,483,663,621,1288
"1852022",157,1156,818,3716,625,973,973,936,1169,941,1575
"1620421",73,528,346,2102,304,419,409,404,521,405,627
"411684",66,495,315,2002,320,387,348,330,418,314,621
"2742145",100,814,676,2968,564,725,603,582,761,615,1220
"1867719",76,585,389,2480,350,387,375,459,498,450,681
"2718938",29,333,201,1411,163,230,191,218,233,182,363
"2712698",48,404,232,1138,180,323,252,255,253,322,510
"2305987",4,44,22,79,9,23,19,19,23,17,46
"2613769",1207,6803,5956,40086,6170,5893,4655,4923,5795,6018,8185
"384",579,3422,2470,13769,1919,2804,2437,2863,3079,2598,3599
"29449",304,1392,1056,3886,724,869,695,813,895,935,1013
"348824",107,703,494,2656,443,572,485,490,623,492,705
"396",121,617,378,2401,354,528,384,404,441,507,631
"1312183",101,636,498,2622,391,728,449,519,561,507,820
"379684",115,614,701,4533,751,560,471,538,621,486,963
"1138189",101,482,417,2065,315,392,361,391,426,388,501
"56730",84,512,371,1618,274,326,374,456,498,404,407
"1138194",89,467,322,1573,263,334,338,292,352,299,467
"293958",56,475,318,2110,305,386,321,330,385,348,506
"1138190",86,358,263,1406,216,334,251,265,297,284,365
"398",55,380,339,2131,295,357,237,288,373,370,501
"1368430",52,367,495,3850,357,287,261,272,327,329,487
"451876",52,326,540,0,357,249,226,247,274,445,1261
"240521",72,318,353,2669,319,280,241,254,337,260,427
"2583231",40,241,176,800,132,215,184,186,207,190,266
"1335061",42,238,491,2041,1032,235,255,234,355,221,702
"1538158",47,199,135,882,124,157,147,160,162,167,211
"2267833",36,238,199,1351,199,164,165,146,225,191,293
"648995",74,183,214,1458,236,144,127,134,128,144,609
"1538159",12,78,57,378,50,68,44,43,77,56,93
"2081791",12,58,47,195,27,36,40,43,48,41,56
"448181",2,3,7,221,25,0,0,4,5,11,15
"1183400",1451,2116,1921,26597,1815,1612,1439,1626,1863,1574,2590
"373",116,848,638,4166,603,562,603,577,648,558,894
"2632611",129,590,767,7914,625,571,532,506,721,530,906
"359",85,348,293,2214,285,291,272,282,318,238,432
"28099",60,284,274,1499,256,241,166,240,258,255,440
"160699",50,248,273,1636,310,211,188,202,241,202,374
"1183412",0,1,9,103,6,1,3,0,2,8,5
"399",340,1395,2395,37853,1765,1533,980,1151,1229,994,1843
"2629175",263,1010,1619,6961,2703,1088,811,869,1160,925,1822
"1125847",8,84,131,1078,382,91,67,75,94,69,144
"663276",922,3747,3636,11563,2443,2641,3169,3232,3567,2855,3410
"382",2118,2519,48209,28478,0,2431,4769,4244,6561,7106,4442
"2613772",359,1716,1514,16763,3462,1336,1347,1290,1580,1234,2445
"194963",679,2355,1054,3252,634,724,839,798,1144,744,994
"110321",166,695,2094,4102,1496,629,738,623,767,699,970
"106592",626,3392,1543,8068,1570,1378,1425,1358,1538,1138,1934
"375549",155,1104,1551,4250,825,1055,1025,1101,1234,870,1312
"2633371",148,1253,518,3450,1182,588,626,531,655,517,857
"1752398",124,812,786,3358,565,645,745,883,827,703,885
"716925",102,659,720,2714,608,595,734,832,764,651,931
"879274",239,1330,1296,65723,5511,979,1050,932,1145,907,2219
"2715959",191,1098,952,17656,5723,891,824,833,948,806,2003
"2795690",240,2064,1240,6538,1305,1693,1418,1436,1760,1380,2346
"2341112",123,834,637,3790,668,674,602,631,745,693,1329
"1969821",113,751,741,4186,631,718,586,596,827,565,1092
"1273132",1,9,6,30,3,15,9,9,8,12,17
"1174529",0,3,0,0,0,0,0,3,1,4,0
"658172",0,2,3,9,1,4,4,2,5,1,3
"34020",3,5,34,67,2,11,16,2,3,22,13
"1261131",1,8,7,12,0,3,2,1,0,2,10
"426117",399,2689,1780,3637,635,2274,1852,2531,2740,1891,2501
"2202828",212,1504,949,2413,417,1268,1071,1332,1525,1066,1598
"2603276",181,1051,715,1847,292,918,788,996,1052,780,1092
"2202826",177,1055,728,1781,268,941,789,1049,1183,809,1035
"925818",76,481,285,813,131,368,319,413,434,369,514
"2067957",77,364,250,497,109,281,247,345,351,250,393
"1479019",44,207,120,315,36,197,142,208,269,159,232
"739141",13,88,59,147,24,77,60,79,99,66,100
"2696060",0,0,0,0,0,2,0,1,0,0,0
"460265",365,2544,1542,3477,606,2434,1639,2243,2417,1719,2395
"270351",332,2307,1401,3574,613,1866,1551,2116,2192,1476,2057
"2202825",293,1766,1176,2657,487,1407,1325,1603,1842,1228,1760
"2051553",168,1114,742,1763,284,956,824,1109,1153,802,1108
"2202827",175,1023,688,1697,298,986,832,1065,1180,839,1077
"908290",188,1153,767,2005,313,956,867,1082,1202,827,1149
"269660",163,1072,698,2066,292,882,775,973,1092,768,1127
"1775910",158,918,619,1547,270,814,736,939,970,678,974
"426355",87,254,165,422,54,225,203,258,245,169,310
"418223",31,162,97,311,30,153,134,140,147,93,144
"693986",5,60,41,89,15,70,49,43,58,43,51
"2807101",2117,6697,9550,10233,3359,2642,3874,7285,6901,4602,2384
"2082949",528,1977,2697,4867,2314,1440,1352,1897,1977,1598,1571
"1882682",2081,6605,7527,8961,2716,2664,3518,5270,5545,3910,2362
"2651334",513,2542,3283,5143,1414,1811,1831,2351,2532,1998,1936
"441620",53,293,188,800,129,277,234,271,302,218,469
"272630",223,518,311,1097,136,406,376,402,554,359,523
"440085",68,205,113,311,66,140,127,190,226,127,202
"419610",77,162,116,265,45,144,141,148,165,120,148
"29429",10,40,27,81,12,39,23,29,58,30,43
"674703",917,14259,3278,9916,1025,11716,5497,4974,6648,5350,8725
"444923",1,5,5,3,2,4,5,7,7,5,7
"1736675",962,2416,3524,46960,3176,1718,1605,1587,1895,2113,4373
"2801335",297,844,1547,12191,2048,552,554,554,739,729,1919
"2657486",158,787,1035,9890,1769,641,548,619,743,638,1807
"2499144",94,588,764,5117,989,521,526,497,618,599,1271
"2083786",115,523,808,13009,1865,432,422,391,557,521,1770
"2774137",146,548,841,7538,1548,492,454,406,623,657,1643
"2664417",64,318,391,2367,401,298,300,265,343,370,647
"2759954",42,264,245,2311,487,210,211,195,260,222,550
"400770",229,826,1284,32258,5256,651,735,720,922,946,2886
"582899",98,1140,475,4235,334,819,652,615,703,799,856
"670307",114,907,453,2656,264,993,636,579,609,1730,936
"1029756",196,2277,815,8982,532,1201,1144,971,1158,799,1325
"717785",92,1055,441,2725,280,762,614,554,686,1109,830
"2233851",198,1955,1034,3713,536,1606,1305,1309,1574,1278,1918
"1079",165,1743,894,3089,453,1388,1204,1155,1382,1074,1638
"1384459",77,831,448,2191,372,772,637,544,674,523,813
"2170729",79,723,377,2318,373,651,614,501,677,435,753
"2742204",127,1256,662,2830,548,1134,976,886,1036,768,1221
"2820278",157,1278,798,3422,411,1104,878,981,1165,870,1360
"648757",131,1065,577,2289,307,800,724,709,856,592,1039
"1447062",168,931,1142,7159,1243,876,789,803,885,1132,2030
"1082931",0,0,1,0,0,0,0,0,0,0,1
"1608628",54,502,279,1520,310,357,303,317,380,267,387
"1219035",44,383,289,1355,174,324,284,246,401,312,557
"1335043",59,337,403,3037,559,312,293,280,349,386,701
"454601",16,135,66,382,59,103,83,92,91,93,137
"331696",395,4933,1852,12484,955,5047,2391,2438,2960,3650,6320
"2562284",318,3566,1445,27059,1630,10738,1829,1808,2300,3381,5359
"2709380",391,2410,1165,5473,698,1814,1467,1769,2012,1421,2244
"639283",261,1954,1321,22514,1111,1597,1448,1434,2048,1277,2023
"1850374",203,1512,878,4333,507,1228,1049,1192,1410,1022,1651
"1745854",151,1196,670,3362,399,994,837,936,1112,839,1269
"2528964",267,2132,1244,6960,646,1758,1517,1690,2049,1573,2109
"438753",180,1630,987,3878,560,1353,1086,1258,1449,1014,1631
"2789216",196,1638,964,4417,593,1323,1120,1190,1407,1191,1704
"2712222",389,4473,1187,49218,692,2773,2828,2104,2407,1691,2633
"1235591",332,3627,1554,14226,1173,2463,2350,1785,2795,1950,3185
"1482074",160,1417,965,4113,575,1186,1052,1083,1366,985,1699
"573658",4,22,18,57,6,17,23,11,23,13,19
"134",101,951,542,2167,294,861,666,736,868,642,1048
"173366",154,1084,583,2010,272,849,732,719,921,679,1058
"655015",78,1006,519,1834,290,862,727,726,840,656,1024
"391905",100,922,420,1647,266,871,716,732,914,650,923
"187303",59,562,329,1208,179,544,416,422,568,368,654
"595536",153,1164,666,2344,331,1116,1003,927,1145,855,1325
"2699395",108,1021,640,1985,302,923,745,797,942,690,1127
"1349819",171,1187,794,3748,646,1082,915,949,1200,941,1617
"2758041",143,1018,720,3007,545,850,826,770,975,773,1341
"2816454",115,944,588,2782,456,700,680,676,867,690,1099
"1638161",0,5,1,3,3,2,3,2,6,1,5
"1701758",150,1008,788,3093,583,852,830,874,1012,843,1447
"686597",59,315,284,1644,208,264,238,264,342,227,501
"1122214",79,590,487,2325,360,540,467,523,626,494,827
"1486262",70,629,429,2437,362,521,442,453,522,409,777
"2583532",49,300,280,1721,208,278,253,284,302,283,450
"538381",229,1694,1140,4688,771,1442,1293,1264,1716,1289,2129
"1881061",96,1021,589,2515,438,798,735,711,872,678,1223
"2021862",70,533,354,1509,243,461,420,354,479,393,586
"2590016",30,258,134,724,91,220,186,212,254,182,300
"2587861",32,289,165,655,106,185,184,150,207,163,275
"2587854",16,61,44,171,26,56,52,61,68,65,84
"1674922",9,57,33,207,18,48,27,46,51,33,57
"244592",32,297,168,883,144,211,203,194,268,182,342
"187304",14,79,37,227,30,54,66,58,70,54,77
"1402210",51,162,150,1340,165,136,139,143,201,227,299
"911045",14,162,115,448,57,137,110,105,136,100,169
"1702325",238,1710,1241,4809,757,1488,1560,1493,2386,1435,3065
"444444",139,1064,720,2725,388,830,846,856,1211,743,1444
"395965",100,934,489,2083,278,794,669,666,795,629,955
"227605",94,826,486,1858,240,695,562,618,698,516,881
"569860",79,886,436,1931,224,722,623,560,707,594,962
"31994",45,432,272,1101,155,376,316,336,404,356,518
"402881",112,1080,595,2813,407,909,859,712,963,820,1182
"1712261",84,695,395,1625,245,604,606,522,691,528,802
"1458461",25,330,183,799,101,266,287,268,325,262,379
"94625",57,342,246,9555,1941,345,383,318,390,795,835
"2632610",35,184,144,1480,150,163,136,177,158,186,268
"271865",44,165,115,882,116,131,107,100,147,135,215
"529",18,115,140,1585,423,95,76,87,121,119,159
"419475",419,71,46,384,52,62,52,39,66,54,123
"571256",515,54,56,321,47,47,61,68,65,56,105
"1218315",6,10,8,133,82,9,8,4,11,8,8
"29459",2,13,5,53,5,19,22,17,23,9,12
"235",0,2,2,6,0,7,2,3,0,3,3
"236",2,7,6,8,1,3,6,6,4,6,4
"29461",0,6,2,35,1,1,7,15,11,1,7
"120577",0,4,0,2,0,2,2,2,2,1,2
"36855",1,1,1,3,0,0,0,0,1,2,0
"120576",0,1,2,13,4,3,1,1,1,1,0
"444163",0,3,0,2,1,0,0,1,1,0,0
"239106",9,63,38,403,60,44,45,42,73,45,63
"2304600",171,1374,798,3496,549,1205,1036,1045,1159,954,1558
"1798205",27,303,189,773,123,251,214,232,268,205,321
"2528642",85,919,527,1923,267,845,598,730,902,649,967
"1686310",12,65,48,383,49,87,64,54,68,54,95
"2759660",1,15,9,100,9,12,9,13,16,12,29
"515256",0,6,0,3,0,1,1,0,1,1,0
"1933904",2,5,4,6,4,7,5,3,3,4,1
"1933910",0,0,0,0,0,0,0,0,0,4,0
"40933",0,5,0,12,1,2,6,1,2,2,2
"2267275",0,6,4,16,1,1,4,6,5,6,5
"1094489",1,15,7,28,6,13,8,12,10,7,10
"52764",2,6,4,8,1,2,1,4,3,6,5
"634504",1,5,4,26,0,7,4,13,4,1,4
"1225179",0,1,0,0,0,1,1,0,0,1,0
"687861",0,3,0,34,1,7,7,2,9,5,10
"774",2,10,4,28,2,6,4,5,7,1,5
"1095900",0,2,2,16,0,1,2,4,0,4,1
"1318743",1,7,5,25,5,4,2,10,5,4,14
"1094491",2,6,1,12,0,7,2,6,4,4,4
"38323",0,5,0,16,0,7,0,5,1,3,7
"85701",0,6,0,21,2,5,6,2,3,5,3
"696125",0,2,0,31,0,3,1,0,5,3,5
"2133959",0,1,0,16,0,2,0,1,1,2,0
"807",0,1,1,13,1,4,2,2,1,1,3
"2764186",587,1938,2920,3965,1161,5424,4154,3045,7384,5264,9389
"2714944",606,1816,2799,3852,1134,4886,3909,3066,7033,5102,8077
"2681549",292,1524,1727,4610,991,1896,1855,1824,3092,2237,3049
"2714942",559,1504,1823,2549,747,2873,2808,2212,5018,3181,3785
"2714943",520,1446,2207,3193,998,3424,2975,2321,5280,3852,5170
"2653203",241,1214,1265,4572,816,1657,1483,1327,2348,2152,2586
"745310",220,1113,1434,4278,925,1607,1526,1368,2303,1776,2311
"1327635",221,1041,1184,3772,753,1636,1397,1147,1963,1703,2398
"2735134",189,1092,1088,3120,554,1365,1256,1146,1888,1538,2117
"2698679",205,1072,1101,3352,732,1565,1338,1167,2212,1745,2276
"1938607",211,1020,1163,3185,679,1523,1190,1018,1706,1517,2327
"2492837",161,992,1107,3228,561,1198,1149,1051,1768,1231,1701
"2596913",199,972,937,2887,528,1447,1188,1106,1849,1684,1995
"2711156",178,895,952,2956,591,1140,1008,983,1584,1279,1685
"1523415",173,912,842,2775,455,1268,942,944,1493,1362,1884
"2219696",165,872,881,3453,449,1199,1025,919,1458,1429,1738
"2599297",149,736,898,3130,599,1040,965,888,1558,1283,2270
"2565555",116,654,692,2032,391,954,784,823,1238,1071,1321
"1030157",138,610,668,2808,418,743,735,646,1172,950,1114
"2759526",130,650,622,1989,393,874,788,690,1182,1013,1374
"1517554",125,628,626,2043,363,841,749,710,1091,1004,1221
"1390395",109,556,595,1940,337,729,701,584,1013,884,1035
"1517551",108,578,559,1865,316,741,704,579,960,866,1093
"1961362",57,352,339,1342,204,473,385,354,585,554,704
"2319844",46,338,292,1046,173,374,359,283,513,401,583
"304378",41,210,239,659,112,162,145,137,208,157,260
"1628059",5,12,21,139,5,25,15,23,26,18,50
"849864",0,4,0,11,0,4,1,0,0,2,4
"1381597",1,22,46,125,9,4,4,4,2,15,6
"28214",1,0,2,22,0,1,1,1,2,2,0
"90322",0,2,0,1,0,0,0,0,0,0,0
"386874",1139,3430,3793,7318,1884,8277,5618,7375,10366,8719,10466
"1176646",1023,2696,3564,6884,1652,7279,5167,5589,9494,7146,9069
"1045317",873,2511,3528,4474,1356,6929,5676,4654,10617,6359,9597
"363835",677,2135,3016,4444,1307,4719,4221,3386,8037,5090,6829
"2071607",576,1930,2452,3533,1041,3550,4038,2927,6801,4144,4599
"2594473",494,1562,1861,2500,868,2904,3744,2750,6601,3513,3337
"392499",59,292,263,1471,131,300,347,304,449,329,440
"653931",293,1592,1477,5216,937,2060,1697,1598,2691,2330,2898
"1123269",328,1476,1517,5205,884,1744,1578,1578,2633,1994,2570
"93064",254,966,1166,4402,811,1374,1380,1114,2017,1666,3185
"1609977",166,1015,1000,3376,541,1438,1066,1009,1683,1535,2087
"1549858",198,992,956,2904,499,1313,1108,1031,1814,1692,1830
"1560345",171,898,961,3224,518,1240,1018,971,1550,1499,1838
"1813879",132,776,779,2721,466,1262,1006,885,1470,1570,1739
"424800",137,680,679,1897,340,848,777,777,1142,1108,1317
"13689",114,711,664,2844,412,811,737,680,1079,987,1266
"621456",1,42,35,236,13,43,30,23,53,29,41
"2698828",62,388,379,1241,207,461,439,385,668,534,710
"2789327",606,1404,3464,84773,1363,1323,2683,1402,1384,745,4784
"627192",189,952,873,3521,554,1108,886,850,1422,1057,1552
"1315974",242,539,757,11714,402,595,672,583,833,716,1081
"2676077",164,478,452,4671,328,536,527,508,745,607,914
"2082188",170,495,536,4440,335,533,448,417,747,541,875
"1843368",149,517,388,3484,277,443,436,405,626,544,789
"1855519",683,487,584,10108,577,611,703,569,723,871,1382
"2072936",121,495,503,2347,299,597,521,448,764,611,810
"2733867",117,416,359,3564,262,435,407,314,572,430,704
"407020",276,306,316,6075,321,412,424,369,515,449,782
"2565554",31,135,95,606,60,139,118,110,137,107,214
"484429",14,56,81,890,66,74,101,65,82,109,163
"520734",15,52,94,1504,121,62,85,67,87,80,203
"2185111",1,12,14,107,4,12,14,9,6,12,13
"13690",287,1183,1101,8935,620,1070,1066,1039,1445,1133,1655
"135719",123,518,528,4434,388,669,533,514,885,655,1031
"120107",164,511,532,5109,408,636,582,480,807,698,1005
"690566",190,456,410,7104,313,546,526,450,720,612,842
"1673076",106,421,429,4476,266,483,469,438,625,463,765
"452662",127,412,420,5234,324,515,485,404,663,979,823
"1332080",146,423,390,4637,377,528,445,399,618,471,889
"76947",364,337,405,7310,408,465,528,384,558,443,988
"1208342",19,79,92,1045,65,73,112,109,154,106,159
"1054037",49,79,95,1229,47,94,107,104,105,94,146
"861109",4,8,9,32,3,9,5,7,19,23,22
"56193",1,2,6,32,1,2,4,9,3,7,5
"595605",0,1,0,194,0,1,0,3,0,0,0
"1357916",320,947,815,21483,777,901,871,782,1313,947,1453
"1874061",131,580,459,10139,730,643,641,505,876,662,970
"2486273",335,772,636,15000,721,780,813,737,1159,790,1172
"2565556",303,709,607,53041,5359,760,999,683,1118,1008,1775
"292913",130,643,614,21442,1209,810,749,688,1076,915,1181
"1914525",146,551,594,11815,852,611,812,532,896,736,1115
"1866325",18,69,69,1604,205,53,60,55,53,72,159
"1913578",6,46,14,151,11,45,38,41,42,36,59
"33050",353,1327,1450,33838,1488,1423,1504,1274,1991,1554,2230
"2448440",121,591,1506,14299,638,740,721,580,970,757,1216
"2054227",165,647,602,18732,774,762,746,648,1083,814,1215
"1515612",208,550,536,14440,1020,649,710,556,908,859,1112
"317655",117,496,506,9778,737,571,628,486,877,716,949
"267128",76,318,342,6150,353,415,347,311,539,403,677
"2675225",249,1370,1082,3404,579,1389,1222,1021,1839,1306,1978
"2571749",136,1185,986,3114,614,996,896,761,1176,935,1551
"1609758",166,1051,681,2451,447,792,788,694,932,855,1283
"1016987",213,621,1702,5433,330,562,466,471,696,523,911
"2780074",170,655,3724,7220,349,688,477,451,772,610,934
"702113",76,396,710,1465,198,320,358,292,488,330,503
"164608",36,240,278,695,113,197,221,174,269,169,312
"158500",468,1542,1003,3277,713,1097,1007,934,1359,1011,1674
"279238",153,997,894,2642,455,857,803,697,1143,852,1409
"1176536",107,853,617,1818,388,658,607,493,928,652,992
"1088721",53,386,391,1227,171,312,342,292,389,307,524
"2762748",191,971,1091,13004,941,1345,1212,1104,1917,1655,2374
"2711215",133,798,731,2375,451,900,830,673,1236,1174,1634
"941907",490,1868,3004,6372,2122,2646,2801,2321,5129,3535,4398
"2584094",54,299,276,960,170,379,338,330,508,401,532
"2077182",53,323,315,1020,211,371,394,285,507,372,585
"1806885",41,248,209,752,147,309,309,243,421,287,441
"2725558",33,115,78,390,54,126,109,88,159,130,184
"392610",41,206,307,870,120,227,244,187,313,253,345
"2026624",173,953,986,2620,550,1145,1094,1011,1646,1188,1757
"2724527",51,293,263,742,166,332,319,305,461,350,488
"1850238",194,1231,1100,4089,671,1366,1285,1118,1897,1553,1875
"1842535",53,233,283,1132,133,229,210,223,342,259,366
"1550728",19,184,407,1147,111,238,206,203,296,202,329
"1921510",124,695,722,2643,504,856,827,666,1218,946,1377
"1634516",97,640,535,2125,374,609,582,538,839,765,1244
"2762729",84,487,530,1677,364,587,583,535,947,688,961
"2806553",17,148,99,390,56,125,114,118,163,140,205
"120045",0,34,27,127,24,9,12,12,16,19,34
"120044",2,16,20,70,9,21,23,15,26,14,38
