"","iYASM2TOMPOOA050195.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report"
"1812935",66,105,56,82,48,31,92,45,33,89,9
"2494701",47,61,20,57,25,8,65,24,24,71,6
"208224",22,34,15,17,17,5,45,27,74,49,3
"299767",21,34,12,24,21,52,30,20,7,31,1
"2071710",9,27,13,14,9,3,30,17,1,18,4
"2757714",21,31,16,14,28,11,23,25,8,22,0
"2724468",95,120,35,99,67,14,145,59,43,105,11
"2596949",67,134,43,52,59,24,127,64,48,91,11
"1914861",59,103,41,56,44,15,115,72,34,105,12
"2742676",27,53,27,19,24,6,51,28,16,25,2
"2742639",29,31,21,21,21,5,50,16,10,23,5
"399742",30,58,25,33,24,8,47,27,18,41,8
"2742619",17,24,7,12,14,7,24,8,4,25,0
"1166130",10,6,6,11,7,0,21,8,1,12,1
"2705458",13,12,8,10,3,1,13,7,3,4,1
"2500132",8,18,6,4,3,3,11,5,7,13,1
"1560339",6,28,11,3,5,2,9,9,3,9,1
"648691",1,0,1,2,1,0,5,0,1,1,1
"2565914",0,3,2,1,0,1,4,3,3,3,0
"1868135",0,1,4,2,1,3,3,1,1,2,0
"1827481",0,1,0,1,1,0,2,0,0,1,0
"2742673",0,2,0,1,3,1,1,1,1,3,0
"2742656",1,0,1,9,0,1,1,0,0,0,0
"2747372",2,0,0,2,0,1,1,1,0,1,0
"2051905",0,0,0,0,0,0,1,0,0,0,0
"881260",41,42,25,48,32,9,93,35,15,65,13
"2478464",35,52,27,31,30,13,63,25,10,41,5
"885040",25,38,11,17,20,12,36,22,24,24,2
"539813",3,3,3,2,2,0,3,2,1,3,0
"72407",9,12,4,4,3,1,19,7,4,8,1
"39831",2,2,3,2,1,0,5,4,1,3,0
"1328373",0,0,0,0,0,0,1,0,0,0,0
"1365186",0,0,0,0,0,0,1,0,0,0,0
"1420012",0,1,0,1,1,0,1,1,0,0,0
"548",184,290,116,187,126,44,328,144,89,315,24
"2681387",16,20,9,11,8,3,22,9,6,22,1
"2787706",2,4,0,2,3,0,7,1,0,7,0
"2675726",5,3,3,8,3,0,6,4,0,6,3
"2697371",0,3,4,2,0,0,4,2,0,5,0
"2015795",1,1,1,1,1,1,2,1,0,1,0
"2267618",0,0,0,0,1,2,2,0,1,1,0
"2675710",3,0,4,2,2,0,1,0,2,3,0
"571",145,195,92,130,107,43,208,94,56,195,17
"1134687",131,163,74,109,101,35,202,101,64,169,12
"1667327",5,9,2,3,5,1,9,0,4,6,1
"244366",0,0,0,80,64,15,102,0,0,0,9
"2026240",34,51,10,27,29,9,47,30,18,40,1
"2153354",33,41,21,24,29,2,43,21,15,42,5
"2489010",20,45,13,26,14,6,38,21,14,38,2
"2058152",15,26,12,24,17,11,21,18,5,24,1
"546",132,205,86,86,102,44,204,110,44,155,16
"67827",17,27,12,12,14,2,28,12,5,40,1
"1639133",15,10,9,12,7,71,16,8,1,14,6
"2816438",3,8,1,10,5,2,13,13,4,13,0
"57706",11,8,2,8,10,3,12,9,1,17,0
"133448",6,6,7,5,3,0,10,8,3,6,2
"1573676",44,56,25,31,27,9,61,40,29,59,7
"2742624",47,54,18,34,41,7,55,33,19,58,7
"2546350",11,19,12,15,11,5,23,2,9,15,2
"2781952",10,22,8,8,8,5,17,10,6,11,0
"1702170",3,0,2,0,0,1,7,0,2,2,0
"2742627",1,2,2,1,0,0,6,2,0,8,0
"1703250",1,0,2,3,2,0,3,1,4,4,0
"1920110",0,4,0,0,3,2,3,0,0,3,0
"2742675",1,0,0,1,0,0,3,2,1,2,0
"2742667",1,2,0,0,1,2,3,1,0,1,0
"2742626",0,0,1,1,0,0,2,1,1,2,0
"2742657",0,1,1,0,1,0,1,2,0,0,0
"2742625",0,1,1,0,2,2,1,1,0,0,0
"2742668",0,0,0,0,0,0,1,0,0,2,0
"2697370",1,0,0,0,1,1,1,1,1,2,0
"2742678",1,0,0,2,0,0,1,0,0,0,0
"637910",73,94,45,74,57,23,112,49,41,111,9
"67824",45,45,24,27,39,6,75,32,23,43,2
"1261127",26,42,29,21,20,10,50,22,16,38,3
"545",15,33,11,20,16,4,38,14,20,24,4
"2562449",19,32,14,31,19,10,37,17,9,22,2
"2653932",28,41,13,18,31,8,31,31,18,33,4
"1748967",7,4,3,3,3,2,6,1,0,14,0
"1563222",0,5,5,1,4,2,5,1,1,3,0
"1138308",13,11,4,14,10,1,18,10,7,18,1
"413498",84,151,64,94,81,13,146,71,51,147,14
"1074000",55,100,46,64,57,16,121,395,51,86,16
"1073999",85,102,43,68,64,14,102,61,48,88,9
"1159491",0,0,0,1,1,0,1,2,1,2,0
"1159613",14,19,8,9,11,3,24,12,4,11,3
"1906275",9,15,9,13,12,6,13,13,7,31,1
"2725560",54,61,33,37,36,19,79,42,16,61,9
"2492396",26,61,28,32,29,13,65,22,16,44,6
"2067958",30,41,17,35,20,6,48,23,10,39,7
"1300165",17,15,5,14,7,3,20,14,5,11,3
"1235834",8,9,7,6,4,4,14,4,9,11,3
"551989",32,54,27,30,21,9,57,13,16,45,4
"1177180",3,6,3,1,3,0,1,3,0,4,0
"497725",18,34,19,27,14,5,41,25,1,30,4
"1646340",27,45,45,17,26,7,41,25,8,35,8
"2714951",60,100,28,59,62,20,82,44,26,107,7
"2815358",58,75,27,41,59,12,78,55,25,76,5
"2282310",8,22,11,21,6,3,21,4,6,34,0
"2282309",9,21,5,6,7,2,19,21,4,24,3
"2681308",11,17,9,9,13,3,14,18,2,15,0
"2681309",1,3,4,5,8,3,9,1,0,8,1
"1920114",5,4,5,11,5,0,7,4,1,5,0
"2681307",16,21,5,19,15,2,7,8,9,24,3
"83655",114,203,69,95,93,25,183,93,61,156,15
"2822132",3,3,0,0,3,1,10,2,1,7,0
"83334",7,3,1,3,2,2,7,4,1,3,0
"696406",0,0,0,0,0,0,3,0,0,0,0
"2233553",0,0,0,3,0,0,3,0,0,0,0
"930406",1,0,1,0,0,0,3,1,0,0,0
"585034",0,1,0,1,0,0,2,3,0,0,0
"409438",0,2,0,0,1,0,1,2,0,0,1
"2048778",0,0,0,0,0,0,1,0,0,0,0
"2048781",0,0,0,0,0,0,1,0,0,1,0
"1392858",1,0,0,0,0,0,1,0,0,0,1
"2763104",0,0,0,0,4,0,1,8,1,6,0
"1045010",0,1,0,0,0,0,1,0,1,0,0
"244319",0,0,0,0,0,0,1,0,0,0,0
"1078034",0,0,0,0,1,0,1,0,0,2,0
"2810408",0,1,0,0,0,0,1,0,1,0,0
"2810404",2,0,0,0,1,0,1,1,0,4,0
"208962",36,60,35,30,28,10,63,23,18,40,6
"564",23,56,10,22,24,11,61,23,12,32,5
"1499973",16,26,16,18,16,4,32,16,5,29,4
"2044467",13,21,5,4,8,3,14,9,1,10,0
"575",47,87,25,44,47,8,84,47,25,66,6
"577",46,77,23,36,29,10,83,41,30,65,6
"54291",0,0,0,37,27,8,68,42,21,56,5
"1259973",12,17,12,14,11,4,22,12,6,21,1
"2259647",0,0,1,0,3,0,3,0,0,2,0
"61647",302,387,198,229,244,86,419,219,147,413,31
"701347",15,32,20,17,9,5,19,14,9,32,0
"59201",74,125,50,77,76,33,139,66,39,115,8
"59202",29,26,13,17,25,1,22,17,14,33,2
"59208",7,8,9,3,6,3,8,5,4,11,0
"59204",3,4,4,6,5,1,4,1,3,6,1
"59205",2,1,1,8,3,1,4,0,8,6,1
"59203",6,5,1,6,3,0,3,1,3,4,0
"41527",3,10,6,3,1,0,3,1,2,4,0
"1197719",2,1,0,0,0,0,2,1,0,1,1
"158822",202,268,128,152,155,52,331,162,67,286,26
"2545798",72,81,34,49,44,13,90,45,19,70,7
"158823",53,76,31,46,57,19,76,58,24,57,9
"61646",83,140,55,59,64,18,144,68,32,117,11
"2153385",14,20,13,22,16,4,37,19,7,27,1
"69220",18,22,11,16,18,2,29,6,6,21,2
"61648",42,54,28,30,40,9,76,25,18,56,9
"2774055",49,65,40,58,43,18,71,28,26,62,6
"51288",15,22,9,25,12,8,32,14,3,17,2
"566",99,118,53,86,78,27,142,67,26,112,17
"2579935",87,148,44,60,72,21,137,64,32,132,10
"158877",56,82,47,56,61,17,113,53,25,88,7
"1851514",68,89,41,42,52,16,107,61,26,66,9
"2479367",45,60,21,25,25,9,57,26,8,40,7
"82977",25,46,20,24,21,6,35,27,15,43,3
"146507",30,39,10,15,26,19,34,16,16,39,5
"84564",16,26,2,13,9,1,20,11,5,22,2
"1906659",10,7,5,4,3,2,11,7,2,4,0
"1906661",4,1,1,3,3,1,8,0,1,2,1
"1906657",14,7,7,11,11,4,7,6,2,10,1
"1682492",4,0,0,4,2,1,5,1,0,2,0
"472825",0,1,1,3,2,0,4,1,1,0,0
"199891",2,1,2,2,1,0,3,0,1,2,0
"1906660",2,3,0,2,0,2,1,1,0,1,0
"565",61,119,42,51,45,10,93,54,42,82,16
"1972431",28,60,19,30,28,4,64,28,14,50,2
"395631",6,4,6,4,2,2,13,3,2,8,0
"1756993",2,8,8,3,4,1,8,4,2,6,0
"563",48,110,42,47,72,13,87,56,21,85,4
"2675784",0,0,0,1,0,0,5,0,0,0,1
"2675785",1,1,0,2,0,0,3,1,1,1,0
"2675772",0,0,0,0,0,0,2,0,0,0,0
"2675775",0,0,2,0,0,0,2,0,0,1,0
"2675794",1,3,2,0,0,3,2,0,0,2,0
"2675793",1,1,0,1,2,0,2,4,1,3,0
"2675791",1,1,0,0,0,0,2,0,0,1,1
"2675789",0,4,2,0,2,0,2,0,0,1,1
"2675782",1,1,0,0,0,0,2,0,0,1,0
"2675783",0,1,1,2,0,0,2,0,0,0,0
"2675797",3,5,2,0,0,0,1,0,0,1,0
"2675795",1,0,0,1,1,0,1,1,0,1,0
"2675792",1,0,2,2,1,0,1,0,0,1,0
"2675788",0,0,1,0,0,0,1,0,0,0,0
"2675787",0,3,2,0,0,0,1,0,0,1,0
"2675786",3,1,1,0,1,0,1,1,0,0,0
"2675781",0,3,0,0,2,0,1,0,0,0,0
"2675780",0,1,0,0,0,0,1,0,0,2,0
"2675779",0,1,0,1,0,0,1,0,0,0,0
"2675778",1,1,0,0,1,0,1,4,0,0,0
"2675776",0,1,0,0,0,0,1,1,0,0,0
"1048758",26,25,0,9,33,2,29,23,3,39,3
"42897",0,0,0,0,0,0,1,0,0,0,0
"622",6,3,3,2,2,0,4,0,2,6,1
"621",0,3,0,3,0,0,1,3,0,4,0
"2487150",5,8,3,5,5,1,8,7,4,11,3
"401619",0,2,2,2,0,0,3,0,0,1,1
"428411",0,5,2,0,1,1,2,4,0,3,0
"476281",6,1,2,1,2,2,4,3,3,1,0
"911022",3,10,9,4,6,3,8,5,1,6,1
"1334564",6,7,0,5,3,1,7,4,5,4,3
"273526",5,16,3,4,5,3,6,5,3,13,2
"435998",2,7,3,1,1,3,3,1,1,2,0
"2420306",34,62,26,36,36,7,79,31,19,54,9
"104623",40,52,28,29,46,11,59,29,16,68,7
"671990",35,51,18,27,24,11,52,31,32,38,4
"2597702",27,44,13,34,24,6,50,41,14,33,4
"2033438",28,34,20,32,32,2,28,37,8,40,2
"2448483",8,19,12,6,3,5,14,5,2,13,0
"2447890",9,14,8,8,13,6,14,6,6,26,3
"2724469",0,7,7,3,2,1,7,3,0,1,1
"2773264",9,3,8,3,1,1,6,3,0,6,0
"2482769",10,4,1,3,5,2,6,4,2,3,2
"2785630",2,3,0,2,3,0,4,4,1,1,0
"1327989",4,15,4,5,6,2,4,3,2,2,0
"488142",10,6,4,7,4,0,4,1,4,9,0
"1758196",2,1,0,3,1,0,3,2,1,3,0
"2485839",0,2,1,1,0,0,2,1,0,5,0
"1154756",24,47,32,40,28,8,64,17,7,29,3
"682634",10,25,2,4,3,1,10,8,2,4,1
"1006598",1,1,0,1,0,2,1,1,4,2,0
"61652",108,157,53,96,106,23,167,131,59,166,17
"618",99,193,65,81,87,18,153,95,45,137,14
"47917",102,132,62,99,75,21,150,89,48,161,21
"2741499",65,97,23,56,58,18,123,41,26,79,5
"399741",7,10,3,3,4,2,6,3,4,13,0
"82995",41,74,27,26,34,14,80,28,20,57,6
"568817",1,10,4,10,1,1,10,2,0,9,1
"1346614",3,5,2,3,5,2,5,2,0,6,0
"137545",27,26,15,4,15,8,29,19,12,15,2
"61651",10,20,10,12,4,10,22,13,7,21,4
"300181",13,11,8,5,6,2,11,5,4,3,0
"458197",6,9,0,3,1,1,9,3,0,3,1
"1443113",2,10,3,4,4,1,16,4,0,6,2
"34053",1,4,1,2,0,1,3,6,1,3,0
"367190",14,14,8,15,8,4,15,9,2,16,0
"633",10,14,8,5,8,0,9,5,3,15,1
"632",4,10,2,5,6,2,7,6,3,2,1
"29486",29,42,20,28,22,10,39,15,16,29,5
"935293",29,34,33,13,32,8,35,26,10,40,2
"28152",16,18,4,13,11,2,33,14,8,27,2
"1453495",15,22,6,8,16,6,28,10,8,18,0
"29484",14,29,14,8,8,3,25,15,8,32,2
"349967",24,31,13,16,11,5,25,12,14,44,3
"29485",21,18,11,8,17,1,20,12,6,18,1
"263819",6,17,10,14,9,6,19,10,6,17,1
"2607663",10,11,4,15,7,5,16,16,4,20,3
"2339259",3,6,1,2,0,0,9,3,1,2,0
"349968",1,2,1,1,1,0,3,0,1,4,0
"419257",7,2,0,4,4,0,3,5,1,3,0
"1179669",0,4,1,9,3,0,2,3,7,3,2
"2126321",212,339,135,205,195,47,342,170,97,283,34
"745277",61,48,25,51,42,8,82,29,17,62,4
"1151116",1,1,2,1,1,1,1,1,0,3,0
"1805933",81,86,51,58,58,18,94,68,26,100,9
"741091",1,1,0,0,1,1,3,1,0,4,2
"2703885",6,11,7,7,2,1,16,6,1,5,2
"929813",139,189,94,121,126,28,195,104,50,207,13
"1646377",85,124,56,82,85,17,126,82,47,109,20
"41202",74,129,63,72,60,23,110,64,40,105,15
"1441930",38,55,39,33,16,9,41,34,24,57,2
"1878942",12,19,8,10,8,4,21,11,8,12,1
"2575375",95,103,62,84,80,26,138,49,28,88,6
"592316",66,95,36,58,80,20,105,41,41,94,9
"1484158",66,107,66,54,67,17,101,161,46,119,7
"2052056",51,87,40,42,46,12,86,40,28,53,10
"2490851",42,70,25,52,41,14,83,38,27,80,9
"2479547",31,38,27,13,25,5,49,16,16,45,6
"2768165",2,8,0,0,4,0,7,3,1,7,0
"2787629",10,11,5,2,1,0,6,9,0,10,3
"59814",207,302,117,183,194,51,314,180,102,286,25
"712898",3,8,2,6,3,0,10,5,3,12,3
"549",84,250,67,104,93,33,168,108,43,183,29
"932677",1,1,0,0,1,0,1,0,0,1,0
"1123863",1,0,11,0,1,0,1,1,0,4,1
"55209",56,108,52,55,59,14,115,55,24,94,11
"66271",3,11,7,13,2,1,19,9,4,15,3
"1891675",55,101,33,41,36,18,93,49,23,65,7
"1076550",38,94,34,42,36,25,65,23,21,51,4
"1235990",3,11,3,1,7,2,13,1,0,15,2
"470933",6,12,7,6,4,3,4,6,1,10,1
"1619313",88,141,67,71,89,28,185,92,43,111,18
"55211",75,98,59,60,65,22,112,60,36,91,8
"2681984",43,77,35,35,50,15,66,40,32,60,11
"2547962",16,18,9,10,12,2,19,8,7,13,2
"215689",8,26,15,6,17,3,15,12,11,14,1
"465817",51,72,24,53,35,12,90,39,24,70,4
"634500",13,26,11,12,20,2,36,15,17,21,4
"1407064",1,2,1,1,0,0,3,1,0,1,0
"716540",0,0,0,1,1,0,1,0,1,1,0
"1922217",25,44,29,24,29,8,56,23,15,41,5
"79967",0,13,4,5,13,0,20,7,1,0,1
"665914",129,166,61,131,133,28,195,102,58,209,16
"665913",96,138,80,158,101,27,156,89,60,167,13
"1458355",94,145,63,99,75,19,151,86,53,129,14
"1615494",43,108,26,61,46,19,108,44,38,75,12
"1241869",3,5,3,3,3,0,10,4,0,4,1
"118103",0,2,0,2,1,0,8,1,2,3,0
"135842",6,1,2,0,8,2,8,2,9,4,0
"1315998",6,8,3,5,7,0,7,9,2,5,0
"2315800",9,8,12,8,6,0,7,7,2,7,0
"2518979",0,0,1,0,0,0,6,0,0,2,0
"98785",0,0,1,0,1,0,5,0,0,2,0
"2518977",0,1,0,0,0,1,4,0,0,1,0
"1660043",4,2,0,1,0,0,4,1,2,2,0
"1258543",1,3,2,1,1,0,3,0,0,0,0
"1241860",3,4,0,1,0,0,3,2,2,0,0
"1241836",0,3,0,0,1,0,3,0,1,2,0
"1241834",0,0,2,0,1,0,3,0,0,3,0
"911343",3,1,0,0,3,1,3,1,1,2,0
"2518976",3,11,0,0,3,1,3,2,2,2,0
"2173854",1,1,1,0,1,1,3,1,0,0,0
"118101",0,1,7,0,2,1,3,0,1,0,0
"2495405",0,2,1,1,1,0,3,1,7,3,0
"557993",1,0,1,2,0,0,2,0,4,2,0
"1241865",4,2,2,1,0,0,2,2,0,2,0
"1241859",1,1,5,2,2,0,2,2,0,2,0
"118110",0,10,0,5,3,0,2,0,0,3,0
"1660040",0,2,1,1,3,0,2,0,0,0,2
"655384",1,0,1,0,1,0,2,0,0,2,0
"571428",0,0,0,1,1,0,2,0,0,1,0
"1878935",0,5,1,2,1,1,2,0,0,1,0
"1507522",3,0,2,1,5,0,1,1,1,1,0
"2315802",0,4,0,0,0,0,1,1,1,0,0
"1265350",1,0,0,0,0,0,1,0,1,0,0
"1921549",0,1,0,3,1,0,1,1,0,2,0
"2518980",0,1,0,0,0,0,1,0,0,0,0
"98793",2,3,0,0,3,0,1,0,2,1,0
"1241878",0,0,3,0,0,0,1,3,3,0,0
"98794",0,2,0,0,0,2,1,1,0,2,0
"98804",0,1,0,0,0,0,1,2,0,0,0
"118118",0,1,1,1,0,0,1,0,0,1,0
"261318",0,0,0,0,0,0,1,2,1,1,0
"571430",0,1,1,0,0,0,1,2,0,1,0
"1241832",2,0,0,1,2,0,1,1,2,5,0
"1241833",0,1,3,1,4,1,1,1,0,4,0
"1241884",3,0,0,1,4,1,1,0,4,4,0
"53336",14,34,16,20,12,9,48,21,13,26,5
"82987",24,33,22,15,24,8,41,16,9,36,4
"2487345",39,38,14,19,18,5,41,14,13,29,2
"36868",2,7,1,4,5,0,5,8,0,4,0
"590409",15,26,11,7,15,1,25,14,10,15,2
"1427366",10,13,6,6,4,3,14,7,2,12,3
"1224147",8,6,3,3,4,0,13,3,4,6,1
"1224153",3,9,5,6,5,4,9,3,1,13,1
"1223567",1,4,4,4,5,0,8,2,0,1,0
"1223573",1,4,2,5,3,0,4,2,4,5,0
"1224146",5,5,5,1,4,1,3,5,2,5,1
"1223569",38,54,24,33,24,5,58,23,6,45,3
"1223571",21,55,12,21,18,3,35,18,8,21,6
"561229",0,0,0,0,0,0,1,0,0,0,0
"204040",37,36,13,22,24,5,33,28,12,30,4
"1224149",23,29,11,17,3,3,15,22,7,16,5
"198628",7,16,10,3,3,2,11,6,3,14,2
"1223572",0,0,0,0,0,0,1,0,0,0,0
"579405",0,1,0,0,0,0,4,0,1,0,0
"1226343",3,2,4,1,0,0,3,1,1,3,0
"1223570",1,0,0,0,0,0,1,0,1,4,0
"1225780",0,0,1,0,1,0,1,0,1,0,0
"1089444",38,0,17,34,40,15,67,55,28,60,9
"568766",17,55,13,16,19,7,46,22,13,26,3
"2037915",1,1,1,0,1,0,9,3,5,3,1
"1224145",2,6,1,6,4,1,5,3,2,5,0
"1778540",29,72,22,25,41,9,63,35,14,52,6
"568768",36,36,28,19,44,20,60,26,11,44,4
"180957",60,105,37,57,53,15,96,50,43,77,10
"555",33,74,38,31,41,7,61,39,15,67,10
"2042057",37,48,22,37,53,12,72,32,12,50,4
"218491",9,16,1,4,5,1,7,4,2,8,2
"1905730",0,0,0,21,26,9,35,15,15,45,4
"2108399",23,35,19,17,18,4,33,13,8,30,1
"1175631",25,26,12,14,13,3,32,12,4,26,3
"2488639",15,22,10,12,17,6,30,16,4,31,6
"78398",13,18,12,16,11,2,21,15,5,16,1
"1201031",6,5,4,5,3,3,6,3,3,8,1
"2722756",97,113,63,71,90,23,154,68,41,123,8
"1109412",64,98,51,56,63,15,105,50,35,108,9
"55213",46,69,32,51,55,13,91,37,26,68,4
"1172565",87,128,58,71,88,17,132,58,39,125,13
"1082704",78,100,64,62,67,15,112,49,41,108,13
"718251",0,0,0,5,0,1,1,0,0,0,0
"93378",83,107,51,68,78,15,103,50,30,106,9
"67780",0,83,39,61,0,13,92,48,43,0,11
"1288122",4,8,1,1,5,0,7,2,1,4,1
"1578828",3,9,4,5,2,3,6,6,1,4,0
"1650654",1,0,1,1,0,0,5,0,1,1,0
"667120",0,0,0,0,1,0,2,0,0,0,0
"1453496",3,3,0,10,3,0,3,1,5,5,0
"546367",28,34,19,22,30,3,27,19,11,45,4
"1848580",5,4,2,1,2,0,4,4,0,3,0
"82983",16,25,9,16,13,3,20,11,7,25,1
"1141663",0,2,0,0,0,0,4,0,0,1,0
"158850",10,12,13,13,10,2,19,10,11,30,0
"126385",8,30,8,12,7,1,18,4,2,14,3
"333962",14,18,10,8,6,2,16,4,4,12,3
"1141660",12,9,2,8,8,0,16,3,10,13,3
"333965",6,25,6,4,12,5,13,6,6,12,0
"588",2,4,0,2,7,0,4,2,0,6,0
"2791982",0,0,0,0,0,0,2,0,0,0,0
"406818",21,25,7,6,21,2,21,10,6,18,2
"351671",23,22,16,28,22,10,27,18,8,49,3
"351679",7,17,9,14,14,2,25,13,4,23,3
"628",22,15,15,12,15,1,23,14,4,25,1
"1354304",15,13,5,11,13,2,21,6,8,12,3
"290110",14,13,12,8,11,3,16,8,6,16,1
"180434",1,0,0,1,1,0,1,1,0,1,0
"584",0,56,50,43,110,6,54,0,0,0,7
"585",16,34,13,13,12,2,29,19,8,29,1
"183417",9,9,5,6,2,0,13,8,1,9,0
"102862",6,4,0,3,2,0,9,2,1,2,0
"2697019",3,4,1,1,1,0,5,3,3,5,1
"626774",1,2,1,2,2,0,1,2,1,0,0
"1987580",2,2,0,0,1,0,1,0,1,1,0
"230089",9,18,10,15,13,2,29,15,5,16,2
"141679",16,31,22,8,15,3,28,7,9,22,1
"291112",22,11,9,12,12,3,22,8,5,22,4
"235559",4,13,0,3,3,3,19,8,0,6,1
"1231049",7,13,5,3,5,3,6,4,2,7,0
"638",9,7,12,5,8,1,14,2,4,15,1
"634113",4,2,1,3,1,3,2,2,2,4,0
"1239307",84,128,63,90,61,25,124,71,41,126,14
"2342",60,66,24,60,54,5,65,35,40,58,4
"1929246",5,9,8,5,3,2,8,8,3,4,4
"158841",52,86,37,54,55,8,89,34,23,71,9
"82985",15,25,20,14,16,3,26,18,17,36,2
"2172103",12,14,12,9,13,1,15,9,9,15,4
"2498113",16,13,4,9,7,1,12,11,12,16,1
"703",78,81,48,47,62,20,122,53,20,86,5
"1255043",801,969,486,554,648,191,1202,544,340,938,83
"396588",681,994,463,509,609,229,1198,586,356,934,93
"713585",648,893,376,487,580,179,1057,485,313,879,73
"396595",478,699,300,372,484,151,695,401,260,665,58
"106634",476,735,335,365,411,154,686,459,207,666,60
"1765967",470,710,343,377,478,137,866,434,203,736,45
"2792603",568,701,377,451,541,161,846,455,266,763,63
"2819280",322,387,208,237,276,82,465,287,155,400,29
"1335757",336,478,225,287,330,99,577,258,156,472,35
"2666185",288,417,167,208,286,80,495,274,118,392,42
"1260251",196,307,154,165,207,63,335,173,95,322,38
"349124",665,919,415,514,633,185,955,539,295,871,82
"1052",104,129,81,89,90,21,163,78,41,127,13
"2740807",651,835,424,495,571,181,1030,509,289,913,58
"187272",533,929,374,506,587,201,984,553,318,831,93
"421628",230,347,147,170,180,83,358,179,103,307,33
"1442136",210,292,178,172,191,68,349,205,90,271,32
"1166950",1019,1531,697,858,942,223,1658,935,391,1417,115
"765912",1035,1429,585,794,894,242,1530,894,423,1323,110
"765910",935,1303,622,777,844,228,1444,831,413,1286,107
"572477",691,933,425,477,600,168,1047,503,289,855,79
"765911",630,804,395,468,533,132,953,451,263,870,73
"316276",444,579,294,334,376,108,667,320,190,549,60
"472759",60,94,48,46,72,24,122,57,25,76,5
"1814290",74,108,45,53,79,25,104,56,33,99,10
"323261",39,63,36,44,46,92,72,31,15,70,3
"105559",43,67,28,38,50,26,69,33,13,60,2
"2699430",347,449,204,202,294,58,460,220,131,421,46
"1763998",55,75,34,34,38,16,59,46,24,71,4
"2498451",22,45,10,8,20,6,44,17,5,36,3
"2545632",17,19,19,9,17,8,16,14,8,38,1
"553981",13,12,1,5,13,3,35,7,4,11,1
"1630141",18,23,16,7,19,4,23,8,6,25,1
"1579979",676,905,444,516,656,177,981,555,301,948,76
"2771012",414,555,273,361,396,153,676,349,175,537,43
"2795687",175,247,61,109,134,48,312,147,86,211,16
"585455",120,155,74,69,87,52,159,85,48,153,11
"1972068",601,783,387,418,552,199,1075,485,340,843,93
"47960",653,922,356,607,611,185,1033,581,272,904,74
"1860122",315,381,188,223,278,70,405,191,154,397,30
"555778",90,142,90,80,109,36,191,79,65,137,10
"1548547",347,444,209,189,276,133,576,200,122,440,49
"1811807",138,213,106,110,163,33,269,128,77,232,14
"1192854",125,206,96,108,151,32,229,127,53,236,19
"2587844",516,787,366,477,414,158,784,449,218,718,70
"2773308",376,543,217,302,308,129,546,322,159,475,35
"2587849",308,438,213,286,286,112,546,243,126,485,37
"1883416",380,513,214,310,290,131,546,313,162,475,30
"2733488",305,540,220,245,256,101,541,279,132,433,47
"2733487",336,484,231,266,313,118,537,307,139,456,37
"2497861",296,500,230,272,288,110,528,290,156,466,33
"1609967",300,548,230,298,273,116,485,252,150,444,36
"2306583",309,514,200,192,248,83,411,267,116,398,38
"2730360",207,375,132,192,175,54,311,216,102,304,29
"2562282",107,173,110,116,138,49,231,97,62,163,19
"2749040",92,159,66,70,97,34,166,99,61,145,17
"2785909",110,159,79,97,92,39,145,89,53,156,15
"1504981",58,93,85,38,47,19,104,54,35,75,10
"2136172",48,79,40,47,49,26,95,55,38,90,10
"2733484",34,54,21,33,51,10,75,26,19,63,9
"1118153",43,75,19,24,29,17,71,35,14,55,8
"2014541",19,23,8,12,8,6,32,7,4,15,3
"1971364",20,18,12,15,13,4,31,12,7,12,1
"1666906",10,20,7,8,15,7,31,17,11,20,2
"1761789",12,21,9,9,17,12,24,12,7,27,2
"1346287",9,8,4,3,1,3,18,5,1,10,2
"1250400",0,0,0,0,0,3,3,0,0,0,0
"475662",469,927,342,513,475,160,786,473,224,726,67
"1897729",400,696,248,348,384,126,637,352,172,610,73
"1081866",325,553,213,264,316,129,477,327,125,518,44
"768066",283,463,224,212,258,118,468,272,147,448,41
"507626",270,447,191,217,231,90,412,216,116,320,27
"115561",154,277,105,95,162,52,296,155,90,222,21
"29571",202,237,131,118,131,52,284,123,91,218,25
"1178482",150,234,130,142,160,60,272,137,88,240,27
"29570",215,278,126,153,169,73,270,181,102,310,23
"2609667",81,144,85,47,86,25,141,68,45,124,12
"664683",52,90,59,36,53,13,91,30,22,72,3
"74661",29,49,21,24,31,18,60,33,31,55,5
"44935",13,16,23,24,30,9,33,27,5,40,4
"213554",6,5,1,6,4,0,23,6,1,13,0
"272774",6,0,4,6,2,1,5,4,1,7,0
"2686360",127,193,87,92,101,52,204,98,64,155,19
"2609415",58,98,45,50,57,23,109,71,40,109,7
"2661553",53,62,38,38,50,16,87,54,22,80,1
"2053669",2,2,0,1,0,1,7,1,0,3,0
"1055101",56,53,28,51,43,10,94,35,28,81,10
"28258",2,12,7,4,4,0,7,2,3,3,0
