"","X9JUZM2TOMPOOB100355.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report"
"2201356",20,76,46,147,130,82,104,78,91,143,121
"2804761",19,92,66,212,156,109,96,114,131,158,124
"2730847",13,87,59,250,135,106,124,97,109,146,106
"1573719",19,73,48,176,104,76,106,88,85,127,98
"1649877",23,96,63,215,136,98,107,88,95,134,122
"1981174",10,82,63,325,132,92,75,75,135,94,123
"2073078",9,77,51,206,144,74,77,88,98,134,81
"2730848",12,55,33,139,71,68,72,78,83,80,91
"2823875",31,87,50,144,106,83,83,75,95,96,100
"2219057",16,56,44,146,96,59,88,74,72,110,79
"2052956",6,59,33,248,107,69,65,79,80,100,76
"658644",15,59,49,146,100,86,91,65,93,114,77
"1898684",10,371,55,167,56,55,38,75,102,82,91
"253237",8,188,24,176,56,46,40,61,102,50,59
"1611770",6,50,40,220,73,54,54,64,62,91,60
"1573712",11,70,50,169,91,62,73,57,55,98,65
"1207075",4,37,38,82,74,43,53,39,42,88,35
"1534110",20,48,27,137,62,45,49,62,43,79,35
"2590776",9,41,29,111,70,66,52,60,52,74,48
"2213057",7,208,242,134,59,46,51,62,102,80,69
"2662033",14,41,39,128,66,41,42,42,55,75,67
"2774459",9,53,43,131,80,82,74,63,88,80,80
"2025658",12,44,45,112,79,55,68,55,84,90,59
"2812000",11,47,39,103,65,52,47,48,61,72,56
"1259844",60,171,33,370,51,43,47,36,77,61,49
"1702250",11,47,28,122,64,53,59,40,61,59,46
"2587845",10,124,189,136,64,42,50,67,96,63,73
"2604941",1,35,33,115,40,27,32,20,39,46,30
"1573711",7,40,27,56,65,40,53,29,52,63,50
"1855380",8,22,17,63,50,30,55,31,37,68,46
"2479392",4,41,29,129,47,33,35,36,53,59,49
"2597770",7,22,18,56,33,31,14,24,31,48,28
"1758730",5,25,18,85,30,22,28,31,43,41,36
"1500686",4,23,17,42,41,40,47,27,41,60,31
"2559074",3,37,28,66,48,27,26,19,33,34,24
"2054915",2,24,14,39,32,14,20,38,60,43,25
"118613",9,48,24,50,62,45,34,40,43,64,43
"658629",3,22,17,54,32,22,25,28,19,59,36
"2018067",8,28,22,49,36,30,46,15,39,59,27
"1500687",7,30,18,59,37,24,19,24,35,43,35
"1573720",1,14,12,58,36,23,29,27,17,32,15
"1636610",3,28,23,164,19,23,23,27,33,32,38
"2067572",4,16,14,50,22,14,17,11,18,29,24
"2126069",2,22,17,52,30,18,33,15,9,24,21
"1827300",4,31,23,45,34,29,16,16,35,37,33
"2005388",3,24,19,54,33,24,31,28,22,47,28
"2605424",0,19,14,27,28,21,13,9,10,18,24
"1855331",0,1280,5,53,11,11,10,16,17,31,16
"676210",6,22,11,55,62,16,28,24,33,31,31
"1173283",1,16,11,17,33,14,13,21,10,23,15
"2730851",4,17,15,23,31,15,17,21,22,17,22
"2069256",5,13,9,35,11,8,8,9,11,17,13
"2045200",4,1155,12,21,19,14,21,19,42,31,17
"2169583",2,11,16,24,21,15,13,14,22,23,16
"1659194",4,11,10,46,24,23,11,19,22,19,17
"2083055",1,14,12,18,13,11,14,12,14,27,11
"76885",7,16,15,30,6,10,12,10,6,12,4
"2083054",2,13,4,17,19,14,16,4,14,14,15
"2777367",0,8,9,27,5,11,9,11,5,9,6
"2749807",0,12,9,38,17,13,16,13,9,24,20
"658643",1,10,4,4,10,3,7,3,3,17,9
"1173270",1,8,5,17,15,10,16,16,11,21,9
"658642",1,5,3,25,9,7,2,9,9,14,15
"1886807",3,3,5,19,10,12,13,6,5,7,7
"1415630",2,9,9,25,11,9,19,10,14,13,14
"69328",5,7,7,33,8,12,9,8,15,10,6
"2651048",4,8,4,41,15,13,14,12,14,12,7
"1173273",0,13,9,20,12,13,12,9,4,13,10
"2654238",2,8,9,21,19,14,14,9,12,15,12
"2662034",5,71,15,325,10,10,13,3,33,8,5
"1173288",3,6,10,17,11,6,2,3,11,11,18
"658632",2,4,3,6,6,5,1,6,8,7,6
"2762896",6,1120,8,35,8,4,14,8,33,20,12
"1173280",0,4,1,10,18,3,5,5,5,9,5
"2083053",0,9,18,82,19,15,12,15,41,19,14
"658641",1,8,3,13,7,6,4,3,3,9,6
"2083052",2,23,3,57,4,12,14,8,16,14,8
"1173284",0,6,8,20,8,9,4,5,4,11,9
"147212",2,4,4,28,18,10,6,8,7,15,5
"2738843",1,7,4,24,17,10,10,8,8,23,21
"2587597",3,1,2,11,6,1,4,6,5,10,3
"2664899",2,5,6,15,25,8,8,7,4,8,7
"2083051",3,6,9,7,5,13,11,5,3,10,10
"1338689",2,8,0,12,2,6,6,2,5,1,4
"2545800",0,2,0,3,2,1,0,2,9,1,3
"306",0,6,0,4,1,4,2,2,0,0,3
"1495331",1,1,1,4,0,0,1,0,0,0,2
"2479393",4,1,3,6,4,3,4,13,0,5,0
"1761895",0,4,2,2,4,4,2,3,4,3,4
"2609418",0,4,2,8,4,5,0,2,3,6,1
"1523522",0,0,2,0,0,0,1,0,0,1,1
"287",266,1696,1211,4819,2523,1764,1746,1880,6907,2580,2277
"300",149,2395,677,2451,1192,829,804,1023,2124,1103,11506
"53412",52,366,270,853,716,389,374,498,840,586,566
"1232139",301,618,358,1579,1221,766,620,738,2014,734,1176
"43263",223,836,884,7538,986,798,561,712,1421,720,4744
"627141",82,419,302,1003,740,520,538,507,722,777,634
"53408",46,238,183,614,503,336,335,315,401,492,412
"294",452,1684,1180,4379,2619,1858,1993,1842,2130,2847,2254
"380021",91,487,382,1153,725,579,585,548,706,765,589
"47878",48,203,186,525,426,312,303,328,297,403,297
"76758",50,223,188,561,360,256,279,263,300,384,300
"47883",36,193,169,523,272,178,226,186,210,307,234
"200451",23,140,99,309,206,146,170,140,169,257,195
"200450",23,155,101,352,252,146,189,147,191,309,195
"47879",63,1010,106,493,195,126,115,121,182,191,149
"46679",17,92,79,272,145,113,84,90,111,122,97
"183795",68,468,1277,13884,157,121,124,118,193,174,203
"76760",18,94,186,262,179,118,126,116,142,162,143
"29442",9,91,83,196,178,97,112,78,121,175,113
"78543",16,75,67,192,136,115,84,74,112,157,128
"651740",11,74,78,209,123,95,91,77,91,144,103
"129817",10,70,55,185,110,80,60,68,79,97,74
"169669",7,51,42,147,83,72,72,69,84,75,77
"75588",6,41,41,103,69,42,52,40,69,75,58
"76761",11,48,24,113,65,46,34,40,65,68,47
"75612",3,37,19,74,40,35,35,32,21,53,40
"303",710,3193,1906,16680,3719,2542,2706,2671,3540,3826,3148
"47885",177,602,486,1372,991,602,716,634,700,990,929
"76759",76,355,269,864,415,330,354,361,398,559,445
"47880",50,284,189,840,381,271,290,359,463,423,398
"70775",34,185,114,500,222,171,145,118,169,216,223
"2217867",12,30,30,81,45,52,38,33,35,61,39
"78327",2,17,21,70,49,24,30,23,23,42,37
"578833",463,5083,5689,9630,5029,3515,3402,3934,6722,4887,4862
"74829",72,490,449,4463,717,522,513,533,861,805,725
"271420",25,194,198,454,259,163,148,169,223,216,219
"47886",7,36,24,95,63,33,41,31,72,57,34
"587753",249,1165,908,2884,1900,1369,1487,1478,2264,2077,1503
"86185",15,131,93,301,185,121,117,107,116,168,122
"296",11,61,50,161,121,74,95,78,93,139,114
"2604832",48,284,229,739,6498,874,692,793,5629,696,1341
"251695",70,484,364,1331,693,483,493,475,566,614,609
"33069",20,131,90,424,215,139,148,149,176,201,187
"1190415",18,125,97,357,170,127,121,129,178,170,139
"36746",16,140,98,370,196,130,133,146,196,190,155
"53409",16,90,80,213,135,98,106,108,94,147,111
"251698",5,39,37,131,62,34,61,39,75,80,50
"50340",4,43,26,91,64,52,69,58,46,70,56
"251701",4,23,12,82,29,24,13,13,26,29,22
"2775504",2,7,3,31,8,5,9,4,7,7,11
"46257",0,2,1,7,3,0,2,2,8,3,1
"86840",0,0,1,1,2,1,0,0,1,0,0
"1392877",93,556,396,1180,796,628,649,643,863,854,1568
"319939",93,464,412,1201,833,580,614,716,1223,898,986
"237610",103,538,451,1343,875,685,611,625,849,892,765
"1301098",15,85,61,185,130,120,158,113,126,178,265
"1245526",54,325,268,987,520,405,451,421,491,589,559
"384676",41,157,119,433,278,161,208,186,196,260,227
"43306",52,260,206,642,520,387,366,307,375,514,437
"157782",52,237,189,551,412,284,297,274,307,439,329
"2599595",49,216,152,555,403,305,290,291,308,419,321
"487184",28,255,163,725,351,238,226,238,293,343,271
"104087",38,183,136,469,255,212,201,200,221,288,214
"237609",32,184,190,490,241,190,197,212,235,315,256
"216142",32,158,119,420,273,192,191,216,267,292,229
"1499686",36,269,200,486,285,191,181,227,331,278,286
"472181",31,205,133,543,273,204,177,210,211,268,279
"364197",28,158,138,585,215,166,135,183,251,256,191
"157783",31,176,126,475,293,214,205,189,230,248,211
"198618",27,150,124,382,213,156,169,158,168,221,149
"86264",2,2,3,12,4,3,2,0,8,10,5
"198620",38,162,75,428,215,167,150,164,207,252,194
"553151",20,190,144,498,207,134,128,139,134,236,217
"515393",28,151,90,320,238,149,168,184,191,243,198
"1395516",35,80,23,113,62,36,43,28,44,45,40
"797277",25,186,132,406,250,152,164,165,163,219,185
"95300",19,126,72,391,183,146,117,140,169,178,161
"702115",38,139,106,425,225,158,152,147,151,197,162
"437900",11,135,73,460,155,139,115,137,169,173,151
"1691904",14,601,89,300,137,91,104,108,199,138,178
"219572",16,82,82,249,184,104,124,108,120,177,129
"86265",44,116,90,259,147,124,126,100,122,155,125
"1148509",24,91,61,219,167,116,113,84,145,187,135
"359110",17,96,66,306,126,128,118,98,183,160,130
"1853130",26,88,67,199,145,105,117,91,151,203,111
"191390",27,110,78,235,167,102,118,132,207,172,112
"395598",21,92,81,220,161,130,97,95,123,168,97
"741155",17,626,65,208,103,64,75,84,129,85,123
"1434072",25,108,78,334,201,112,119,110,169,212,158
"244566",22,69,61,207,143,102,104,86,86,166,117
"321846",13,67,44,163,132,78,99,77,80,109,83
"46677",21,81,75,252,163,104,133,133,195,184,166
"1274359",8,547,44,203,77,61,59,71,149,101,96
"1421430",14,110,82,234,159,110,107,116,131,157,112
"2505979",35,98,66,156,123,97,71,75,73,131,74
"47884",9,92,75,268,112,87,88,102,125,153,92
"554344",9,341,55,238,68,74,71,128,287,74,146
"163011",18,91,57,209,117,75,92,81,86,133,81
"158627",20,82,56,194,109,55,86,82,81,115,91
"2774460",7,57,40,160,87,65,76,73,94,82,75
"2774461",9,56,21,214,63,48,62,50,82,71,56
"2502979",11,88,37,200,83,52,58,78,143,95,83
"1788301",4,67,47,190,94,67,47,82,64,93,95
"122355",9,61,54,165,109,73,68,70,85,121,84
"1628086",16,55,38,140,64,49,58,45,70,96,67
"53407",6,44,31,113,52,43,48,56,45,66,40
"1306993",5,27,19,65,24,25,17,31,21,25,28
"2565368",52,59,24,77,68,29,34,32,25,40,34
"1615674",1,23,13,62,46,39,30,10,33,34,30
"1785145",5,16,23,50,25,16,13,14,5,20,10
"2681983",4,16,7,32,9,8,10,20,19,22,12
"1583341",5,8,7,16,20,8,12,8,10,10,10
"2219225",0,45,4,246,6,4,5,7,11,8,4
"1302376",3,4,6,17,6,11,3,5,9,9,7
"470150",1,3,4,4,9,0,5,3,3,2,1
"353",100,556,447,1215,793,611,820,779,762,918,702
"69964",72,358,289,647,488,373,847,518,458,507,441
"354",73,361,252,780,548,416,500,450,627,637,562
"1510150",73,367,165,5082,326,185,163,162,157,275,282
"1697053",3,33,20,93,44,18,12,15,11,24,22
"2213226",1,6,14,31,13,11,4,4,11,10,19
"2785331",0,8,8,42,14,3,3,8,4,7,14
"1879049",6,63,41,185,82,76,60,60,52,116,92
"2563897",3,15,10,43,19,11,9,18,3,10,13
"2798861",0,9,10,31,11,6,11,7,12,16,10
"2004646",1,4,3,26,5,7,4,0,3,11,12
"2714110",3,14,4,25,15,14,8,5,5,11,10
"2004647",1,5,2,11,8,3,6,2,1,8,4
"1407071",0,9,5,26,12,8,6,3,8,5,7
"2601122",1,10,1,18,16,13,8,10,7,19,12
"1646498",1,7,5,44,10,5,6,4,5,10,8
"1808001",1,13,7,30,17,9,8,9,12,12,14
"1608473",1,10,5,14,5,9,2,4,3,4,8
"1758189",1,12,10,36,6,8,6,4,3,12,10
"2079596",0,3,0,4,2,3,1,1,4,5,5
"1636603",0,7,0,24,4,6,2,1,1,14,2
"2545797",0,2,3,14,3,3,0,1,14,11,4
"1827285",0,1,3,17,2,1,7,3,1,4,5
"2609668",2,0,4,10,2,0,2,2,3,8,4
"2725684",0,1,3,3,1,1,1,0,0,3,2
"2004644",1,2,3,8,2,1,4,2,3,2,0
"2743575",1,1,0,3,2,3,3,0,3,2,3
"470",14,34,20,151,66,61,68,76,35,55,116
"48296",81,43,7,47,31,46,9,17,14,19,50
"471",9,10,8,41,15,22,12,19,12,21,17
"1530123",8,15,12,40,20,11,17,28,16,21,11
"106654",4,14,7,28,14,9,11,12,6,16,10
"1785128",19,7,3,22,9,8,5,3,3,10,4
"756892",8,91,41,189,67,59,33,55,34,61,44
"1789224",2,13,6,53,18,10,6,8,6,28,11
"108981",3,34,17,156,22,21,22,21,14,27,20
"29430",1,13,11,60,8,10,14,12,11,14,12
"40214",1,15,17,0,0,0,25,15,0,0,0
"981334",0,1,0,5,4,2,1,0,3,3,3
"487316",2,14,4,59,16,19,11,13,14,22,20
"106648",15,7,14,82,16,9,11,12,14,20,106
"1046625",0,0,0,1,3,0,1,0,1,0,0
"134534",0,13,3,35,24,8,9,8,8,12,4
"202954",0,11,7,57,16,6,12,10,9,12,12
"70348",1,2,4,39,8,5,14,6,5,6,11
"1197884",2,9,2,39,9,7,3,1,2,2,4
"1879050",0,6,3,63,16,18,11,10,10,18,18
"62977",3,10,5,30,18,5,10,9,3,11,23
"70346",0,16,2,18,4,4,10,4,2,8,10
"108980",2,20,10,68,24,11,16,11,9,20,19
"2006115",2,9,3,36,8,4,9,6,4,11,8
"1871111",2,7,3,15,3,1,10,6,5,8,6
"2715163",1,8,3,35,6,9,9,10,5,4,11
"40215",1,14,74,113,20,37,15,13,7,30,34
"202956",2,14,6,19,5,4,10,6,4,3,8
"2136182",2,3,4,22,1,6,9,6,4,7,14
"436717",3,2,2,18,3,3,5,0,3,2,7
"106649",1,3,4,8,8,1,4,2,3,5,3
"2662362",3,4,5,30,6,3,8,5,6,10,9
"2715164",2,6,8,25,12,10,5,2,4,6,5
"2004650",1,12,2,5,6,9,3,7,8,12,8
"1324350",2,9,0,18,15,8,4,5,4,6,8
"1699621",3,12,8,37,13,12,19,6,8,11,15
"1028416",4,8,12,37,22,16,11,6,7,14,9
"1699623",2,4,3,26,3,5,4,8,9,8,2
"1720344",2,4,4,27,10,3,3,5,1,9,6
"1699622",0,2,3,9,1,2,1,2,5,11,4
"2772254",3,10,4,25,5,8,8,7,5,10,8
"571800",0,5,1,16,3,3,1,5,4,3,11
"349106",0,6,0,11,7,2,5,2,3,4,5
"1699624",0,4,2,15,4,6,1,6,3,7,4
"56811",1,1,0,1,1,0,1,1,1,5,1
"2733866",2,5,4,21,1,8,1,5,3,1,4
"2203895",1,1,0,11,6,1,2,1,3,0,1
"1028419",0,0,0,0,0,0,0,0,0,0,0
"256326",3,19,17,33,29,33,39,21,18,24,23
"45610",2,17,24,58,26,16,43,17,14,27,14
"259536",2,12,3,19,19,11,16,7,12,18,24
"330922",0,8,5,18,2,3,3,6,2,16,7
"34062",5,40,30,105,53,49,45,47,39,68,68
"476",3,6,2,53,21,10,5,9,9,16,24
"480",0,0,5,103,19,6,8,8,8,19,9
"34061",5,21,14,70,22,13,13,13,9,24,29
"386891",2,9,7,40,22,12,10,8,5,18,15
"478",0,11,4,31,7,12,6,5,7,15,7
"29433",1,3,1,4,1,4,5,2,3,2,1
"2283318",3,33,27,100,53,37,34,23,20,54,44
"453783",924,5911,18486,6768,30973,10121,6226,5381,4123,7685,5458
"2290922",236,1477,1508,3552,2891,1844,1851,1309,2159,2876,2498
"2762611",117,1017,1126,2730,1452,877,987,826,1233,1438,1914
"2781021",34,212,199,552,337,201,231,172,334,392,406
"2781022",29,218,206,549,341,217,233,185,247,295,377
"2714936",23,125,93,370,227,171,134,94,150,160,178
"2781024",15,150,126,426,183,108,110,123,168,204,230
"2781023",19,125,87,320,163,120,103,98,141,190,199
"69",485,3411,3634,9089,5630,3522,3636,2918,4069,5517,5383
"2763317",651,4010,4077,8889,6974,4203,6022,3507,6222,8634,6557
"2795387",212,2362,3364,3588,4678,2083,1891,1754,1914,2694,2318
"84531",199,1401,1321,3729,2183,1259,1371,1115,1444,1929,1901
"435897",198,1238,1379,3514,2279,1299,1296,977,1329,2073,1954
"1605891",212,1532,1453,3963,2077,1260,1494,1236,1886,2032,2640
"1324796",223,1260,1022,9430,2231,1617,1371,963,2664,2511,4297
"262324",138,996,1024,2511,1683,949,1090,774,1072,1561,1298
"2591633",147,1160,1205,2983,1563,973,1179,934,1336,1547,2095
"2698682",109,912,788,2992,1252,817,813,667,1335,1450,1515
"40324",483,3359,2627,8522,3902,2752,2960,2573,3210,4339,5109
"2072414",29,222,225,547,301,205,232,202,231,347,279
"2072413",22,226,207,569,275,188,202,176,210,320,314
"2072405",19,115,95,294,169,106,111,83,101,186,138
"2072407",5,77,65,189,130,59,75,54,57,111,114
"2072412",18,83,75,192,102,60,79,65,60,117,99
"2072406",12,61,60,163,78,63,61,31,57,83,71
"2072409",3,32,28,56,45,22,15,16,18,29,30
"2072408",3,26,12,72,28,20,30,21,41,27,24
"1904944",62,458,370,1187,620,370,449,373,440,536,593
"2770322",45,433,335,945,540,339,364,285,412,555,494
"2691571",24,261,219,603,325,239,238,202,275,364,353
"2742129",40,175,135,349,199,154,136,113,139,196,222
"2303750",379,89,68,212,132,86,82,71,60,114,96
"2040586",10,110,158,174,136,76,120,55,112,113,234
"2005046",8,112,69,300,116,61,64,57,79,121,130
"2282124",3,33,18,76,36,20,16,21,23,33,30
"2682487",0,17,11,54,25,22,21,19,48,26,24
"2775920",4,19,29,49,33,14,17,10,11,32,54
"1827305",18,32,33,62,32,26,26,20,20,48,43
"216778",179,1415,1157,3320,1705,1090,1106,928,1244,1763,1666
"128780",113,1146,705,2851,1095,693,781,655,887,1137,1237
"2045451",19,31,18,85,35,24,22,28,25,34,39
"83617",0,1,3,2,2,0,0,1,0,2,0
"149696",23,181,174,523,243,147,146,133,179,271,237
"359385",17,104,78,239,111,68,95,84,89,141,114
"340",10,91,83,342,123,97,77,78,76,126,113
"92826",8,72,43,127,80,63,42,52,64,89,85
"2724122",16,131,93,276,133,103,104,104,143,200,170
"2724123",12,108,97,253,132,93,118,102,117,163,141
"2724121",19,138,106,257,202,96,113,97,130,221,165
"2775162",2,12,9,57,23,21,10,16,11,27,20
"2776703",0,2,1,1,0,2,0,0,0,3,0
"152263",11,227,159,463,314,230,199,156,240,348,300
"134875",21,166,124,308,214,130,123,137,211,252,219
"487909",4,45,42,104,75,43,58,32,65,76,62
"56458",97,831,608,1908,992,688,679,560,807,1169,1081
"64187",22,120,86,241,145,101,95,84,120,183,148
"129394",8,47,76,114,72,62,63,45,35,91,77
"56464",66,555,374,1201,688,441,497,378,463,767,685
"346",77,395,366,943,572,377,388,344,386,645,524
"380358",1,1,1,1,0,1,1,2,0,3,1
"56455",52,418,270,906,517,349,371,264,435,599,527
"195709",6,68,70,188,116,62,65,40,87,85,100
"69929",9,54,43,272,66,26,36,28,32,72,54
"925775",9,54,51,115,50,38,39,36,35,53,40
"56453",36,288,229,731,395,281,233,156,306,417,378
"48664",46,229,229,783,376,251,266,232,226,388,344
"487904",4,90,65,199,101,62,79,66,61,136,103
"2754056",1,52,25,93,57,32,27,29,28,56,28
"707209",2,1,0,14,7,2,2,2,1,7,6
"454958",4,13,7,44,18,10,7,7,9,16,19
"325776",0,2,3,6,4,4,2,8,2,5,4
"487849",0,2,1,4,3,1,1,1,3,4,4
"1219375",25,192,144,429,272,175,193,161,232,278,296
"1982678",25,114,109,343,212,119,112,96,142,130,141
"1101443",1,8,9,20,9,6,7,3,3,11,15
"1304892",0,2,1,0,1,3,1,0,0,4,1
"2259622",21,128,109,303,147,106,122,100,130,172,183
"359387",0,16,5,22,18,6,10,12,5,5,15
"207721",0,5,10,19,17,9,8,9,7,21,22
"189396",2,4,4,37,19,13,12,16,16,16,9
"316273",0,1,0,0,3,2,0,0,0,1,7
"92828",7,59,74,229,73,65,53,48,78,100,96
"317013",0,1,1,4,4,1,1,0,4,2,2
"442694",4,6,13,47,58,21,23,27,6,25,30
"2799326",153,1246,875,3374,1612,1121,1118,854,1316,1641,2247
"1896164",108,7483,779,3174,1243,859,968,747,1193,1523,2084
"2508168",114,961,675,2594,1245,863,848,666,1126,1334,2950
"2799325",134,908,633,2358,1282,763,804,713,1098,1270,1575
"2761107",100,883,670,2455,1143,745,834,670,1081,1325,1566
"1176533",145,1249,916,3248,1596,1047,1107,908,1435,1693,2175
"2006110",114,1014,733,2825,1245,862,831,675,1049,1408,1867
"2565782",104,956,812,2340,1225,830,774,667,1007,1263,2834
"743721",107,3548,957,3195,1425,885,935,733,1119,1477,1835
"128785",592,20652,27917,35363,2274,1281,1397,1176,4821,2069,6212
"1045855",91,894,651,2448,941,610,645,523,806,1027,1151
"2202149",187,1180,1006,5169,1593,1124,1063,872,1778,1649,2122
"2771436",137,5380,3954,8817,1214,859,878,677,1308,1354,1551
"2714945",112,715,634,2782,895,608,577,457,977,994,1123
"215691",152,2097,1205,9951,1906,1200,1178,914,1786,1963,2244
"1463158",134,1072,754,3638,1222,822,842,631,1214,1217,1421
"370777",376,5899,1520,18924,2052,1261,1107,949,1389,1733,2696
"2511995",64,561,408,1855,1033,647,485,458,769,1315,730
"698414",0,0,1,13,1,1,1,0,0,4,2
"1401256",0,2,0,0,1,5,4,1,1,3,0
"644357",0,2,1,6,3,1,1,0,1,1,3
"671135",1,1,2,1,3,2,0,5,2,0,1
"1444770",5,51,53,124,61,51,61,49,57,81,61
"445710",129,847,642,35893,1807,1148,922,776,5404,4681,1884
"2763498",78,443,432,1635,899,572,442,334,2839,1923,785
"2501295",19,213,197,724,365,246,148,172,848,962,363
"1217721",52,502,422,1866,1097,688,554,489,3161,2153,903
"1849581",38,283,276,1118,654,342,292,224,1219,1556,539
"666685",130,881,646,6620,1741,1070,877,736,5954,4622,1857
"2778082",123,851,513,4433,1387,974,767,741,3939,3418,1522
"582702",72,527,384,2305,1026,656,458,410,7623,4779,1021
"1300342",213,1760,1240,4685,2763,2077,1616,1393,2622,4547,2422
"2589080",80,641,482,1891,1134,732,634,602,1881,1780,980
"1440763",85,536,450,1695,1113,748,578,534,1417,1610,866
"2010829",104,805,578,2968,1509,1024,806,726,3302,2993,1481
"2021234",77,406,406,1425,1512,510,408,394,483,789,710
"767434",39,290,249,1010,509,341,278,258,548,706,406
"550",64,572,345,1620,497,402,414,674,233,502,1581
"158836",21,138,76,324,141,127,135,161,92,223,171
"69218",13,62,60,153,92,81,90,92,51,143,87
"61645",9,59,84,138,95,62,88,61,59,130,81
"1812935",9,52,56,153,127,66,57,58,50,126,117
"2494701",6,36,20,78,55,47,31,30,27,71,61
"208224",3,29,15,73,36,22,14,23,27,41,39
"299767",1,24,12,60,35,21,25,30,25,23,31
"2071710",4,9,13,15,24,9,21,17,21,15,15
"2757714",0,6,16,39,23,21,18,17,16,26,14
"2724468",11,73,35,138,112,95,92,77,71,132,113
"2596949",11,50,43,158,88,67,71,45,55,113,95
"1914861",12,57,41,159,84,59,73,61,44,100,74
"2742676",2,20,27,62,40,27,29,24,23,44,28
"2742639",5,11,21,82,26,29,18,25,19,36,26
"399742",8,32,25,64,43,30,34,20,30,57,34
"2742619",0,9,7,42,22,17,14,10,12,19,14
"1166130",1,7,6,10,16,10,5,7,5,6,9
"2705458",1,6,8,28,7,13,5,4,8,13,7
"2500132",1,11,6,5,10,8,6,3,2,13,10
"1560339",1,7,11,8,6,6,11,3,6,20,6
"648691",1,0,1,2,0,1,1,1,0,2,0
"2565914",0,3,2,1,2,0,1,1,1,3,1
"1868135",0,1,4,10,3,0,1,3,2,6,4
"1827481",0,0,0,4,1,0,2,1,1,0,3
"2742673",0,1,0,1,1,0,3,1,4,2,2
"2742656",0,0,1,0,3,1,1,0,0,1,0
"2747372",0,0,0,1,2,2,0,1,0,1,2
"2051905",0,0,0,0,0,0,0,0,1,0,0
"881260",13,37,25,138,76,41,89,62,38,61,71
"2478464",5,12,27,59,48,35,28,27,20,55,32
"885040",2,16,11,62,27,25,21,35,21,44,24
"539813",0,2,3,5,12,3,1,1,2,2,2
"72407",1,6,4,13,7,9,9,8,7,10,5
"39831",0,3,3,4,2,2,3,2,3,4,2
"1328373",0,0,0,2,0,0,0,0,0,0,1
"1365186",0,0,0,0,0,0,0,0,0,0,0
"1420012",0,0,0,0,0,0,0,1,0,0,0
"548",24,140,116,477,269,184,190,199,123,290,209
"2681387",1,5,9,15,17,16,10,12,5,19,12
"2787706",0,3,0,5,3,2,6,2,5,5,4
"2675726",3,3,3,6,6,5,6,3,1,5,3
"2697371",0,3,4,0,1,0,1,1,1,2,1
"2015795",0,1,1,1,0,1,0,1,2,0,2
"2267618",0,0,0,1,0,0,1,2,0,1,0
"2675710",0,4,4,1,1,3,2,2,4,5,0
"571",17,119,92,368,164,145,147,120,114,199,172
"1134687",12,111,74,0,155,131,99,104,111,185,0
"1667327",1,4,2,11,6,5,3,3,3,3,5
"244366",9,0,0,121,0,0,73,81,0,0,80
"2026240",1,27,10,93,71,34,29,26,29,35,27
"2153354",5,21,21,49,41,33,32,23,19,49,46
"2489010",2,16,13,64,30,20,29,22,25,35,36
"2058152",1,15,12,63,25,15,10,26,8,31,22
"546",16,96,86,428,173,132,104,91,86,179,125
"67827",1,16,12,51,19,17,22,14,4,27,16
"1639133",6,7,9,30,13,15,8,9,5,8,13
"2816438",0,4,1,18,12,3,13,9,5,16,4
"57706",0,12,2,17,5,11,7,7,5,10,7
"133448",2,11,7,15,27,6,10,3,2,5,10
"1573676",7,34,25,95,60,44,46,29,30,57,35
"2742624",7,30,18,58,82,47,37,36,32,66,35
"2546350",2,14,12,31,18,11,7,16,6,19,17
"2781952",0,5,8,15,12,10,9,9,7,8,12
"1702170",0,2,2,20,4,3,0,2,4,3,2
"2742627",0,1,2,5,5,1,1,2,3,0,4
"1703250",0,2,2,3,2,1,3,0,2,1,1
"1920110",0,2,0,21,4,0,0,2,1,0,3
"2742675",0,0,0,1,0,1,2,3,1,3,1
"2742667",0,1,0,2,2,1,2,0,0,2,2
"2742626",0,1,1,0,1,0,1,6,3,0,1
"2742657",0,0,1,3,2,0,0,2,0,0,0
"2742625",0,2,1,0,6,0,5,6,1,0,2
"2742668",0,1,0,6,1,0,2,1,1,1,0
"2697370",0,0,0,2,2,1,0,0,0,0,0
"2742678",0,0,0,1,1,1,0,0,0,0,0
"637910",9,51,45,159,105,73,72,49,55,104,63
"67824",2,22,24,74,46,45,27,35,29,47,45
"1261127",3,28,29,66,38,26,18,26,14,37,39
"545",4,21,11,45,31,15,14,30,20,27,34
"2562449",2,29,14,115,33,19,16,21,14,34,36
"2653932",4,31,13,66,42,28,27,22,25,24,32
"1748967",0,2,3,11,11,7,7,8,5,6,3
"1563222",0,5,5,16,3,0,8,6,3,3,2
"1138308",1,8,4,12,13,13,12,7,8,10,13
"413498",14,61,64,159,137,84,93,79,76,140,94
"1074000",16,50,46,125,97,55,81,49,57,107,89
