"","X9JUZM2TOMPOOB100355.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report"
"300181",0,9,6,20,5,3,5,6,9,10,4
"458197",1,4,2,6,3,3,3,2,4,3,0
"1443113",2,6,5,1,4,6,4,2,10,4,0
"34053",0,1,1,0,6,3,2,2,6,0,1
"367190",0,5,4,25,9,16,15,10,9,13,2
"633",1,6,11,18,5,15,5,14,11,8,3
"632",1,11,11,4,6,2,5,5,4,11,3
"29486",5,27,19,32,15,29,28,33,33,36,16
"935293",2,27,28,45,26,40,13,24,23,28,10
"28152",2,12,9,16,14,27,13,11,19,11,8
"1453495",0,12,18,17,10,18,8,12,18,12,8
"29484",2,18,16,0,15,32,8,24,25,21,8
"349967",3,19,16,24,12,44,16,14,29,33,14
"29485",1,14,14,26,12,18,8,14,23,18,6
"263819",1,13,18,24,10,17,14,9,19,11,6
"2607663",3,11,14,20,16,20,15,9,17,14,4
"2339259",0,9,1,6,3,2,2,3,12,6,1
"349968",0,2,2,3,0,4,1,1,1,9,1
"419257",0,3,2,2,5,3,4,8,7,8,1
"1179669",2,4,0,3,3,3,9,3,2,3,7
"2126321",34,212,181,297,170,283,205,207,368,264,97
"745277",4,45,47,56,29,62,51,48,80,57,17
"1151116",0,0,1,0,1,3,1,3,5,3,0
"1805933",9,76,60,76,68,100,58,68,105,76,26
"741091",2,1,0,3,1,4,0,1,4,0,0
"2703885",2,3,2,11,6,5,7,8,10,9,1
"929813",13,111,93,207,104,207,121,133,172,128,50
"1646377",20,97,66,120,82,109,82,104,154,81,47
"41202",15,81,60,108,64,105,72,78,107,99,40
"1441930",2,56,42,47,34,57,33,33,48,52,24
"1878942",1,5,14,9,11,12,10,9,4,16,8
"2575375",6,87,59,107,49,88,84,77,134,92,28
"592316",9,57,58,111,41,94,58,64,93,97,41
"1484158",7,68,66,110,161,119,54,132,103,71,46
"2052056",10,53,41,64,40,53,42,58,78,72,28
"2490851",9,53,33,67,38,80,52,49,90,64,27
"2479547",6,26,15,38,16,45,13,30,21,39,16
"2768165",0,3,6,8,3,7,0,2,2,4,1
"2787629",3,3,5,13,9,10,2,6,8,8,0
"59814",25,160,136,497,180,286,183,209,311,240,102
"712898",3,8,3,5,5,12,6,3,7,6,3
"549",29,118,89,137,108,183,104,133,155,102,43
"932677",0,1,0,4,0,1,0,0,1,0,0
"1123863",1,0,0,1,1,4,0,1,1,3,0
"55209",11,69,43,120,55,94,55,63,75,51,24
"66271",3,5,6,9,9,15,13,13,11,9,4
"1891675",7,59,36,66,49,65,41,55,77,58,23
"1076550",4,51,47,89,23,51,42,35,69,75,21
"1235990",2,7,5,12,1,15,1,4,7,14,0
"470933",1,7,13,4,6,10,6,4,2,6,1
"1619313",18,91,67,120,92,111,71,82,124,117,43
"55211",8,82,72,95,60,91,60,79,114,74,36
"2681984",11,53,35,60,40,60,35,47,74,45,32
"2547962",2,19,15,13,8,13,10,14,14,15,7
"215689",1,16,17,10,12,14,6,18,16,13,11
"465817",4,51,27,49,39,70,53,60,66,49,24
"634500",4,22,23,25,15,21,12,15,30,9,17
"1407064",0,0,1,2,1,1,1,2,1,1,0
"716540",0,0,1,0,0,1,1,0,0,0,1
"1922217",5,35,28,34,23,41,24,40,55,31,15
"79967",1,12,7,9,7,0,5,9,9,5,1
"665914",16,122,96,183,102,209,131,116,183,135,58
"665913",13,145,102,182,89,167,158,104,149,149,60
"1458355",14,102,78,162,86,129,99,88,140,103,53
"1615494",12,59,27,69,44,75,61,54,107,52,38
"1241869",1,7,2,7,4,4,3,2,3,3,0
"118103",0,3,0,5,1,3,2,0,8,5,2
"135842",0,2,1,11,2,4,0,2,9,9,9
"1315998",0,4,5,1,9,5,5,5,12,6,2
"2315800",0,5,15,5,7,7,8,6,9,16,2
"2518979",0,0,0,0,0,2,0,1,0,1,0
"98785",0,2,0,0,0,2,0,1,2,0,0
"2518977",0,0,0,1,0,1,0,0,0,1,0
"1660043",0,2,1,0,1,2,1,0,0,1,2
"1258543",0,0,2,0,0,0,1,1,1,1,0
"1241860",0,3,4,1,2,0,1,0,0,1,2
"1241836",0,3,0,4,0,2,0,1,2,1,1
"1241834",0,0,0,0,0,3,0,0,1,3,0
"911343",0,1,0,1,1,2,0,2,4,2,1
"2518976",0,5,1,1,2,2,0,3,2,3,2
"2173854",0,0,0,0,1,0,0,1,0,2,0
"118101",0,4,4,0,0,0,0,0,2,11,1
"2495405",0,1,1,1,1,3,1,2,2,2,7
"557993",0,0,0,5,0,2,2,0,3,1,4
"1241865",0,3,0,2,2,2,1,2,1,1,0
"1241859",0,0,1,4,2,2,2,0,2,0,0
"118110",0,1,2,3,0,3,5,1,13,1,0
"1660040",2,0,5,2,0,0,1,0,1,0,0
"655384",0,0,0,0,0,2,0,1,0,2,0
"571428",0,0,0,2,0,1,1,2,1,0,0
"1878935",0,2,1,2,0,1,2,1,2,0,0
"1507522",0,0,1,1,1,1,1,0,2,2,1
"2315802",0,3,0,2,1,0,0,0,0,1,1
"1265350",0,1,1,3,0,0,0,1,1,1,1
"1921549",0,0,2,1,1,2,3,1,0,1,0
"2518980",0,0,0,3,0,0,0,0,1,1,0
"98793",0,0,0,1,0,1,0,0,6,6,2
"1241878",0,0,0,1,3,0,0,3,0,2,3
"98794",0,1,3,3,1,2,0,0,1,5,0
"98804",0,0,0,2,2,0,0,0,2,0,0
"118118",0,1,1,0,0,1,1,0,1,1,0
"261318",0,0,0,1,2,1,0,2,1,1,1
"571430",0,2,1,0,2,1,0,0,1,0,0
"1241832",0,4,0,1,1,5,1,2,10,1,2
"1241833",0,2,2,3,1,4,1,1,1,2,0
"1241884",0,8,1,2,0,4,1,1,0,3,4
"53336",5,20,14,28,21,26,20,26,40,33,13
"82987",4,33,25,33,16,36,15,19,43,32,9
"2487345",2,24,26,32,14,29,19,19,36,36,13
"36868",0,0,2,1,8,4,4,10,4,6,0
"590409",2,9,10,9,14,15,7,9,18,17,10
"1427366",3,6,7,9,7,12,6,7,11,8,2
"1224147",1,7,4,3,3,6,3,6,2,5,4
"1224153",1,7,3,8,3,13,6,8,7,8,1
"1223567",0,6,1,4,2,1,4,5,10,4,0
"1223573",0,1,3,4,2,5,5,4,6,2,4
"1224146",1,2,2,7,5,5,1,6,6,5,2
"1223569",3,27,18,36,23,45,33,39,47,24,6
"1223571",6,21,9,12,18,21,21,20,27,10,8
"561229",0,0,0,0,0,0,0,0,1,0,0
"204040",4,26,26,36,28,30,22,25,55,32,12
"1224149",5,20,12,18,22,16,17,23,32,18,7
"198628",2,3,9,12,6,14,3,6,14,11,3
"1223572",0,0,0,0,0,0,0,0,0,0,0
"579405",0,1,1,0,0,0,0,0,1,0,1
"1226343",0,2,9,3,1,3,1,0,3,2,1
"1223570",0,1,0,0,0,4,0,0,2,0,1
"1225780",0,1,3,1,0,0,0,1,7,2,1
"1089444",9,40,32,39,55,60,34,49,65,35,28
"568766",3,33,24,29,22,26,16,38,44,16,13
"2037915",1,3,4,7,3,3,0,3,13,6,5
"1224145",0,7,6,6,3,5,6,3,3,1,2
"1778540",6,34,36,58,35,52,25,38,59,40,14
"568768",4,32,23,63,26,44,19,39,34,40,11
"180957",10,53,31,79,50,77,57,72,79,63,43
"555",10,75,45,81,39,67,31,41,73,52,15
"2042057",4,42,31,52,32,50,37,41,58,38,12
"218491",2,3,2,5,4,8,4,9,8,5,2
"1905730",4,0,27,43,15,45,21,34,0,0,15
"2108399",1,35,17,18,13,30,17,22,35,19,8
"1175631",3,16,13,21,12,26,14,18,31,13,4
"2488639",6,16,15,17,16,31,12,34,14,16,4
"78398",1,20,15,22,15,16,16,21,22,4,5
"1201031",1,4,4,11,3,8,5,9,14,11,3
"2722756",8,96,80,111,68,123,71,94,144,97,41
"1109412",9,82,62,120,50,108,56,51,132,91,35
"55213",4,68,54,70,37,68,51,63,78,60,26
"1172565",13,84,57,105,58,125,71,72,133,96,39
"1082704",13,85,80,114,49,108,62,57,116,105,41
"718251",0,0,0,1,0,0,5,1,1,0,0
"93378",9,84,48,114,50,106,68,92,116,73,30
"67780",11,0,55,93,48,0,61,0,0,72,43
"1288122",1,5,2,1,2,4,1,4,4,2,1
"1578828",0,6,6,6,6,4,5,3,10,1,1
"1650654",0,2,0,0,0,1,1,0,1,4,1
"667120",0,0,0,0,0,0,0,1,2,0,0
"1453496",0,6,5,5,1,5,10,3,10,9,5
"546367",4,23,14,32,19,45,22,29,44,29,11
"1848580",0,0,1,2,4,3,1,0,3,2,0
"82983",1,21,13,23,11,25,16,16,16,16,7
"1141663",0,1,2,1,0,1,0,0,0,3,0
"158850",0,12,12,19,10,30,13,24,9,11,11
"126385",3,12,4,7,4,14,12,9,22,8,2
"333962",3,12,7,14,4,12,8,11,15,13,4
"1141660",3,9,4,5,3,13,8,14,9,10,10
"333965",0,17,10,10,6,12,4,11,16,8,6
"588",0,1,0,6,2,6,2,7,7,0,0
"2791982",0,0,0,0,0,0,0,0,0,0,0
"406818",2,12,5,14,10,18,6,21,14,15,6
"351671",3,23,28,31,18,49,28,32,35,34,8
"351679",3,15,13,26,13,23,14,12,17,13,4
"628",1,14,14,22,14,25,12,10,20,22,4
"1354304",3,16,8,15,6,12,11,13,20,11,8
"290110",1,11,16,9,8,16,8,14,16,9,6
"180434",0,1,1,3,1,1,1,0,0,2,0
"584",7,0,17,61,0,0,43,47,168,0,0
"585",1,21,23,27,19,29,13,21,26,20,8
"183417",0,7,3,10,8,9,6,5,3,7,1
"102862",0,11,1,5,2,2,3,6,5,6,1
"2697019",1,1,2,7,3,5,1,2,0,6,3
"626774",0,0,1,2,2,0,2,2,5,5,1
"1987580",0,3,1,0,0,1,0,4,6,2,1
"230089",2,11,4,14,15,16,15,19,19,17,5
"141679",1,18,13,28,7,22,8,13,9,14,9
"291112",4,20,16,16,8,22,12,11,21,5,5
"235559",1,9,12,13,8,6,3,4,18,10,0
"1231049",0,6,5,5,4,7,3,3,7,15,2
"638",1,9,5,14,2,15,5,8,11,14,4
"634113",0,2,1,0,2,4,3,2,1,5,2
"1239307",14,96,70,132,71,126,90,93,126,102,41
"2342",4,39,24,61,35,58,60,51,55,63,40
"1929246",4,6,8,16,8,4,5,7,7,8,3
"158841",9,55,47,79,34,71,54,67,84,50,23
"82985",2,28,16,16,18,36,14,14,22,11,17
"2172103",4,14,9,15,9,15,9,10,17,15,9
"2498113",1,15,6,16,11,16,9,15,12,12,12
"703",5,77,56,92,53,86,47,70,108,79,20
"1255043",83,837,699,1057,544,938,554,690,1168,848,340
"396588",93,682,684,1012,586,934,509,579,1025,768,356
"713585",73,720,636,959,485,879,487,572,1003,725,313
"396595",58,474,463,626,401,665,372,455,679,539,260
"106634",60,505,431,635,459,666,365,448,598,588,207
"1765967",45,619,478,712,434,736,377,443,781,607,203
"2792603",63,591,531,835,455,763,451,557,858,663,266
"2819280",29,272,250,480,287,400,237,310,514,424,155
"1335757",35,393,329,469,258,472,287,336,464,419,156
"2666185",42,338,265,468,274,392,208,276,457,377,118
"1260251",38,222,183,394,173,322,165,193,352,264,95
"349124",82,594,561,946,539,871,514,702,960,711,295
"1052",13,111,91,150,78,127,89,75,151,122,41
"2740807",58,638,588,946,509,913,495,555,1008,743,289
"187272",93,649,553,828,553,831,506,679,920,655,318
"421628",33,241,217,306,179,307,170,214,310,245,103
"1442136",32,209,258,298,205,271,172,205,287,230,90
"1166950",115,1025,819,1318,935,1417,858,1088,1432,991,391
"765912",110,1047,821,1365,894,1323,794,1010,1493,1122,423
"765910",107,916,770,1199,831,1286,777,938,1406,1024,413
"572477",79,681,581,980,503,855,477,609,1033,763,289
"765911",73,621,518,876,451,870,468,532,858,570,263
"316276",60,426,379,634,320,549,334,410,661,469,190
"472759",5,76,55,102,57,76,46,67,92,112,25
"1814290",10,57,61,71,56,99,53,85,96,95,33
"323261",3,42,37,67,31,70,44,58,37,85,15
"105559",2,42,47,54,33,60,38,66,58,72,13
"2699430",46,283,267,401,220,421,202,282,410,287,131
"1763998",4,46,317,67,46,71,34,69,71,67,24
"2498451",3,24,1090,25,17,36,8,15,25,37,5
"2545632",1,13,23,38,14,38,9,23,19,24,8
"553981",1,21,0,16,7,11,5,10,14,18,4
"1630141",1,11,26,11,8,25,7,9,13,21,6
"1579979",76,639,585,903,555,948,516,616,1048,759,301
"2771012",43,421,345,548,349,537,361,407,586,541,175
"2795687",16,204,139,210,147,211,109,129,247,183,86
"585455",11,121,115,173,85,153,69,101,180,141,48
"1972068",93,680,588,868,485,843,418,560,965,759,340
"47960",74,701,509,869,581,904,607,664,1079,729,272
"1860122",30,266,250,466,191,397,223,235,410,370,154
"555778",10,115,98,173,79,137,80,98,172,134,65
"1548547",49,368,288,516,200,440,189,249,433,425,122
"1811807",14,167,145,212,128,232,110,138,225,184,77
"1192854",19,178,104,225,127,236,108,143,212,163,53
"2587844",70,475,435,624,449,718,477,553,737,560,218
"2773308",35,374,345,481,322,475,302,399,598,395,159
"2587849",37,346,292,409,243,485,286,328,497,369,126
"1883416",30,362,311,425,313,475,310,376,492,357,162
"2733488",47,314,274,409,279,433,245,292,549,371,132
"2733487",37,339,311,454,307,456,266,393,557,408,139
"2497861",33,355,300,440,290,466,272,341,531,373,156
"1609967",36,337,294,460,252,444,298,304,473,333,150
"2306583",38,295,256,370,267,398,192,300,425,375,116
"2730360",29,202,241,275,216,304,192,206,283,238,102
"2562282",19,134,128,198,97,163,116,139,169,159,62
"2749040",17,113,104,149,99,145,70,100,154,105,61
"2785909",15,122,113,132,89,156,97,106,139,98,53
"1504981",10,74,82,107,54,75,38,87,96,92,35
"2136172",10,67,53,99,55,90,47,53,76,85,38
"2733484",9,41,33,53,26,63,33,32,79,54,19
"1118153",8,43,33,54,35,55,24,57,40,57,14
"2014541",3,14,6,16,7,15,12,9,25,16,4
"1971364",1,27,22,25,12,12,15,20,27,27,7
"1666906",2,25,16,16,17,20,8,23,21,16,11
"1761789",2,21,14,20,12,27,9,10,18,23,7
"1346287",2,7,3,8,5,10,3,10,13,9,1
"1250400",0,0,0,0,0,0,0,0,0,0,0
"475662",67,521,420,702,473,726,513,587,833,593,224
"1897729",73,406,341,567,352,610,348,467,614,454,172
"1081866",44,360,281,394,327,518,264,361,462,406,125
"768066",41,347,293,405,272,448,212,336,432,394,147
"507626",27,266,208,325,216,320,217,272,384,345,116
"115561",21,201,154,226,155,222,95,149,214,188,90
"29571",25,163,174,264,123,218,118,167,287,228,91
"1178482",27,179,158,242,137,240,142,156,224,221,88
"29570",23,179,216,258,181,310,153,224,289,268,102
"2609667",12,100,89,134,68,124,47,83,107,123,45
"664683",3,64,51,62,30,72,36,47,83,63,22
"74661",5,41,29,45,33,55,24,38,49,47,31
"44935",4,28,18,26,27,40,24,21,37,25,5
"213554",0,11,9,18,6,13,6,4,8,5,1
"272774",0,5,3,11,4,7,6,6,5,4,1
"2686360",19,130,110,174,98,155,92,114,211,157,64
"2609415",7,77,82,82,71,109,50,69,100,75,40
"2661553",1,51,55,82,54,80,38,52,78,65,22
"2053669",0,0,1,2,1,3,1,1,1,2,0
"1055101",10,73,47,69,35,81,51,60,47,61,28
"28258",0,7,2,4,2,3,4,5,22,3,3
"376489",79,520,455,860,482,653,480,524,872,639,250
"1771309",71,581,468,788,499,725,495,577,826,688,283
"657387",22,142,138,186,117,220,120,141,199,155,72
"698828",16,92,108,155,86,149,101,112,212,151,59
"157779",12,141,103,180,88,190,104,141,197,164,56
"290398",53,376,419,443,322,504,288,327,508,457,177
"1883414",31,234,261,337,216,338,232,265,442,340,126
"33074",9,79,73,126,47,104,69,76,111,68,27
"91844",2,9,4,4,2,11,7,8,1,4,2
"114186",0,5,3,6,1,2,10,1,6,2,1
"2014542",44,415,386,657,379,590,378,484,687,501,222
"1113728",2,3,4,7,3,3,2,2,2,6,2
"391936",42,364,368,540,302,542,281,315,504,433,200
"930169",27,213,185,307,142,290,176,222,312,249,82
"1094342",23,196,161,228,141,273,147,193,293,210,79
"393595",1,3,5,2,1,2,2,7,5,4,0
"1917421",10,64,61,131,67,102,47,63,122,89,30
"1821621",29,249,214,349,224,341,181,259,358,289,106
"48076",11,102,94,116,70,109,73,77,131,115,48
"2668067",3,29,34,26,19,24,17,19,36,31,18
"400668",6,22,19,23,16,16,9,16,24,18,11
"2071621",1,10,23,23,4,14,7,10,18,21,5
"178399",5,30,28,34,16,41,29,19,59,49,16
"383750",2,20,19,32,14,18,13,18,33,21,7
"717774",1,15,32,18,10,18,11,10,21,19,9
"491952",5,15,14,19,15,18,22,17,19,14,6
"2773454",0,15,8,13,14,14,18,14,13,21,3
"491950",3,13,12,10,11,19,8,20,10,25,3
"1031538",2,22,35,26,20,34,16,21,29,26,12
"1572645",0,22,18,42,7,24,14,20,25,32,11
"1441457",3,17,19,20,28,35,10,35,32,26,10
"1249553",7,74,61,78,44,75,48,67,93,87,20
"2614693",2,28,32,44,34,55,25,36,69,48,23
"1298593",2,1,2,3,1,3,0,3,1,4,1
"1208320",0,1,0,5,0,1,2,2,6,4,1
"1278309",6,29,26,31,20,34,23,42,31,42,9
"207949",2,15,18,22,7,15,8,14,15,18,9
"1628392",23,175,137,202,117,171,147,174,258,171,82
"349521",19,131,115,193,98,225,119,152,234,164,81
"2683272",4,22,21,18,20,23,16,15,28,27,7
"2161747",20,223,183,292,126,251,114,177,276,231,101
"1336806",7,78,87,140,65,104,69,71,143,96,44
"1445510",11,60,63,68,43,83,45,48,77,57,39
"418701",15,97,85,138,82,99,72,106,152,129,56
"523791",3,18,24,24,19,26,7,12,23,18,18
"1561924",1,14,22,8,12,18,13,15,30,24,10
"914150",4,9,11,12,10,16,9,12,21,15,3
"1144748",2,11,9,20,7,15,12,11,17,16,9
"141451",6,46,45,56,44,61,37,44,52,48,17
"570277",5,38,40,72,28,38,33,36,31,46,16
"2304594",11,161,160,172,113,234,158,134,209,160,67
"2769486",29,167,144,215,108,191,120,148,216,132,49
"2488665",15,129,120,201,102,173,113,131,192,153,53
"1749259",7,69,64,88,53,81,58,57,99,98,34
"1761794",8,52,46,68,46,65,32,66,72,75,42
"1415568",10,72,51,87,51,110,51,57,102,71,35
"2547598",6,56,50,60,41,67,29,49,81,55,12
"1671721",6,52,48,64,37,72,48,38,68,43,32
"490759",2,35,39,65,17,62,24,38,69,46,15
"2603215",24,226,178,277,149,293,172,224,288,233,116
"1163748",9,51,28,48,34,67,34,47,34,40,12
"351348",7,48,50,46,30,81,41,46,67,55,25
"1420917",12,174,150,217,132,214,149,144,252,208,79
"418719",20,113,118,201,86,155,101,106,161,113,37
"1874317",11,120,88,149,66,112,65,77,108,138,33
"225937",8,52,42,48,60,62,27,57,61,46,24
"330734",5,28,26,47,28,55,26,21,43,23,13
"2267264",0,47,28,53,25,55,36,33,47,44,12
"1714845",1,8,12,7,6,15,7,12,12,14,2
"2358187",2,13,16,6,4,12,6,8,8,4,5
"1917158",1,1,3,4,3,1,1,1,0,0,2
"2058133",0,7,1,5,1,4,3,7,2,2,1
"1004787",0,6,4,1,1,9,4,0,6,3,3
"1004785",1,7,16,13,12,15,3,5,5,11,2
"529120",0,1,0,1,0,1,2,1,6,1,0
"1004788",0,0,1,1,0,2,2,0,0,4,1
"1774373",1,4,4,4,1,2,1,1,2,1,0
"1300254",0,1,0,2,1,1,1,1,2,4,0
"1858656",1,22,25,28,17,26,19,18,38,32,12
"589873",1,6,5,7,4,9,7,8,10,14,3
"715451",1,6,7,11,6,6,6,2,8,6,3
"233316",1,1,0,2,2,7,1,1,2,1,0
"287094",0,0,1,0,1,0,0,0,0,1,0
"2259620",24,192,169,192,173,214,120,163,224,175,87
"2785918",10,36,29,44,39,56,25,33,72,50,8
"2572577",1,24,34,31,25,33,20,27,30,27,5
"914153",7,30,38,49,21,49,31,38,52,36,13
"2303538",4,35,28,39,18,43,19,24,37,34,14
"2686358",1,9,14,9,4,15,13,14,14,12,3
"2686359",3,18,10,20,8,14,17,8,12,19,2
"1129794",0,15,15,22,7,16,11,18,17,20,5
"197222",1,20,8,27,9,19,7,10,21,24,2
"2489595",7,27,2189,38,16,39,15,19,32,158,30
"1085623",2,23,21,20,10,16,7,16,10,19,1
"1526571",2,51,51,86,37,60,27,50,57,49,22
"2183582",7,33,58,69,51,74,35,53,82,60,22
"2172099",1,16,6,29,11,30,13,27,25,22,5
"1740262",3,21,14,22,12,19,21,16,28,28,9
"680279",6,25,34,21,15,25,15,15,29,34,11
"2814293",2,33,23,43,24,34,17,31,51,25,19
"2814294",1,22,36,28,19,46,21,24,44,33,15
"2814292",4,23,21,40,28,28,34,16,51,24,14
"2593655",2,23,20,17,14,21,15,23,26,12,6
"2803864",4,12,11,30,4,17,6,14,9,24,5
"2589987",0,12,12,22,10,21,6,20,3,12,5
"2590015",3,10,17,18,9,23,8,10,24,26,11
"94122",2,13,20,13,6,16,7,13,11,9,3
"2814295",3,19,18,32,8,27,17,19,40,20,7
"2059264",3,13,6,22,7,34,11,16,22,22,11
"2029986",1,12,17,14,10,21,15,15,14,14,8
"2487742",0,15,5,13,3,18,5,14,12,15,6
"2698686",0,10,15,12,4,9,2,6,7,14,3
"60480",0,10,12,7,3,13,7,9,9,11,4
"1930557",1,4,6,3,1,4,2,3,2,2,2
"2589790",0,4,5,4,0,4,2,2,1,1,0
"2575361",0,4,3,4,0,10,4,4,8,5,4
"60481",2,5,5,5,2,3,9,8,8,6,4
"2806008",0,5,4,1,5,3,3,4,4,6,2
"2593656",0,0,0,1,0,4,1,2,0,2,0
"2601269",0,1,0,1,0,0,1,1,1,0,0
"2775245",0,0,0,4,2,3,0,1,1,2,0
"351745",0,1,2,1,0,0,1,0,2,0,0
"323850",17,94,105,149,88,125,91,104,153,128,48
"1965282",9,80,71,101,56,93,46,60,104,76,31
"38313",12,70,81,84,66,100,57,85,129,79,29
"407976",0,1,1,3,0,4,1,4,1,4,2
"693971",0,0,0,0,0,0,0,0,0,0,0
"399804",1,3,3,1,2,9,3,2,3,3,2
"260364",7,37,44,71,45,60,25,46,52,49,20
"1173586",9,54,43,73,47,54,42,60,61,90,25
"326297",8,54,42,82,25,63,23,29,62,43,9
"425104",0,33,25,35,15,29,26,25,39,26,2
"318161",1,18,11,30,10,15,19,14,20,22,10
"458817",1,12,23,22,7,25,17,25,24,13,7
"2520507",1,19,10,23,13,12,15,11,28,5,2
"637905",2,18,7,17,14,16,10,13,15,13,6
"256839",5,10,13,24,10,20,13,16,25,19,7
"392500",4,20,16,24,8,30,15,14,32,28,5
"43661",1,15,23,21,17,35,13,13,47,35,9
"225848",0,14,22,23,21,24,20,19,22,11,5
"150120",1,15,8,11,8,15,5,4,10,7,10
"398579",2,21,12,29,15,14,12,10,22,14,8
"558541",0,21,22,17,23,27,6,14,21,20,8
"211586",3,18,15,7,20,26,18,14,32,12,9
"225849",2,13,12,12,13,26,7,19,23,15,7
"238836",1,12,9,17,7,11,11,16,13,16,5
"1028752",4,13,9,31,13,20,10,14,21,11,0
"2018305",1,12,2,4,3,9,5,5,5,5,0
"93973",1,2,2,1,3,2,5,3,11,7,2
"318167",0,9,13,8,4,5,10,7,5,4,3
"2588449",0,3,3,5,0,4,2,3,5,6,0
"342950",2,16,6,10,13,9,13,7,13,11,5
"2547970",1,11,19,17,10,12,5,7,11,9,2
"1709477",1,27,27,23,14,39,13,22,36,20,5
"116092",2,30,14,16,8,15,10,22,22,18,10
"2744479",3,6,10,21,15,11,9,12,10,18,3
"2003316",0,3,7,8,10,17,3,8,10,5,4
"2587843",4,4,6,12,4,14,7,5,10,9,3
"1390185",1,2,11,2,1,4,3,2,7,10,0
"1514074",1,5,5,14,3,7,5,7,18,10,1
"649161",1,0,1,3,0,2,2,1,2,1,1
"2799564",1,0,0,3,0,2,1,1,2,2,0
"2583375",0,1,1,4,0,0,1,1,2,3,1
"283699",0,2,1,4,1,7,2,6,2,3,1
"87791",0,3,1,1,1,2,0,1,4,0,1
"1720343",0,4,2,1,1,3,0,3,7,5,2
"1761891",0,2,0,3,2,0,0,1,3,3,0
"234831",0,0,1,2,0,1,0,0,0,2,0
"2752475",0,0,0,0,2,1,1,0,0,0,0
"2759705",0,0,0,2,0,3,1,3,0,3,0
"2785910",0,0,2,13,1,2,1,0,0,0,0
"43658",8,53,56,137,52,83,59,71,96,73,31
"1365250",0,4,0,7,1,6,6,3,3,3,0
"339617",7,40,39,38,17,40,27,29,49,24,9
"1315306",4,22,12,14,9,15,7,8,18,16,3
"43662",5,22,25,28,13,27,18,18,34,23,18
"342610",5,17,16,29,15,37,15,26,22,14,3
"1117319",3,6,6,13,5,15,4,7,12,5,2
"161398",2,11,9,18,11,15,9,10,17,18,5
"227",0,8,10,13,4,10,2,7,9,9,5
"1315282",0,13,10,17,6,16,12,10,14,18,8
"314281",2,12,12,12,6,18,9,11,14,15,0
"874454",3,13,9,13,7,10,9,3,15,6,1
"882626",2,10,17,14,9,20,12,15,24,16,5
"1348114",3,9,6,22,7,9,12,11,16,9,3
"1314866",2,3,4,1,4,4,1,2,2,5,1
"1190813",2,8,8,8,5,11,8,7,10,5,6
"1312369",1,3,2,4,0,1,0,1,1,4,0
"151081",0,5,11,25,10,6,4,11,10,9,2
"1117313",0,3,3,6,1,4,3,5,3,6,4
"1315283",0,5,4,7,6,5,9,2,4,6,3
"1314869",2,9,10,8,9,12,7,4,5,10,3
"1315279",0,1,1,0,1,1,0,1,7,2,0
"267375",0,4,0,1,5,5,1,1,1,0,0
"43660",0,5,5,6,1,1,2,1,4,4,1
"621376",0,6,4,2,1,5,3,1,2,7,1
"28109",0,2,1,1,1,2,1,0,1,1,1
"152297",0,0,1,2,2,3,0,2,3,2,0
"1315275",0,1,1,3,2,0,0,1,2,0,1
"43659",0,0,2,0,3,1,0,0,0,0,0
"2820710",5,19,15,21,7,23,9,29,17,13,8
"1266052",2,7,10,13,7,13,4,2,9,9,5
"550540",20,168,161,229,153,237,152,200,317,227,87
"2724191",4,42,24,39,21,43,32,22,32,34,9
"1816218",2,16,14,15,4,23,17,18,13,10,8
"2161872",1,8,15,9,8,10,2,7,7,12,2
"2497879",1,8,4,15,8,10,13,11,13,16,3
"1816219",0,9,10,7,6,16,8,8,9,9,0
"2689569",1,16,7,14,10,13,11,11,13,10,4
"58049",4,9,7,14,6,12,6,8,15,10,2
"167879",1,11,9,9,7,18,7,9,14,9,2
"1967665",3,13,8,5,4,9,3,8,15,8,1
"2594005",4,18,25,26,13,40,12,26,22,35,4
"2769490",2,15,8,19,3,16,9,4,9,12,0
"2552945",3,16,8,23,14,11,9,10,18,29,9
"1763536",0,10,7,12,6,9,8,7,11,19,0
"718192",1,10,17,9,4,21,5,7,8,8,5
"2100422",4,37,38,37,19,50,30,37,45,39,15
"2055892",1,11,13,15,6,15,8,9,14,12,5
"135577",1,25,44,23,12,25,11,11,23,17,4
"1940690",2,10,220,21,13,26,10,19,20,15,7
"1096243",1,17,19,22,10,14,9,10,22,18,4
"357804",3,15,16,30,13,29,23,15,31,21,1
"314282",0,8,3,7,6,11,8,4,2,9,4
"69539",1,11,10,13,7,18,6,7,9,12,8
"1202962",0,12,8,9,8,11,8,10,6,15,0
"1347420",0,7,9,9,10,12,6,7,10,11,2
"998088",0,9,13,10,10,15,7,11,31,10,10
"1354302",6,48,25,62,35,82,37,68,64,61,19
"1448139",0,21,14,25,17,15,9,13,22,19,10
