"","TECcM2TOMPOOA051310.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report"
"2571747",570,1090,1038,91,433,638,1336,533,711,607,759
"1417228",236,525,424,52,175,282,578,287,411,266,362
"398527",235,452,458,45,195,294,562,254,288,248,329
"2654982",479,971,957,78,339,547,1065,444,657,576,620
"391038",458,931,802,83,411,582,1213,487,601,496,641
"134537",615,859,698,92,321,541,1074,443,650,552,717
"754502",401,853,761,67,375,496,1076,410,550,545,627
"420953",363,852,760,87,338,517,942,375,536,482,548
"1229205",459,813,772,79,394,544,1179,450,565,454,619
"169427",389,758,846,87,323,488,1045,441,549,482,575
"60548",341,742,680,68,293,440,969,342,545,432,547
"134536",365,721,660,54,294,419,804,390,486,374,525
"311231",339,687,603,66,266,432,852,320,437,390,603
"2211211",332,685,547,47,246,343,741,338,433,343,401
"169430",317,652,563,49,242,412,720,268,437,377,399
"1761016",313,643,600,72,277,429,737,314,469,364,372
"266265",314,624,613,57,265,415,766,331,410,329,388
"265293",267,548,453,55,177,362,529,274,352,347,378
"311230",166,429,360,30,155,217,359,171,260,201,268
"859655",90,172,127,16,86,126,150,79,119,82,98
"859657",12,29,16,3,15,15,44,17,15,14,16
"1394180",20,20,31,2,14,16,24,20,22,11,27
"1457195",12,17,9,2,2,10,13,4,14,5,10
"859656",4,13,11,2,4,9,4,9,8,4,5
"1262456",0,3,0,0,0,1,0,0,3,0,0
"1130829",0,1,0,0,0,2,0,0,0,0,0
"402626",114,265,259,15,115,129,258,130,199,123,195
"428406",62,142,157,15,76,68,147,79,85,101,104
"190721",444,890,770,68,455,526,931,516,633,457,612
"105219",308,636,653,56,302,342,616,366,417,334,412
"1310165",34,74,61,8,25,41,69,38,47,28,29
"1944648",4,10,3,0,1,5,8,7,3,5,6
"1310168",2,2,0,0,1,0,0,4,0,0,0
"1416914",11,12,7,2,5,10,23,7,12,5,11
"93221",431,973,928,83,357,546,959,460,561,495,670
"445709",470,973,892,75,435,507,984,530,595,522,690
"2518599",362,797,634,49,351,355,728,384,435,362,484
"656178",351,743,710,69,306,467,702,351,520,359,472
"93219",328,656,679,59,300,388,696,314,391,353,492
"656179",357,643,635,52,292,381,648,378,445,330,478
"93218",294,618,453,51,260,368,620,325,383,304,364
"1891094",280,545,524,52,219,288,511,281,363,278,361
"573737",273,491,447,36,233,290,444,237,321,241,334
"93222",224,444,399,35,177,280,488,216,308,229,329
"2814653",472,1028,917,75,418,588,1260,501,663,571,737
"2705547",29,73,52,4,30,32,40,24,32,29,40
"2705548",17,61,33,5,23,38,60,30,46,24,18
"758793",476,1030,1003,91,427,616,1135,510,678,572,764
"47671",476,987,822,80,479,570,944,519,692,430,677
"2594795",327,656,561,44,323,335,617,751,429,326,420
"882378",335,648,522,73,272,330,667,315,589,377,651
"452638",10,7,15,3,5,7,21,8,8,10,14
"556054",38,60,36,8,32,35,56,36,60,18,36
"576611",0,47,0,4,34,24,0,0,31,16,0
"1743162",17,24,18,1,14,29,21,5,17,16,17
"1743174",13,22,22,2,12,5,10,15,24,14,19
"556053",47,44,65,23,20,31,36,32,39,26,78
"2527775",22,29,34,3,18,15,22,11,23,20,24
"1835254",10,23,14,1,9,9,25,16,17,6,14
"1743168",14,21,12,2,14,5,20,10,14,12,10
"2732163",41,145,139,21,66,71,112,78,79,47,124
"1553431",35,70,36,6,33,32,51,32,43,26,38
"2651972",17,27,32,1,20,13,54,28,22,16,35
"2268024",31,42,47,7,39,35,67,29,26,23,20
"2753607",1898,10133,4571,607,3311,2486,3917,2501,2737,1926,3972
"946333",1758,4787,3542,524,2765,2176,3481,1972,2586,1855,2820
"420662",642,2076,1251,259,814,805,1231,703,915,621,978
"2082386",628,1929,1292,247,819,759,1308,750,829,599,846
"1430884",0,1,1,1,3,0,0,0,0,0,1
"983917",1909,6175,4185,513,2400,2301,3726,2314,2623,1910,3175
"395495",1330,4320,2883,388,1729,1734,2651,1619,1798,1296,1978
"1050370",601,1351,1107,93,592,686,1071,691,764,590,931
"75379",97,168,160,10,61,101,153,104,126,80,99
"426114",107,172,151,16,130,89,182,110,148,86,127
"639200",1098,3195,2572,327,1650,1379,2271,1429,1498,1161,1740
"1658665",2891,3017,3011,618,1520,1426,2991,1394,1643,1275,2758
"2697032",950,1833,1631,225,1304,1298,1903,1219,1351,980,1283
"1296669",684,1582,1348,183,958,884,1230,795,946,620,1084
"76731",800,1432,1365,220,937,752,1307,760,817,589,1063
"392593",434,1167,944,131,651,560,835,653,577,427,751
"1768242",355,913,811,112,603,420,767,525,451,300,591
"1746199",559,1193,934,95,474,662,1017,615,739,561,835
"1697043",541,1154,1067,95,547,670,1121,683,749,668,905
"463014",636,1483,1106,112,864,785,1187,807,898,644,913
"463025",770,1453,2422,132,687,876,2127,787,1676,932,1178
"463040",793,1443,2768,163,1075,880,1474,812,1016,741,1293
"1416806",711,1341,1291,112,594,817,1261,744,920,676,1050
"1416803",547,1233,1125,98,570,732,1257,672,809,597,937
"103855",558,1093,870,91,496,646,1000,590,645,489,880
"94624",495,1078,1041,84,623,504,1182,727,730,536,3065
"123899",383,776,682,67,367,464,746,399,602,447,668
"1331258",312,627,600,57,261,397,626,351,439,313,554
"1208658",3,9,8,1,2,6,9,7,2,7,3
"568707",2,1,0,0,0,1,2,0,0,0,0
"35814",196,378,335,32,172,223,365,238,235,181,303
"521",145,326,313,26,186,0,0,0,228,163,0
"463024",100,164,139,13,81,123,154,78,136,96,152
"520",41,86,71,10,46,46,78,34,67,54,67
"1208660",14,35,18,2,15,20,33,16,13,14,14
"762376",318,656,528,74,264,391,577,336,450,311,520
"1167634",36,57,59,7,51,54,47,41,39,27,36
"1758194",608,1217,1079,104,483,648,1040,642,789,562,897
"1881016",535,1046,860,127,515,626,925,1838,720,564,1584
"2282475",301,647,526,68,268,382,562,395,446,336,578
"217203",946,2184,1704,288,985,1117,1826,4214,1327,895,1653
"32002",920,1754,1493,177,814,1108,1609,1023,1229,939,1395
"217204",446,979,1892,92,420,537,810,820,693,412,740
"1353889",328,681,578,60,271,355,579,348,402,353,457
"1353891",216,399,377,39,194,293,402,197,289,224,311
"72557",5,9,8,0,5,8,6,11,9,9,5
"2488560",1202,2563,1915,191,911,1359,2154,1247,1572,1022,1494
"1940612",370,745,587,62,314,449,598,373,465,345,450
"1437824",740,1411,1247,137,685,864,1431,891,1012,681,1058
"1851544",639,1271,1142,115,578,723,1155,677,826,633,1014
"2028345",191,483,351,31,208,217,392,301,292,195,353
"1007105",116,254,193,28,104,139,220,201,162,112,189
"2716226",66,137,100,16,70,69,111,117,68,74,104
"511",252,548,469,67,289,295,463,423,423,257,401
"2813780",44,85,69,9,36,58,75,43,72,52,62
"323284",15,50,29,2,25,18,36,28,20,10,23
"206506",186,439,330,42,181,201,369,241,237,180,283
"1036672",100,181,172,22,89,116,177,191,130,98,147
"1247726",77,171,166,17,103,83,152,115,107,96,123
"2163011",106,188,149,17,64,93,155,94,104,103,132
"90245",14,34,29,3,12,19,32,20,25,19,20
"90244",7,14,17,2,21,10,27,23,17,11,20
"1072685",16,48,10,2,13,10,10,17,28,10,12
"643674",14,39,41,4,12,20,37,27,20,19,35
"29575",4,11,8,1,4,2,7,11,2,8,8
"1008459",4,11,6,0,7,3,2,6,2,7,3
"2652177",7,12,10,3,5,5,16,5,14,4,14
"1707785",860,1744,1874,381,1274,1238,1844,1345,1378,3613,1731
"2769491",740,1309,1302,404,1013,820,1266,1045,1144,1034,1185
"1678028",581,1094,1108,319,884,740,999,1220,959,718,1239
"1593482",562,1080,1068,235,746,720,1170,809,891,762,918
"2765360",541,961,937,155,695,680,884,1104,754,643,746
"2709302",8,26,16,2,17,13,15,16,23,17,15
"2709303",12,22,24,4,18,22,17,16,15,24,15
"1141883",1113,2196,2200,314,2211,1394,2275,1642,1596,3316,1983
"871742",955,1877,2036,291,1229,1343,1973,1159,1390,1532,1634
"945844",796,1438,1461,391,1198,1099,1434,1162,1300,1126,1553
"864828",783,1409,1252,370,876,913,1230,880,969,997,1034
"321985",610,1252,1055,345,793,819,1145,838,881,891,970
"321983",686,1247,1200,290,830,838,1233,848,888,938,1032
"2072590",612,1143,985,185,701,791,1098,786,882,754,899
"321984",563,1134,1138,191,679,729,1056,742,845,699,900
"2045208",594,1080,999,220,648,687,1069,1124,753,639,853
"2014887",585,1262,1128,133,702,769,1091,774,808,687,855
"964",459,959,835,0,478,551,894,582,0,499,679
"1262470",445,918,773,103,525,518,858,552,572,484,589
"1235827",117,270,177,35,180,135,233,150,178,125,175
"1078773",15,38,34,4,19,22,30,28,30,29,20
"863372",262,612,494,75,312,360,581,347,385,286,422
"92645",286,592,598,76,351,367,572,386,417,314,444
"2025949",245,458,426,64,287,238,438,353,303,286,333
"2497863",352,801,738,109,660,406,774,574,511,385,572
"1644131",339,635,614,133,332,417,597,381,487,373,490
"1938606",173,313,298,36,138,178,309,220,217,188,234
"375286",98,214,228,42,205,127,232,182,139,130,222
"1537274",63,143,146,24,66,101,168,75,116,88,83
"2808899",43,95,134,20,64,80,116,73,93,54,74
"1236179",40,79,59,9,32,51,52,44,60,29,34
"1349767",425,806,769,197,487,458,675,608,489,506,605
"2590869",98,270,220,50,162,133,242,188,196,135,225
"368607",126,251,231,45,152,145,230,177,181,137,184
"29581",115,218,227,29,106,168,219,142,180,111,146
"2728020",877,1739,1621,296,1171,1117,1768,1250,1182,1469,1450
"2728021",541,1214,1128,678,695,666,1020,890,858,680,842
"1005048",188,371,372,40,185,209,397,229,247,199,261
"279058",377,780,666,101,488,464,762,495,536,474,593
"279113",353,673,729,84,413,464,714,460,489,406,474
"2601898",857,1768,1692,197,1554,994,1948,1229,1191,1085,1349
"2058624",43,92,71,9,57,47,84,62,43,39,57
"2058625",50,84,101,10,61,66,96,86,72,46,75
"401471",58,122,121,15,96,66,115,92,65,84,95
"1809410",76,183,153,17,145,88,142,123,84,86,134
"2807626",55,152,115,15,86,101,142,90,94,77,108
"556269",0,1,0,0,0,0,0,0,0,0,0
"2494234",257,507,430,30,225,309,398,308,305,231,347
"2584944",181,420,312,22,155,203,370,182,242,182,259
"40545",77,151,140,9,84,85,130,73,113,62,96
"1796652",38,127,104,7,50,44,82,51,55,35,40
"748247",1184,2437,1869,176,1339,1280,2123,1225,1441,1112,1417
"2016596",913,2035,1566,175,924,1019,1653,1077,1246,776,1155
"356837",897,1965,1608,141,1177,997,1723,1007,1288,872,1270
"2027405",775,1818,1369,208,860,848,1431,879,1089,737,1143
"198107",788,1731,1280,110,1049,899,1362,845,1047,785,958
"418699",918,2075,1712,170,1123,1081,1742,1143,1179,845,1306
"2067960",812,1697,1253,119,725,821,1512,859,1009,671,1053
"41977",688,1501,1197,125,801,725,1215,776,848,641,915
"85643",1085,2775,1698,160,1116,1109,1919,1277,1368,935,1373
"2005884",982,2243,1634,152,1044,1070,1839,1135,1274,911,1303
"1134435",638,1708,1194,138,779,816,1418,789,942,692,917
"96773",416,1124,878,64,499,506,897,626,620,480,589
"44139",383,970,701,73,425,456,757,482,522,336,622
"2184083",290,621,490,44,330,297,501,396,407,284,431
"76116",863,2002,1378,133,1075,933,1460,1227,1119,770,1149
"76115",724,1424,1199,120,995,858,1217,796,913,683,908
"76114",689,1388,1210,96,1018,831,1364,837,966,610,991
"404405",1936,3829,3154,275,2706,2035,3506,2281,2565,1581,2347
"1765049",147,298,222,21,228,144,239,185,171,85,177
"640081",138,280,193,20,261,156,246,172,154,107,205
"2811415",608,1323,1225,100,605,724,1137,715,854,614,930
"1735038",510,1031,816,67,711,573,886,623,667,439,658
"1565605",119,234,206,25,134,94,219,162,135,107,132
"2231055",256,493,413,37,3468,220,440,1147,313,233,399
"2654218",209,436,388,43,2483,240,446,854,289,197,316
"159087",323,766,590,51,5691,392,582,1815,423,318,473
"1751046",75,136,144,15,116,101,153,97,113,59,97
"2732067",2908,7503,6192,539,2598,3224,6522,3007,4511,2790,3859
"2732487",2504,6707,5165,453,2330,2762,5495,2829,3782,2365,3191
"1981880",627,1431,1253,89,718,717,1193,787,835,565,948
"311182",356,813,628,53,444,415,672,484,482,284,448
"1223802",777,1940,1531,135,923,823,1492,1037,1096,672,1094
"1842540",691,1590,1359,224,982,755,1406,856,976,656,1049
"157592",577,1180,1037,86,573,546,1006,668,739,455,835
"44574",2070,1299,1463,535,1209,686,1451,3934,582,67,188
"44577",70,219,84,16,13576,44,60,388,65,27,98
"261292",73,123,115,14,2746,49,82,342,63,47,130
"153948",14,48,38,11,2154,15,18,155,9,12,40
"228410",60,100,98,12,160,41,78,105,79,52,118
"335283",42,86,76,2,82,35,69,62,53,43,67
"1444684",18,34,21,4,39,16,35,28,19,14,35
"323848",2049,1246,1616,1694,3368,2346,6278,3887,1694,592,2496
"1288494",200,358,334,80,319,231,345,332,264,209,364
"1266925",200,290,267,82,402,211,346,369,284,217,369
"292415",1053,2192,1757,4000,808,1093,1930,1180,1344,910,1446
"1914471",749,1654,1258,118,686,763,1378,923,987,632,960
"171865",300,724,571,46,358,322,639,395,393,296,492
"1985873",156,431,273,35,156,144,310,230,201,147,272
"2675298",35,67,49,8,35,41,37,48,38,30,45
"2715678",486,1187,1005,99,471,577,1080,567,731,426,729
"1163617",264,669,560,46,276,283,469,362,354,247,410
"580332",365,813,671,54,377,381,598,462,450,297,494
"1188319",169,402,313,18,192,184,299,232,227,139,242
"395494",95,216,202,21,120,138,185,133,157,97,142
"2559597",80,187,139,8,539,98,153,127,118,79,131
"887061",46,91,92,14,53,40,114,122,54,36,88
"582744",54,86,88,11,58,44,123,120,52,39,79
"265072",139,288,256,50,149,146,416,379,151,122,389
"2588534",43,78,43,10,47,36,108,66,45,26,61
"1662285",61,75,120,29,136,54,276,428,53,41,435
"2588536",10,26,19,1,16,13,18,13,15,16,28
"1581557",7,17,18,1,16,9,13,17,4,5,24
"1581680",10,17,22,3,14,18,31,40,17,8,33
"2588535",10,14,9,2,1,8,3,12,14,6,46
"583345",16,47,50,20,55,14,33,102,22,16,56
"666681",17,38,24,8,23,17,20,42,31,12,30
"2641838",561,1089,937,82,461,674,1018,584,778,580,716
"1108595",464,850,806,73,389,492,849,530,599,480,608
"536",432,793,764,70,365,515,853,444,614,465,578
"2202141",249,510,444,59,216,277,480,220,370,269,330
"2605945",193,478,406,54,193,262,470,225,349,244,328
"1778675",64,124,78,7,50,80,115,52,63,55,69
"394935",19,64,44,5,24,25,48,24,32,40,31
"235634",30,68,48,2,35,41,47,32,59,46,48
"537",30,59,55,6,29,27,70,30,48,30,50
"1906741",656,1445,1235,105,534,722,1322,704,1015,653,885
"1009682",282,579,476,43,250,326,525,287,419,278,364
"748280",649,1386,1044,101,592,765,1236,673,985,659,808
"1537400",138,237,202,24,110,137,253,156,181,141,219
"332411",97,204,142,21,84,108,151,145,100,91,119
"1590041",77,178,156,13,104,94,153,113,113,81,121
"519081",87,164,143,8,86,120,138,88,111,99,126
"57480",499,943,817,65,405,548,945,574,630,424,627
"1192162",456,878,779,89,394,474,794,485,622,444,646
"557598",84,147,119,16,60,85,138,84,93,96,90
"1938604",200,456,362,41,226,224,378,290,282,214,327
"1737446",30,94,68,4,44,50,78,47,69,47,76
"2739434",39,82,64,6,42,63,71,54,78,54,70
"2739061",33,58,36,4,37,32,49,29,44,32,26
"655307",91,194,139,20,82,115,185,113,113,106,130
"641148",44,56,56,4,23,56,67,32,46,31,47
"2709396",27,47,40,5,18,34,36,21,18,34,34
"1853276",24,37,53,4,25,15,31,26,35,24,37
"267212",110,204,187,21,81,132,177,117,141,121,149
"194197",81,159,127,9,49,81,115,79,93,61,91
"607712",88,150,151,15,75,101,157,98,121,96,126
"88719",7,20,13,3,12,11,23,14,16,8,15
"1853278",50,126,91,9,59,65,121,57,93,54,81
"135720",2,3,2,0,3,2,3,1,2,1,3
"662598",3,1,1,0,3,3,4,4,0,0,1
"1386087",0,1,0,0,0,1,0,0,1,0,0
"1815583",57,78,70,10,51,51,100,53,61,46,78
"492",31,72,76,9,35,42,66,35,50,21,50
"28091",33,70,50,4,49,47,55,35,48,28,33
"490",38,68,40,15,28,30,46,25,34,28,26
"326522",29,66,52,3,24,27,48,26,45,24,40
"485",26,44,56,6,13,19,37,28,0,0,34
"326523",26,42,47,1,22,27,42,23,30,34,55
"489653",5,4,6,1,4,6,8,7,3,7,8
"2666100",17,39,37,1,19,24,41,32,25,26,26
"493",16,38,25,4,11,12,30,19,24,17,30
"488",33,36,34,5,19,42,49,25,47,30,41
"640030",16,32,38,2,15,11,25,22,25,16,32
"607711",17,28,42,3,17,14,32,20,24,14,32
"28449",19,26,25,4,10,10,29,15,15,7,27
"483",5,19,17,1,11,6,5,5,8,12,12
"484",13,11,26,4,9,15,20,21,18,5,20
"489",3,2,12,2,8,3,10,7,6,8,12
"2290923",773,1633,1418,122,640,854,1553,766,1042,716,1020
"682798",487,954,908,80,455,514,851,595,660,488,668
"63",268,634,562,63,369,345,451,339,408,259,392
"96942",7,13,18,2,13,8,11,15,12,10,17
"539",70,186,130,22,86,83,144,114,106,101,138
"2528037",34,72,54,2,12,39,50,29,42,29,43
"505",54,127,100,13,37,44,73,48,56,46,77
"502",60,108,105,9,47,60,86,55,61,52,83
"504",32,27,29,3,24,20,23,19,25,32,29
"153493",32,41,36,4,28,22,36,33,35,23,38
"1196094",24,30,36,3,16,14,36,37,20,21,25
"194196",22,24,36,3,17,9,23,21,24,22,25
"641147",7,11,11,1,4,8,14,13,13,7,20
"522306",854,1664,1372,121,868,977,1496,847,1081,727,1040
"2591109",540,1391,1075,115,522,628,987,664,847,591,814
"1208921",2,4,3,0,2,0,0,0,4,1,2
"1208920",1,4,2,1,1,2,0,4,3,1,1
"233181",1,3,3,0,2,2,2,6,5,1,4
"1576550",2,3,2,0,2,0,1,0,2,3,4
"33056",2,2,2,1,1,0,8,3,2,0,4
"1208919",1,2,8,0,2,3,2,3,0,2,2
"1381133",0,2,0,0,0,0,0,0,0,0,0
"1755504",262,4024,542,38,187,220,344,220,676,203,375
"1856685",292,1792,553,52,217,296,372,250,939,251,380
"2725477",585,980,738,93,408,560,754,533,1705,507,722
"2320867",466,714,665,64,281,433,639,391,1503,379,648
"2731681",282,546,321,109,250,202,312,343,1049,168,605
"2614442",342,535,360,43,204,299,425,272,1105,224,397
"2653853",284,513,486,36,202,289,416,244,679,273,394
"1294143",279,487,405,38,180,255,391,242,666,227,337
"2811422",268,461,347,43,206,251,448,222,595,215,340
"1930532",317,450,357,42,194,262,352,395,1064,189,361
"2748080",215,394,288,30,138,204,320,203,501,141,324
"2054914",185,339,245,24,127,186,271,167,266,164,210
"658630",158,319,225,23,121,189,249,152,304,192,174
"1028989",155,317,271,33,106,197,235,167,347,163,236
"2724470",146,286,220,35,118,175,234,150,282,134,191
"1931241",172,271,234,26,120,171,208,191,314,140,206
"1881017",155,270,217,220,216,182,240,182,321,145,215
"2729423",237,253,270,75,242,173,321,231,288,341,2576
"2735906",141,251,180,25,96,141,217,651,485,136,219
"2706126",142,241,222,25,142,135,249,158,218,127,211
"1573704",109,239,184,27,103,145,214,151,258,123,179
"2518644",117,225,180,16,71,118,154,126,281,91,158
"2498848",129,216,164,16,85,126,192,133,209,106,138
"143813",130,212,201,21,78,108,176,104,233,105,180
"2726956",140,211,192,19,99,112,180,312,359,85,206
"2726989",114,209,212,18,119,147,184,128,233,123,173
"1573718",80,199,120,17,59,102,102,68,171,79,89
"2749999",117,189,159,27,104,107,177,113,188,125,128
"2049589",103,188,142,21,98,109,150,118,260,103,121
"1736226",121,184,121,52,75,154,175,158,185,97,131
"2320270",91,181,116,12,76,90,157,92,183,91,108
"2054919",94,178,116,17,66,125,168,75,162,108,127
"2774873",150,175,168,24,65,114,182,87,215,87,119
"1283291",107,174,148,18,78,93,129,82,127,74,129
"2201356",86,173,130,20,46,104,143,76,134,77,121
"2804761",100,171,156,19,66,96,158,92,162,79,124
"2730847",109,158,135,13,59,124,146,87,178,90,106
"1573719",79,135,104,19,48,106,127,73,126,80,98
"1649877",84,134,136,23,63,107,134,96,142,102,122
"1981174",79,133,132,10,63,75,94,82,178,58,123
"2073078",80,132,144,9,51,77,134,77,117,67,81
"2730848",61,130,71,12,33,72,80,55,113,49,91
"2823875",80,128,106,31,50,83,96,87,132,75,100
"2219057",61,121,96,16,44,88,110,56,90,52,79
"2052956",64,120,107,6,33,65,100,59,119,53,76
"658644",69,111,100,15,49,91,114,59,130,58,77
"1898684",50,103,56,10,55,38,82,371,227,43,91
"253237",47,96,56,8,24,40,50,188,169,27,59
"1611770",49,95,73,6,40,54,91,50,150,52,60
"1573712",46,93,91,11,50,73,98,70,77,63,65
"1207075",23,93,74,4,38,53,88,37,78,34,35
"1534110",49,92,62,20,27,49,79,48,77,48,35
"2590776",38,86,70,9,29,52,74,41,86,33,48
"2213057",52,84,59,7,242,51,80,208,123,54,69
"2662033",34,82,66,14,39,42,75,41,82,40,67
"2774459",44,82,80,9,43,74,80,53,82,57,80
"2025658",58,81,79,12,45,68,90,44,125,38,59
"2812000",34,80,65,11,39,47,72,47,71,44,56
"1259844",41,79,51,60,33,47,61,171,85,35,49
"1702250",46,75,64,11,28,59,59,47,88,44,46
"2587845",48,72,64,10,189,50,63,124,138,33,73
"2604941",31,65,40,1,33,32,46,35,57,31,30
"1573711",34,61,65,7,27,53,63,40,62,46,50
"1855380",40,59,50,8,17,55,68,22,48,49,46
"2479392",33,56,47,4,29,35,59,41,50,32,49
"2597770",30,54,33,7,18,14,48,22,42,17,28
"1758730",29,51,30,5,18,28,41,25,85,18,36
"1500686",39,51,41,4,17,47,60,23,64,28,31
"2559074",24,50,48,3,28,26,34,37,45,31,24
"2054915",19,50,32,2,14,20,43,24,123,15,25
"118613",33,49,62,9,24,34,64,48,57,31,43
"658629",24,48,32,3,17,25,59,22,40,25,36
"2018067",28,48,36,8,22,46,59,28,67,23,27
"1500687",26,45,37,7,18,19,43,30,58,21,35
"1573720",14,45,36,1,12,29,32,14,29,28,15
"1636610",22,45,19,3,23,23,32,28,56,18,38
"2067572",22,44,22,4,14,17,29,16,21,20,24
"2126069",24,37,30,2,17,33,24,22,31,18,21
"1827300",20,36,34,4,23,16,37,31,34,21,33
"2005388",29,35,33,3,19,31,47,24,43,27,28
"2605424",13,34,28,0,14,13,18,19,25,13,24
"1855331",16,33,11,0,5,10,31,1280,21,18,16
"676210",23,33,62,6,11,28,31,22,47,12,31
"1173283",9,31,33,1,11,13,23,16,28,28,15
"2730851",23,29,31,4,15,17,17,17,54,18,22
"2069256",11,29,11,5,9,8,17,13,18,10,13
"2045200",9,27,19,4,12,21,31,1155,21,14,17
"2169583",11,24,21,2,16,13,23,11,13,9,16
"1659194",16,23,24,4,10,11,19,11,30,18,17
"2083055",10,22,13,1,12,14,27,14,15,14,11
"76885",4,21,6,7,15,12,12,16,8,11,4
"2083054",8,20,19,2,4,16,14,13,20,4,15
"2777367",11,19,5,0,9,9,9,8,12,3,6
"2749807",13,18,17,0,9,16,24,12,22,16,20
"658643",1,17,10,1,4,7,17,10,9,8,9
"1173270",6,17,15,1,5,16,21,8,34,13,9
"658642",11,17,9,1,3,2,14,5,18,5,15
"1886807",6,16,10,3,5,13,7,3,3,3,7
"1415630",9,16,11,2,9,19,13,9,15,8,14
"69328",7,16,8,5,7,9,10,7,20,13,6
"2651048",11,16,15,4,4,14,12,8,22,7,7
"1173273",5,14,12,0,9,12,13,13,16,11,10
"2654238",11,14,19,2,9,14,15,8,10,8,12
"2662034",6,14,10,5,15,13,8,71,9,6,5
"1173288",9,14,11,3,10,2,11,6,13,9,18
"658632",4,13,6,2,3,1,7,4,8,4,6
"2762896",14,13,8,6,8,14,20,1120,27,7,12
"1173280",4,12,18,0,1,5,9,4,11,6,5
"2083053",12,12,19,0,18,12,19,9,20,5,14
"658641",4,12,7,1,3,4,9,8,4,8,6
"2083052",12,12,4,2,3,14,14,23,39,10,8
"1173284",8,12,8,0,8,4,11,6,3,5,9
"147212",10,11,18,2,4,6,15,4,11,5,5
"2738843",7,9,17,1,4,10,23,7,12,15,21
"2587597",3,9,6,3,2,4,10,1,17,5,3
"2664899",17,7,25,2,6,8,8,5,7,9,7
"2083051",9,7,5,3,9,11,10,6,5,7,10
"1338689",1,6,2,2,0,6,1,8,1,2,4
"2545800",3,4,2,0,0,0,1,2,12,9,3
"306",1,4,1,0,0,2,0,6,2,4,3
"1495331",1,4,0,1,1,1,0,1,1,0,2
"2479393",0,2,4,4,3,4,5,1,156,1,0
"1761895",2,2,4,0,2,2,3,4,1,2,4
"2609418",3,1,4,0,2,0,6,4,1,2,1
"1523522",1,1,0,0,2,1,1,0,0,0,1
"287",1644,2687,2523,266,1211,1746,2580,1696,4441,1433,2277
"300",1035,1841,1192,149,677,804,1103,2395,3107,636,11506
"53412",427,1742,716,52,270,374,586,366,1132,343,566
"1232139",554,1554,1221,301,358,620,734,618,1610,429,1176
"43263",542,1104,986,223,884,561,720,836,1957,410,4744
"627141",481,826,740,82,302,538,777,419,969,375,634
"53408",356,509,503,46,183,335,492,238,602,238,412
"294",1794,3170,2619,452,1180,1993,2847,1684,3316,1654,2254
"380021",550,852,725,91,382,585,765,487,1060,478,589
"47878",250,467,426,48,186,303,403,203,458,279,297
"76758",254,422,360,50,188,279,384,223,538,211,300
"47883",190,298,272,36,169,226,307,193,341,169,234
"200451",150,262,206,23,99,170,257,140,249,122,195
"200450",175,253,252,23,101,189,309,155,275,143,195
"47879",126,233,195,63,106,115,191,1010,235,103,149
"46679",86,204,145,17,79,84,122,92,170,72,97
"183795",135,201,157,68,1277,124,174,468,294,93,203
"76760",91,197,179,18,186,126,162,94,247,96,143
"29442",112,183,178,9,83,112,175,91,159,101,113
"78543",78,176,136,16,67,84,157,75,148,77,128
"651740",93,150,123,11,78,91,144,74,111,74,103
"129817",63,111,110,10,55,60,97,70,135,63,74
"169669",58,107,83,7,42,72,75,51,127,59,77
"75588",42,81,69,6,41,52,75,41,83,41,58
"76761",42,72,65,11,24,34,68,48,72,40,47
"75612",31,60,40,3,19,35,53,37,35,28,40
"303",2422,4902,3719,710,1906,2706,3826,3193,4724,2301,3148
"47885",690,1085,991,177,486,716,990,602,1041,608,929
"76759",299,636,415,76,269,354,559,355,586,338,445
"47880",269,496,381,50,189,290,423,284,775,244,398
"70775",108,270,222,34,114,145,216,185,224,124,223
"2217867",46,57,45,12,30,38,61,30,80,34,39
"78327",23,43,49,2,21,30,42,17,30,37,37
"578833",3566,5435,5029,463,5689,3402,4887,5083,9850,2737,4862
"74829",522,760,717,72,449,513,805,490,1088,419,725
"271420",181,277,259,25,198,148,216,194,354,136,219
"47886",38,68,63,7,24,41,57,36,105,45,34
"587753",1253,2385,1900,249,908,1487,2077,1165,2490,1287,1503
"86185",103,170,185,15,93,117,168,131,201,89,122
"296",49,119,121,11,50,95,139,61,120,64,114
"2604832",376,2629,6498,48,229,692,696,284,1258,266,1341
"251695",493,735,693,70,364,493,614,484,786,421,609
"33069",112,247,215,20,90,148,201,131,242,130,187
"1190415",113,204,170,18,97,121,170,125,242,122,139
"36746",120,198,196,16,98,133,190,140,280,99,155
"53409",104,161,135,16,80,106,147,90,170,72,111
"251698",36,83,62,5,37,61,80,39,80,47,50
"50340",48,82,64,4,26,69,70,43,93,56,56
"251701",13,30,29,4,12,13,29,23,33,16,22
