"","X0n7bM2TOMPOOA100365.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report"
"157782",436,298,551,112,284,534,246,274,321,329,293
"2599595",432,311,555,72,305,497,262,291,316,321,249
"487184",396,218,725,60,238,501,160,238,253,271,218
"104087",389,223,469,52,212,408,177,200,186,214,181
"237609",377,251,490,96,190,423,179,212,167,256,258
"216142",329,232,420,63,192,462,162,216,172,229,259
"1499686",327,220,486,144,191,562,155,227,210,286,305
"472181",326,194,543,77,204,442,137,210,173,279,189
"364197",310,197,585,62,166,374,149,183,131,191,229
"157783",309,221,475,53,214,464,174,189,198,211,261
"198618",291,236,382,59,156,283,151,158,148,149,170
"86264",6,9,12,3,3,3,2,0,3,5,3
"198620",270,179,428,40,167,323,159,164,141,194,123
"553151",253,162,498,40,134,295,135,139,109,217,125
"515393",251,203,320,54,149,362,124,184,160,198,151
"1395516",64,54,113,11,36,105,25,28,31,40,37
"797277",241,172,406,75,152,269,128,165,141,185,160
"95300",230,173,391,40,146,261,119,140,104,161,113
"702115",226,193,425,44,158,306,125,147,155,162,138
"437900",218,153,460,38,139,280,99,137,110,151,175
"1691904",217,130,300,44,91,463,82,108,109,178,248
"219572",211,122,249,41,104,240,108,108,112,129,107
"86265",207,109,259,23,124,249,89,100,92,125,93
"1148509",198,142,219,22,116,238,67,84,88,135,89
"359110",196,119,306,25,128,221,88,98,122,130,98
"1853130",193,131,199,35,105,218,109,91,116,111,94
"191390",189,145,235,40,102,197,90,132,110,112,128
"395598",183,128,220,30,130,196,121,95,108,97,88
"741155",182,132,208,49,64,263,44,84,69,123,129
"1434072",178,141,334,47,112,241,76,110,124,158,148
"244566",171,119,207,28,102,169,94,86,83,117,77
"321846",153,106,163,42,78,172,78,77,88,83,62
"46677",153,125,252,35,104,266,93,133,111,166,113
"1274359",149,119,203,39,61,201,40,71,81,96,136
"1421430",148,134,234,25,110,186,72,116,77,112,118
"2505979",144,88,156,16,97,125,66,75,79,74,47
"47884",142,102,268,29,87,165,67,102,83,92,75
"554344",133,95,238,42,74,627,57,128,59,146,357
"163011",133,86,209,28,75,148,69,81,64,81,54
"158627",130,88,194,24,55,171,68,82,53,91,70
"2774460",127,89,160,31,65,170,49,73,69,75,77
"2774461",109,58,214,19,48,121,42,50,29,56,51
"2502979",108,68,200,33,52,233,37,78,49,83,122
"1788301",105,60,190,25,67,108,63,82,88,95,52
"122355",96,93,165,6,73,149,66,70,78,84,68
"1628086",87,53,140,18,49,82,40,45,66,67,51
"53407",82,56,113,17,43,102,35,56,36,40,24
"1306993",63,26,65,35,25,50,18,31,27,28,31
"2565368",62,29,77,11,29,67,29,32,26,34,43
"1615674",42,21,62,8,39,41,24,10,28,30,29
"1785145",31,16,50,3,16,16,20,14,20,10,1
"2681983",23,10,32,5,8,31,9,20,4,12,30
"1583341",15,14,16,5,8,9,4,8,8,10,7
"2219225",8,5,246,1649,4,7,3,7,0,4,34
"1302376",8,11,17,2,11,17,1,5,4,7,6
"470150",3,4,4,261,0,5,5,3,1,1,5
"353",2664,1051,1215,179,611,1355,637,779,643,702,641
"69964",746,492,647,117,373,971,315,518,334,441,374
"354",726,495,780,108,416,880,334,450,440,562,377
"1510150",445,180,5082,39,185,467,125,162,218,282,106
"1697053",53,39,93,6,18,21,20,15,22,22,10
"2213226",12,13,31,8,11,10,7,4,10,19,4
"2785331",9,9,42,2,3,13,2,8,9,14,2
"1879049",95,79,185,23,76,99,70,60,82,92,43
"2563897",28,18,43,6,11,12,1,18,12,13,6
"2798861",21,5,31,3,6,23,5,7,8,10,3
"2004646",18,7,26,1,7,6,3,0,9,12,2
"2714110",18,9,25,3,14,8,7,5,17,10,4
"2004647",16,4,11,0,3,5,2,2,2,4,1
"1407071",15,9,26,8,8,12,9,3,5,7,4
"2601122",11,10,18,4,13,6,6,10,10,12,6
"1646498",10,7,44,1,5,17,9,4,6,8,3
"1808001",9,8,30,5,9,11,7,9,13,14,5
"1608473",8,4,14,4,9,1,7,4,5,8,4
"1758189",8,3,36,3,8,8,9,4,13,10,1
"2079596",7,4,4,1,3,5,0,1,2,5,0
"1636603",6,2,24,1,6,2,3,1,5,2,1
"2545797",6,5,14,0,3,3,3,1,4,4,4
"1827285",5,0,17,0,1,12,3,3,1,5,4
"2609668",4,10,10,1,0,3,2,2,4,4,2
"2725684",4,0,3,1,1,0,1,0,1,2,0
"2004644",3,1,8,1,1,2,0,2,3,0,0
"2743575",2,1,3,0,3,4,2,0,0,3,0
"470",53,46,151,21,61,103,29,76,40,116,16
"48296",24,19,47,10,46,40,12,17,22,50,4
"471",19,8,41,2,22,14,9,19,4,17,3
"1530123",19,18,40,3,11,20,5,28,10,11,6
"106654",10,8,28,1,9,20,10,12,6,10,2
"1785128",4,11,22,0,8,7,7,3,3,4,2
"756892",74,43,189,23,59,66,30,55,49,44,17
"1789224",62,32,53,3,10,8,10,8,10,11,6
"108981",44,25,156,12,21,27,9,21,22,20,10
"29430",35,13,60,5,10,20,6,12,9,12,6
"40214",31,11,0,11,0,0,22,15,0,0,5
"981334",2,0,5,1,2,5,2,0,0,3,0
"487316",26,48,59,3,19,15,5,13,12,20,5
"106648",25,16,82,3,9,15,18,12,10,106,7
"1046625",1,1,1,2,0,0,1,0,0,0,0
"134534",21,11,35,4,8,13,8,8,7,4,2
"202954",18,10,57,3,6,12,10,10,9,12,7
"70348",18,8,39,4,5,17,3,6,5,11,1
"1197884",16,10,39,0,7,12,7,1,6,4,2
"1879050",16,11,63,3,18,17,8,10,18,18,4
"62977",15,7,30,5,5,16,7,9,9,23,6
"70346",15,7,18,4,4,6,8,4,2,10,5
"108980",15,12,68,6,11,19,8,11,11,19,5
"2006115",14,3,36,3,4,7,6,6,6,8,3
"1871111",14,7,15,2,1,8,8,6,6,6,2
"2715163",11,5,35,1,9,10,8,10,10,11,1
"40215",10,14,113,5,37,30,39,13,29,34,7
"202956",10,8,19,1,4,13,6,6,5,8,6
"2136182",9,8,22,4,6,5,8,6,9,14,4
"436717",8,9,18,1,3,5,2,0,3,7,2
"106649",8,6,8,1,1,6,0,2,4,3,1
"2662362",7,4,30,0,3,2,2,5,3,9,3
"2715164",7,10,25,1,10,7,9,2,3,5,3
"2004650",2,3,5,0,9,7,9,7,3,8,2
"1324350",1,4,18,0,8,7,7,5,8,8,3
"1699621",21,10,37,2,12,17,17,6,4,15,1
"1028416",19,21,37,5,16,21,11,6,14,9,2
"1699623",16,1,26,2,5,15,5,8,2,2,2
"1720344",10,8,27,1,3,5,4,5,7,6,1
"1699622",10,2,9,0,2,9,1,2,3,4,0
"2772254",9,6,25,2,8,9,10,7,3,8,3
"571800",8,5,16,3,3,11,1,5,5,11,5
"349106",7,3,11,2,2,4,3,2,3,5,2
"1699624",4,5,15,2,6,7,6,6,4,4,3
"56811",4,3,1,1,0,2,0,1,0,1,0
"2733866",3,2,21,1,8,3,1,5,1,4,2
"2203895",2,2,11,0,1,6,0,1,5,1,1
"1028419",1,0,0,0,0,0,0,0,0,0,0
"256326",48,32,33,5,33,29,28,21,20,23,6
"45610",21,15,58,5,16,23,18,17,13,14,9
"259536",18,8,19,2,11,14,12,7,15,24,2
"330922",8,5,18,0,3,11,7,6,7,7,4
"34062",95,56,105,11,49,64,28,47,54,68,26
"476",21,11,53,2,10,29,10,9,16,24,4
"480",20,0,103,1,6,21,6,8,9,9,1
"34061",18,11,70,4,13,16,15,13,12,29,7
"386891",18,14,40,2,12,21,14,8,14,15,4
"478",8,10,31,2,12,4,4,5,9,7,4
"29433",6,3,4,2,4,3,2,2,1,1,1
"2283318",62,43,100,4,37,44,27,23,38,44,14
"453783",7746,3279,6768,21875,10121,3747,6787,5381,8198,5458,6235
"2290922",1754,1029,3552,1085,1844,1406,3566,1309,2243,2498,1553
"2762611",1005,504,2730,1241,877,911,808,826,1033,1914,805
"2781021",290,183,552,205,201,261,231,172,275,406,215
"2781022",252,171,549,226,217,231,193,185,242,377,123
"2714936",169,129,370,77,171,178,113,94,152,178,82
"2781024",140,108,426,150,108,147,107,123,131,230,96
"2781023",114,78,320,109,120,110,113,98,132,199,86
"69",4043,2232,9089,3152,3522,4435,3423,2918,3691,5383,2718
"2763317",3798,1900,8889,3568,4203,5759,4699,3507,5645,6557,6335
"2795387",1888,879,3588,2845,2083,1494,1813,1754,1810,2318,1570
"84531",1526,928,3729,1155,1259,1895,1267,1115,1358,1901,982
"435897",1476,888,3514,1121,1299,1655,1300,977,1477,1954,930
"1605891",1351,718,3963,1494,1260,1424,1381,1236,1564,2640,1134
"1324796",1305,659,9430,1528,1617,1186,1687,963,1991,4297,1644
"262324",1197,680,2511,805,949,1237,957,774,958,1298,808
"2591633",1142,618,2983,1189,973,1076,940,934,1107,2095,852
"2698682",860,439,2992,918,817,765,830,667,988,1515,788
"40324",3921,2440,8522,1945,2752,3670,2594,2573,3424,5109,1888
"2072414",308,169,547,160,205,258,200,202,206,279,140
"2072413",282,178,569,125,188,248,190,176,252,314,134
"2072405",144,110,294,56,106,122,128,83,80,138,79
"2072407",125,60,189,35,59,75,55,54,62,114,43
"2072412",89,71,192,46,60,91,78,65,69,99,56
"2072406",83,33,163,28,63,50,32,31,43,71,30
"2072409",43,22,56,18,22,30,18,16,13,30,13
"2072408",29,23,72,11,20,27,16,21,16,24,11
"1904944",508,317,1187,328,370,486,376,373,382,593,276
"2770322",461,258,945,281,339,378,322,285,392,494,251
"2691571",360,181,603,161,239,294,248,202,230,353,147
"2742129",200,128,349,132,154,166,141,113,165,222,102
"2303750",105,48,212,49,86,92,81,71,79,96,45
"2040586",98,54,174,47,76,106,198,55,90,234,64
"2005046",89,66,300,51,61,75,56,57,71,130,44
"2282124",27,27,76,18,20,33,9,21,24,30,15
"2682487",25,7,54,16,22,18,14,19,25,24,7
"2775920",25,13,49,27,14,28,17,10,26,54,17
"1827305",18,19,62,13,26,26,17,20,34,43,13
"216778",1603,945,3320,966,1090,1414,998,928,1150,1666,785
"128780",929,565,2851,1382,693,1157,652,655,784,1237,447
"2045451",48,25,85,14,24,24,24,28,20,39,20
"83617",1,0,2,3,0,0,3,1,0,0,1
"149696",223,151,523,118,147,234,136,133,177,237,110
"359385",119,78,239,48,68,87,76,84,87,114,50
"340",88,63,342,52,97,103,90,78,84,113,45
"92826",79,32,127,15,63,71,46,52,74,85,40
"2724122",162,90,276,73,103,142,88,104,130,170,102
"2724123",159,92,253,74,93,114,127,102,111,141,73
"2724121",158,123,257,74,96,125,122,97,146,165,65
"2775162",15,14,57,16,21,18,24,16,8,20,7
"2776703",3,1,1,0,2,4,0,0,3,0,0
"152263",234,165,463,139,230,197,186,156,258,300,132
"134875",189,118,308,85,130,187,163,137,162,219,76
"487909",60,35,104,17,43,59,50,32,60,62,19
"56458",807,472,1908,516,688,832,581,560,772,1081,487
"64187",194,93,241,42,101,129,82,84,119,148,51
"129394",75,49,114,35,62,53,57,45,55,77,19
"56464",595,332,1201,343,441,541,434,378,544,685,312
"346",589,343,943,215,377,494,326,344,463,524,240
"380358",3,1,1,1,1,1,2,2,0,1,1
"56455",469,317,906,251,349,469,322,264,370,527,235
"195709",99,70,188,47,62,81,77,40,74,100,43
"69929",77,40,272,21,26,57,40,28,61,54,35
"925775",52,38,115,19,38,48,50,36,38,40,19
"56453",331,217,731,185,281,286,221,156,280,378,166
"48664",325,200,783,163,251,282,231,232,251,344,140
"487904",84,63,199,32,62,83,74,66,88,103,49
"2754056",41,23,93,24,32,51,27,29,26,28,35
"707209",5,2,14,7,2,4,0,2,4,6,2
"454958",10,9,44,14,10,14,15,7,11,19,10
"325776",6,8,6,3,4,6,6,8,1,4,3
"487849",3,2,4,0,1,4,4,1,1,4,0
"1219375",244,174,429,85,175,212,169,161,198,296,90
"1982678",198,116,343,61,119,111,118,96,138,141,69
"1101443",24,19,20,4,6,13,2,3,5,15,5
"1304892",2,2,0,0,3,1,2,0,3,1,3
"2259622",150,126,303,77,106,158,88,100,140,183,78
"359387",15,9,22,11,6,17,6,12,11,15,7
"207721",14,9,19,0,9,10,8,9,9,22,8
"189396",6,7,37,8,13,16,7,16,9,9,6
"316273",1,0,0,0,2,0,2,0,1,7,0
"92828",74,57,229,36,65,66,46,48,61,96,57
"317013",4,2,4,24,1,2,1,0,0,2,1
"442694",15,12,47,4,21,11,11,27,11,30,0
"2799326",1299,695,3374,1267,1121,1102,1053,854,1226,2247,837
"1896164",1049,629,3174,1318,859,954,742,747,1002,2084,855
"2508168",1004,590,2594,974,863,873,750,666,1089,2950,675
"2799325",983,570,2358,915,763,840,816,713,927,1575,658
"2761107",913,547,2455,894,745,842,726,670,931,1566,693
"1176533",1268,738,3248,1214,1047,1099,928,908,1182,2175,869
"2006110",1222,601,2825,807,862,934,872,675,1014,1867,685
"2565782",1000,536,2340,808,830,838,756,667,983,2834,669
"743721",1306,718,3195,1388,885,1106,793,733,1056,1835,725
"128785",2181,1297,35363,7864,1281,2664,1112,1176,2584,6212,2087
"1045855",795,455,2448,641,610,701,542,523,675,1151,480
"2202149",1135,563,5169,1039,1124,1058,1199,872,1348,2122,1225
"2771436",1037,554,8817,3278,859,865,745,677,996,1551,763
"2714945",706,294,2782,612,608,588,578,457,701,1123,681
"215691",1258,671,9951,1207,1200,1188,1208,914,1524,2244,1183
"1463158",1026,558,3638,834,822,905,785,631,962,1421,755
"370777",3430,1220,18924,1019,1261,1730,878,949,1247,2696,933
"2511995",823,572,1855,194,647,663,561,458,794,730,511
"698414",3,2,13,0,1,2,1,0,1,2,0
"1401256",3,2,0,0,5,0,0,1,2,0,1
"644357",2,4,6,0,1,0,0,0,1,3,0
"671135",2,2,1,1,2,1,1,5,1,1,0
"1444770",86,43,124,36,51,49,46,49,51,61,38
"445710",1337,820,35893,319,1148,1215,1130,776,2313,1884,1262
"2763498",728,467,1635,219,572,540,574,334,953,785,498
"2501295",278,207,724,93,246,281,215,172,392,363,230
"1217721",843,524,1866,212,688,670,644,489,1127,903,594
"1849581",409,283,1118,105,342,351,293,224,601,539,332
"666685",1405,848,6620,424,1070,1075,1048,736,2116,1857,1214
"2778082",1112,693,4433,347,974,944,907,741,1797,1522,957
"582702",746,517,2305,238,656,645,555,410,1357,1021,807
"1300342",2677,1697,4685,727,2077,2275,1619,1393,2081,2422,1382
"2589080",940,652,1891,260,732,860,676,602,974,980,602
"1440763",905,590,1695,201,748,790,656,534,940,866,549
"2010829",1263,832,2968,338,1024,1048,874,726,1667,1481,928
"2021234",839,617,1425,114,510,667,363,394,521,710,274
"767434",479,294,1010,107,341,382,285,258,439,406,249
"550",553,344,1620,89,402,539,6101,674,630,1581,183
"158836",201,120,324,40,127,189,125,161,131,171,61
"69218",125,71,153,18,81,96,91,92,73,87,32
"61645",106,66,138,22,62,124,87,61,58,81,26
"1812935",92,45,153,31,66,89,82,58,71,117,33
"2494701",65,26,78,8,47,71,57,30,52,61,24
"208224",45,28,73,5,22,49,17,23,27,39,74
"299767",30,26,60,52,21,31,24,30,15,31,7
"2071710",30,20,15,3,9,18,14,17,13,15,1
"2757714",23,20,39,11,21,22,14,17,8,14,8
"2724468",145,78,138,14,95,105,99,77,96,113,43
"2596949",127,65,158,24,67,91,52,45,118,95,48
"1914861",115,66,159,15,59,105,56,61,71,74,34
"2742676",51,46,62,6,27,25,19,24,12,28,16
"2742639",50,18,82,5,29,23,21,25,21,26,10
"399742",47,24,64,8,30,41,33,20,64,34,18
"2742619",24,9,42,7,17,25,12,10,10,14,4
"1166130",21,10,10,0,10,12,11,7,6,9,1
"2705458",13,10,28,1,13,4,10,4,13,7,3
"2500132",11,7,5,3,8,13,4,3,7,10,7
"1560339",9,11,8,2,6,9,3,3,3,6,3
"648691",5,1,2,0,1,1,2,1,0,0,1
"2565914",4,4,1,1,0,3,1,1,1,1,3
"1868135",3,1,10,3,0,2,2,3,1,4,1
"1827481",2,1,4,0,0,1,1,1,2,3,0
"2742673",1,0,1,1,0,3,1,1,2,2,1
"2742656",1,0,0,1,1,0,9,0,0,0,0
"2747372",1,1,1,1,2,1,2,1,0,2,0
"2051905",1,0,0,0,0,0,0,0,0,0,0
"881260",93,57,138,9,41,65,48,62,32,71,15
"2478464",63,29,59,13,35,41,31,27,32,32,10
"885040",36,23,62,12,25,24,17,35,26,24,24
"539813",3,4,5,0,3,3,2,1,4,2,1
"72407",19,12,13,1,9,8,4,8,6,5,4
"39831",5,1,4,0,2,3,2,2,1,2,1
"1328373",1,0,2,0,0,0,0,0,0,1,0
"1365186",1,0,0,0,0,0,0,0,0,0,0
"1420012",1,0,0,0,0,0,1,1,0,0,0
"548",328,211,477,44,184,315,187,199,217,209,89
"2681387",22,12,15,3,16,22,11,12,13,12,6
"2787706",7,5,5,0,2,7,2,2,1,4,0
"2675726",6,3,6,0,5,6,8,3,1,3,0
"2697371",4,5,0,0,0,5,2,1,1,1,0
"2015795",2,0,1,1,1,1,1,1,1,2,0
"2267618",2,0,1,2,0,1,0,2,0,0,1
"2675710",1,1,1,0,3,3,2,2,3,0,2
"571",208,116,368,43,145,195,130,120,143,172,56
"1134687",202,136,0,35,131,169,109,104,129,0,64
"1667327",9,5,11,1,5,6,3,3,4,5,4
"244366",102,0,121,15,0,0,80,81,0,80,0
"2026240",47,27,93,9,34,40,27,26,25,27,18
"2153354",43,23,49,2,33,42,24,23,43,46,15
"2489010",38,32,64,6,20,38,26,22,20,36,14
"2058152",21,11,63,11,15,24,24,26,15,22,5
"546",204,129,428,44,132,155,86,91,100,125,44
"67827",28,14,51,2,17,40,12,14,20,16,5
"1639133",16,14,30,71,15,14,12,9,9,13,1
"2816438",13,7,18,2,3,13,10,9,12,4,4
"57706",12,5,17,3,11,17,8,7,10,7,1
"133448",10,4,15,0,6,6,5,3,12,10,3
"1573676",61,41,95,9,44,59,31,29,45,35,29
"2742624",55,40,58,7,47,58,34,36,51,35,19
"2546350",23,18,31,5,11,15,15,16,3,17,9
"2781952",17,19,15,5,10,11,8,9,17,12,6
"1702170",7,0,20,1,3,2,0,2,2,2,2
"2742627",6,5,5,0,1,8,1,2,3,4,0
"1703250",3,1,3,0,1,4,3,0,1,1,4
"1920110",3,3,21,2,0,3,0,2,0,3,0
"2742675",3,1,1,0,1,2,1,3,6,1,1
"2742667",3,3,2,2,1,1,0,0,1,2,0
"2742626",2,0,0,0,0,2,1,6,1,1,1
"2742657",1,2,3,0,0,0,0,2,1,0,0
"2742625",1,3,0,2,0,0,0,6,3,2,0
"2742668",1,2,6,0,0,2,0,1,0,0,0
"2697370",1,1,2,1,1,2,0,0,0,0,1
"2742678",1,0,1,0,1,0,2,0,0,0,0
"637910",112,58,159,23,73,111,74,49,53,63,41
"67824",75,51,74,6,45,43,27,35,31,45,23
"1261127",50,35,66,10,26,38,21,26,23,39,16
"545",38,19,45,4,15,24,20,30,26,34,20
"2562449",37,23,115,10,19,22,31,21,32,36,9
"2653932",31,22,66,8,28,33,18,22,29,32,18
"1748967",6,6,11,2,7,14,3,8,3,3,0
"1563222",5,4,16,2,0,3,1,6,1,2,1
"1138308",18,13,12,1,13,18,14,7,8,13,7
"413498",146,88,159,13,84,147,94,79,90,94,51
"1074000",121,70,125,16,55,86,64,49,67,89,51
"1073999",102,54,144,14,85,88,68,58,79,78,48
"1159491",1,0,0,0,0,2,1,1,0,1,1
"1159613",24,10,24,3,14,11,9,13,7,10,4
"1906275",13,13,30,6,9,31,13,8,14,7,7
"2725560",79,48,97,19,54,61,37,51,67,140,16
"2492396",65,39,60,13,26,44,32,28,51,62,16
"2067958",48,48,104,6,30,39,35,38,27,30,10
"1300165",20,12,17,3,17,11,14,21,8,21,5
"1235834",14,8,16,4,8,11,6,1,6,10,9
"551989",57,30,58,9,32,45,30,17,42,35,16
"1177180",1,3,2,0,3,4,1,5,1,4,0
"497725",41,21,44,5,18,30,27,24,27,24,1
"1646340",41,35,59,7,27,35,17,19,20,26,8
"2714951",82,52,83,20,60,107,59,50,43,53,26
"2815358",78,46,83,12,58,76,41,58,45,72,25
"2282310",21,10,16,3,8,34,21,8,4,13,6
"2282309",19,12,17,2,9,24,6,18,10,16,4
"2681308",14,17,25,3,11,15,9,8,17,20,2
"2681309",9,1,15,3,1,8,5,4,5,7,0
"1920114",7,4,3,0,5,5,11,6,4,1,1
"2681307",7,12,19,2,16,24,19,13,17,11,9
"83655",183,124,265,25,114,156,95,96,109,121,61
"2822132",10,9,2,1,3,7,0,2,1,2,1
"83334",7,3,5,2,7,3,3,4,2,6,1
"696406",3,0,0,0,0,0,0,0,0,1,0
"2233553",3,0,0,0,0,0,3,0,0,1,0
"930406",3,0,0,0,1,0,0,0,1,1,0
"585034",2,0,1,0,0,0,1,0,0,0,0
"409438",1,1,0,0,0,0,0,2,1,0,0
"2048778",1,0,0,0,0,0,0,0,0,0,0
"2048781",1,0,0,0,0,1,0,0,0,0,0
"1392858",1,0,0,0,1,0,0,0,0,0,0
"2763104",1,0,0,0,0,6,0,18,0,0,1
"1045010",1,0,0,0,0,0,0,0,0,0,1
"244319",1,0,0,0,0,0,0,0,0,0,0
"1078034",1,0,1,0,0,2,0,0,0,1,0
"2810408",1,0,0,0,0,0,0,0,0,0,1
"2810404",1,0,0,0,2,4,0,1,0,0,0
"208962",63,30,69,10,36,40,30,24,25,33,18
"564",61,33,77,11,23,32,22,23,11,27,12
"1499973",32,18,42,4,16,29,18,21,16,21,5
"2044467",14,14,39,3,13,10,4,14,10,16,1
"575",84,48,100,8,47,66,44,55,64,60,25
"577",83,59,116,10,46,65,36,30,51,59,30
"54291",68,0,0,8,0,56,37,0,45,49,21
"1259973",22,8,16,4,12,21,14,22,16,11,6
"2259647",3,0,1,0,0,2,0,1,1,0,0
"61647",419,295,522,86,302,413,229,245,323,332,147
"701347",19,21,50,5,15,32,17,27,16,22,9
"59201",139,96,266,33,74,115,77,80,62,68,39
"59202",22,21,46,1,29,33,17,16,27,19,14
"59208",8,2,25,3,7,11,3,7,7,8,4
"59204",4,2,2,1,3,6,6,1,0,3,3
"59205",4,3,3,1,2,6,8,6,5,2,8
"59203",3,0,24,0,6,4,6,2,4,3,3
"41527",3,1,10,0,3,4,3,3,8,2,2
"1197719",2,2,0,0,2,1,0,1,2,0,0
"158822",331,193,415,52,202,286,152,146,188,207,67
"2545798",90,45,128,13,72,70,49,52,61,73,19
"158823",76,63,128,19,53,57,46,53,69,66,24
"61646",144,105,186,18,83,117,59,72,66,70,32
"2153385",37,18,28,4,14,27,22,16,15,24,7
"69220",29,16,49,2,18,21,16,15,12,8,6
"61648",76,47,89,9,42,56,30,30,38,49,18
"2774055",71,50,129,18,49,62,58,44,41,72,26
"51288",32,20,23,8,15,17,25,14,9,11,3
"566",142,80,244,27,99,112,86,72,76,76,26
"2579935",137,78,192,21,87,132,60,83,70,76,32
"158877",113,62,153,17,56,88,56,55,52,59,25
"1851514",107,61,114,16,68,66,42,64,59,63,26
"2479367",57,31,83,9,45,40,25,31,32,36,8
"82977",35,26,79,6,25,43,24,33,36,30,15
"146507",34,41,77,19,30,39,15,24,28,33,16
"84564",20,17,74,1,16,22,13,9,25,26,5
"1906659",11,3,11,2,10,4,4,6,3,7,2
"1906661",8,4,10,1,4,2,3,3,3,3,1
"1906657",7,4,26,4,14,10,11,6,8,10,2
"1682492",5,2,7,1,4,2,4,0,0,2,0
"472825",4,2,8,0,0,0,3,2,4,5,1
"199891",3,0,11,0,2,2,2,3,2,0,1
"1906660",1,0,4,2,2,1,2,1,2,2,0
"565",93,77,149,10,61,82,51,67,54,69,42
"1972431",64,34,96,4,28,50,30,29,40,49,14
"395631",13,5,8,2,6,8,4,6,2,3,2
"1756993",8,1,8,1,2,6,3,1,2,2,2
"563",87,67,152,13,48,85,47,64,52,74,21
"2675784",5,1,1,0,0,0,1,0,1,1,0
"2675785",3,6,2,0,1,1,2,2,3,1,1
"2675772",2,0,3,0,0,0,0,0,1,1,0
"2675775",2,1,8,0,0,1,0,2,1,0,0
"2675794",2,3,3,3,1,2,0,2,0,3,0
"2675793",2,2,1,0,1,3,1,3,0,3,1
"2675791",2,2,3,0,1,1,0,1,2,3,0
"2675789",2,0,7,0,0,1,0,2,0,0,0
"2675782",2,1,1,0,1,1,0,1,1,0,0
"2675783",2,1,1,0,0,0,2,0,0,1,0
"2675797",1,1,13,0,3,1,0,0,1,4,0
"2675795",1,0,2,0,1,1,1,0,0,1,0
"2675792",1,1,8,0,1,1,2,3,1,2,0
"2675788",1,0,2,0,0,0,0,0,0,0,0
"2675787",1,3,13,0,0,1,0,0,1,2,0
"2675786",1,0,0,0,3,0,0,0,0,0,0
"2675781",1,0,3,0,0,0,0,1,2,1,0
"2675780",1,0,1,0,0,2,0,2,0,0,0
"2675779",1,1,0,0,0,0,1,0,0,0,0
"2675778",1,1,3,0,1,0,0,0,1,1,0
"2675776",1,0,0,0,0,0,0,0,0,0,0
"1048758",29,11,37,2,26,39,9,0,19,14,3
"42897",1,1,1,0,0,0,0,0,1,0,0
"622",4,3,2,0,6,6,2,0,3,2,2
"621",1,1,0,0,0,4,3,0,0,0,0
"2487150",8,3,4,1,5,11,5,14,1,2,4
"401619",3,0,13,0,0,1,2,1,2,1,0
"428411",2,0,5,1,0,3,0,1,0,1,0
"476281",4,2,8,2,6,1,1,2,4,5,3
"911022",8,5,45,3,3,6,4,3,10,7,1
"1334564",7,3,57,1,6,4,5,6,2,9,5
"273526",6,8,11,3,5,13,4,9,4,4,3
"435998",3,1,1,3,2,2,1,3,3,2,1
"2420306",79,55,52,7,34,54,36,29,54,38,19
"104623",59,36,142,11,40,68,29,46,33,41,16
"671990",52,27,59,11,35,38,27,24,28,21,32
"2597702",50,34,66,6,27,33,34,37,38,43,14
"2033438",28,13,12,2,28,40,32,29,31,31,8
"2448483",14,11,24,5,8,13,6,14,10,7,2
"2447890",14,14,15,6,9,26,8,11,16,14,6
"2724469",7,3,5,1,0,1,3,5,2,3,0
"2773264",6,1,18,1,9,6,3,4,1,2,0
"2482769",6,4,14,2,10,3,3,9,1,2,2
"2785630",4,0,5,0,2,1,2,1,2,0,1
"1327989",4,7,12,2,4,2,5,13,1,7,2
"488142",4,7,15,0,10,9,7,2,9,3,4
"1758196",3,0,0,0,2,3,3,1,6,2,1
"2485839",2,1,6,0,0,5,1,1,2,1,0
"1154756",64,42,57,8,24,29,40,25,35,57,7
"682634",10,4,9,1,10,4,4,10,6,2,2
"1006598",1,0,6,2,1,2,1,2,0,3,4
"61652",167,113,254,23,108,166,96,137,101,115,59
"618",153,114,290,18,99,137,81,92,61,110,45
"47917",150,98,246,21,102,161,99,105,92,103,48
"2741499",123,81,138,18,65,79,56,44,46,60,26
"399741",6,8,11,2,7,13,3,3,3,15,4
"82995",80,53,108,14,41,57,26,40,52,40,20
"568817",10,5,21,1,1,9,10,2,3,7,0
"1346614",5,5,8,2,3,6,3,4,1,3,0
"137545",29,17,48,8,27,15,4,9,13,20,12
"61651",22,18,16,10,10,21,12,13,17,15,7
"300181",11,9,20,2,13,3,5,1,13,10,4
"458197",9,4,5,1,6,3,3,3,6,3,0
"1443113",16,6,3,1,2,6,4,6,1,4,0
"34053",3,1,10,1,1,3,2,2,0,0,1
"367190",15,5,26,4,14,16,15,6,8,13,2
"633",9,6,14,0,10,15,5,4,8,8,3
"632",7,11,13,2,4,2,5,3,4,11,3
"29486",39,27,79,10,29,29,28,22,28,36,16
