"","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report"
"47770",12,9,184,76,10,7,10,6,8,7,9
"227945",6,4,5,5,3,0,3,3,4,2,5
"83683",8,3,6,2,8,0,9,7,3,1,0
"1579",9,3,11,3,4,4,9,5,5,1,7
"33959",16,3,158,47,10,8,6,11,6,7,11
"1600",8,7,9,5,0,5,2,1,12,7,7
"109790",8,2,8,2,10,5,4,8,8,8,5
"147802",8,8,5,7,12,8,2,0,11,5,6
"303541",7,10,1,2,3,4,3,5,3,2,1
"1587",5,0,121,39,4,6,6,3,13,6,10
"1604",20,6,78,30,8,5,4,3,7,7,12
"1218494",1,0,0,0,2,2,1,1,3,1,1
"267818",11,2,9,1,4,4,3,3,5,4,2
"1218493",3,3,2,5,6,1,2,2,2,1,2
"2269374",3,6,0,1,7,8,2,0,3,3,2
"1596",4,1,4,0,5,1,7,4,6,8,3
"508451",3,1,5,2,4,4,1,0,5,1,2
"2107999",2,5,1,0,2,2,0,2,0,2,1
"267363",103,60,50,13,85,63,71,60,101,66,92
"1580",81,52,43,14,49,44,43,43,76,42,66
"2292255",39,16,27,8,28,21,8,20,32,22,24
"637971",17,13,12,2,22,13,15,10,18,26,25
"1613",92,48,43,15,73,54,60,53,72,68,95
"35787",78,57,58,19,44,52,47,62,89,64,83
"97478",42,15,18,7,34,27,22,16,23,39,34
"1598",22,10,93,52,15,20,12,10,23,15,19
"227942",6,5,4,4,6,10,6,10,17,3,9
"1633",2,2,31,19,8,4,3,4,7,6,1
"104955",4,6,6,1,2,6,4,4,3,2,2
"1582",24,24,14,4,33,12,12,19,33,12,20
"47715",36,16,17,5,45,34,21,23,45,27,20
"88233",28,25,16,6,41,25,11,8,17,21,21
"1597",19,14,15,3,16,16,12,15,24,23,22
"57037",16,12,7,1,9,14,7,17,21,13,9
"1583",24,15,13,45,21,11,160,7,18,16,173
"137591",16,20,28,8,15,12,23,7,28,17,29
"2506420",22,12,10,7,16,15,17,11,13,13,16
"155866",18,9,7,2,12,8,4,11,15,13,12
"1631871",5,4,4,7,3,2,3,4,2,5,8
"46256",4,4,3,3,2,3,4,1,3,2,1
"1162633",11,3,1,0,5,7,4,1,3,1,4
"759620",8,4,2,6,3,5,2,3,4,5,6
"1629",16,4,4,6,6,5,7,14,13,7,5
"1249",6,5,5,8,10,0,10,10,6,4,9
"2683241",2,2,4,4,4,4,1,2,5,0,2
"304207",103,62,53,12,87,69,42,53,78,85,68
"1589",51,29,32,10,29,31,33,20,44,28,24
"1590",28,18,42,2,18,37,8,25,47,23,30
"60520",14,12,8,3,9,12,8,7,7,8,14
"1245",16,10,3,3,11,3,5,11,7,5,22
"1244",11,10,7,3,10,3,1,2,13,7,11
"1246",8,7,4,0,9,10,10,6,15,11,9
"1252",5,6,0,1,5,4,2,4,7,1,2
"33964",1,1,3,1,4,3,3,2,7,4,14
"1511761",2,4,3,1,6,7,6,6,6,0,2
"33968",5,0,4,0,2,2,2,7,12,1,41
"136609",0,0,0,0,1,0,2,0,0,0,1
"1622",6,3,7,1,5,5,3,3,14,8,6
"1623",16,13,10,6,24,15,11,14,12,10,16
"1624",23,9,125,94,18,9,9,12,19,8,7
"1605",10,4,6,1,5,4,6,1,10,8,14
"228229",6,4,7,5,3,7,6,8,7,10,4
"89059",13,13,5,4,17,9,2,9,14,17,12
"1601",16,11,19,9,6,2,10,2,10,13,5
"1581",17,22,8,6,14,12,11,15,19,23,13
"152331",9,3,10,1,15,13,5,9,8,3,10
"1588",19,10,10,2,11,5,7,7,18,11,8
"33962",11,2,6,4,8,7,2,8,9,3,11
"1138822",4,3,5,1,8,6,4,5,7,2,3
"1255",7,6,6,6,21,7,5,6,11,4,10
"1670797",23,18,12,7,16,20,14,9,16,25,13
"114090",2,4,5,1,7,4,2,4,5,2,1
"51663",2,2,3,6,5,10,2,6,6,7,8
"187452",6,7,4,5,8,9,3,5,5,6,4
"1599",38,11,7,9,20,12,8,12,20,17,15
"164393",13,1,5,3,6,6,4,7,6,11,10
"28038",13,8,8,4,12,16,10,11,23,13,11
"60519",5,2,2,2,5,7,3,4,5,4,3
"2203724",16,10,10,0,6,10,5,5,9,1,5
"1247",7,13,11,2,13,9,7,6,15,8,2
"336988",13,12,5,4,6,12,4,4,6,14,12
"2636988",6,2,4,2,0,3,3,4,8,5,5
"1847728",10,4,3,0,0,1,3,4,3,5,7
"938155",3,4,5,2,6,5,5,1,5,5,10
"1612",1,2,2,1,7,4,2,1,3,2,4
"2304606",7,8,1,1,2,3,3,5,2,3,5
"1602",13,3,1,1,3,6,3,3,4,7,2
"83526",12,2,4,0,9,9,3,5,9,4,5
"392416",3,5,4,1,3,1,1,4,3,6,4
"2714036",2,2,4,0,3,4,2,3,2,0,5
"1007676",8,3,4,2,5,8,3,1,10,5,5
"1074467",4,2,2,2,6,6,6,0,5,3,7
"1607",14,7,17,3,13,9,5,8,12,9,11
"1610",15,12,16,7,17,17,3,9,17,19,12
"375175",20,8,3,3,8,9,9,11,15,8,6
"240427",31,24,11,4,26,15,10,23,15,33,27
"176292",18,10,0,1,3,3,6,2,3,7,11
"231049",25,17,4,4,27,18,12,10,33,17,17
"468911",10,1,2,2,6,5,5,5,7,5,14
"82688",4,2,7,4,7,6,3,1,5,6,6
"1618",11,6,5,5,10,3,2,4,5,3,1
"1720083",4,4,8,5,8,7,10,1,6,8,7
"1296540",5,5,3,1,17,5,5,8,8,8,7
"293371",4,5,1,4,9,3,1,4,1,7,3
"1193095",9,3,3,1,10,3,3,2,5,3,8
"1614",1,4,1,4,9,1,1,1,8,1,2
"53444",6,1,2,1,7,2,3,4,7,1,0
"1625",2,4,3,2,7,1,3,4,4,1,3
"51664",10,2,12,2,11,5,3,6,1,4,2
"148814",8,2,2,3,5,1,1,3,2,1,1
"2419772",9,0,7,3,4,0,0,7,1,4,2
"1603",6,9,16,4,7,10,5,9,18,10,8
"1303590",13,3,1,6,8,8,3,2,7,2,3
"2608887",38,31,27,8,39,39,32,20,51,30,31
"1307",67,38,32,19,40,36,25,35,62,49,41
"119603",21,25,20,9,24,23,11,11,28,35,12
"2173853",25,18,8,2,8,17,2,10,20,7,14
"1305",38,17,18,11,32,23,23,19,35,29,42
"1303",22,9,7,10,14,13,10,13,24,13,14
"671232",15,7,6,3,10,7,8,2,21,13,12
"1302",10,13,7,2,19,16,9,12,26,6,13
"1308",14,6,3,2,8,8,7,8,11,7,10
"1310",13,7,6,1,10,6,6,8,9,6,6
"1313",17,7,5,2,11,14,8,10,17,9,20
"1309",10,8,7,1,4,8,4,1,10,2,7
"1811193",10,9,11,2,11,10,4,12,9,5,0
"28037",17,7,10,3,12,9,10,12,12,3,10
"1335",12,4,5,3,13,3,6,7,7,5,8
"1340",13,6,2,0,10,5,5,3,7,7,5
"1329",6,1,2,1,2,0,4,4,6,6,2
"1341",14,8,7,4,9,7,2,10,6,2,10
"1304",13,10,3,2,12,9,6,7,15,7,12
"1314",15,7,15,3,9,15,9,13,16,12,11
"1318",5,3,4,1,4,5,4,4,3,4,3
"1326",8,2,5,3,6,3,1,6,8,1,4
"45634",19,13,7,1,10,10,11,12,9,10,10
"82348",8,8,5,3,7,10,7,1,4,8,6
"315405",6,6,2,0,8,9,5,4,11,10,2
"1888195",10,2,2,1,5,3,4,7,12,3,9
"1825069",4,5,1,1,1,5,1,3,1,1,3
"1349",15,4,3,4,5,6,2,0,7,0,6
"1348",3,2,1,3,3,5,6,2,6,9,1
"1111760",4,1,1,1,3,0,1,0,5,0,5
"400065",6,6,0,2,5,5,2,6,9,4,9
"361101",9,3,5,2,4,4,4,8,7,7,11
"149016",2,1,1,5,4,5,2,0,7,5,3
"257758",3,3,3,0,0,2,0,0,4,1,2
"113107",6,2,4,0,4,5,2,6,9,7,5
"2021971",7,7,4,3,1,3,4,3,5,6,5
"1345",13,7,10,2,5,11,3,17,9,16,19
"2490633",1,0,1,0,1,1,1,0,1,0,0
"1814128",9,5,6,4,7,4,1,2,7,4,3
"102684",0,1,2,1,0,1,0,1,2,0,0
"2382163",1,3,1,1,3,1,0,2,1,0,1
"1343",2,3,3,0,3,2,1,2,1,2,1
"1917441",1,0,0,0,0,0,4,2,3,3,1
"33040",0,1,1,0,0,1,0,0,0,0,0
"1311",2,3,5,28,1,4,2,0,2,0,1
"1346",10,2,8,3,6,1,1,1,5,7,5
"197614",0,0,0,0,0,0,0,0,0,0,1
"1363",18,14,11,4,24,10,49,20,19,201,16
"1359",32,14,15,5,14,9,7,12,13,9,9
"1358",18,8,12,7,13,12,12,12,24,17,41
"1366",14,10,13,4,12,12,10,15,25,15,12
"2419773",4,4,6,1,4,6,3,3,3,8,2
"1151742",8,8,2,3,8,5,8,8,10,2,8
"2643510",9,4,5,4,3,6,3,7,6,12,5
"1364",4,6,2,1,4,1,4,4,0,7,4
"2749961",1,0,1,0,3,1,0,0,0,2,0
"33945",31,20,15,14,30,19,20,19,25,16,20
"160453",22,11,7,5,12,20,10,13,17,10,19
"1351",32,8,5,18,31,23,21,17,26,20,42
"37734",34,11,23,10,13,17,32,35,21,18,87
"1352",19,10,96,83,16,16,4,6,11,11,16
"1354",16,10,13,25,11,9,10,13,12,10,11
"53346",20,8,10,6,14,13,8,7,17,10,13
"53345",13,4,9,7,13,9,4,6,12,6,10
"118060",14,8,8,5,4,7,3,8,9,7,8
"1805431",9,6,8,3,7,8,4,8,12,3,9
"44008",22,10,191,78,9,9,7,8,13,2,15
"2005703",15,5,8,9,7,8,6,6,18,10,7
"417368",8,5,7,6,8,6,6,5,2,8,6
"2608891",5,5,1,2,0,2,2,2,2,1,7
"1353",13,5,1,0,0,0,5,1,1,1,3
"357441",1,0,0,0,0,0,0,0,0,2,0
"2571750",6,1,8,7,6,3,4,4,8,6,8
"218144",4,2,6,6,7,4,3,4,6,6,6
"2714946",3,3,1,6,3,5,7,2,6,0,6
"2648499",5,1,3,4,2,3,2,5,3,2,7
"519472",4,7,2,10,5,3,2,3,5,2,5
"2714947",19,3,9,6,12,8,6,1,4,11,4
"633807",13,3,6,10,4,3,8,0,11,5,8
"51669",10,7,11,19,8,6,8,6,16,9,7
"290335",15,8,4,3,11,5,4,3,8,9,3
"526944",6,6,2,3,6,6,5,3,13,1,6
"33970",11,4,7,6,17,12,5,22,36,6,10
"119206",35,13,24,8,27,20,14,16,16,27,26
"1376",16,6,4,1,7,15,13,8,13,10,22
"51665",8,2,18,51,8,12,7,6,26,6,10
"1377",10,5,5,4,9,5,4,1,12,4,10
"87541",7,4,5,4,4,9,5,6,10,4,6
"128944",16,3,3,3,11,4,6,8,9,16,10
"46125",13,10,23,4,16,10,5,10,15,9,12
"2036206",18,15,6,2,9,6,7,3,13,2,16
"2748",18,8,9,9,16,12,8,9,13,8,12
"257487",23,16,18,18,12,10,6,12,25,18,17
"2751",24,7,13,15,17,13,8,5,21,9,9
"147709",4,4,2,4,4,5,2,4,3,1,4
"1868793",13,10,26,152,9,9,4,6,9,3,3
"2496265",9,10,21,10,14,6,9,8,7,4,5
"1868794",3,7,17,26,10,3,3,7,3,2,1
"708126",7,3,7,8,9,3,1,3,8,2,3
"2621505",7,6,8,9,1,5,4,4,4,3,1
"29394",28,20,16,8,27,16,14,13,18,10,28
"2632303",10,7,14,8,12,8,2,11,8,5,2
"73918",4447,2278,1801,404,2873,2569,2630,2531,3601,3247,3227
"28033",2,1,0,0,0,2,1,2,2,1,2
"1297617",357,196,130,42,273,204,200,194,269,252,270
"2610894",204,99,98,20,178,99,115,106,171,128,149
"2086584",130,58,68,16,96,90,77,79,98,81,90
"2060094",86,54,37,20,74,51,53,54,66,59,73
"86331",15,11,10,4,15,14,11,26,28,12,21
"178898",74,41,33,6,54,39,28,43,71,39,46
"1981510",10,5,4,2,10,8,8,6,10,10,4
"853",718,455,378,96,578,458,388,402,640,547,648
"292800",571,290,276,63,443,347,325,336,496,447,413
"2643836",321,237,166,44,306,263,202,199,303,210,266
"2629304",275,166,125,32,190,149,163,131,225,208,194
"351091",168,103,86,14,140,82,78,92,132,112,113
"253239",273,194,172,31,243,205,157,151,269,220,205
"1550024",330,172,125,27,228,187,200,164,274,234,261
"1677857",18,249,8,6,60,40,16,66,62,15,4
"288965",23,35,7,13,21,26,9,22,35,8,13
"1515",29,30,13,6,24,26,11,30,28,14,17
"1796620",189,94,81,20,122,120,133,111,148,172,175
"1161942",75,43,31,6,59,43,54,38,60,56,55
"1264",23,17,20,4,19,28,13,14,39,24,23
"1160721",10,9,11,0,16,8,4,7,5,11,11
"2608920",12,9,2,4,9,7,6,9,4,3,12
"1521",42,18,9,22,8,18,10,13,17,13,7
"2488810",22,12,9,10,13,21,9,8,10,6,16
"84032",62,48,23,9,34,50,31,28,40,33,25
"1510",22,32,15,3,34,23,8,28,37,22,23
"884684",9,17,5,4,12,10,22,5,28,30,5
"236753",4,1,2,5,9,1,4,6,7,6,8
"2093857",29,16,7,3,10,10,7,3,16,17,13
"2614128",236,163,150,69,156,157,135,100,169,143,150
"36745",75,62,16,11,26,37,45,12,11,14,22
"1491",77,41,86,17,56,62,44,53,68,53,55
"1520",62,37,36,15,24,30,36,22,32,31,33
"1502",71,38,58,39,49,45,22,25,53,31,39
"1501",39,28,27,8,25,29,26,14,26,26,25
"1534",47,22,17,15,24,20,25,12,25,10,20
"169679",26,11,10,2,10,21,15,10,10,9,10
"1492",39,24,29,23,25,20,15,13,16,15,22
"1716543",27,10,52,8,15,21,13,20,12,18,22
"36845",41,11,18,10,15,32,38,13,11,17,27
"84022",18,14,12,2,19,13,10,10,18,6,11
"238834",10,11,10,7,15,8,11,8,11,14,10
"1497",10,5,9,7,15,10,5,12,9,13,12
"223919",13,12,4,1,4,6,9,14,20,12,11
"1513",18,14,9,3,12,10,17,9,15,7,10
"1488",14,7,7,6,11,9,5,9,9,6,4
"1493",23,7,47,4,12,9,13,10,11,8,18
"217159",31,9,21,0,10,9,6,4,12,18,9
"1542",11,6,5,1,9,3,2,2,7,0,9
"1519",20,6,11,5,9,12,7,4,13,16,15
"29341",33,9,16,9,42,19,20,21,19,22,23
"1561",17,10,9,4,13,9,7,9,13,7,6
"332101",7,5,8,2,7,11,2,3,5,4,3
"94869",13,9,14,5,4,14,3,2,9,6,12
"1494",7,6,6,7,5,2,5,2,7,2,1
"394958",9,6,4,2,7,5,3,1,6,9,5
"46867",8,8,12,1,5,6,1,2,4,2,5
"1548",13,5,2,4,7,7,10,3,9,4,6
"1216932",16,11,14,13,8,8,4,4,6,4,4
"1509",14,7,5,1,9,14,10,8,14,11,5
"1504",9,3,13,3,4,7,5,6,3,5,5
"182773",14,8,7,7,7,7,7,4,4,3,7
"2068654",11,5,4,3,9,4,5,5,3,5,1
"1538",6,3,3,1,0,2,3,1,1,1,2
"84023",1,0,2,1,3,1,1,0,0,4,1
"154046",110,72,45,12,88,57,103,62,105,100,84
"208226",12,14,6,10,17,13,13,15,11,11,11
"461876",53,15,18,41,29,21,17,13,21,12,44
"2638829",60,15,30,2,27,21,27,25,15,22,33
"2629145",36,8,20,2,9,24,14,21,27,30,15
"1424294",12,18,20,5,24,22,23,9,25,27,19
"2633479",13,6,13,6,5,8,6,5,11,13,8
"1498",10,5,3,4,4,5,5,0,5,4,1
"2619470",15,4,3,2,8,6,7,2,5,0,7
"116090",12,4,7,2,10,4,5,3,10,9,8
"471827",440,247,249,51,272,304,299,276,425,370,329
"1564",74,44,38,14,70,58,32,39,72,60,62
"1565",55,35,35,6,62,61,47,43,61,44,46
"1833852",35,34,15,8,51,32,14,20,30,12,27
"59610",16,13,15,6,19,17,13,21,27,21,22
"79209",50,31,29,6,24,36,18,23,33,24,24
"1563",41,23,15,5,50,49,15,21,26,27,24
"339862",43,30,26,2,25,39,25,25,35,26,30
"885581",41,21,14,4,38,29,30,20,30,23,30
"49338",83,38,37,15,73,67,42,40,63,74,50
"142877",24,24,17,4,30,19,15,13,20,9,13
"36854",30,17,14,3,22,31,17,28,34,28,22
"233055",20,16,13,5,22,14,7,13,10,18,12
"102134",192,109,77,19,153,95,132,116,144,161,121
"55583",29,21,13,2,28,26,16,20,32,29,19
"2635733",23,15,8,1,16,8,22,15,23,13,17
"1712410",73,38,27,5,70,42,27,39,57,53,44
"51197",46,35,27,12,46,40,23,28,48,36,33
"58138",55,20,29,4,37,27,24,24,37,23,32
"51515",34,24,23,14,28,19,8,18,34,16,24
"863643",66,34,25,7,34,46,29,50,71,33,48
"2734",1762,1007,934,193,1292,1107,1076,1143,1491,1286,1258
"2648079",83,48,21,5,28,33,32,28,35,46,52
"33035",64,26,21,13,31,29,23,22,53,30,49
"40520",20,10,7,8,16,13,20,14,16,12,8
"1912897",16,2,6,4,7,5,3,8,18,5,11
"1322",11,6,0,5,8,8,7,0,8,5,7
"1871021",139,60,53,13,49,49,67,71,112,55,71
"89153",60,56,23,2,54,45,40,43,58,38,50
"29347",33,30,18,7,47,26,24,27,44,28,29
"2608895",29,12,6,5,9,11,17,13,21,16,20
"66219",25,21,13,10,25,12,4,13,18,9,11
"301301",99,67,49,9,68,52,75,49,97,66,71
"166486",46,22,22,5,19,24,26,21,33,30,42
"2696063",35,22,21,40,15,36,25,11,24,37,16
"2642604",19,14,19,10,25,19,13,14,19,10,23
"433286",78,13,35,108,48,28,64,33,56,43,41
"1679721",51,310,11,9,72,32,10,71,67,11,1
"84030",100,40,51,28,66,62,46,46,63,59,73
"29370",43,20,21,134,30,22,19,15,26,26,32
"208479",98,52,39,6,81,35,41,30,65,57,71
"1531",15,6,2,2,6,2,5,4,5,12,15
"1229621",38,25,19,4,31,22,19,11,18,21,25
"105841",25,21,18,3,23,19,18,12,25,43,21
"649756",5,15,12,6,8,5,8,6,17,8,14
"831",45,31,13,3,24,21,10,13,29,25,22
"185008",24,18,3,3,15,16,6,12,13,17,17
"43305",24,10,7,2,11,11,4,11,21,5,11
"410072",20,7,9,6,13,13,7,8,17,6,13
"116085",29,18,23,5,27,26,14,24,34,16,20
"2684943",16,7,6,0,7,8,8,7,17,12,17
"33038",41,20,10,4,30,14,13,14,26,21,17
"33039",8,10,7,2,9,12,3,3,7,9,4
"29360",8,1,3,5,4,3,3,4,6,1,2
"2643091",4,2,3,1,2,7,0,3,1,3,2
"185007",16,6,8,3,11,9,5,4,9,6,16
"39488",11,5,7,4,20,14,7,6,8,6,8
"28446",11,6,8,8,9,8,15,4,10,7,9
"39485",11,1,9,2,6,5,6,3,7,6,4
"617123",6,6,3,3,5,6,7,3,9,5,5
"2649046",477,256,209,53,380,325,265,286,392,347,401
"626937",137,60,61,21,91,102,65,91,106,96,77
"35701",442,246,238,52,327,309,277,256,365,359,322
"356322",23,20,18,7,25,22,7,17,28,38,24
"1736",83,31,31,7,52,41,35,32,66,56,61
"29322",46,38,14,11,31,31,22,23,28,25,25
"53442",27,30,10,4,34,26,18,19,29,20,25
"2624479",18,6,5,1,5,10,10,7,6,5,11
"2041044",17,12,4,3,9,3,7,8,15,11,23
"2638182",22,18,3,3,20,17,20,20,36,24,24
"33952",11,10,7,4,20,9,13,6,32,25,18
"2619948",44,31,22,4,46,33,25,49,70,39,59
"2626894",13,16,131,44,35,17,4,12,14,6,8
"1115758",18,12,148,49,9,6,4,13,18,3,4
"1507512",15,7,17,9,5,6,5,9,5,15,8
"1496",54,28,36,26,27,20,17,19,27,15,15
"1731",26,22,22,11,42,28,21,15,36,19,24
"1505",18,12,17,9,22,13,10,4,9,9,7
"89152",17,12,17,5,10,14,5,7,11,4,5
"1490",20,3,11,9,6,6,2,10,4,5,5
"143361",11,8,11,4,6,9,7,3,7,11,9
"1511",10,4,9,0,7,7,3,6,13,4,9
"86170",53,16,27,12,40,38,34,23,58,36,36
"863",27,14,15,5,21,17,18,19,27,21,25
"2293317",3,15,7,5,8,7,5,9,6,5,17
"2173034",5,2,7,2,11,13,6,8,9,12,8
"44260",490,261,249,52,373,308,299,331,452,391,371
"42837",258,164,140,36,185,201,147,182,243,219,196
"85874",227,166,105,24,145,145,141,125,171,231,152
"2325",2,13,5,1,7,1,4,4,4,2,6
"106578",1,3,1,0,0,3,3,3,0,0,0
"108150",2,4,0,0,5,5,2,7,6,1,6
"2636821",0,1,0,3,0,0,1,0,0,0,0
"46354",4,1,0,1,0,2,0,1,1,1,2
"583357",5,1,0,0,2,0,0,1,4,0,3
"161154",61,39,32,6,52,62,26,46,80,46,45
"129958",51,31,16,1,35,39,32,35,41,32,23
"911092",22,13,16,0,23,16,22,18,26,25,31
"55205",4,4,5,1,4,2,3,5,5,5,6
"44001",8,4,1,0,1,2,2,3,2,3,6
"1222016",6,2,2,0,7,1,2,2,1,1,4
"2622462",17,1,3,2,5,5,1,5,8,3,1
"52766",2,3,2,4,2,4,3,0,1,2,0
"31899",2,3,3,0,2,0,1,2,3,3,1
"717609",3,4,3,1,1,1,0,0,4,3,2
"52765",1,3,1,1,0,0,0,0,3,1,1
"413889",6,1,1,0,4,2,5,1,4,1,5
"1517",18,17,14,3,16,24,10,21,23,9,23
"2622527",24,7,3,4,9,7,8,5,17,9,13
"47490",13,4,2,3,1,3,5,8,6,6,6
"29329",15,3,7,4,1,4,1,8,4,3,4
"252966",127,53,39,3,74,54,57,46,50,91,47
"184064",10,15,4,2,13,9,5,7,12,17,7
"1794699",6,4,2,1,0,4,2,0,4,4,3
"2640322",86,29,32,11,45,41,61,34,34,50,37
"31909",23,23,8,2,12,18,6,21,15,14,14
"2331",18,8,5,5,6,5,6,3,12,4,6
"656519",8,10,5,1,7,4,2,5,13,7,4
"1323375",57,55,24,13,73,60,50,39,54,47,43
"42422",17,10,15,4,31,26,14,31,26,28,11
"28187",12,10,4,0,7,7,5,6,13,10,12
"2316383",64,37,34,19,72,48,64,60,58,55,51
"499229",34,19,22,7,16,19,14,18,27,21,38
"291990",115,48,36,12,70,66,53,50,70,58,71
"2751313",37,24,18,3,20,23,27,12,40,16,23
"375929",44,13,12,7,18,14,20,13,20,16,12
"2637378",1148,741,540,138,895,809,605,676,1069,856,875
"69823",437,235,225,46,354,290,230,250,387,304,338
"971",89,79,59,10,120,68,35,60,82,57,66
"158847",7,7,4,5,6,8,5,2,4,1,9
"437897",3,8,8,2,9,2,1,3,4,4,5
"865",17,17,8,2,26,20,3,5,14,10,4
"2629460",68,28,8,6,39,57,11,13,18,6,23
"365349",107,26,27,16,21,17,22,9,29,9,18
"2377",117,62,56,19,87,86,69,76,91,80,117
"1930071",70,53,40,13,70,60,57,44,60,74,47
"907",208,160,109,31,158,146,85,124,159,147,170
"2144175",153,147,89,16,141,124,88,97,161,111,142
"2161821",55,41,29,8,33,34,22,29,41,30,34
"39950",8,11,4,3,8,6,5,5,5,11,17
"248315",8,4,9,0,7,8,7,4,5,7,8
"29466",18,6,11,3,12,9,6,4,12,5,11
"39777",5,3,7,3,1,4,0,2,4,6,9
"2682456",1,3,1,0,7,5,1,1,1,1,3
"39778",2,1,4,0,3,7,5,3,13,5,4
"905",121,92,70,22,89,84,98,85,98,94,102
"187327",29,29,19,6,36,28,23,27,40,29,31
"2639160",34,28,25,4,35,39,15,24,32,23,24
"33025",35,26,14,3,34,23,14,34,44,19,17
"1555112",1776,946,803,165,1079,1082,1104,940,1465,1313,1267
"54006",113,68,60,15,92,66,65,54,100,108,98
"54005",16,16,4,4,27,19,26,5,18,25,15
"1852373",50,35,16,17,35,47,29,38,51,43,42
"1260",17,10,21,5,5,14,29,14,15,19,21
"33034",10,5,2,1,7,6,10,4,10,1,5
"1870984",10,0,6,0,8,2,5,9,5,4,8
"33037",0,1,1,1,2,1,1,0,2,0,1
"33033",9,3,12,8,5,8,5,10,13,10,11
"2638726",25,23,17,19,23,30,19,20,23,20,14
"1582259",17,14,13,3,8,11,9,7,10,17,12
"45497",50,36,12,25,25,20,9,13,25,2,10
"1278232",11,11,5,5,5,17,2,12,14,11,11
"1556",23,14,16,18,10,8,16,13,9,8,9
"2816908",7,13,6,5,9,5,3,9,7,5,5
"1852374",13,5,3,1,9,4,19,12,24,23,20
"1702221",86,61,40,11,78,69,70,64,64,75,82
"1522",46,26,15,2,44,34,36,33,35,34,33
"1547",49,11,38,10,42,27,36,30,42,23,38
"2624170",38,22,18,5,28,13,16,9,17,21,12
"1514105",12,14,3,5,9,4,3,0,8,2,10
"1648",10,6,2,2,13,3,4,5,7,5,7
"225084",10,3,1,4,2,5,5,2,6,5,2
"2485784",13,0,3,1,2,4,0,9,7,3,2
"2487118",19,20,37,2,25,20,24,33,50,35,37
"2704656",8,1,2,2,4,5,7,4,3,6,7
"39483",10,7,7,3,11,5,7,3,5,3,9
"2583452",14,13,9,4,5,10,5,1,10,9,4
"1982626",2,1,6,0,2,1,0,1,0,1,3
"2638206",30,19,78,91,61,32,5,65,63,5,4
"154288",12,8,17,12,11,3,9,4,7,1,3
"1871025",65,41,36,8,40,38,36,30,38,48,33
"243899",5,5,4,3,4,3,3,5,3,4,1
"2626047",7570,4592,3512,946,5911,4867,4201,4211,6415,5187,5560
"32046",146,113,73,15,120,108,71,83,142,93,105
"33070",60,34,26,1,38,41,17,25,42,25,29
"2627006",863,542,423,95,670,576,525,541,810,667,646
"59930",725,354,231,69,464,407,418,407,564,544,570
"2622553",103,51,53,10,72,67,61,87,107,73,78
"146786",34,35,12,4,30,30,14,21,40,19,23
"32053",6,9,4,1,13,13,8,11,8,6,11
"292566",33,23,17,2,27,20,11,10,26,23,22
"2650499",568,416,287,62,452,396,316,378,574,448,468
"1184",68,53,35,8,63,56,30,46,63,43,36
"1209493",192,126,77,23,157,143,119,103,191,170,180
"2619029",228,138,97,25,172,126,125,148,216,193,179
"1219",82,44,31,10,69,45,35,39,61,54,49
"2627481",7,8,11,3,4,3,6,7,9,2,6
"2593292",77,57,43,10,66,72,65,54,83,51,57
"155978",63,40,26,14,52,50,41,36,79,52,59
"1173032",56,59,48,11,63,60,29,65,64,54,46
"2640012",93,56,43,11,73,50,35,37,77,50,51
"1158",189,139,102,23,152,169,111,124,190,156,183
"1155738",188,145,89,25,162,170,95,113,198,118,157
"1492710",185,106,100,28,137,136,132,115,171,115,125
"44471",85,43,57,26,67,66,48,39,69,46,73
"54304",47,30,26,7,53,24,21,27,39,25,40
"1205",16,13,11,3,21,16,13,10,18,7,12
"35823",21,13,18,2,15,16,7,14,20,17,16
"2596745",1,1,2,0,1,0,1,0,1,1,0
"63132",402,218,196,39,469,225,239,268,391,274,314
"2023214",118,62,59,20,93,100,66,63,111,93,116
"43988",92,74,55,18,89,58,54,68,110,58,56
"241421",53,33,20,5,49,42,27,34,53,38,35
"1125",151,126,62,22,204,138,102,136,186,111,130
"28070",54,56,26,16,38,39,31,30,66,40,46
"92682",32,30,22,4,42,27,24,22,32,35,30
"2546365",34,32,15,3,30,17,17,15,35,23,17
"263510",17,16,12,2,19,13,15,14,18,8,12
"1453359",5,4,4,0,7,2,4,3,11,2,6
"669357",61,28,41,10,48,55,30,39,66,53,40
"102231",41,21,17,4,35,39,16,18,51,20,33
"268175",19,5,19,2,17,32,15,15,27,14,26
"102234",24,22,18,8,26,21,13,14,24,13,18
"2593658",553,444,258,95,684,1711,396,579,894,527,489
"92942",89,72,21,8,40,71,24,168,179,57,36
"272131",24,20,18,3,28,24,18,28,29,15,34
"224012",39,22,9,2,32,83,26,24,54,31,34
"1306274",39,17,16,6,22,37,26,29,58,34,37
