"","X0n7bM2TOMPOOA100365.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report"
"2662034",14,5,13,8,15,10,11,16,10,33,61
"1173288",14,3,15,5,10,6,3,7,10,11,3
"658632",13,2,5,9,3,5,4,5,3,8,3
"2762896",13,6,30,5,8,4,11,26,1,33,24
"1173280",12,0,10,3,1,3,4,7,5,5,5
"2083053",12,0,28,4,18,15,8,16,15,41,25
"658641",12,1,6,0,3,6,2,13,2,3,2
"2083052",12,2,20,6,3,12,15,42,10,16,19
"1173284",12,0,4,11,8,9,7,10,8,4,4
"147212",11,2,13,8,4,10,14,13,4,7,7
"2738843",9,1,18,16,4,10,5,32,32,8,6
"2587597",9,3,10,6,2,1,1,14,9,5,9
"2664899",7,2,10,8,6,8,9,15,9,4,7
"2083051",7,3,11,8,9,13,4,13,2,3,14
"1338689",6,2,6,4,0,6,3,9,5,5,20
"2545800",4,0,2,2,0,1,2,12,1,9,2
"306",4,0,4,2,0,4,1,1,1,0,0
"1495331",4,1,1,0,1,0,1,0,4,0,0
"2479393",2,4,3,2,3,3,1,4,1,0,4
"1761895",2,0,2,4,2,4,4,2,5,4,0
"2609418",1,0,2,4,2,5,2,5,8,3,1
"1523522",1,0,0,0,2,0,1,0,0,0,1
"287",2687,266,2756,1923,1211,1764,1815,4647,1744,6907,3472
"300",1841,149,1429,1321,677,829,1061,3985,2577,2124,2175
"53412",1742,52,644,2244,270,389,427,1303,452,840,935
"1232139",1554,301,1147,2213,358,766,604,1751,1901,2014,1254
"43263",1104,223,4027,778,884,798,604,2083,758,1421,1354
"627141",826,82,753,577,302,520,459,1148,485,722,577
"53408",509,46,490,337,183,336,307,695,366,401,379
"294",3170,452,3101,2110,1180,1858,1764,3692,1906,2130,1753
"380021",852,91,873,612,382,579,498,1236,538,706,661
"47878",467,48,550,312,186,312,301,521,271,297,193
"76758",422,50,398,255,188,256,265,524,261,300,217
"47883",298,36,368,213,169,178,183,401,160,210,193
"200451",262,23,248,190,99,146,137,298,140,169,154
"200450",253,23,273,186,101,146,170,310,164,191,151
"47879",233,63,156,168,106,126,116,264,115,182,131
"46679",204,17,210,119,79,113,73,185,88,111,84
"183795",201,68,233,134,1277,121,139,345,140,193,182
"76760",197,18,183,115,186,118,95,249,127,142,127
"29442",183,9,179,130,83,97,81,214,130,121,82
"78543",176,16,154,120,67,115,86,177,78,112,83
"651740",150,11,139,82,78,95,86,173,100,91,48
"129817",111,10,100,76,55,80,53,134,91,79,87
"169669",107,7,117,60,42,72,56,112,49,84,60
"75588",81,6,57,60,41,42,52,99,44,69,47
"76761",72,11,63,50,24,46,39,59,36,65,32
"75612",60,3,60,25,19,35,37,65,42,21,20
"303",4902,710,4587,3159,1906,2542,2467,5090,3449,3540,5360
"47885",1085,177,1076,657,486,602,832,1285,724,700,542
"76759",636,76,587,387,269,330,359,658,359,398,465
"47880",496,50,542,339,189,271,352,992,309,463,549
"70775",270,34,287,192,114,171,124,292,176,169,257
"2217867",57,12,63,46,30,52,29,78,31,35,45
"78327",43,2,42,20,21,24,33,38,24,23,20
"578833",5435,463,5158,3558,5689,3515,3506,10459,3457,6722,5570
"74829",760,72,742,577,449,522,462,1216,495,861,653
"271420",277,25,212,208,198,163,143,438,187,223,218
"47886",68,7,73,40,24,33,34,93,33,72,62
"587753",2385,249,2400,1567,908,1369,1479,3181,1317,2264,1321
"86185",170,15,212,119,93,121,114,225,111,116,109
"296",119,11,111,87,50,74,76,136,67,93,95
"2604832",2629,48,579,2023,229,874,1076,1280,364,5629,9443
"251695",735,70,754,522,364,483,430,936,479,566,453
"33069",247,20,197,170,90,139,104,270,163,176,156
"1190415",204,18,184,163,97,127,110,338,118,178,127
"36746",198,16,195,143,98,130,113,327,105,196,189
"53409",161,16,155,97,80,98,73,199,112,94,94
"251698",83,5,83,48,37,34,49,94,51,75,52
"50340",82,4,93,47,26,52,53,125,54,46,44
"251701",30,4,27,24,12,24,18,21,27,26,13
"2775504",10,2,10,20,3,5,4,9,8,7,5
"46257",5,0,4,2,1,0,0,5,2,8,5
"86840",4,0,2,2,1,1,0,0,2,1,1
"1392877",1632,93,1034,710,396,628,551,1476,1615,863,701
"319939",1119,93,1070,878,412,580,679,2223,836,1223,1205
"237610",1079,103,991,752,451,685,630,1456,627,849,577
"1301098",195,15,195,122,61,120,107,267,192,126,108
"1245526",834,54,664,446,268,405,388,956,474,491,452
"384676",298,41,319,230,119,161,173,384,174,196,222
"43306",528,52,540,369,206,387,307,862,356,375,360
"157782",436,52,452,298,189,284,224,534,321,307,293
"2599595",432,49,444,311,152,305,269,497,316,308,249
"487184",396,28,292,218,163,238,202,501,253,293,218
"104087",389,38,444,223,136,212,189,408,186,221,181
"237609",377,32,328,251,190,190,232,423,167,235,258
"216142",329,32,308,232,119,192,193,462,172,267,259
"1499686",327,36,267,220,200,191,201,562,210,331,305
"472181",326,31,307,194,133,204,167,442,173,211,189
"364197",310,28,285,197,138,166,144,374,131,251,229
"157783",309,31,315,221,126,214,180,464,198,230,261
"198618",291,27,268,236,124,156,151,283,148,168,170
"86264",6,2,7,9,3,3,5,3,3,8,3
"198620",270,38,250,179,75,167,125,323,141,207,123
"553151",253,20,177,162,144,134,102,295,109,134,125
"515393",251,28,241,203,90,149,136,362,160,191,151
"1395516",64,35,117,54,23,36,37,105,31,44,37
"797277",241,25,193,172,132,152,128,269,141,163,160
"95300",230,19,214,173,72,146,130,261,104,169,113
"702115",226,38,271,193,106,158,127,306,155,151,138
"437900",218,11,191,153,73,139,118,280,110,169,175
"1691904",217,14,182,130,89,91,102,463,109,199,248
"219572",211,16,183,122,82,104,108,240,112,120,107
"86265",207,44,187,109,90,124,81,249,92,122,93
"1148509",198,24,187,142,61,116,114,238,88,145,89
"359110",196,17,196,119,66,128,97,221,122,183,98
"1853130",193,26,198,131,67,105,92,218,116,151,94
"191390",189,27,190,145,78,102,116,197,110,207,128
"395598",183,21,194,128,81,130,84,196,108,123,88
"741155",182,17,120,132,65,64,81,263,69,129,129
"1434072",178,25,166,141,78,112,82,241,124,169,148
"244566",171,22,162,119,61,102,75,169,83,86,77
"321846",153,13,122,106,44,78,78,172,88,80,62
"46677",153,21,195,125,75,104,103,266,111,195,113
"1274359",149,8,92,119,44,61,78,201,81,149,136
"1421430",148,14,180,134,82,110,105,186,77,131,118
"2505979",144,35,126,88,66,97,78,125,79,73,47
"47884",142,9,128,102,75,87,71,165,83,125,75
"554344",133,9,96,95,55,74,138,627,59,287,357
"163011",133,18,675,86,57,75,78,148,64,86,54
"158627",130,20,105,88,56,55,71,171,53,81,70
"2774460",127,7,113,89,40,65,49,170,69,94,77
"2774461",109,9,106,58,21,48,52,121,29,82,51
"2502979",108,11,91,68,37,52,63,233,49,143,122
"1788301",105,4,84,60,47,67,55,108,88,64,52
"122355",96,9,134,93,54,73,66,149,78,85,68
"1628086",87,16,81,53,38,49,41,82,66,70,51
"53407",82,6,103,56,31,43,52,102,36,45,24
"1306993",63,5,45,26,19,25,26,50,27,21,31
"2565368",62,52,115,29,24,29,28,67,26,25,43
"1615674",42,1,39,21,13,39,13,41,28,33,29
"1785145",31,5,30,16,23,16,11,16,20,5,1
"2681983",23,4,25,10,7,8,8,31,4,19,30
"1583341",15,5,18,14,7,8,10,9,8,10,7
"2219225",8,0,12,5,4,4,5,7,0,11,34
"1302376",8,3,6,11,6,11,3,17,4,9,6
"470150",3,1,6,4,4,0,8,5,1,3,5
"353",2664,100,1120,1051,447,611,614,1355,643,762,641
"69964",746,72,642,492,289,373,429,971,334,458,374
"354",726,73,626,495,252,416,403,880,440,627,377
"1510150",445,73,262,180,165,185,161,467,218,157,106
"1697053",53,3,40,39,20,18,23,21,22,11,10
"2213226",12,1,12,13,14,11,4,10,10,11,4
"2785331",9,0,23,9,8,3,6,13,9,4,2
"1879049",95,6,84,79,41,76,50,99,82,52,43
"2563897",28,3,17,18,10,11,10,12,12,3,6
"2798861",21,0,26,5,10,6,7,23,8,12,3
"2004646",18,1,2,7,3,7,6,6,9,3,2
"2714110",18,3,14,9,4,14,8,8,17,5,4
"2004647",16,1,16,4,2,3,3,5,2,1,1
"1407071",15,0,8,9,5,8,3,12,5,8,4
"2601122",11,1,11,10,1,13,5,6,10,7,6
"1646498",10,1,16,7,5,5,2,17,6,5,3
"1808001",9,1,12,8,7,9,10,11,13,12,5
"1608473",8,1,11,4,5,9,7,1,5,3,4
"1758189",8,1,16,3,10,8,4,8,13,3,1
"2079596",7,0,3,4,0,3,2,5,2,4,0
"1636603",6,0,2,2,0,6,1,2,5,1,1
"2545797",6,0,5,5,3,3,2,3,4,14,4
"1827285",5,0,7,0,3,1,3,12,1,1,4
"2609668",4,2,6,10,4,0,3,3,4,3,2
"2725684",4,0,2,0,3,1,0,0,1,0,0
"2004644",3,1,6,1,3,1,2,2,3,3,0
"2743575",2,1,1,1,0,3,1,4,0,3,0
"470",53,14,41,46,20,61,105,103,40,35,16
"48296",24,81,20,19,7,46,22,40,22,14,4
"471",19,9,23,8,8,22,10,14,4,12,3
"1530123",19,8,36,18,12,11,18,20,10,16,6
"106654",10,4,12,8,7,9,7,20,6,6,2
"1785128",4,19,12,11,3,8,3,7,3,3,2
"756892",74,8,70,43,41,59,29,66,49,34,17
"1789224",62,2,16,32,6,10,9,8,10,6,6
"108981",44,3,41,25,17,21,27,27,22,14,10
"29430",35,1,24,13,11,10,13,20,9,11,6
"40214",31,1,29,11,17,0,15,0,0,0,5
"981334",2,0,2,0,0,2,1,5,0,3,0
"487316",26,2,18,48,4,19,14,15,12,14,5
"106648",25,15,17,16,14,9,11,15,10,14,7
"1046625",1,0,3,1,0,0,3,0,0,1,0
"134534",21,0,5,11,3,8,8,13,7,8,2
"202954",18,0,16,10,7,6,6,12,9,9,7
"70348",18,1,10,8,4,5,4,17,5,5,1
"1197884",16,2,5,10,2,7,5,12,6,2,2
"1879050",16,0,23,11,3,18,4,17,18,10,4
"62977",15,3,22,7,5,5,5,16,9,3,6
"70346",15,0,12,7,2,4,2,6,2,2,5
"108980",15,2,27,12,10,11,7,19,11,9,5
"2006115",14,2,10,3,3,4,4,7,6,4,3
"1871111",14,2,6,7,3,1,2,8,6,5,2
"2715163",11,1,11,5,3,9,4,10,10,5,1
"40215",10,1,17,14,74,37,9,30,29,7,7
"202956",10,2,5,8,6,4,3,13,5,4,6
"2136182",9,2,18,8,4,6,5,5,9,4,4
"436717",8,3,5,9,2,3,2,5,3,3,2
"106649",8,1,7,6,4,1,2,6,4,3,1
"2662362",7,3,11,4,5,3,5,2,3,6,3
"2715164",7,2,9,10,8,10,5,7,3,4,3
"2004650",2,1,5,3,2,9,5,7,3,8,2
"1324350",1,2,10,4,0,8,4,7,8,4,3
"1699621",21,3,18,10,8,12,9,17,4,8,1
"1028416",19,4,26,21,12,16,8,21,14,7,2
"1699623",16,2,12,1,3,5,5,15,2,9,2
"1720344",10,2,13,8,4,3,3,5,7,1,1
"1699622",10,0,8,2,3,2,5,9,3,5,0
"2772254",9,3,9,6,4,8,11,9,3,5,3
"571800",8,0,9,5,1,3,5,11,5,4,5
"349106",7,0,1,3,0,2,5,4,3,3,2
"1699624",4,0,5,5,2,6,6,7,4,3,3
"56811",4,1,0,3,0,0,1,2,0,1,0
"2733866",3,2,6,2,4,8,4,3,1,3,2
"2203895",2,1,2,2,0,1,3,6,5,3,1
"1028419",1,0,0,0,0,0,0,0,0,0,0
"256326",48,3,31,32,17,33,19,29,20,18,6
"45610",21,2,16,15,24,16,18,23,13,14,9
"259536",18,2,13,8,3,11,16,14,15,12,2
"330922",8,0,4,5,5,3,9,11,7,2,4
"34062",95,5,62,56,30,49,37,64,54,39,26
"476",21,3,20,11,2,10,11,29,16,9,4
"480",20,0,8,0,5,6,8,21,9,8,1
"34061",18,5,17,11,14,13,14,16,12,9,7
"386891",18,2,23,14,7,12,4,21,14,5,4
"478",8,0,9,10,4,12,11,4,9,7,4
"29433",6,1,2,3,1,4,0,3,1,3,1
"2283318",62,3,42,43,27,37,22,44,38,20,14
"453783",7746,924,8438,3279,18486,10121,6055,3747,8198,4123,6235
"2290922",1754,236,1860,1029,1508,1844,1388,1406,2243,2159,1553
"2762611",1005,117,1184,504,1126,877,992,911,1033,1233,805
"2781021",290,34,295,183,199,201,195,261,275,334,215
"2781022",252,29,263,171,206,217,211,231,242,247,123
"2714936",169,23,153,129,93,171,72,178,152,150,82
"2781024",140,15,158,108,126,108,116,147,131,168,96
"2781023",114,19,152,78,87,120,94,110,132,141,86
"69",4043,485,4390,2232,3634,3522,3654,4435,3691,4069,2718
"2763317",3798,651,4481,1900,4077,4203,4296,5759,5645,6222,6335
"2795387",1888,212,2051,879,3364,2083,1833,1494,1810,1914,1570
"84531",1526,199,1648,928,1321,1259,1421,1895,1358,1444,982
"435897",1476,198,1563,888,1379,1299,1260,1655,1477,1329,930
"1605891",1351,212,1614,718,1453,1260,1451,1424,1564,1886,1134
"1324796",1305,223,1418,659,1022,1617,1159,1186,1991,2664,1644
"262324",1197,138,1200,680,1024,949,967,1237,958,1072,808
"2591633",1142,147,1332,618,1205,973,1208,1076,1107,1336,852
"2698682",860,109,940,439,788,817,824,765,988,1335,788
"40324",3921,483,4156,2440,2627,2752,2490,3670,3424,3210,1888
"2072414",308,29,319,169,225,205,186,258,206,231,140
"2072413",282,22,309,178,207,188,181,248,252,210,134
"2072405",144,19,179,110,95,106,80,122,80,101,79
"2072407",125,5,96,60,65,59,61,75,62,57,43
"2072412",89,18,137,71,75,60,78,91,69,60,56
"2072406",83,12,104,33,60,63,41,50,43,57,30
"2072409",43,3,39,22,28,22,14,30,13,18,13
"2072408",29,3,41,23,12,20,22,27,16,41,11
"1904944",508,62,630,317,370,370,369,486,382,440,276
"2770322",461,45,467,258,335,339,308,378,392,412,251
"2691571",360,24,352,181,219,239,222,294,230,275,147
"2742129",200,40,210,128,135,154,126,166,165,139,102
"2303750",105,379,160,48,68,86,76,92,79,60,45
"2040586",98,10,100,54,158,76,50,106,90,112,64
"2005046",89,8,120,66,69,61,60,75,71,79,44
"2282124",27,3,24,27,18,20,13,33,24,23,15
"2682487",25,0,24,7,11,22,9,18,25,48,7
"2775920",25,4,30,13,29,14,24,28,26,11,17
"1827305",18,18,32,19,33,26,20,26,34,20,13
"216778",1603,179,1529,945,1157,1090,972,1414,1150,1244,785
"128780",929,113,1049,565,705,693,677,1157,784,887,447
"2045451",48,19,27,25,18,24,20,24,20,25,20
"83617",1,0,0,0,3,0,0,0,0,0,1
"149696",223,23,208,151,174,147,166,234,177,179,110
"359385",119,17,122,78,78,68,73,87,87,89,50
"340",88,10,117,63,83,97,68,103,84,76,45
"92826",79,8,60,32,43,63,41,71,74,64,40
"2724122",162,16,145,90,93,103,112,142,130,143,102
"2724123",159,12,161,92,97,93,98,114,111,117,73
"2724121",158,19,186,123,106,96,92,125,146,130,65
"2775162",15,2,30,14,9,21,19,18,8,11,7
"2776703",3,0,4,1,1,2,0,4,3,0,0
"152263",234,11,290,165,159,230,148,197,258,240,132
"134875",189,21,247,118,124,130,136,187,162,211,76
"487909",60,4,66,35,42,43,38,59,60,65,19
"56458",807,97,930,472,608,688,570,832,772,807,487
"64187",194,22,148,93,86,101,101,129,119,120,51
"129394",75,8,65,49,76,62,39,53,55,35,19
"56464",595,66,534,332,374,441,398,541,544,463,312
"346",589,77,602,343,366,377,371,494,463,386,240
"380358",3,1,3,1,1,1,1,1,0,0,1
"56455",469,52,477,317,270,349,335,469,370,435,235
"195709",99,6,98,70,70,62,46,81,74,87,43
"69929",77,9,65,40,43,26,35,57,61,32,35
"925775",52,9,60,38,51,38,32,48,38,35,19
"56453",331,36,320,217,229,281,225,286,280,306,166
"48664",325,46,414,200,229,251,198,282,251,226,140
"487904",84,4,111,63,65,62,50,83,88,61,49
"2754056",41,1,34,23,25,32,26,51,26,28,35
"707209",5,2,2,2,0,2,3,4,4,1,2
"454958",10,4,11,9,7,10,8,14,11,9,10
"325776",6,0,6,8,3,4,1,6,1,2,3
"487849",3,0,7,2,1,1,3,4,1,3,0
"1219375",244,25,274,174,144,175,144,212,198,232,90
"1982678",198,25,180,116,109,119,108,111,138,142,69
"1101443",24,1,15,19,9,6,8,13,5,3,5
"1304892",2,0,2,2,1,3,0,1,3,0,3
"2259622",150,21,128,126,109,106,104,158,140,130,78
"359387",15,0,24,9,5,6,14,17,11,5,7
"207721",14,0,16,9,10,9,9,10,9,7,8
"189396",6,2,22,7,4,13,11,16,9,16,6
"316273",1,0,0,0,0,2,2,0,1,0,0
"92828",74,7,83,57,74,65,49,66,61,78,57
"317013",4,0,3,2,1,1,0,2,0,4,1
"442694",15,4,8,12,13,21,177,11,11,6,0
"2799326",1299,153,1261,695,875,1121,997,1102,1226,1316,837
"1896164",1049,108,1110,629,779,859,898,954,1002,1193,855
"2508168",1004,114,966,590,675,863,826,873,1089,1126,675
"2799325",983,134,1003,570,633,763,719,840,927,1098,658
"2761107",913,100,962,547,670,745,743,842,931,1081,693
"1176533",1268,145,1298,738,916,1047,1032,1099,1182,1435,869
"2006110",1222,114,1084,601,733,862,804,934,1014,1049,685
"2565782",1000,104,942,536,812,830,740,838,983,1007,669
"743721",1306,107,1231,718,957,885,922,1106,1056,1119,725
"128785",2181,592,1976,1297,27917,1281,3213,2664,2584,4821,2087
