"","X1qGgM2TOMPOOM080340.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report"
"2184083",925,621,431,284,171,243,501,370,330,313,44
"76116",1706,2002,1149,770,485,732,1460,1140,1075,877,133
"76115",1484,1424,908,683,354,606,1217,976,995,832,120
"76114",1352,1388,991,610,397,657,1364,1005,1018,760,96
"404405",3620,3829,2347,1581,933,1565,3506,2379,2706,2021,275
"1765049",386,298,177,85,63,126,239,143,228,162,21
"640081",334,280,205,107,70,109,246,172,261,125,20
"2811415",1549,1323,930,614,409,542,1137,888,605,659,100
"1735038",1410,1031,658,439,256,420,886,607,711,549,67
"1565605",679,234,132,107,69,146,219,146,134,114,25
"2231055",776,493,399,233,141,200,440,315,3468,243,37
"2654218",711,436,316,197,142,193,446,318,2483,225,43
"159087",971,766,473,318,189,301,582,372,5691,358,51
"1751046",342,136,97,59,59,92,153,98,116,92,15
"2732067",4120,7503,3859,2790,2349,2947,6522,5302,2598,3536,539
"2732487",3773,6707,3191,2365,1888,2504,5495,4268,2330,2925,453
"1981880",1915,1431,948,565,373,553,1193,938,718,737,89
"311182",988,813,448,284,191,292,672,400,444,360,53
"1223802",2467,1940,1094,672,525,689,1492,1028,923,870,135
"1842540",3517,1590,1049,656,424,648,1406,1010,982,772,224
"157592",1768,1180,835,455,327,452,1006,817,573,520,86
"44574",3977,1299,188,67,533,274,1451,99,1209,506,535
"44577",23221,219,98,27,38,44,60,60,13576,46,16
"261292",17685,123,130,47,42,55,82,77,2746,53,14
"153948",14494,48,40,12,12,13,18,21,2154,14,11
"228410",727,100,118,52,33,49,78,82,160,54,12
"335283",346,86,67,43,17,30,69,65,82,30,2
"1444684",198,34,35,14,11,17,35,23,39,22,4
"323848",1078,1246,2496,592,126,759,6278,1277,3368,1318,1694
"1288494",1008,358,364,209,117,203,345,326,319,207,80
"1266925",853,290,369,217,103,170,346,327,402,204,82
"292415",5659,2192,1446,910,577,4498,1930,1515,808,1097,4000
"1914471",2293,1654,960,632,403,625,1378,937,686,804,118
"171865",1681,724,492,296,191,257,639,499,358,309,46
"1985873",737,431,272,147,84,137,310,233,156,153,35
"2675298",180,67,45,30,19,18,37,42,35,20,8
"2715678",1601,1187,729,426,339,484,1080,763,471,623,99
"1163617",855,669,410,247,153,201,469,357,276,264,46
"580332",974,813,494,297,176,273,598,484,377,373,54
"1188319",539,402,242,139,80,149,299,207,192,174,18
"395494",584,216,142,97,63,85,185,120,120,107,21
"2559597",303,187,131,79,45,70,153,89,539,105,8
"887061",176,91,88,36,29,28,114,37,53,38,14
"582744",173,86,79,39,44,50,123,61,58,44,11
"265072",706,288,389,122,98,115,416,200,149,143,50
"2588534",699,78,61,26,19,32,108,46,47,26,10
"1662285",7847,75,435,41,41,55,276,178,136,45,29
"2588536",71,26,28,16,4,11,18,15,16,15,1
"1581557",49,17,24,5,1,5,13,12,16,9,1
"1581680",134,17,33,8,8,11,31,24,14,17,3
"2588535",37,14,46,6,9,7,3,30,1,3,2
"583345",372,47,56,16,8,12,33,30,55,20,20
"666681",198,38,30,12,6,16,20,16,23,15,8
"2641838",1313,1089,716,580,353,479,1018,778,461,546,82
"1108595",1076,850,608,480,256,433,849,573,389,485,73
"536",1175,793,578,465,265,417,853,569,365,505,70
"2202141",627,510,330,269,142,243,480,329,216,257,59
"2605945",563,478,328,244,120,197,470,340,193,239,54
"1778675",231,124,69,55,39,42,115,79,50,60,7
"394935",42,64,31,40,18,22,48,29,24,27,5
"235634",138,68,48,46,12,34,47,39,35,35,2
"537",167,59,50,30,8,21,70,48,29,44,6
"1906741",1829,1445,885,653,390,601,1322,1000,534,797,105
"1009682",822,579,364,278,145,209,525,309,250,340,43
"748280",1529,1386,808,659,377,651,1236,712,592,707,101
"1537400",425,237,219,141,78,134,253,172,110,142,24
"332411",346,204,119,91,39,77,151,97,84,84,21
"1590041",274,178,121,81,46,96,153,90,104,77,13
"519081",264,164,126,99,50,78,138,108,86,102,8
"57480",1052,943,627,424,276,481,945,633,405,500,65
"1192162",1283,878,646,444,289,441,794,542,394,522,89
"557598",173,147,90,96,44,66,138,80,60,61,16
"1938604",730,456,327,214,116,192,378,298,226,226,41
"1737446",248,94,76,47,16,43,78,62,44,49,4
"2739434",185,82,70,54,26,35,71,67,42,68,6
"2739061",85,58,26,32,15,29,49,39,37,31,4
"655307",227,194,130,106,65,80,185,121,82,82,20
"641148",59,56,47,31,16,34,67,41,23,28,4
"2709396",84,47,34,34,10,18,36,25,18,22,5
"1853276",70,37,37,24,12,21,31,31,25,29,4
"267212",239,204,149,121,61,97,177,148,81,96,21
"194197",291,159,91,61,46,47,115,88,49,91,9
"607712",323,150,126,96,67,87,157,107,75,83,15
"88719",36,20,15,8,3,11,23,11,12,8,3
"1853278",252,126,81,54,19,58,121,77,59,65,9
"135720",6,3,3,1,0,3,3,3,3,6,0
"662598",5,1,1,0,2,1,4,0,3,2,0
"1386087",1,1,0,0,0,0,0,0,0,1,0
"1815583",193,78,78,46,24,45,100,50,51,60,10
"492",98,72,50,21,24,29,66,48,35,30,9
"28091",109,70,33,28,15,31,55,29,49,35,4
"490",84,68,26,28,8,17,46,33,28,25,15
"326522",88,66,40,24,26,24,48,39,24,44,3
"485",73,44,34,0,12,18,37,0,13,23,6
"326523",76,42,55,34,22,15,42,44,22,29,1
"489653",8,4,8,7,1,1,8,3,4,4,1
"2666100",75,39,26,26,16,23,41,27,19,23,1
"493",112,38,30,17,16,16,30,25,11,20,4
"488",102,36,41,30,8,31,49,23,19,36,5
"640030",163,32,32,16,17,14,25,17,15,18,2
"607711",80,28,32,14,14,16,32,24,17,16,3
"28449",35,26,27,7,5,12,29,11,10,12,4
"483",37,19,12,12,5,8,5,8,11,10,1
"484",13,11,20,5,2,12,20,11,9,12,4
"489",12,2,12,8,0,4,10,14,8,3,2
"2290923",1775,1633,1020,716,448,709,1553,1026,640,873,122
"682798",1362,954,668,488,273,454,851,571,455,493,80
"63",929,634,392,259,177,278,451,294,369,351,63
"96942",175,13,17,10,9,9,11,2,13,9,2
"539",272,186,138,101,55,83,144,114,86,80,22
"2528037",106,72,43,29,32,25,50,48,12,31,2
"505",126,127,77,46,27,53,73,54,37,44,13
"502",160,108,83,52,28,47,86,80,47,54,9
"504",52,27,29,32,12,10,23,22,24,15,3
"153493",71,41,38,23,14,25,36,27,28,31,4
"1196094",109,30,25,21,14,16,36,19,16,18,3
"194196",72,24,25,22,11,13,23,14,17,13,3
"641147",26,11,20,7,4,5,14,14,4,7,1
"522306",1822,1664,1040,727,411,733,1496,1091,868,862,121
"2591109",1301,1391,814,591,284,535,987,736,522,606,115
"1208921",15,4,2,1,0,2,0,2,2,0,0
"1208920",46,4,1,1,1,2,0,3,1,1,1
"233181",12,3,4,1,0,2,2,3,2,5,0
"1576550",9,3,4,3,0,4,1,7,2,1,0
"33056",8,2,4,0,1,3,8,0,1,4,1
"1208919",10,2,2,2,1,1,2,3,2,2,0
"1381133",0,2,0,0,0,0,0,0,0,0,0
"1755504",558,4024,375,203,662,533,344,262,187,327,38
"1856685",629,1792,380,251,819,793,372,256,217,383,52
"2725477",1083,980,722,507,1095,1111,754,576,408,651,93
"2320867",1044,714,648,379,1070,975,639,480,281,548,64
"2731681",777,546,605,168,751,686,312,223,250,345,109
"2614442",776,535,397,224,830,700,425,279,204,350,43
"2653853",625,513,394,273,438,601,416,297,202,289,36
"1294143",1193,487,337,227,456,470,391,257,180,285,38
"2811422",572,461,340,215,363,372,448,293,206,303,43
"1930532",1339,450,361,189,743,706,352,230,194,351,42
"2748080",576,394,324,141,323,303,320,192,138,208,30
"2054914",361,339,210,164,173,188,271,181,127,191,24
"658630",336,319,174,192,180,225,249,182,121,189,23
"1028989",402,317,236,163,224,228,235,213,106,171,33
"2724470",353,286,191,134,171,172,234,163,118,175,35
"1931241",560,271,206,140,163,184,208,146,120,174,26
"1881017",438,270,215,145,187,188,240,164,216,189,220
"2729423",325,253,2576,341,1286,925,321,1994,242,157,75
"2735906",444,251,219,136,329,279,217,122,96,258,25
"2706126",408,241,211,127,132,142,249,176,142,146,25
"1573704",288,239,179,123,146,170,214,189,103,141,27
"2518644",305,225,158,91,161,173,154,104,71,147,16
"2498848",278,216,138,106,136,166,192,123,85,144,16
"143813",288,212,180,105,112,191,176,115,78,139,21
"2726956",369,211,206,85,269,277,180,117,99,161,19
"2726989",331,209,173,123,112,131,184,155,119,143,18
"1573718",168,199,89,79,70,107,102,75,59,90,17
"2749999",244,189,128,125,144,144,177,112,104,121,27
"2049589",302,188,121,103,167,180,150,76,98,118,21
"1736226",343,184,131,97,163,117,175,107,75,133,52
"2320270",184,181,108,91,133,106,157,139,76,98,12
"2054919",217,178,127,108,90,110,168,84,66,105,17
"2774873",210,175,119,87,160,166,182,104,65,134,24
"1283291",222,174,129,74,150,104,129,106,78,92,18
"2201356",147,173,121,77,62,91,143,88,46,78,20
"2804761",212,171,124,79,109,131,158,117,66,114,19
"2730847",250,158,106,90,94,109,146,96,59,97,13
"1573719",176,135,98,80,68,85,127,79,48,88,19
"1649877",215,134,122,102,105,95,134,106,63,88,23
"1981174",325,133,123,58,130,135,94,93,63,75,10
"2073078",206,132,81,67,66,98,134,78,51,88,9
"2730848",139,130,91,49,102,83,80,64,33,78,12
"2823875",144,128,100,75,81,95,96,90,50,75,31
"2219057",146,121,79,52,58,72,110,65,44,74,16
"2052956",248,120,76,53,82,80,100,44,33,79,6
"658644",146,111,77,58,85,93,114,64,49,65,15
"1898684",167,103,91,43,164,102,82,51,55,75,10
"253237",176,96,59,27,90,102,50,30,24,61,8
"1611770",220,95,60,52,57,62,91,52,40,64,6
"1573712",169,93,65,63,53,55,98,75,50,57,11
"1207075",82,93,35,34,34,42,88,34,38,39,4
"1534110",137,92,35,48,51,43,79,31,27,62,20
"2590776",111,86,48,33,50,52,74,56,29,60,9
"2213057",134,84,69,54,79,102,80,61,242,62,7
"2662033",128,82,67,40,61,55,75,49,39,42,14
"2774459",131,82,80,57,59,88,80,55,43,63,9
"2025658",112,81,59,38,74,84,90,47,45,55,12
"2812000",103,80,56,44,42,61,72,54,39,48,11
"1259844",370,79,49,35,86,77,61,41,33,36,60
"1702250",122,75,46,44,48,61,59,51,28,40,11
"2587845",136,72,73,33,74,96,63,52,189,67,10
"2604941",115,65,30,31,25,39,46,26,33,20,1
"1573711",56,61,50,46,29,52,63,35,27,29,7
"1855380",63,59,46,49,33,37,68,37,17,31,8
"2479392",129,56,49,32,38,53,59,26,29,36,4
"2597770",56,54,28,17,23,31,48,34,18,24,7
"1758730",85,51,36,18,24,43,41,35,18,31,5
"1500686",42,51,31,28,37,41,60,28,17,27,4
"2559074",66,50,24,31,29,33,34,16,28,19,3
"2054915",39,50,25,15,26,60,43,24,14,38,2
"118613",50,49,43,31,29,43,64,37,24,40,9
"658629",54,48,36,25,32,19,59,19,17,28,3
"2018067",49,48,27,23,23,39,59,29,22,15,8
"1500687",59,45,35,21,20,35,43,33,18,24,7
"1573720",58,45,15,28,14,17,32,15,12,27,1
"1636610",164,45,38,18,51,33,32,18,23,27,3
"2067572",50,44,24,20,20,18,29,26,14,11,4
"2126069",52,37,21,18,13,9,24,17,17,15,2
"1827300",45,36,33,21,25,35,37,28,23,16,4
"2005388",54,35,28,27,20,22,47,18,19,28,3
"2605424",27,34,24,13,11,10,18,18,14,9,0
"1855331",53,33,16,18,17,17,31,10,5,16,0
"676210",55,33,31,12,30,33,31,24,11,24,6
"1173283",17,31,15,28,22,10,23,16,11,21,1
"2730851",23,29,22,18,15,22,17,13,15,21,4
"2069256",35,29,13,10,5,11,17,22,9,9,5
"2045200",21,27,17,14,23,42,31,21,12,19,4
"2169583",24,24,16,9,11,22,23,13,16,14,2
"1659194",46,23,17,18,18,22,19,24,10,19,4
"2083055",18,22,11,14,2,14,27,19,12,12,1
"76885",30,21,4,11,6,6,12,7,15,10,7
"2083054",17,20,15,4,16,14,14,11,4,4,2
"2777367",27,19,6,3,8,5,9,6,9,11,0
"2749807",38,18,20,16,5,9,24,17,9,13,0
"658643",4,17,9,8,6,3,17,4,4,3,1
"1173270",17,17,9,13,11,11,21,5,5,16,1
"658642",25,17,15,5,10,9,14,8,3,9,1
"1886807",19,16,7,3,1,5,7,7,5,6,3
"1415630",25,16,14,8,18,14,13,4,9,10,2
"69328",33,16,6,13,25,15,10,12,7,8,5
"2651048",41,16,7,7,13,14,12,9,4,12,4
"1173273",20,14,10,11,2,4,13,2,9,9,0
"2654238",21,14,12,8,5,12,15,9,9,9,2
"2662034",325,14,5,6,61,33,8,10,15,3,5
"1173288",17,14,18,9,3,11,11,10,10,3,3
"658632",6,13,6,4,3,8,7,3,3,6,2
"2762896",35,13,12,7,24,33,20,1,8,8,6
"1173280",10,12,5,6,5,5,9,5,1,5,0
"2083053",82,12,14,5,25,41,19,15,18,15,0
"658641",13,12,6,8,2,3,9,2,3,3,1
"2083052",57,12,8,10,19,16,14,10,3,8,2
"1173284",20,12,9,5,4,4,11,8,8,5,0
"147212",28,11,5,5,7,7,15,4,4,8,2
"2738843",24,9,21,15,6,8,23,32,4,8,1
"2587597",11,9,3,5,9,5,10,9,2,6,3
"2664899",15,7,7,9,7,4,8,9,6,7,2
"2083051",7,7,10,7,14,3,10,2,9,5,3
"1338689",12,6,4,2,20,5,1,5,0,2,2
"2545800",3,4,3,9,2,9,1,1,0,2,0
"306",4,4,3,4,0,0,0,1,0,2,0
"1495331",4,4,2,0,0,0,0,4,1,0,1
"2479393",6,2,0,1,4,0,5,1,3,13,4
"1761895",2,2,4,2,0,4,3,5,2,3,0
"2609418",8,1,1,2,1,3,6,8,2,2,0
"1523522",0,1,1,0,1,0,1,0,2,0,0
"287",4819,2687,2277,1433,3472,6907,2580,1744,1211,1880,266
"300",2451,1841,11506,636,2175,2124,1103,2577,677,1023,149
"53412",853,1742,566,343,935,840,586,452,270,498,52
"1232139",1579,1554,1176,429,1254,2014,734,1901,358,738,301
"43263",7538,1104,4744,410,1354,1421,720,758,884,712,223
"627141",1003,826,634,375,577,722,777,485,302,507,82
"53408",614,509,412,238,379,401,492,366,183,315,46
"294",4379,3170,2254,1654,1753,2130,2847,1906,1180,1842,452
"380021",1153,852,589,478,661,706,765,538,382,548,91
"47878",525,467,297,279,193,297,403,271,186,328,48
"76758",561,422,300,211,217,300,384,261,188,263,50
"47883",523,298,234,169,193,210,307,160,169,186,36
"200451",309,262,195,122,154,169,257,140,99,140,23
"200450",352,253,195,143,151,191,309,164,101,147,23
"47879",493,233,149,103,131,182,191,115,106,121,63
"46679",272,204,97,72,84,111,122,88,79,90,17
"183795",13884,201,203,93,182,193,174,140,1277,118,68
"76760",262,197,143,96,127,142,162,127,186,116,18
"29442",196,183,113,101,82,121,175,130,83,78,9
"78543",192,176,128,77,83,112,157,78,67,74,16
"651740",209,150,103,74,48,91,144,100,78,77,11
"129817",185,111,74,63,87,79,97,91,55,68,10
"169669",147,107,77,59,60,84,75,49,42,69,7
"75588",103,81,58,41,47,69,75,44,41,40,6
"76761",113,72,47,40,32,65,68,36,24,40,11
"75612",74,60,40,28,20,21,53,42,19,32,3
"303",16680,4902,3148,2301,5360,3540,3826,3449,1906,2671,710
"47885",1372,1085,929,608,542,700,990,724,486,634,177
"76759",864,636,445,338,465,398,559,359,269,361,76
"47880",840,496,398,244,549,463,423,309,189,359,50
"70775",500,270,223,124,257,169,216,176,114,118,34
"2217867",81,57,39,34,45,35,61,31,30,33,12
"78327",70,43,37,37,20,23,42,24,21,23,2
"578833",9630,5435,4862,2737,5570,6722,4887,3457,5689,3934,463
"74829",4463,760,725,419,653,861,805,495,449,533,72
"271420",454,277,219,136,218,223,216,187,198,169,25
"47886",95,68,34,45,62,72,57,33,24,31,7
"587753",2884,2385,1503,1287,1321,2264,2077,1317,908,1478,249
"86185",301,170,122,89,109,116,168,111,93,107,15
"296",161,119,114,64,95,93,139,67,50,78,11
"2604832",739,2629,1341,266,9443,5629,696,364,229,793,48
"251695",1331,735,609,421,453,566,614,479,364,475,70
"33069",424,247,187,130,156,176,201,163,90,149,20
"1190415",357,204,139,122,127,178,170,118,97,129,18
"36746",370,198,155,99,189,196,190,105,98,146,16
"53409",213,161,111,72,94,94,147,112,80,108,16
"251698",131,83,50,47,52,75,80,51,37,39,5
"50340",91,82,56,56,44,46,70,54,26,58,4
"251701",82,30,22,16,13,26,29,27,12,13,4
"2775504",31,10,11,5,5,7,7,8,3,4,2
"46257",7,5,1,1,5,8,3,2,1,2,0
"86840",1,4,0,3,1,1,0,2,1,0,0
"1392877",1180,1632,1568,514,701,863,854,1615,396,643,93
"319939",1201,1119,986,503,1205,1223,898,836,412,716,93
"237610",1343,1079,765,575,577,849,892,627,451,625,103
"1301098",185,195,265,92,108,126,178,192,61,113,15
"1245526",987,834,559,347,452,491,589,474,268,421,54
"384676",433,298,227,169,222,196,260,174,119,186,41
"43306",642,528,437,264,360,375,514,356,206,307,52
"157782",551,436,329,246,293,307,439,321,189,274,52
"2599595",555,432,321,262,249,308,419,316,152,291,49
"487184",725,396,271,160,218,293,343,253,163,238,28
"104087",469,389,214,177,181,221,288,186,136,200,38
"237609",490,377,256,179,258,235,315,167,190,212,32
"216142",420,329,229,162,259,267,292,172,119,216,32
"1499686",486,327,286,155,305,331,278,210,200,227,36
"472181",543,326,279,137,189,211,268,173,133,210,31
"364197",585,310,191,149,229,251,256,131,138,183,28
"157783",475,309,211,174,261,230,248,198,126,189,31
"198618",382,291,149,151,170,168,221,148,124,158,27
"86264",12,6,5,2,3,8,10,3,3,0,2
"198620",428,270,194,159,123,207,252,141,75,164,38
"553151",498,253,217,135,125,134,236,109,144,139,20
"515393",320,251,198,124,151,191,243,160,90,184,28
"1395516",113,64,40,25,37,44,45,31,23,28,35
"797277",406,241,185,128,160,163,219,141,132,165,25
"95300",391,230,161,119,113,169,178,104,72,140,19
"702115",425,226,162,125,138,151,197,155,106,147,38
"437900",460,218,151,99,175,169,173,110,73,137,11
"1691904",300,217,178,82,248,199,138,109,89,108,14
"219572",249,211,129,108,107,120,177,112,82,108,16
"86265",259,207,125,89,93,122,155,92,90,100,44
"1148509",219,198,135,67,89,145,187,88,61,84,24
"359110",306,196,130,88,98,183,160,122,66,98,17
"1853130",199,193,111,109,94,151,203,116,67,91,26
"191390",235,189,112,90,128,207,172,110,78,132,27
"395598",220,183,97,121,88,123,168,108,81,95,21
"741155",208,182,123,44,129,129,85,69,65,84,17
"1434072",334,178,158,76,148,169,212,124,78,110,25
"244566",207,171,117,94,77,86,166,83,61,86,22
"321846",163,153,83,78,62,80,109,88,44,77,13
"46677",252,153,166,93,113,195,184,111,75,133,21
"1274359",203,149,96,40,136,149,101,81,44,71,8
"1421430",234,148,112,72,118,131,157,77,82,116,14
"2505979",156,144,74,66,47,73,131,79,66,75,35
"47884",268,142,92,67,75,125,153,83,75,102,9
"554344",238,133,146,57,357,287,74,59,55,128,9
"163011",209,133,81,69,54,86,133,64,57,81,18
"158627",194,130,91,68,70,81,115,53,56,82,20
"2774460",160,127,75,49,77,94,82,69,40,73,7
"2774461",214,109,56,42,51,82,71,29,21,50,9
"2502979",200,108,83,37,122,143,95,49,37,78,11
"1788301",190,105,95,63,52,64,93,88,47,82,4
"122355",165,96,84,66,68,85,121,78,54,70,9
"1628086",140,87,67,40,51,70,96,66,38,45,16
"53407",113,82,40,35,24,45,66,36,31,56,6
"1306993",65,63,28,18,31,21,25,27,19,31,5
"2565368",77,62,34,29,43,25,40,26,24,32,52
"1615674",62,42,30,24,29,33,34,28,13,10,1
"1785145",50,31,10,20,1,5,20,20,23,14,5
"2681983",32,23,12,9,30,19,22,4,7,20,4
"1583341",16,15,10,4,7,10,10,8,7,8,5
"2219225",246,8,4,3,34,11,8,0,4,7,0
"1302376",17,8,7,1,6,9,9,4,6,5,3
"470150",4,3,1,5,5,3,2,1,4,3,1
"353",1215,2664,702,637,641,762,918,643,447,779,100
"69964",647,746,441,315,374,458,507,334,289,518,72
"354",780,726,562,334,377,627,637,440,252,450,73
"1510150",5082,445,282,125,106,157,275,218,165,162,73
"1697053",93,53,22,20,10,11,24,22,20,15,3
"2213226",31,12,19,7,4,11,10,10,14,4,1
"2785331",42,9,14,2,2,4,7,9,8,8,0
"1879049",185,95,92,70,43,52,116,82,41,60,6
"2563897",43,28,13,1,6,3,10,12,10,18,3
"2798861",31,21,10,5,3,12,16,8,10,7,0
"2004646",26,18,12,3,2,3,11,9,3,0,1
"2714110",25,18,10,7,4,5,11,17,4,5,3
"2004647",11,16,4,2,1,1,8,2,2,2,1
"1407071",26,15,7,9,4,8,5,5,5,3,0
"2601122",18,11,12,6,6,7,19,10,1,10,1
"1646498",44,10,8,9,3,5,10,6,5,4,1
"1808001",30,9,14,7,5,12,12,13,7,9,1
"1608473",14,8,8,7,4,3,4,5,5,4,1
"1758189",36,8,10,9,1,3,12,13,10,4,1
"2079596",4,7,5,0,0,4,5,2,0,1,0
"1636603",24,6,2,3,1,1,14,5,0,1,0
"2545797",14,6,4,3,4,14,11,4,3,1,0
"1827285",17,5,5,3,4,1,4,1,3,3,0
"2609668",10,4,4,2,2,3,8,4,4,2,2
"2725684",3,4,2,1,0,0,3,1,3,0,0
"2004644",8,3,0,0,0,3,2,3,3,2,1
"2743575",3,2,3,2,0,3,2,0,0,0,1
"470",151,53,116,29,16,35,55,40,20,76,14
"48296",47,24,50,12,4,14,19,22,7,17,81
"471",41,19,17,9,3,12,21,4,8,19,9
"1530123",40,19,11,5,6,16,21,10,12,28,8
"106654",28,10,10,10,2,6,16,6,7,12,4
"1785128",22,4,4,7,2,3,10,3,3,3,19
"756892",189,74,44,30,17,34,61,49,41,55,8
"1789224",53,62,11,10,6,6,28,10,6,8,2
"108981",156,44,20,9,10,14,27,22,17,21,3
"29430",60,35,12,6,6,11,14,9,11,12,1
"40214",0,31,0,22,5,0,0,0,17,15,1
"981334",5,2,3,2,0,3,3,0,0,0,0
"487316",59,26,20,5,5,14,22,12,4,13,2
"106648",82,25,106,18,7,14,20,10,14,12,15
"1046625",1,1,0,1,0,1,0,0,0,0,0
"134534",35,21,4,8,2,8,12,7,3,8,0
"202954",57,18,12,10,7,9,12,9,7,10,0
"70348",39,18,11,3,1,5,6,5,4,6,1
"1197884",39,16,4,7,2,2,2,6,2,1,2
"1879050",63,16,18,8,4,10,18,18,3,10,0
"62977",30,15,23,7,6,3,11,9,5,9,3
"70346",18,15,10,8,5,2,8,2,2,4,0
"108980",68,15,19,8,5,9,20,11,10,11,2
"2006115",36,14,8,6,3,4,11,6,3,6,2
"1871111",15,14,6,8,2,5,8,6,3,6,2
"2715163",35,11,11,8,1,5,4,10,3,10,1
"40215",113,10,34,39,7,7,30,29,74,13,1
"202956",19,10,8,6,6,4,3,5,6,6,2
"2136182",22,9,14,8,4,4,7,9,4,6,2
"436717",18,8,7,2,2,3,2,3,2,0,3
"106649",8,8,3,0,1,3,5,4,4,2,1
"2662362",30,7,9,2,3,6,10,3,5,5,3
"2715164",25,7,5,9,3,4,6,3,8,2,2
"2004650",5,2,8,9,2,8,12,3,2,7,1
"1324350",18,1,8,7,3,4,6,8,0,5,2
"1699621",37,21,15,17,1,8,11,4,8,6,3
"1028416",37,19,9,11,2,7,14,14,12,6,4
"1699623",26,16,2,5,2,9,8,2,3,8,2
"1720344",27,10,6,4,1,1,9,7,4,5,2
"1699622",9,10,4,1,0,5,11,3,3,2,0
"2772254",25,9,8,10,3,5,10,3,4,7,3
"571800",16,8,11,1,5,4,3,5,1,5,0
"349106",11,7,5,3,2,3,4,3,0,2,0
"1699624",15,4,4,6,3,3,7,4,2,6,0
"56811",1,4,1,0,0,1,5,0,0,1,1
"2733866",21,3,4,1,2,3,1,1,4,5,2
"2203895",11,2,1,0,1,3,0,5,0,1,1
"1028419",0,1,0,0,0,0,0,0,0,0,0
"256326",33,48,23,28,6,18,24,20,17,21,3
"45610",58,21,14,18,9,14,27,13,24,17,2
"259536",19,18,24,12,2,12,18,15,3,7,2
"330922",18,8,7,7,4,2,16,7,5,6,0
"34062",105,95,68,28,26,39,68,54,30,47,5
"476",53,21,24,10,4,9,16,16,2,9,3
"480",103,20,9,6,1,8,19,9,5,8,0
"34061",70,18,29,15,7,9,24,12,14,13,5
"386891",40,18,15,14,4,5,18,14,7,8,2
"478",31,8,7,4,4,7,15,9,4,5,0
"29433",4,6,1,2,1,3,2,1,1,2,1
"2283318",100,62,44,27,14,20,54,38,27,23,3
"453783",6768,7746,5458,6787,6235,4123,7685,8198,18486,5381,924
"2290922",3552,1754,2498,3566,1553,2159,2876,2243,1508,1309,236
"2762611",2730,1005,1914,808,805,1233,1438,1033,1126,826,117
"2781021",552,290,406,231,215,334,392,275,199,172,34
"2781022",549,252,377,193,123,247,295,242,206,185,29
"2714936",370,169,178,113,82,150,160,152,93,94,23
"2781024",426,140,230,107,96,168,204,131,126,123,15
"2781023",320,114,199,113,86,141,190,132,87,98,19
"69",9089,4043,5383,3423,2718,4069,5517,3691,3634,2918,485
"2763317",8889,3798,6557,4699,6335,6222,8634,5645,4077,3507,651
"2795387",3588,1888,2318,1813,1570,1914,2694,1810,3364,1754,212
"84531",3729,1526,1901,1267,982,1444,1929,1358,1321,1115,199
"435897",3514,1476,1954,1300,930,1329,2073,1477,1379,977,198
"1605891",3963,1351,2640,1381,1134,1886,2032,1564,1453,1236,212
"1324796",9430,1305,4297,1687,1644,2664,2511,1991,1022,963,223
"262324",2511,1197,1298,957,808,1072,1561,958,1024,774,138
"2591633",2983,1142,2095,940,852,1336,1547,1107,1205,934,147
"2698682",2992,860,1515,830,788,1335,1450,988,788,667,109
"40324",8522,3921,5109,2594,1888,3210,4339,3424,2627,2573,483
"2072414",547,308,279,200,140,231,347,206,225,202,29
"2072413",569,282,314,190,134,210,320,252,207,176,22
"2072405",294,144,138,128,79,101,186,80,95,83,19
"2072407",189,125,114,55,43,57,111,62,65,54,5
"2072412",192,89,99,78,56,60,117,69,75,65,18
"2072406",163,83,71,32,30,57,83,43,60,31,12
"2072409",56,43,30,18,13,18,29,13,28,16,3
"2072408",72,29,24,16,11,41,27,16,12,21,3
"1904944",1187,508,593,376,276,440,536,382,370,373,62
"2770322",945,461,494,322,251,412,555,392,335,285,45
"2691571",603,360,353,248,147,275,364,230,219,202,24
"2742129",349,200,222,141,102,139,196,165,135,113,40
"2303750",212,105,96,81,45,60,114,79,68,71,379
"2040586",174,98,234,198,64,112,113,90,158,55,10
"2005046",300,89,130,56,44,79,121,71,69,57,8
"2282124",76,27,30,9,15,23,33,24,18,21,3
"2682487",54,25,24,14,7,48,26,25,11,19,0
"2775920",49,25,54,17,17,11,32,26,29,10,4
"1827305",62,18,43,17,13,20,48,34,33,20,18
"216778",3320,1603,1666,998,785,1244,1763,1150,1157,928,179
"128780",2851,929,1237,652,447,887,1137,784,705,655,113
"2045451",85,48,39,24,20,25,34,20,18,28,19
"83617",2,1,0,3,1,0,2,0,3,1,0
"149696",523,223,237,136,110,179,271,177,174,133,23
"359385",239,119,114,76,50,89,141,87,78,84,17
"340",342,88,113,90,45,76,126,84,83,78,10
"92826",127,79,85,46,40,64,89,74,43,52,8
"2724122",276,162,170,88,102,143,200,130,93,104,16
"2724123",253,159,141,127,73,117,163,111,97,102,12
"2724121",257,158,165,122,65,130,221,146,106,97,19
