"","cuu6M2TOMPOOB051315.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report"
"1325100",1626,2187,1439,3110,4532,2635,1711,2107,1464,1317,374
"288000",1299,1454,1264,2721,4946,2404,1508,1974,1357,1210,401
"1223566",1138,1432,1071,2874,2942,1743,1292,1349,1383,654,204
"114615",1272,1462,1183,2642,3829,2155,1423,1607,1341,1154,356
"1325102",1477,2152,1779,0,4697,2464,1305,1962,0,961,211
"1197460",1104,1329,1018,2026,3261,1749,1183,1339,981,910,257
"115808",1261,1483,1239,2610,3741,2069,1474,1717,1227,1100,363
"2057741",1067,1173,976,2066,4740,1685,1137,1367,1116,895,274
"1325120",945,1211,904,1876,3069,1607,1076,1301,964,799,227
"2715960",864,1117,785,1767,3658,1494,1015,1205,903,740,219
"1404888",829,1248,838,2667,2583,1409,1047,1278,1218,618,214
"1325114",758,2306,634,8324,2392,1224,744,2084,1005,688,160
"1325112",768,1180,676,2126,2253,1182,846,1164,872,668,222
"1325111",797,1089,806,2043,2424,1320,926,1231,944,702,186
"376",551,819,506,1519,1805,888,601,846,648,408,138
"319017",226,354,220,640,852,381,246,336,294,179,62
"2493093",158,165,107,278,580,205,157,193,137,124,26
"2599805",64,115,66,282,226,107,85,112,77,47,18
"2599819",61,112,44,258,230,72,72,108,68,48,15
"1404649",22,21,16,40,275,37,42,28,21,16,9
"1325083",1,6,9,26,32,12,5,9,9,6,0
"2578113",0,1,1,1,3,0,0,0,1,0,0
"1274631",3041,4797,2790,3773,5880,4896,3550,3072,5384,1949,406
"1437360",4420,5058,4262,8167,15297,6937,4758,7029,4438,3728,1054
"190148",2678,4651,2271,3639,5429,4072,2941,2782,2287,1624,372
"1355477",3568,5534,3251,10805,0,0,3875,5841,4257,0,887
"722472",1659,1789,1431,2708,4968,2318,1748,2021,1398,1272,373
"83637",1237,1548,1088,2478,3768,2078,1398,1626,1177,1027,307
"1245469",1340,1497,1301,2707,4324,2157,1518,1790,1399,1136,424
"255045",1131,1375,1020,2133,4636,1836,1124,1632,1139,921,318
"476282",185,301,185,481,555,292,218,252,196,151,53
"1037409",1,0,2,5,3,3,1,1,2,0,1
"1325107",1029,1793,883,2680,3038,1451,1005,1412,1190,766,174
"1549949",925,1531,948,2808,3383,1424,1095,1423,1616,733,226
"1404367",780,1448,813,3897,3257,1356,971,1975,1271,759,229
"1404864",753,1123,739,2430,2561,1252,872,1487,979,698,209
"858423",819,1279,786,2519,2573,1310,916,1280,978,647,199
"1325090",1036,1395,840,2717,5234,1486,938,1697,1468,904,264
"83627",837,1073,752,2018,2502,1356,884,1199,897,692,219
"1325115",790,3269,745,5393,2517,1372,833,1721,1128,584,175
"1325095",723,1025,723,2056,2325,1229,811,1238,800,608,199
"1404768",516,914,531,2858,1758,840,541,1142,671,469,146
"244734",502,707,490,1476,4139,865,561,913,675,408,153
"931866",153,253,130,470,537,258,166,242,181,136,38
"1275962",7,17,28,17,100,29,31,19,12,15,5
"1867715",1615,1281,1594,2710,10143,2341,1915,1849,2709,1644,769
"2020412",1139,1005,1044,1956,6887,1870,1281,1450,2242,936,932
"2599640",1524,1258,1508,2328,5008,2252,1821,1745,2693,1292,1294
"1842539",1438,1090,1352,2300,4036,1926,1642,1708,1582,1240,587
"2015316",1160,1006,1189,2210,5952,1858,1371,1737,2166,1093,854
"1792307",1041,863,1084,1520,3155,1543,1246,1322,1187,955,467
"1526658",1284,1008,1240,2092,3969,1879,1425,1505,1385,1128,537
"316058",1152,1156,1101,2354,4542,1951,1301,1717,1290,1086,391
"316055",960,937,1032,2027,4173,1605,1113,1504,1134,933,326
"316056",985,1116,971,2046,4478,1762,1099,1590,1222,924,362
"652103",221,201,198,440,1064,371,236,367,238,204,98
"395960",214,176,216,390,780,300,289,260,208,185,63
"2592814",42,25,29,39,120,50,35,42,21,32,2
"2592817",3,12,10,21,62,18,13,24,7,12,5
"2592815",22,18,22,37,30,30,19,21,21,21,7
"2592816",7,6,6,6,9,5,5,9,5,6,1
"943830",890,899,800,1849,4461,1454,985,1300,1130,751,335
"1882747",866,1060,743,1553,3199,1442,946,1069,869,642,197
"504832",11,13,18,13,123,13,18,7,26,12,4
"1333996",1348,1305,1397,3240,4269,2144,1614,2257,1688,1390,471
"323097",1239,1127,824,1866,44838,1318,993,1957,4658,729,398
"323098",719,682,738,1415,63896,1252,759,1276,2310,640,947
"675281",1718,1322,1773,2904,13529,2348,2118,3688,3669,1511,2174
"2584466",957,937,1200,2557,17587,1813,1277,3571,3704,980,2118
"2108445",644,504,902,1337,11218,1029,947,1883,2876,677,1866
"2082387",661,629,801,1865,8908,1123,855,1769,1977,736,1213
"2493672",702,707,680,1185,4921,1003,754,1246,1383,628,698
"2493673",787,906,834,1460,4942,1301,917,1385,1354,707,717
"2493676",644,595,653,1307,5479,973,801,1372,1467,588,826
"2493668",666,489,702,905,4151,784,792,939,1204,556,668
"2777475",1005,1411,726,3683,6353,1808,820,1884,1508,689,837
"2493680",1152,700,672,1296,4601,2039,726,1355,1330,955,690
"2493675",583,503,650,1057,4351,835,701,1197,1218,562,693
"2744518",670,537,687,1189,5048,932,810,1286,1363,578,756
"2744521",733,504,788,840,4039,910,833,986,1275,650,671
"2493669",728,710,640,1229,4857,1049,717,1185,1315,590,646
"2654248",613,491,631,977,5794,863,750,1209,1234,497,736
"2493677",522,435,548,858,3471,748,660,878,1060,504,524
"2493679",412,349,429,829,3481,604,469,905,920,379,499
"2493678",355,311,402,724,3592,575,476,826,749,360,437
"2493671",379,669,362,1027,2864,663,410,816,690,350,397
"2654249",254,212,322,484,3333,450,347,692,935,267,568
"2483404",384,373,372,665,3032,594,417,783,738,341,388
"2493681",356,307,345,625,2825,532,386,660,686,300,343
"2744523",415,265,446,538,2533,542,480,562,788,420,376
"2744516",347,285,327,656,2459,472,408,682,679,329,353
"1854057",373,263,340,418,1765,412,372,445,487,273,265
"2744522",268,215,298,439,2310,417,371,544,796,345,407
"2483403",255,226,216,459,2274,409,300,547,483,243,260
"2744517",253,259,259,462,1741,396,262,493,472,249,238
"2493674",243,336,228,570,1376,391,242,395,375,189,200
"2493670",210,279,182,539,1412,345,213,381,346,167,199
"2744515",83,64,90,149,635,117,86,131,179,77,81
"278153",87,63,100,91,519,122,113,144,176,78,104
"2744520",39,51,41,82,407,69,37,78,82,45,39
"2744519",77,37,45,38,224,60,54,30,64,56,19
"2483402",35,26,33,54,174,43,47,65,67,19,32
"1670800",1110,865,1428,1960,9483,1659,1564,2857,2821,1164,1720
"1082933",608,477,633,1062,5334,949,757,1184,1338,567,664
"935548",339,296,347,644,2847,522,481,698,746,328,398
"935546",62,62,45,77,334,84,59,106,96,41,33
"682633",353,236,352,350,1440,466,412,519,568,320,264
"278148",97,93,96,188,657,172,113,179,159,98,80
"754035",503,399,445,792,3559,713,575,969,917,428,515
"536019",441,397,476,920,3513,696,530,866,903,402,504
"1777866",376,333,347,687,3031,563,423,673,805,334,469
"763057",45,34,56,57,315,96,43,93,69,39,53
"266835",76,124,100,144,628,121,82,147,160,71,91
"2725666",40,30,26,60,860,55,44,70,53,40,37
"2774562",191,120,184,275,4500,271,194,302,469,163,298
"374606",757,575,891,1351,21367,1216,977,1753,2293,780,1357
"2666139",98,64,102,144,1926,142,91,191,683,72,260
"83263",124,90,123,174,2260,166,175,181,306,118,160
"266779",4604,804,2893,1345,4396,993,4962,8303,1146,959,720
"2599600",1039,795,1204,1842,7210,1690,1313,2413,2276,1105,1347
"1756988",483,396,558,907,4065,830,663,1288,1076,471,662
"1852022",936,828,970,1598,3716,1509,1169,1575,1364,973,625
"1620421",404,308,467,681,2102,610,521,627,609,409,304
"411684",330,258,402,614,2002,511,418,621,553,348,320
"2742145",582,483,680,1104,2968,945,761,1220,973,603,564
"1867719",459,291,389,654,2480,637,498,681,626,375,350
"2718938",218,169,194,344,1411,327,233,363,348,191,163
"2712698",255,196,294,478,1138,436,253,510,395,252,180
"2305987",19,22,21,31,79,30,23,46,22,19,9
"2613769",4923,4400,5112,11020,40086,8082,5795,8185,8784,4655,6170
"384",2863,2356,2678,4685,13769,3993,3079,3599,3419,2437,1919
"29449",813,669,738,1421,3886,1126,895,1013,1043,695,724
"348824",490,461,521,986,2656,807,623,705,670,485,443
"396",404,412,395,732,2401,646,441,631,491,384,354
"1312183",519,495,494,1006,2622,789,561,820,645,449,391
"379684",538,371,527,1245,4533,812,621,963,857,471,751
"1138189",391,297,349,680,2065,600,426,501,501,361,315
"56730",456,286,457,631,1618,530,498,407,463,374,274
"1138194",292,246,343,602,1573,498,352,467,393,338,263
"293958",330,281,277,668,2110,479,385,506,476,321,305
"1138190",265,243,271,468,1406,400,297,365,330,251,216
"398",288,290,322,856,2131,465,373,501,481,237,295
"1368430",272,209,281,566,3850,442,327,487,669,261,357
"451876",247,187,243,591,0,372,274,1261,2828,226,357
"240521",254,223,262,545,2669,434,337,427,511,241,319
"2583231",186,161,170,313,800,268,207,266,212,184,132
"1335061",234,157,251,518,2041,330,355,702,567,255,1032
"1538158",160,130,196,309,882,212,162,211,206,147,124
"2267833",146,134,160,356,1351,231,225,293,340,165,199
"648995",134,109,128,245,1458,209,128,609,248,127,236
"1538159",43,52,45,125,378,93,77,93,72,44,50
"2081791",43,39,41,77,195,56,48,56,58,40,27
"448181",4,4,9,8,221,5,5,15,15,0,25
"1183400",1626,1341,1539,3391,26597,2648,1863,2590,3181,1439,1815
"373",577,443,554,1140,4166,916,648,894,874,603,603
"2632611",506,463,519,1062,7914,873,721,906,1221,532,625
"359",282,238,277,553,2214,426,318,432,439,272,285
"28099",240,170,238,445,1499,392,258,440,314,166,256
"160699",202,175,220,399,1636,338,241,374,321,188,310
"1183412",0,0,4,5,103,3,2,5,7,3,6
"399",1151,1017,1119,5342,37853,2335,1229,1843,1848,980,1765
"2629175",869,803,997,2892,6961,1880,1160,1822,1528,811,2703
"1125847",75,64,86,180,1078,114,94,144,298,67,382
"663276",3232,2065,3061,4750,11563,5142,3567,3410,3456,3169,2443
"382",4244,2964,5434,6081,28478,7539,6561,4442,16814,4769,0
"2613772",1290,1001,1341,2440,16763,1998,1580,2445,3625,1347,3462
"194963",798,558,889,1211,3252,1232,1144,994,965,839,634
"110321",623,483,678,1176,4102,1215,767,970,1280,738,1496
"106592",1358,999,1263,2354,8068,2051,1538,1934,2084,1425,1570
"375549",1101,795,1123,1787,4250,1685,1234,1312,1279,1025,825
"2633371",531,416,531,1042,3450,846,655,857,815,626,1182
"1752398",883,518,694,1239,3358,1181,827,885,996,745,565
"716925",832,472,727,1066,2714,1047,764,931,825,734,608
"879274",932,773,1054,2220,65723,1610,1145,2219,13010,1050,5511
"2715959",833,724,871,1678,17656,1438,948,2003,3405,824,5723
"2795690",1436,1315,1531,2916,6538,2322,1760,2346,2040,1418,1305
"2341112",631,450,682,1094,3790,1033,745,1329,997,602,668
"1969821",596,532,703,1187,4186,1013,827,1092,1007,586,631
"1273132",9,4,3,9,30,14,8,17,11,9,3
"1174529",3,0,2,0,0,3,1,0,0,0,0
"658172",2,3,104,7,9,6,5,3,2,4,1
"34020",2,4,9,11,67,39,3,13,25,16,2
"1261131",1,0,1,6,12,5,0,10,2,2,0
"426117",2531,2192,2274,3002,3637,3214,2740,2501,1905,1852,635
"2202828",1332,1215,1297,1885,2413,1997,1525,1598,1138,1071,417
"2603276",996,843,919,1321,1847,1393,1052,1092,843,788,292
"2202826",1049,921,962,1308,1781,1461,1183,1035,735,789,268
"925818",413,335,372,559,813,660,434,514,335,319,131
"2067957",345,238,298,428,497,475,351,393,294,247,109
"1479019",208,170,170,236,315,299,269,232,164,142,36
"739141",79,86,65,100,147,128,99,100,75,60,24
"2696060",1,0,0,1,0,0,0,0,0,0,0
"460265",2243,8641,2035,2801,3477,3064,2417,2395,1597,1639,606
"270351",2116,1734,1740,2686,3574,2802,2192,2057,1706,1551,613
"2202825",1603,1341,1544,2001,2657,2192,1842,1760,1324,1325,487
"2051553",1109,953,1013,1371,1763,1492,1153,1108,804,824,284
"2202827",1065,925,969,1393,1697,1536,1180,1077,900,832,298
"908290",1082,966,959,1416,2005,1516,1202,1149,858,867,313
"269660",973,881,894,1343,2066,1334,1092,1127,806,775,292
"1775910",939,770,785,1077,1547,1206,970,974,973,736,270
"426355",258,214,184,321,422,315,245,310,193,203,54
"418223",140,130,124,203,311,200,147,144,107,134,30
"693986",43,51,42,78,89,68,58,51,38,49,15
"2807101",7285,3957,5957,5073,10233,9068,6901,2384,2647,3874,3359
"2082949",1897,1855,1862,2873,4867,3147,1977,1571,1410,1352,2314
"1882682",5270,3948,4758,4571,8961,7565,5545,2362,2649,3518,2716
"2651334",2351,2129,2084,2894,5143,3508,2532,1936,1635,1831,1414
"441620",271,290,229,368,800,386,302,469,227,234,129
"272630",402,416,423,630,1097,631,554,523,387,376,136
"440085",190,137,161,208,311,250,226,202,145,127,66
"419610",148,106,124,173,265,238,165,148,122,141,45
"29429",29,36,48,54,81,57,58,43,30,23,12
"674703",4974,7544,5728,29461,9916,7909,6648,8725,6016,5497,1025
"444923",7,3,2,5,3,5,7,7,4,5,2
"1736675",1587,1289,1637,4153,46960,3013,1895,4373,6300,1605,3176
"2801335",554,415,688,1104,12191,960,739,1919,3895,554,2048
"2657486",619,510,566,1095,9890,1013,743,1807,2281,548,1769
"2499144",497,337,577,896,5117,922,618,1271,1283,526,989
"2083786",391,280,434,784,13009,668,557,1770,1764,422,1865
"2774137",406,405,487,961,7538,835,623,1643,1547,454,1548
"2664417",265,220,298,580,2367,506,343,647,628,300,401
"2759954",195,164,192,390,2311,340,260,550,506,211,487
"400770",720,516,800,1336,32258,1162,922,2886,5549,735,5256
"582899",615,572,627,1168,4235,977,703,856,1105,652,334
"670307",579,591,545,1105,2656,1171,609,936,795,636,264
"1029756",971,676,996,1803,8982,1235,1158,1325,1455,1144,532
"717785",554,486,778,1940,2725,871,686,830,713,614,280
"2233851",1309,1165,1423,2515,3713,2064,1574,1918,1492,1305,536
"1079",1155,1083,1290,2076,3089,1820,1382,1638,1216,1204,453
"1384459",544,464,648,1019,2191,821,674,813,776,637,372
"2170729",501,437,585,1000,2318,730,677,753,760,614,373
"2742204",886,698,967,1462,2830,1170,1036,1221,1163,976,548
"2820278",981,935,980,1725,3422,1555,1165,1360,1116,878,411
"648757",709,568,654,1223,2289,1018,856,1039,791,724,307
"1447062",803,692,830,1667,7159,1464,885,2030,1834,789,1243
"1082931",0,0,0,0,0,0,0,1,0,0,0
"1608628",317,244,354,527,1520,420,380,387,631,303,310
"1219035",246,300,304,588,1355,478,401,557,360,284,174
"1335043",280,254,250,661,3037,540,349,701,743,293,559
"454601",92,89,86,169,382,125,91,137,98,83,59
"331696",2438,3263,2886,11560,12484,6267,2960,6320,3509,2391,955
"2562284",1808,3284,2216,19402,27059,3970,2300,5359,8838,1829,1630
"2709380",1769,1399,2343,3010,5473,2505,2012,2244,1888,1467,698
"639283",1434,1286,1814,2722,22514,2263,2048,2023,4484,1448,1111
"1850374",1192,1005,1305,1896,4333,1731,1410,1651,1389,1049,507
"1745854",936,762,956,1504,3362,1415,1112,1269,1050,837,399
"2528964",1690,1361,1727,2873,6960,2564,2049,2109,1775,1517,646
"438753",1258,1018,1207,2076,3878,1839,1449,1631,1348,1086,560
"2789216",1190,1043,1232,2299,4417,1983,1407,1704,1319,1120,593
"2712222",2104,1982,2145,4135,49218,2916,2407,2633,3534,2828,692
"1235591",1785,1519,2746,4616,14226,2952,2795,3185,4704,2350,1173
"1482074",1083,924,1156,1846,4113,1573,1366,1699,1423,1052,575
"573658",11,11,9,20,57,33,23,19,31,23,6
"134",736,720,754,1267,2167,1139,868,1048,866,666,294
"173366",719,706,752,1228,2010,1100,921,1058,739,732,272
"655015",726,679,772,1224,1834,1135,840,1024,729,727,290
"391905",732,614,852,1154,1647,1093,914,923,712,716,266
"187303",422,406,432,768,1208,716,568,654,444,416,179
"595536",927,894,989,1779,2344,1504,1145,1325,1008,1003,331
"2699395",797,757,793,1343,1985,1290,942,1127,808,745,302
"1349819",949,839,1045,1631,3748,1546,1200,1617,1249,915,646
"2758041",770,647,877,1396,3007,1231,975,1341,1182,826,545
"2816454",676,551,773,1145,2782,1052,867,1099,957,680,456
"1638161",2,4,1,6,3,7,6,5,2,3,3
"1701758",874,814,848,1419,3093,1275,1012,1447,1107,830,583
"686597",264,215,284,465,1644,412,342,501,366,238,208
"1122214",523,434,511,877,2325,779,626,827,626,467,360
"1486262",453,375,442,789,2437,708,522,777,620,442,362
"2583532",284,207,252,477,1721,481,302,450,359,253,208
"538381",1264,1125,1458,2310,4688,2027,1716,2129,1754,1293,771
"1881061",711,558,752,1137,2515,1037,872,1223,916,735,438
"2021862",354,342,433,703,1509,625,479,586,496,420,243
"2590016",212,176,197,326,724,279,254,300,204,186,91
"2587861",150,138,203,283,655,304,207,275,217,184,106
"2587854",61,46,60,82,171,83,68,84,59,52,26
"1674922",46,44,42,70,207,45,51,57,54,27,18
"244592",194,167,182,326,883,292,268,342,289,203,144
"187304",58,58,58,76,227,86,70,77,84,66,30
"1402210",143,134,139,256,1340,214,201,299,214,139,165
"911045",105,115,99,188,448,166,136,169,163,110,57
"1702325",1493,1335,1531,2404,4809,2337,2386,3065,1650,1560,757
"444444",856,669,880,1323,2725,1204,1211,1444,928,846,388
"395965",666,688,674,1201,2083,1028,795,955,801,669,278
"227605",618,550,581,1090,1858,940,698,881,615,562,240
"569860",560,532,611,1127,1931,938,707,962,604,623,224
"31994",336,311,385,534,1101,598,404,518,332,316,155
"402881",712,695,895,1471,2813,1382,963,1182,894,859,407
"1712261",522,482,577,993,1625,866,691,802,665,606,245
"1458461",268,232,244,455,799,326,325,379,266,287,101
"94625",318,326,292,505,9555,448,390,835,796,383,1941
"2632610",177,121,164,268,1480,276,158,268,278,136,150
"271865",100,89,113,219,882,188,147,215,214,107,116
"529",87,80,88,173,1585,109,121,159,474,76,423
"419475",39,50,74,92,384,80,66,123,65,52,52
"571256",68,33,81,79,321,74,65,105,68,61,47
"1218315",4,18,7,18,133,12,11,8,61,8,82
"29459",17,12,10,21,53,18,23,12,12,22,5
"235",3,6,2,4,6,7,0,3,6,2,0
"236",6,0,0,3,8,6,4,4,2,6,1
"29461",15,5,8,4,35,6,11,7,3,7,1
"120577",2,0,1,1,2,1,2,2,5,2,0
"36855",0,0,0,0,3,0,1,0,0,0,0
"120576",1,2,2,3,13,1,1,0,1,1,4
"444163",1,0,0,1,2,0,1,0,1,0,1
"239106",42,39,42,92,403,56,73,63,97,45,60
"2304600",1045,831,1103,1781,3496,1548,1159,1558,1313,1036,549
"1798205",232,173,237,371,773,330,268,321,244,214,123
"2528642",730,613,688,1208,1923,1032,902,967,740,598,267
"1686310",54,57,59,130,383,108,68,95,129,64,49
"2759660",13,11,14,26,100,24,16,29,15,9,9
"515256",0,2,0,1,3,4,1,0,1,1,0
"1933904",3,4,2,5,6,2,3,1,3,5,4
"1933910",0,0,0,0,0,0,0,0,0,0,0
"40933",1,0,0,7,12,3,2,2,1,6,1
"2267275",6,3,2,8,16,6,5,5,10,4,1
"1094489",12,10,7,25,28,14,10,10,4,8,6
"52764",4,3,1,11,8,3,3,5,10,1,1
"634504",13,3,4,3,26,6,4,4,4,4,0
"1225179",0,1,1,2,0,0,0,0,0,1,0
"687861",2,4,2,7,34,8,9,10,5,7,1
"774",5,2,2,15,28,6,7,5,13,4,2
"1095900",4,4,2,4,16,7,0,1,4,2,0
"1318743",10,5,4,8,25,10,5,14,7,2,5
"1094491",6,5,5,7,12,4,4,4,4,2,0
"38323",5,4,0,3,16,12,1,7,2,0,0
"85701",2,3,4,8,21,11,3,3,3,6,2
"696125",0,2,2,0,31,7,5,5,1,1,0
"2133959",1,1,2,3,16,2,1,0,3,0,0
"807",2,1,2,3,13,7,1,3,1,2,1
"2764186",3045,3816,6006,6315,3965,8933,7384,9389,5284,4154,1161
"2714944",3066,4184,5669,5628,3852,9171,7033,8077,4842,3909,1134
"2681549",1824,1672,2392,2986,4610,3293,3092,3049,2243,1855,991
"2714942",2212,2146,4174,3195,2549,5446,5018,3785,3239,2808,747
"2714943",2321,3167,4172,3996,3193,6482,5280,5170,3516,2975,998
"2653203",1327,1483,1834,2592,4572,2870,2348,2586,1881,1483,816
"745310",1368,1421,1803,2572,4278,2696,2303,2311,2004,1526,925
"1327635",1147,1541,1542,3048,3772,2635,1963,2398,1919,1397,753
"2735134",1146,1162,1413,2041,3120,2368,1888,2117,1405,1256,554
"2698679",1167,1441,1791,2563,3352,2656,2212,2276,1718,1338,732
"1938607",1018,1365,1272,2756,3185,2466,1706,2327,1791,1190,679
"2492837",1051,1089,1394,1846,3228,2028,1768,1701,1527,1149,561
"2596913",1106,1175,1402,1966,2887,2246,1849,1995,1338,1188,528
"2711156",983,957,1318,1746,2956,1782,1584,1685,1302,1008,591
"1523415",944,1091,1226,1987,2775,2096,1493,1884,1231,942,455
"2219696",919,1057,1230,1758,3453,2002,1458,1738,1248,1025,449
"2599297",888,900,1172,1863,3130,1887,1558,2270,1256,965,599
"2565555",823,817,988,1383,2032,1430,1238,1321,934,784,391
"1030157",646,690,910,1206,2808,1259,1172,1114,922,735,418
"2759526",690,716,934,1318,1989,1445,1182,1374,861,788,393
"1517554",710,765,854,1294,2043,1392,1091,1221,881,749,363
"1390395",584,573,807,1145,1940,1270,1013,1035,840,701,337
"1517551",579,612,747,1165,1865,1263,960,1093,728,704,316
"1961362",354,411,485,720,1342,776,585,704,466,385,204
"2319844",283,324,395,557,1046,650,513,583,413,359,173
"304378",137,167,168,265,659,237,208,260,196,145,112
"1628059",23,32,17,33,139,28,26,50,16,15,5
"849864",0,3,1,1,11,0,0,4,5,1,0
"1381597",4,11,3,5,125,5,2,6,69,4,9
"28214",1,1,2,3,22,0,2,0,0,1,0
"90322",0,0,0,2,1,0,0,0,0,0,0
"386874",7375,5825,8252,8759,7318,20113,10366,10466,5587,5618,1884
"1176646",5589,5114,7414,7921,6884,17223,9494,9069,5399,5167,1652
"1045317",4654,7107,8108,8057,4474,13255,10617,9597,5877,5676,1356
"363835",3386,4093,6125,5630,4444,8837,8037,6829,4855,4221,1307
"2071607",2927,2826,5180,4155,3533,6633,6801,4599,4305,4038,1041
"2594473",2750,2016,4998,3179,2500,5351,6601,3337,3829,3744,868
"392499",304,301,317,527,1471,563,449,440,428,347,131
"653931",1598,1797,1997,3251,5216,3269,2691,2898,2233,1697,937
"1123269",1578,1600,2089,2907,5205,2960,2633,2570,2090,1578,884
"93064",1114,1179,1522,2333,4402,2391,2017,3185,1779,1380,811
"1609977",1009,1288,1297,2659,3376,2279,1683,2087,1425,1066,541
"1549858",1031,1209,1368,2157,2904,2105,1814,1830,1392,1108,499
"1560345",971,1073,1213,1908,3224,1979,1550,1838,1347,1018,518
"1813879",885,1093,1206,1919,2721,1935,1470,1739,1223,1006,466
"424800",777,740,925,1296,1897,1516,1142,1317,968,777,340
"13689",680,827,882,1336,2844,1349,1079,1266,901,737,412
"621456",23,26,31,54,236,59,53,41,36,30,13
"2698828",385,371,527,656,1241,827,668,710,511,439,207
"2789327",1402,1816,1134,2336,84773,1935,1384,4784,9845,2683,1363
"627192",850,869,1138,1825,3521,1743,1422,1552,1275,886,554
"1315974",583,607,643,905,11714,954,833,1081,1089,672,402
"2676077",508,488,565,856,4671,934,745,914,898,527,328
"2082188",417,533,570,829,4440,888,747,875,850,448,335
"1843368",405,428,488,746,3484,717,626,789,763,436,277
"1855519",569,727,603,986,10108,962,723,1382,1427,703,577
"2072936",448,529,622,880,2347,1027,764,810,748,521,299
"2733867",314,402,448,599,3564,677,572,704,652,407,262
"407020",369,491,388,593,6075,668,515,782,799,424,321
"2565554",110,122,119,219,606,229,137,214,161,118,60
"484429",65,337,70,172,890,133,82,163,120,101,66
"520734",67,90,69,125,1504,100,87,203,227,85,121
"2185111",9,12,4,24,107,15,6,13,11,14,4
"13690",1039,918,1106,1595,8935,1535,1445,1655,1505,1066,620
"135719",514,541,612,960,4434,946,885,1031,879,533,388
"120107",480,580,604,1005,5109,932,807,1005,929,582,408
"690566",450,491,615,776,7104,836,720,842,849,526,313
"1673076",438,462,492,771,4476,744,625,765,717,469,266
"452662",404,430,515,732,5234,847,663,823,737,485,324
"1332080",399,500,479,749,4637,836,618,889,800,445,377
"76947",384,566,435,703,7310,645,558,988,1030,528,408
"1208342",109,175,128,139,1045,140,154,159,132,112,65
"1054037",104,265,78,197,1229,171,105,146,128,107,47
"861109",7,11,18,15,32,9,19,22,19,5,3
"56193",9,8,3,4,32,3,3,5,5,4,1
"595605",3,1,0,1,194,1,0,0,0,0,0
"1357916",782,759,1088,1395,21483,1614,1313,1453,1538,871,777
"1874061",505,487,682,916,10139,919,876,970,970,641,730
"2486273",737,719,956,1304,15000,1368,1159,1172,1175,813,721
"2565556",683,627,1178,1303,53041,1238,1118,1775,6018,999,5359
"292913",688,703,866,1145,21442,1363,1076,1181,2015,749,1209
"1914525",532,616,664,975,11815,1058,896,1115,1195,812,852
"1866325",55,51,41,83,1604,105,53,159,213,60,205
"1913578",41,37,40,57,151,56,42,59,54,38,11
"33050",1274,1237,1592,2134,33838,2344,1991,2230,2270,1504,1488
"2448440",580,639,759,1059,14299,1162,970,1216,1197,721,638
"2054227",648,625,823,1173,18732,1281,1083,1215,1247,746,774
"1515612",556,593,721,1008,14440,1072,908,1112,1208,710,1020
"317655",486,512,735,888,9778,1002,877,949,1095,628,737
"267128",311,416,417,639,6150,734,539,677,601,347,353
"2675225",1021,1060,1439,2039,3404,1941,1839,1978,1376,1222,579
"2571749",761,833,1014,1704,3114,1416,1176,1551,1155,896,614
"1609758",694,765,773,1319,2451,1308,932,1283,852,788,447
"1016987",471,527,530,991,5433,892,696,911,1460,466,330
"2780074",451,489,579,1150,7220,874,772,934,719,477,349
"702113",292,471,351,550,1465,540,488,503,695,358,198
"164608",174,203,210,342,695,346,269,312,224,221,113
"158500",934,1102,1036,1722,3277,1569,1359,1674,1322,1007,713
"279238",697,822,900,2112,2642,1477,1143,1409,1010,803,455
"1176536",493,527,699,1067,1818,1076,928,992,692,607,388
"1088721",292,358,278,550,1227,457,389,524,372,342,171
"2762748",1104,1257,1469,2286,13004,2350,1917,2374,1565,1212,941
"2711215",673,795,1049,1517,2375,1567,1236,1634,1124,830,451
"941907",2321,2177,3928,4125,6372,4329,5129,4398,3989,2801,2122
"2584094",330,315,372,528,960,605,508,532,355,338,170
"2077182",285,276,364,601,1020,566,507,585,462,394,211
"1806885",243,235,343,444,752,437,421,441,324,309,147
"2725558",88,95,128,173,390,179,159,184,152,109,54
"392610",187,179,259,362,870,396,313,345,273,244,120
"2026624",1011,894,1274,1734,2620,1965,1646,1757,1373,1094,550
"2724527",305,304,382,481,742,582,461,488,385,319,166
"1850238",1118,1072,1576,2138,4089,2269,1897,1875,1547,1285,671
"1842535",223,201,277,420,1132,399,342,366,309,210,133
"1550728",203,161,250,336,1147,360,296,329,262,206,111
"1921510",666,817,969,1356,2643,1567,1218,1377,1125,827,504
"1634516",538,555,605,1111,2125,1095,839,1244,811,582,374
"2762729",535,540,787,911,1677,1059,947,961,728,583,364
"2806553",118,96,140,195,390,216,163,205,184,114,56
"120045",12,18,24,16,127,27,16,34,35,12,24
"120044",15,14,15,16,70,23,26,38,13,23,9
