"","cuu6M2TOMPOOB051315.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report"
"2592814",42,50,27,32,39,35,10,57,21,27,24
"2592817",3,18,4,12,21,13,4,14,7,7,9
"2592815",22,30,18,21,37,19,1,25,21,16,15
"2592816",7,5,4,6,6,5,2,8,5,4,4
"943830",890,1454,801,751,1849,985,166,1661,1130,984,653
"1882747",866,1442,701,642,1553,946,225,2121,869,697,539
"504832",11,13,14,12,13,18,0,32,26,26,36
"1333996",1348,2144,1276,1390,3240,1614,242,2516,1688,1298,1073
"323097",1239,1318,854,729,1866,993,412,4031,4658,2888,8529
"323098",719,1252,842,640,1415,759,419,4279,2310,1190,14284
"675281",1718,2348,2232,1511,2904,2118,332,3791,3669,1749,1972
"2584466",957,1813,1425,980,2557,1277,281,2809,3704,1743,1402
"2108445",644,1029,1053,677,1337,947,228,2355,2876,885,1149
"2082387",661,1123,927,736,1865,855,178,1912,1977,992,878
"2493672",702,1003,766,628,1185,754,132,1444,1383,1333,658
"2493673",787,1301,825,707,1460,917,155,1568,1354,1472,622
"2493676",644,973,690,588,1307,801,141,1514,1467,1165,663
"2493668",666,784,740,556,905,792,160,1699,1204,727,593
"2777475",1005,1808,865,689,3683,820,217,1665,1508,6131,667
"2493680",1152,2039,705,955,1296,726,382,2063,1330,1272,666
"2493675",583,835,627,562,1057,701,134,1376,1218,797,545
"2744518",670,932,740,578,1189,810,161,1525,1363,902,629
"2744521",733,910,766,650,840,833,146,1715,1275,744,635
"2493669",728,1049,698,590,1229,717,150,1375,1315,1246,578
"2654248",613,863,704,497,977,750,141,1325,1234,695,621
"2493677",522,748,564,504,858,660,122,1246,1060,573,517
"2493679",412,604,479,379,829,469,83,911,920,566,406
"2493678",355,575,430,360,724,476,77,918,749,483,383
"2493671",379,663,425,350,1027,410,77,797,690,1507,324
"2654249",254,450,392,267,484,347,70,750,935,372,384
"2483404",384,594,398,341,665,417,73,817,738,487,348
"2493681",356,532,394,300,625,386,59,775,686,447,346
"2744523",415,542,533,420,538,480,82,837,788,318,361
"2744516",347,472,339,329,656,408,84,731,679,413,333
"1854057",373,412,401,273,418,372,74,1024,487,392,278
"2744522",268,417,355,345,439,371,81,719,796,274,334
"2483403",255,409,267,243,459,300,48,524,483,319,216
"2744517",253,396,286,249,462,262,45,525,472,325,212
"2493674",243,391,236,189,570,242,40,398,375,743,188
"2493670",210,345,190,167,539,213,48,423,346,677,174
"2744515",83,117,75,77,149,86,23,197,179,105,88
"278153",87,122,113,78,91,113,23,234,176,92,75
"2744520",39,69,57,45,82,37,17,101,82,59,46
"2744519",77,60,64,56,38,54,4,104,64,47,34
"2483402",35,43,29,19,54,47,5,72,67,43,34
"1670800",1110,1659,1585,1164,1960,1564,257,2712,2821,1265,1500
"1082933",608,949,693,567,1062,757,125,1460,1338,718,651
"935548",339,522,387,328,644,481,73,763,746,384,343
"935546",62,84,70,41,77,59,15,99,96,43,62
"682633",353,466,350,320,350,412,77,886,568,311,291
"278148",97,172,113,98,188,113,27,205,159,94,70
"754035",503,713,512,428,792,575,105,992,917,558,450
"536019",441,696,515,402,920,530,83,1022,903,575,467
"1777866",376,563,431,334,687,423,71,828,805,461,344
"763057",45,96,32,39,57,43,7,86,69,67,36
"266835",76,121,94,71,144,82,19,223,160,102,81
"2725666",40,55,34,40,60,44,8,64,53,80,32
"2774562",191,271,222,163,275,194,56,530,469,158,191
"374606",757,1216,1050,780,1351,977,210,2026,2293,894,924
"2666139",98,142,123,72,144,91,26,300,683,117,107
"83263",124,166,130,118,174,175,27,323,306,125,106
"266779",4604,993,3756,959,1345,4962,2602,20712,1146,16274,689
"2599600",1039,1690,1331,1105,1842,1313,231,2427,2276,1130,1238
"1756988",483,830,620,471,907,663,85,1146,1076,621,618
"1852022",936,1509,974,973,1598,1169,157,1785,1364,941,818
"1620421",404,610,446,409,681,521,73,763,609,405,346
"411684",330,511,392,348,614,418,66,663,553,314,315
"2742145",582,945,695,603,1104,761,100,1327,973,615,676
"1867719",459,637,475,375,654,498,76,817,626,450,389
"2718938",218,327,202,191,344,233,29,380,348,182,201
"2712698",255,436,258,252,478,253,48,432,395,322,232
"2305987",19,30,14,19,31,23,4,42,22,17,22
"2613769",4923,8082,5384,4655,11020,5795,1207,9853,8784,6018,5956
"384",2863,3993,2686,2437,4685,3079,579,5108,3419,2598,2470
"29449",813,1126,774,695,1421,895,304,2436,1043,935,1056
"348824",490,807,530,485,986,623,107,857,670,492,494
"396",404,646,442,384,732,441,121,909,491,507,378
"1312183",519,789,482,449,1006,561,101,849,645,507,498
"379684",538,812,639,471,1245,621,115,990,857,486,701
"1138189",391,600,385,361,680,426,101,683,501,388,417
"56730",456,530,449,374,631,498,84,855,463,404,371
"1138194",292,498,329,338,602,352,89,595,393,299,322
"293958",330,479,314,321,668,385,56,599,476,348,318
"1138190",265,400,296,251,468,297,86,501,330,284,263
"398",288,465,330,237,856,373,55,556,481,370,339
"1368430",272,442,301,261,566,327,52,582,669,329,495
"451876",247,372,428,226,591,274,52,454,2828,445,540
"240521",254,434,290,241,545,337,72,502,511,260,353
"2583231",186,268,186,184,313,207,40,396,212,190,176
"1335061",234,330,338,255,518,355,42,378,567,221,491
"1538158",160,212,176,147,309,162,47,298,206,167,135
"2267833",146,231,224,165,356,225,36,293,340,191,199
"648995",134,209,378,127,245,128,74,336,248,144,214
"1538159",43,93,61,44,125,77,12,109,72,56,57
"2081791",43,56,31,40,77,48,12,89,58,41,47
"448181",4,5,15,0,8,5,2,21,15,11,7
"1183400",1626,2648,11036,1439,3391,1863,1451,5564,3181,1574,1921
"373",577,916,573,603,1140,648,116,1038,874,558,638
"2632611",506,873,990,532,1062,721,129,1007,1221,530,767
"359",282,426,317,272,553,318,85,528,439,238,293
"28099",240,392,251,166,445,258,60,422,314,255,274
"160699",202,338,241,188,399,241,50,390,321,202,273
"1183412",0,3,5,3,5,2,0,3,7,8,9
"399",1151,2335,1316,980,5342,1229,340,2182,1848,994,2395
"2629175",869,1880,1139,811,2892,1160,263,1852,1528,925,1619
"1125847",75,114,82,67,180,94,8,167,298,69,131
"663276",3232,5142,3565,3169,4750,3567,922,7435,3456,2855,3636
"382",4244,7539,7869,4769,6081,6561,2118,16399,16814,7106,48209
"2613772",1290,1998,1592,1347,2440,1580,359,2570,3625,1234,1514
"194963",798,1232,836,839,1211,1144,679,5925,965,744,1054
"110321",623,1215,800,738,1176,767,166,1573,1280,699,2094
"106592",1358,2051,1427,1425,2354,1538,626,4626,2084,1138,1543
"375549",1101,1685,1131,1025,1787,1234,155,1642,1279,870,1551
"2633371",531,846,566,626,1042,655,148,1152,815,517,518
"1752398",883,1181,796,745,1239,827,124,1144,996,703,786
"716925",832,1047,680,734,1066,764,102,1057,825,651,720
"879274",932,1610,3680,1050,2220,1145,239,2097,13010,907,1296
"2715959",833,1438,1153,824,1678,948,191,1819,3405,806,952
"2795690",1436,2322,1547,1418,2916,1760,240,2785,2040,1380,1240
"2341112",631,1033,703,602,1094,745,123,1366,997,693,637
"1969821",596,1013,653,586,1187,827,113,1161,1007,565,741
"1273132",9,14,11,9,9,8,1,6,11,12,6
"1174529",3,3,0,0,0,1,0,0,0,4,0
"658172",2,6,2,4,7,5,0,5,2,1,3
"34020",2,39,3,16,11,3,3,4,25,22,34
"1261131",1,5,2,2,6,0,1,14,2,2,7
"426117",2531,3214,2001,1852,3002,2740,399,4337,1905,1891,1780
"2202828",1332,1997,1170,1071,1885,1525,212,2424,1138,1066,949
"2603276",996,1393,857,788,1321,1052,181,1760,843,780,715
"2202826",1049,1461,911,789,1308,1183,177,1793,735,809,728
"925818",413,660,404,319,559,434,76,732,335,369,285
"2067957",345,475,254,247,428,351,77,513,294,250,250
"1479019",208,299,183,142,236,269,44,302,164,159,120
"739141",79,128,66,60,100,99,13,156,75,66,59
"2696060",1,0,0,0,1,0,0,0,0,0,0
"460265",2243,3064,1928,1639,2801,2417,365,4114,1597,1719,1542
"270351",2116,2802,1693,1551,2686,2192,332,3650,1706,1476,1401
"2202825",1603,2192,1381,1325,2001,1842,293,2868,1324,1228,1176
"2051553",1109,1492,941,824,1371,1153,168,1927,804,802,742
"2202827",1065,1536,963,832,1393,1180,175,1942,900,839,688
"908290",1082,1516,986,867,1416,1202,188,1922,858,827,767
"269660",973,1334,869,775,1343,1092,163,1706,806,768,698
"1775910",939,1206,799,736,1077,970,158,1649,973,678,619
"426355",258,315,196,203,321,245,87,402,193,169,165
"418223",140,200,138,134,203,147,31,221,107,93,97
"693986",43,68,37,49,78,58,5,112,38,43,41
"2807101",7285,9068,5961,3874,5073,6901,2117,16406,2647,4602,9550
"2082949",1897,3147,1807,1352,2873,1977,528,4063,1410,1598,2697
"1882682",5270,7565,5320,3518,4571,5545,2081,16607,2649,3910,7527
"2651334",2351,3508,2368,1831,2894,2532,513,4923,1635,1998,3283
"441620",271,386,307,234,368,302,53,451,227,218,188
"272630",402,631,391,376,630,554,223,880,387,359,311
"440085",190,250,149,127,208,226,68,306,145,127,113
"419610",148,238,137,141,173,165,77,246,122,120,116
"29429",29,57,33,23,54,58,10,66,30,30,27
"674703",4974,7909,4355,5497,29461,6648,917,9164,6016,5350,3278
"444923",7,5,4,5,5,7,1,7,4,5,5
"1736675",1587,3013,1980,1605,4153,1895,962,4489,6300,2113,3524
"2801335",554,960,805,554,1104,739,297,1467,3895,729,1547
"2657486",619,1013,767,548,1095,743,158,1159,2281,638,1035
"2499144",497,922,594,526,896,618,94,1053,1283,599,764
"2083786",391,668,618,422,784,557,115,770,1764,521,808
"2774137",406,835,609,454,961,623,146,966,1547,657,841
"2664417",265,506,330,300,580,343,64,478,628,370,391
"2759954",195,340,237,211,390,260,42,389,506,222,245
"400770",720,1162,1094,735,1336,922,229,1742,5549,946,1284
"582899",615,977,567,652,1168,703,98,1161,1105,799,475
"670307",579,1171,543,636,1105,609,114,912,795,1730,453
"1029756",971,1235,927,1144,1803,1158,196,2066,1455,799,815
"717785",554,871,468,614,1940,686,92,1081,713,1109,441
"2233851",1309,2064,1254,1305,2515,1574,198,2470,1492,1278,1034
"1079",1155,1820,1137,1204,2076,1382,165,2146,1216,1074,894
"1384459",544,821,509,637,1019,674,77,1051,776,523,448
"2170729",501,730,496,614,1000,677,79,996,760,435,377
"2742204",886,1170,829,976,1462,1036,127,1542,1163,768,662
"2820278",981,1555,949,878,1725,1165,157,1681,1116,870,798
"648757",709,1018,658,724,1223,856,131,1114,791,592,577
"1447062",803,1464,827,789,1667,885,168,1473,1834,1132,1142
"1082931",0,0,0,0,0,0,0,0,0,0,1
"1608628",317,420,301,303,527,380,54,587,631,267,279
"1219035",246,478,277,284,588,401,44,492,360,312,289
"1335043",280,540,317,293,661,349,59,503,743,386,403
"454601",92,125,84,83,169,91,16,139,98,93,66
"331696",2438,6267,2385,2391,11560,2960,395,4444,3509,3650,1852
"2562284",1808,3970,1985,1829,19402,2300,318,3756,8838,3381,1445
"2709380",1769,2505,1603,1467,3010,2012,391,3256,1888,1421,1165
"639283",1434,2263,1524,1448,2722,2048,261,2810,4484,1277,1321
"1850374",1192,1731,1140,1049,1896,1410,203,2007,1389,1022,878
"1745854",936,1415,902,837,1504,1112,151,1597,1050,839,670
"2528964",1690,2564,1581,1517,2873,2049,267,2826,1775,1573,1244
"438753",1258,1839,1145,1086,2076,1449,180,2063,1348,1014,987
"2789216",1190,1983,1165,1120,2299,1407,196,2223,1319,1191,964
"2712222",2104,2916,1775,2828,4135,2407,389,3562,3534,1691,1187
"1235591",1785,2952,2074,2350,4616,2795,332,3933,4704,1950,1554
"1482074",1083,1573,1087,1052,1846,1366,160,1961,1423,985,965
"573658",11,33,8,23,20,23,4,23,31,13,18
"134",736,1139,657,666,1267,868,101,1171,866,642,542
"173366",719,1100,668,732,1228,921,154,1139,739,679,583
"655015",726,1135,676,727,1224,840,78,1284,729,656,519
"391905",732,1093,651,716,1154,914,100,1177,712,650,420
"187303",422,716,404,416,768,568,59,692,444,368,329
"595536",927,1504,941,1003,1779,1145,153,1651,1008,855,666
"2699395",797,1290,781,745,1343,942,108,1304,808,690,640
"1349819",949,1546,941,915,1631,1200,171,1908,1249,941,794
"2758041",770,1231,824,826,1396,975,143,1488,1182,773,720
"2816454",676,1052,742,680,1145,867,115,1351,957,690,588
"1638161",2,7,3,3,6,6,0,5,2,1,1
"1701758",874,1275,900,830,1419,1012,150,1607,1107,843,788
"686597",264,412,277,238,465,342,59,551,366,227,284
"1122214",523,779,497,467,877,626,79,908,626,494,487
"1486262",453,708,470,442,789,522,70,842,620,409,429
"2583532",284,481,308,253,477,302,49,430,359,283,280
"538381",1264,2027,1418,1293,2310,1716,229,2579,1754,1289,1140
"1881061",711,1037,748,735,1137,872,96,1251,916,678,589
"2021862",354,625,422,420,703,479,70,709,496,393,354
"2590016",212,279,196,186,326,254,30,327,204,182,134
"2587861",150,304,166,184,283,207,32,300,217,163,165
"2587854",61,83,67,52,82,68,16,90,59,65,44
"1674922",46,45,40,27,70,51,9,66,54,33,33
"244592",194,292,196,203,326,268,32,417,289,182,168
"187304",58,86,68,66,76,70,14,124,84,54,37
"1402210",143,214,164,139,256,201,51,393,214,227,150
"911045",105,166,95,110,188,136,14,205,163,100,115
"1702325",1493,2337,2316,1560,2404,2386,238,2770,1650,1435,1241
"444444",856,1204,1091,846,1323,1211,139,1585,928,743,720
"395965",666,1028,645,669,1201,795,100,1127,801,629,489
"227605",618,940,560,562,1090,698,94,1041,615,516,486
"569860",560,938,558,623,1127,707,79,992,604,594,436
"31994",336,598,316,316,534,404,45,545,332,356,272
"402881",712,1382,809,859,1471,963,112,1248,894,820,595
"1712261",522,866,541,606,993,691,84,878,665,528,395
"1458461",268,326,271,287,455,325,25,393,266,262,183
"94625",318,448,426,383,505,390,57,729,796,795,246
"2632610",177,276,150,136,268,158,35,272,278,186,144
"271865",100,188,110,107,219,147,44,238,214,135,115
"529",87,109,89,76,173,121,18,188,474,119,140
"419475",39,80,44,52,92,66,419,107,65,54,46
"571256",68,74,48,61,79,65,515,104,68,56,56
"1218315",4,12,9,8,18,11,6,13,61,8,8
"29459",17,18,14,22,21,23,2,23,12,9,5
"235",3,7,4,2,4,0,0,3,6,3,2
"236",6,6,5,6,3,4,2,7,2,6,6
"29461",15,6,16,7,4,11,0,7,3,1,2
"120577",2,1,0,2,1,2,0,2,5,1,0
"36855",0,0,1,0,0,1,1,1,0,2,1
"120576",1,1,2,1,3,1,0,0,1,1,2
"444163",1,0,1,0,1,1,0,1,1,0,0
"239106",42,56,43,45,92,73,9,91,97,45,38
"2304600",1045,1548,993,1036,1781,1159,171,1714,1313,954,798
"1798205",232,330,182,214,371,268,27,348,244,205,189
"2528642",730,1032,611,598,1208,902,85,1217,740,649,527
"1686310",54,108,59,64,130,68,12,94,129,54,48
"2759660",13,24,17,9,26,16,1,26,15,12,9
"515256",0,4,0,1,1,1,0,7,1,1,0
"1933904",3,2,0,5,5,3,2,5,3,4,4
"1933910",0,0,0,0,0,0,0,0,0,4,0
"40933",1,3,3,6,7,2,0,8,1,2,0
"2267275",6,6,2,4,8,5,0,5,10,6,4
"1094489",12,14,6,8,25,10,1,13,4,7,7
"52764",4,3,1,1,11,3,2,5,10,6,4
"634504",13,6,5,4,3,4,1,7,4,1,4
"1225179",0,0,0,1,2,0,0,0,0,1,0
"687861",2,8,5,7,7,9,0,5,5,5,0
"774",5,6,8,4,15,7,2,9,13,1,4
"1095900",4,7,1,2,4,0,0,5,4,4,2
"1318743",10,10,6,2,8,5,1,4,7,4,5
"1094491",6,4,3,2,7,4,2,7,4,4,1
"38323",5,12,0,0,3,1,0,5,2,3,0
"85701",2,11,2,6,8,3,0,8,3,5,0
"696125",0,7,2,1,0,5,0,3,1,3,0
"2133959",1,2,1,0,3,1,0,2,3,2,0
"807",2,7,1,2,3,1,0,5,1,1,1
"2764186",3045,8933,2745,4154,6315,7384,587,5717,5284,5264,2920
"2714944",3066,9171,2498,3909,5628,7033,606,5649,4842,5102,2799
"2681549",1824,3293,1752,1855,2986,3092,292,2900,2243,2237,1727
"2714942",2212,5446,2129,2808,3195,5018,559,4843,3239,3181,1823
"2714943",2321,6482,1935,2975,3996,5280,520,4260,3516,3852,2207
"2653203",1327,2870,1342,1483,2592,2348,241,2214,1881,2152,1265
"745310",1368,2696,1464,1526,2572,2303,220,2210,2004,1776,1434
"1327635",1147,2635,1140,1397,3048,1963,221,2031,1919,1703,1184
"2735134",1146,2368,1126,1256,2041,1888,189,1822,1405,1538,1088
"2698679",1167,2656,1292,1338,2563,2212,205,2119,1718,1745,1101
"1938607",1018,2466,1118,1190,2756,1706,211,1803,1791,1517,1163
"2492837",1051,2028,1055,1149,1846,1768,161,1707,1527,1231,1107
"2596913",1106,2246,1115,1188,1966,1849,199,1770,1338,1684,937
"2711156",983,1782,995,1008,1746,1584,178,1607,1302,1279,952
"1523415",944,2096,887,942,1987,1493,173,1591,1231,1362,842
"2219696",919,2002,919,1025,1758,1458,165,1577,1248,1429,881
"2599297",888,1887,1027,965,1863,1558,149,1521,1256,1283,898
"2565555",823,1430,744,784,1383,1238,116,1203,934,1071,692
"1030157",646,1259,729,735,1206,1172,138,1083,922,950,668
"2759526",690,1445,695,788,1318,1182,130,1124,861,1013,622
"1517554",710,1392,685,749,1294,1091,125,1132,881,1004,626
"1390395",584,1270,662,701,1145,1013,109,997,840,884,595
"1517551",579,1263,597,704,1165,960,108,922,728,866,559
"1961362",354,776,367,385,720,585,57,582,466,554,339
"2319844",283,650,282,359,557,513,46,505,413,401,292
"304378",137,237,148,145,265,208,41,245,196,157,239
"1628059",23,28,20,15,33,26,5,17,16,18,21
"849864",0,0,0,1,1,0,0,1,5,2,0
"1381597",4,5,1,4,5,2,1,7,69,15,46
"28214",1,0,0,1,3,2,1,3,0,2,2
"90322",0,0,0,0,2,0,0,1,0,0,0
"386874",7375,20113,3863,5618,8759,10366,1139,10515,5587,8719,3793
"1176646",5589,17223,3539,5167,7921,9494,1023,9525,5399,7146,3564
"1045317",4654,13255,3314,5676,8057,10617,873,8606,5877,6359,3528
"363835",3386,8837,3194,4221,5630,8037,677,6254,4855,5090,3016
"2071607",2927,6633,3113,4038,4155,6801,576,5396,4305,4144,2452
"2594473",2750,5351,3279,3744,3179,6601,494,4583,3829,3513,1861
"392499",304,563,297,347,527,449,59,526,428,329,263
"653931",1598,3269,1609,1697,3251,2691,293,2789,2233,2330,1477
"1123269",1578,2960,1650,1578,2907,2633,328,2606,2090,1994,1517
"93064",1114,2391,1635,1380,2333,2017,254,2067,1779,1666,1166
"1609977",1009,2279,1102,1066,2659,1683,166,1718,1425,1535,1000
"1549858",1031,2105,1075,1108,2157,1814,198,1760,1392,1692,956
"1560345",971,1979,976,1018,1908,1550,171,1578,1347,1499,961
"1813879",885,1935,947,1006,1919,1470,132,1485,1223,1570,779
"424800",777,1516,665,777,1296,1142,137,1191,968,1108,679
"13689",680,1349,759,737,1336,1079,114,1199,901,987,664
"621456",23,59,27,30,54,53,1,54,36,29,35
"2698828",385,827,401,439,656,668,62,614,511,534,379
"2789327",1402,1935,2057,2683,2336,1384,606,2478,9845,745,3464
"627192",850,1743,921,886,1825,1422,189,1476,1275,1057,873
"1315974",583,954,573,672,905,833,242,1118,1089,716,757
"2676077",508,934,512,527,856,745,164,925,898,607,452
"2082188",417,888,478,448,829,747,170,863,850,541,536
"1843368",405,717,419,436,746,626,149,812,763,544,388
"1855519",569,962,537,703,986,723,683,1730,1427,871,584
"2072936",448,1027,458,521,880,764,121,879,748,611,503
"2733867",314,677,359,407,599,572,117,703,652,430,359
"407020",369,668,327,424,593,515,276,1409,799,449,316
"2565554",110,229,149,118,219,137,31,208,161,107,95
"484429",65,133,70,101,172,82,14,90,120,109,81
"520734",67,100,66,85,125,87,15,92,227,80,94
"2185111",9,15,10,14,24,6,1,12,11,12,14
"13690",1039,1535,1027,1066,1595,1445,287,1750,1505,1133,1101
"135719",514,946,555,533,960,885,123,1000,879,655,528
"120107",480,932,548,582,1005,807,164,861,929,698,532
"690566",450,836,435,526,776,720,190,956,849,612,410
"1673076",438,744,399,469,771,625,106,740,717,463,429
"452662",404,847,445,485,732,663,127,757,737,979,420
"1332080",399,836,431,445,749,618,146,701,800,471,390
"76947",384,645,370,528,703,558,364,1260,1030,443,405
"1208342",109,140,125,112,139,154,19,130,132,106,92
"1054037",104,171,76,107,197,105,49,174,128,94,95
"861109",7,9,6,5,15,19,4,8,19,23,9
"56193",9,3,0,4,4,3,1,3,5,7,6
"595605",3,1,0,0,1,0,0,1,0,0,0
"1357916",782,1614,1090,871,1395,1313,320,2347,1538,947,815
"1874061",505,919,797,641,916,876,131,1024,970,662,459
"2486273",737,1368,876,813,1304,1159,335,1500,1175,790,636
"2565556",683,1238,2810,999,1303,1118,303,3192,6018,1008,607
"292913",688,1363,833,749,1145,1076,130,1186,2015,915,614
"1914525",532,1058,960,812,975,896,146,1050,1195,736,594
"1866325",55,105,85,60,83,53,18,103,213,72,69
"1913578",41,56,27,38,57,42,6,65,54,36,14
"33050",1274,2344,1648,1504,2134,1991,353,2490,2270,1554,1450
"2448440",580,1162,736,721,1059,970,121,1050,1197,757,1506
"2054227",648,1281,839,746,1173,1083,165,1307,1247,814,602
"1515612",556,1072,941,710,1008,908,208,1148,1208,859,536
"317655",486,1002,835,628,888,877,117,978,1095,716,506
"267128",311,734,451,347,639,539,76,565,601,403,342
"2675225",1021,1941,1211,1222,2039,1839,249,2179,1376,1306,1082
"2571749",761,1416,794,896,1704,1176,136,1357,1155,935,986
"1609758",694,1308,746,788,1319,932,166,1079,852,855,681
"1016987",471,892,457,466,991,696,213,754,1460,523,1702
"2780074",451,874,491,477,1150,772,170,871,719,610,3724
"702113",292,540,287,358,550,488,76,475,695,330,710
"164608",174,346,168,221,342,269,36,279,224,169,278
"158500",934,1569,964,1007,1722,1359,468,1437,1322,1011,1003
"279238",697,1477,779,803,2112,1143,153,1331,1010,852,894
"1176536",493,1076,549,607,1067,928,107,948,692,652,617
"1088721",292,457,298,342,550,389,53,492,372,307,391
"2762748",1104,2350,1177,1212,2286,1917,191,1808,1565,1655,1091
"2711215",673,1567,771,830,1517,1236,133,1245,1124,1174,731
"941907",2321,4329,2762,2801,4125,5129,490,4154,3989,3535,3004
"2584094",330,605,329,338,528,508,54,546,355,401,276
"2077182",285,566,319,394,601,507,53,497,462,372,315
"1806885",243,437,262,309,444,421,41,403,324,287,209
"2725558",88,179,105,109,173,159,33,156,152,130,78
"392610",187,396,163,244,362,313,41,328,273,253,307
"2026624",1011,1965,973,1094,1734,1646,173,1683,1373,1188,986
"2724527",305,582,252,319,481,461,51,481,385,350,263
"1850238",1118,2269,1219,1285,2138,1897,194,1930,1547,1553,1100
"1842535",223,399,181,210,420,342,53,366,309,259,283
"1550728",203,360,195,206,336,296,19,284,262,202,407
"1921510",666,1567,767,827,1356,1218,124,1139,1125,946,722
"1634516",538,1095,580,582,1111,839,97,984,811,765,535
"2762729",535,1059,537,583,911,947,84,794,728,688,530
"2806553",118,216,100,114,195,163,17,193,184,140,99
"120045",12,27,13,12,16,16,0,38,35,19,27
