"","DYZgM2TOMPOOB100370.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report"
"1325100",3155,1464,4532,3110,1626,1711,1439,2270,1270,2635,2107
"288000",2153,1357,4946,2721,1299,1508,1264,1744,1188,2404,1974
"1223566",3851,1383,2942,2874,1138,1292,1071,1082,917,1743,1349
"114615",2109,1341,3829,2642,1272,1423,1183,1683,1113,2155,1607
"1325102",2550,0,4697,0,1477,1305,1779,1405,936,2464,1962
"1197460",2125,981,3261,2026,1104,1183,1018,1393,810,1749,1339
"115808",2012,1227,3741,2610,1261,1474,1239,1703,1122,2069,1717
"2057741",2011,1116,4740,2066,1067,1137,976,1383,937,1685,1367
"1325120",1846,964,3069,1876,945,1076,904,1277,791,1607,1301
"2715960",1705,903,3658,1767,864,1015,785,1250,695,1494,1205
"1404888",1601,1218,2583,2667,829,1047,838,1095,722,1409,1278
"1325114",1334,1005,2392,8324,758,744,634,1283,618,1224,2084
"1325112",1367,872,2253,2126,768,846,676,1114,572,1182,1164
"1325111",1326,944,2424,2043,797,926,806,1046,1031,1320,1231
"376",908,648,1805,1519,551,601,506,784,488,888,846
"319017",403,294,852,640,226,246,220,352,207,381,336
"2493093",199,137,580,278,158,157,107,158,119,205,193
"2599805",129,77,226,282,64,85,66,70,59,107,112
"2599819",82,68,230,258,61,72,44,83,49,72,108
"1404649",42,21,275,40,22,42,16,26,24,37,28
"1325083",11,9,32,26,1,5,9,8,6,12,9
"2578113",0,1,3,1,0,0,1,0,0,0,0
"1274631",10306,5384,5880,3773,3041,3550,2790,3180,2049,4896,3072
"1437360",8295,4438,15297,8167,4420,4758,4262,5669,3777,6937,7029
"190148",9939,2287,5429,3639,2678,2941,2271,2949,1451,4072,2782
"1355477",0,4257,0,10805,3568,3875,3251,5240,2930,0,5841
"722472",2825,1398,4968,2708,1659,1748,1431,2016,1289,2318,2021
"83637",2419,1177,3768,2478,1237,1398,1088,1776,1063,2078,1626
"1245469",2141,1399,4324,2707,1340,1518,1301,1776,1145,2157,1790
"255045",2196,1139,4636,2133,1131,1124,1020,1536,1065,1836,1632
"476282",298,196,555,481,185,218,185,238,144,292,252
"1037409",6,2,3,5,1,1,2,1,0,3,1
"1325107",1595,1190,3038,2680,1029,1005,883,1412,788,1451,1412
"1549949",1526,1616,3383,2808,925,1095,948,1324,820,1424,1423
"1404367",1463,1271,3257,3897,780,971,813,1336,656,1356,1975
"1404864",1409,979,2561,2430,753,872,739,1097,676,1252,1487
"858423",1439,978,2573,2519,819,916,786,1202,645,1310,1280
"1325090",1386,1468,5234,2717,1036,938,840,1358,731,1486,1697
"83627",1316,897,2502,2018,837,884,752,1092,665,1356,1199
"1325115",1271,1128,2517,5393,790,833,745,1408,628,1372,1721
"1325095",1234,800,2325,2056,723,811,723,1059,578,1229,1238
"1404768",940,671,1758,2858,516,541,531,795,436,840,1142
"244734",797,675,4139,1476,502,561,490,751,564,865,913
"931866",339,181,537,470,153,166,130,218,134,258,242
"1275962",19,12,100,17,7,31,28,17,23,29,19
"1867715",2395,2709,10143,2710,1615,1915,1594,1567,1315,2341,1849
"2020412",1828,2242,6887,1956,1139,1281,1044,1296,1000,1870,1450
"2599640",2047,2693,5008,2328,1524,1821,1508,1549,1292,2252,1745
"1842539",1786,1582,4036,2300,1438,1642,1352,1401,1112,1926,1708
"2015316",1656,2166,5952,2210,1160,1371,1189,1443,1201,1858,1737
"1792307",1483,1187,3155,1520,1041,1246,1084,1146,841,1543,1322
"1526658",1725,1385,3969,2092,1284,1425,1240,1260,1082,1879,1505
"316058",1811,1290,4542,2354,1152,1301,1101,1670,1211,1951,1717
"316055",1610,1134,4173,2027,960,1113,1032,1362,1028,1605,1504
"316056",1630,1222,4478,2046,985,1099,971,1514,1059,1762,1590
"652103",313,238,1064,440,221,236,198,310,181,371,367
"395960",282,208,780,390,214,289,216,285,164,300,260
"2592814",44,21,120,39,42,35,29,41,27,50,42
"2592817",16,7,62,21,3,13,10,24,7,18,24
"2592815",19,21,30,37,22,19,22,11,16,30,21
"2592816",9,5,9,6,7,5,6,8,4,5,9
"943830",1506,1130,4461,1849,890,985,800,1192,984,1454,1300
"1882747",2072,869,3199,1553,866,946,743,1111,697,1442,1069
"504832",11,26,123,13,11,18,18,13,26,13,7
"1333996",2621,1688,4269,3240,1348,1614,1397,1888,1298,2144,2257
"323097",1464,4658,44838,1866,1239,993,824,2591,2888,1318,1957
"323098",1121,2310,63896,1415,719,759,738,1272,1190,1252,1276
"675281",2145,3669,13529,2904,1718,2118,1773,2525,1749,2348,3688
"2584466",1484,3704,17587,2557,957,1277,1200,2832,1743,1813,3571
"2108445",1370,2876,11218,1337,644,947,902,1375,885,1029,1883
"2082387",1022,1977,8908,1865,661,855,801,1368,992,1123,1769
"2493672",924,1383,4921,1185,702,754,680,1053,1333,1003,1246
"2493673",1029,1354,4942,1460,787,917,834,1288,1472,1301,1385
"2493676",903,1467,5479,1307,644,801,653,1085,1165,973,1372
"2493668",829,1204,4151,905,666,792,702,759,727,784,939
"2777475",1012,1508,6353,3683,1005,820,726,1684,6131,1808,1884
"2493680",1547,1330,4601,1296,1152,726,672,1135,1272,2039,1355
"2493675",852,1218,4351,1057,583,701,650,984,797,835,1197
"2744518",853,1363,5048,1189,670,810,687,982,902,932,1286
"2744521",946,1275,4039,840,733,833,788,792,744,910,986
"2493669",898,1315,4857,1229,728,717,640,1052,1246,1049,1185
"2654248",798,1234,5794,977,613,750,631,946,695,863,1209
"2493677",696,1060,3471,858,522,660,548,693,573,748,878
"2493679",578,920,3481,829,412,469,429,653,566,604,905
"2493678",513,749,3592,724,355,476,402,583,483,575,826
"2493671",491,690,2864,1027,379,410,362,654,1507,663,816
"2654249",435,935,3333,484,254,347,322,421,372,450,692
"2483404",526,738,3032,665,384,417,372,574,487,594,783
"2493681",475,686,2825,625,356,386,345,461,447,532,660
"2744523",422,788,2533,538,415,480,446,442,318,542,562
"2744516",410,679,2459,656,347,408,327,491,413,472,682
"1854057",476,487,1765,418,373,372,340,337,392,412,445
"2744522",405,796,2310,439,268,371,298,464,274,417,544
"2483403",321,483,2274,459,255,300,216,376,319,409,547
"2744517",324,472,1741,462,253,262,259,380,325,396,493
"2493674",250,375,1376,570,243,242,228,335,743,391,395
"2493670",269,346,1412,539,210,213,182,343,677,345,381
"2744515",115,179,635,149,83,86,90,89,105,117,131
"278153",118,176,519,91,87,113,100,118,92,122,144
"2744520",62,82,407,82,39,37,41,79,59,69,78
"2744519",69,64,224,38,77,54,45,33,47,60,30
"2483402",45,67,174,54,35,47,33,36,43,43,65
"1670800",1629,2821,9483,1960,1110,1564,1428,1881,1265,1659,2857
"1082933",842,1338,5334,1062,608,757,633,936,718,949,1184
"935548",506,746,2847,644,339,481,347,535,384,522,698
"935546",56,96,334,77,62,59,45,72,43,84,106
"682633",470,568,1440,350,353,412,352,330,311,466,519
"278148",100,159,657,188,97,113,96,126,94,172,179
"754035",630,917,3559,792,503,575,445,731,558,713,969
"536019",552,903,3513,920,441,530,476,718,575,696,866
"1777866",465,805,3031,687,376,423,347,587,461,563,673
"763057",56,69,315,57,45,43,56,71,67,96,93
"266835",125,160,628,144,76,82,100,128,102,121,147
"2725666",66,53,860,60,40,44,26,53,80,55,70
"2774562",912,469,4500,275,191,194,184,210,158,271,302
"374606",1249,2293,21367,1351,757,977,891,1160,894,1216,1753
"2666139",284,683,1926,144,98,91,102,221,117,142,191
"83263",374,306,2260,174,124,175,123,118,125,166,181
"266779",2603,1146,4396,1345,4604,4962,2893,2292,16274,993,8303
"2599600",1395,2276,7210,1842,1039,1313,1204,1566,1130,1690,2413
"1756988",705,1076,4065,907,483,663,558,793,621,830,1288
"1852022",1156,1364,3716,1598,936,1169,970,1297,941,1509,1575
"1620421",528,609,2102,681,404,521,467,570,405,610,627
"411684",495,553,2002,614,330,418,402,457,314,511,621
"2742145",814,973,2968,1104,582,761,680,877,615,945,1220
"1867719",585,626,2480,654,459,498,389,483,450,637,681
"2718938",333,348,1411,344,218,233,194,274,182,327,363
"2712698",404,395,1138,478,255,253,294,379,322,436,510
"2305987",44,22,79,31,19,23,21,25,17,30,46
"2613769",6803,8784,40086,11020,4923,5795,5112,6100,6018,8082,8185
"384",3422,3419,13769,4685,2863,3079,2678,3013,2598,3993,3599
"29449",1392,1043,3886,1421,813,895,738,887,935,1126,1013
"348824",703,670,2656,986,490,623,521,556,492,807,705
"396",617,491,2401,732,404,441,395,512,507,646,631
"1312183",636,645,2622,1006,519,561,494,633,507,789,820
"379684",614,857,4533,1245,538,621,527,662,486,812,963
"1138189",482,501,2065,680,391,426,349,442,388,600,501
"56730",512,463,1618,631,456,498,457,388,404,530,407
"1138194",467,393,1573,602,292,352,343,376,299,498,467
"293958",475,476,2110,668,330,385,277,432,348,479,506
"1138190",358,330,1406,468,265,297,271,299,284,400,365
"398",380,481,2131,856,288,373,322,358,370,465,501
"1368430",367,669,3850,566,272,327,281,357,329,442,487
"451876",326,2828,0,591,247,274,243,564,445,372,1261
"240521",318,511,2669,545,254,337,262,337,260,434,427
"2583231",241,212,800,313,186,207,170,203,190,268,266
"1335061",238,567,2041,518,234,355,251,243,221,330,702
"1538158",199,206,882,309,160,162,196,161,167,212,211
"2267833",238,340,1351,356,146,225,160,218,191,231,293
"648995",183,248,1458,245,134,128,128,340,144,209,609
"1538159",78,72,378,125,43,77,45,79,56,93,93
"2081791",58,58,195,77,43,48,41,50,41,56,56
"448181",3,15,221,8,4,5,9,2,11,5,15
"1183400",2116,3181,26597,3391,1626,1863,1539,1884,1574,2648,2590
"373",848,874,4166,1140,577,648,554,710,558,916,894
"2632611",590,1221,7914,1062,506,721,519,660,530,873,906
"359",348,439,2214,553,282,318,277,352,238,426,432
"28099",284,314,1499,445,240,258,238,290,255,392,440
"160699",248,321,1636,399,202,241,220,224,202,338,374
"1183412",1,7,103,5,0,2,4,3,8,3,5
"399",1395,1848,37853,5342,1151,1229,1119,1403,994,2335,1843
"2629175",1010,1528,6961,2892,869,1160,997,1134,925,1880,1822
"1125847",84,298,1078,180,75,94,86,101,69,114,144
"663276",3747,3456,11563,4750,3232,3567,3061,2779,2855,5142,3410
"382",2519,16814,28478,6081,4244,6561,5434,3758,7106,7539,4442
"2613772",1716,3625,16763,2440,1290,1580,1341,1556,1234,1998,2445
"194963",2355,965,3252,1211,798,1144,889,707,744,1232,994
"110321",695,1280,4102,1176,623,767,678,754,699,1215,970
"106592",3392,2084,8068,2354,1358,1538,1263,1476,1138,2051,1934
"375549",1104,1279,4250,1787,1101,1234,1123,997,870,1685,1312
"2633371",1253,815,3450,1042,531,655,531,637,517,846,857
"1752398",812,996,3358,1239,883,827,694,793,703,1181,885
"716925",659,825,2714,1066,832,764,727,723,651,1047,931
"879274",1330,13010,65723,2220,932,1145,1054,1221,907,1610,2219
"2715959",1098,3405,17656,1678,833,948,871,1133,806,1438,2003
"2795690",2064,2040,6538,2916,1436,1760,1531,1756,1380,2322,2346
"2341112",834,997,3790,1094,631,745,682,850,693,1033,1329
"1969821",751,1007,4186,1187,596,827,703,725,565,1013,1092
"1273132",9,11,30,9,9,8,3,10,12,14,17
"1174529",3,0,0,0,3,1,2,0,4,3,0
"658172",2,2,9,7,2,5,104,3,1,6,3
"34020",5,25,67,11,2,3,9,2,22,39,13
"1261131",8,2,12,6,1,0,1,5,2,5,10
"426117",2689,1905,3637,3002,2531,2740,2274,2499,1891,3214,2501
"2202828",1504,1138,2413,1885,1332,1525,1297,1533,1066,1997,1598
"2603276",1051,843,1847,1321,996,1052,919,1088,780,1393,1092
"2202826",1055,735,1781,1308,1049,1183,962,988,809,1461,1035
"925818",481,335,813,559,413,434,372,440,369,660,514
"2067957",364,294,497,428,345,351,298,305,250,475,393
"1479019",207,164,315,236,208,269,170,202,159,299,232
"739141",88,75,147,100,79,99,65,78,66,128,100
"2696060",0,0,0,1,1,0,0,0,0,0,0
"460265",2544,1597,3477,2801,2243,2417,2035,2677,1719,3064,2395
"270351",2307,1706,3574,2686,2116,2192,1740,2102,1476,2802,2057
"2202825",1766,1324,2657,2001,1603,1842,1544,1609,1228,2192,1760
"2051553",1114,804,1763,1371,1109,1153,1013,1110,802,1492,1108
"2202827",1023,900,1697,1393,1065,1180,969,1175,839,1536,1077
"908290",1153,858,2005,1416,1082,1202,959,1035,827,1516,1149
"269660",1072,806,2066,1343,973,1092,894,1017,768,1334,1127
"1775910",918,973,1547,1077,939,970,785,948,678,1206,974
"426355",254,193,422,321,258,245,184,267,169,315,310
"418223",162,107,311,203,140,147,124,141,93,200,144
"693986",60,38,89,78,43,58,42,52,43,68,51
"2807101",6697,2647,10233,5073,7285,6901,5957,2840,4602,9068,2384
"2082949",1977,1410,4867,2873,1897,1977,1862,2092,1598,3147,1571
"1882682",6605,2649,8961,4571,5270,5545,4758,3025,3910,7565,2362
"2651334",2542,1635,5143,2894,2351,2532,2084,2165,1998,3508,1936
"441620",293,227,800,368,271,302,229,351,218,386,469
"272630",518,387,1097,630,402,554,423,428,359,631,523
"440085",205,145,311,208,190,226,161,183,127,250,202
"419610",162,122,265,173,148,165,124,133,120,238,148
"29429",40,30,81,54,29,58,48,36,30,57,43
"674703",14259,6016,9916,29461,4974,6648,5728,10221,5350,7909,8725
"444923",5,4,3,5,7,7,2,5,5,5,7
"1736675",2416,6300,46960,4153,1587,1895,1637,2212,2113,3013,4373
"2801335",844,3895,12191,1104,554,739,688,794,729,960,1919
"2657486",787,2281,9890,1095,619,743,566,799,638,1013,1807
"2499144",588,1283,5117,896,497,618,577,725,599,922,1271
"2083786",523,1764,13009,784,391,557,434,545,521,668,1770
"2774137",548,1547,7538,961,406,623,487,726,657,835,1643
"2664417",318,628,2367,580,265,343,298,417,370,506,647
"2759954",264,506,2311,390,195,260,192,239,222,340,550
"400770",826,5549,32258,1336,720,922,800,934,946,1162,2886
"582899",1140,1105,4235,1168,615,703,627,712,799,977,856
"670307",907,795,2656,1105,579,609,545,827,1730,1171,936
"1029756",2277,1455,8982,1803,971,1158,996,947,799,1235,1325
"717785",1055,713,2725,1940,554,686,778,689,1109,871,830
"2233851",1955,1492,3713,2515,1309,1574,1423,1662,1278,2064,1918
"1079",1743,1216,3089,2076,1155,1382,1290,1368,1074,1820,1638
"1384459",831,776,2191,1019,544,674,648,579,523,821,813
"2170729",723,760,2318,1000,501,677,585,584,435,730,753
"2742204",1256,1163,2830,1462,886,1036,967,1018,768,1170,1221
"2820278",1278,1116,3422,1725,981,1165,980,1100,870,1555,1360
"648757",1065,791,2289,1223,709,856,654,836,592,1018,1039
"1447062",931,1834,7159,1667,803,885,830,1219,1132,1464,2030
"1082931",0,0,0,0,0,0,0,0,0,0,1
"1608628",502,631,1520,527,317,380,354,312,267,420,387
"1219035",383,360,1355,588,246,401,304,400,312,478,557
"1335043",337,743,3037,661,280,349,250,451,386,540,701
"454601",135,98,382,169,92,91,86,85,93,125,137
"331696",4933,3509,12484,11560,2438,2960,2886,5400,3650,6267,6320
"2562284",3566,8838,27059,19402,1808,2300,2216,3695,3381,3970,5359
"2709380",2410,1888,5473,3010,1769,2012,2343,1914,1421,2505,2244
"639283",1954,4484,22514,2722,1434,2048,1814,1631,1277,2263,2023
"1850374",1512,1389,4333,1896,1192,1410,1305,1322,1022,1731,1651
"1745854",1196,1050,3362,1504,936,1112,956,1085,839,1415,1269
"2528964",2132,1775,6960,2873,1690,2049,1727,1859,1573,2564,2109
"438753",1630,1348,3878,2076,1258,1449,1207,1375,1014,1839,1631
"2789216",1638,1319,4417,2299,1190,1407,1232,1381,1191,1983,1704
"2712222",4473,3534,49218,4135,2104,2407,2145,1918,1691,2916,2633
"1235591",3627,4704,14226,4616,1785,2795,2746,2455,1950,2952,3185
"1482074",1417,1423,4113,1846,1083,1366,1156,1338,985,1573,1699
"573658",22,31,57,20,11,23,9,12,13,33,19
"134",951,866,2167,1267,736,868,754,929,642,1139,1048
"173366",1084,739,2010,1228,719,921,752,867,679,1100,1058
"655015",1006,729,1834,1224,726,840,772,950,656,1135,1024
"391905",922,712,1647,1154,732,914,852,771,650,1093,923
"187303",562,444,1208,768,422,568,432,623,368,716,654
"595536",1164,1008,2344,1779,927,1145,989,1189,855,1504,1325
"2699395",1021,808,1985,1343,797,942,793,1095,690,1290,1127
"1349819",1187,1249,3748,1631,949,1200,1045,1275,941,1546,1617
"2758041",1018,1182,3007,1396,770,975,877,1026,773,1231,1341
"2816454",944,957,2782,1145,676,867,773,783,690,1052,1099
"1638161",5,2,3,6,2,6,1,9,1,7,5
"1701758",1008,1107,3093,1419,874,1012,848,1052,843,1275,1447
"686597",315,366,1644,465,264,342,284,335,227,412,501
"1122214",590,626,2325,877,523,626,511,637,494,779,827
"1486262",629,620,2437,789,453,522,442,605,409,708,777
"2583532",300,359,1721,477,284,302,252,364,283,481,450
"538381",1694,1754,4688,2310,1264,1716,1458,1658,1289,2027,2129
"1881061",1021,916,2515,1137,711,872,752,908,678,1037,1223
"2021862",533,496,1509,703,354,479,433,456,393,625,586
"2590016",258,204,724,326,212,254,197,254,182,279,300
"2587861",289,217,655,283,150,207,203,224,163,304,275
"2587854",61,59,171,82,61,68,60,78,65,83,84
"1674922",57,54,207,70,46,51,42,30,33,45,57
"244592",297,289,883,326,194,268,182,271,182,292,342
"187304",79,84,227,76,58,70,58,51,54,86,77
"1402210",162,214,1340,256,143,201,139,173,227,214,299
"911045",162,163,448,188,105,136,99,127,100,166,169
"1702325",1710,1650,4809,2404,1493,2386,1531,1873,1435,2337,3065
"444444",1064,928,2725,1323,856,1211,880,910,743,1204,1444
"395965",934,801,2083,1201,666,795,674,882,629,1028,955
"227605",826,615,1858,1090,618,698,581,770,516,940,881
"569860",886,604,1931,1127,560,707,611,855,594,938,962
"31994",432,332,1101,534,336,404,385,405,356,598,518
"402881",1080,894,2813,1471,712,963,895,989,820,1382,1182
"1712261",695,665,1625,993,522,691,577,655,528,866,802
"1458461",330,266,799,455,268,325,244,298,262,326,379
"94625",342,796,9555,505,318,390,292,1234,795,448,835
"2632610",184,278,1480,268,177,158,164,260,186,276,268
"271865",165,214,882,219,100,147,113,140,135,188,215
"529",115,474,1585,173,87,121,88,108,119,109,159
"419475",71,65,384,92,39,66,74,63,54,80,123
"571256",54,68,321,79,68,65,81,44,56,74,105
"1218315",10,61,133,18,4,11,7,12,8,12,8
"29459",13,12,53,21,17,23,10,11,9,18,12
"235",2,6,6,4,3,0,2,2,3,7,3
"236",7,2,8,3,6,4,0,2,6,6,4
"29461",6,3,35,4,15,11,8,9,1,6,7
"120577",4,5,2,1,2,2,1,3,1,1,2
"36855",1,0,3,0,0,1,0,1,2,0,0
"120576",1,1,13,3,1,1,2,1,1,1,0
"444163",3,1,2,1,1,1,0,0,0,0,0
"239106",63,97,403,92,42,73,42,57,45,56,63
"2304600",1374,1313,3496,1781,1045,1159,1103,1191,954,1548,1558
"1798205",303,244,773,371,232,268,237,255,205,330,321
"2528642",919,740,1923,1208,730,902,688,829,649,1032,967
"1686310",65,129,383,130,54,68,59,76,54,108,95
"2759660",15,15,100,26,13,16,14,21,12,24,29
"515256",6,1,3,1,0,1,0,2,1,4,0
"1933904",5,3,6,5,3,3,2,2,4,2,1
"1933910",0,0,0,0,0,0,0,0,4,0,0
"40933",5,1,12,7,1,2,0,0,2,3,2
"2267275",6,10,16,8,6,5,2,5,6,6,5
"1094489",15,4,28,25,12,10,7,6,7,14,10
"52764",6,10,8,11,4,3,1,0,6,3,5
"634504",5,4,26,3,13,4,4,8,1,6,4
"1225179",1,0,0,2,0,0,1,0,1,0,0
"687861",3,5,34,7,2,9,2,4,5,8,10
"774",10,13,28,15,5,7,2,5,1,6,5
"1095900",2,4,16,4,4,0,2,2,4,7,1
"1318743",7,7,25,8,10,5,4,9,4,10,14
"1094491",6,4,12,7,6,4,5,5,4,4,4
"38323",5,2,16,3,5,1,0,1,3,12,7
"85701",6,3,21,8,2,3,4,2,5,11,3
"696125",2,1,31,0,0,5,2,2,3,7,5
"2133959",1,3,16,3,1,1,2,2,2,2,0
"807",1,1,13,3,2,1,2,1,1,7,3
"2764186",1938,5284,3965,6315,3045,7384,6006,11344,5264,8933,9389
"2714944",1816,4842,3852,5628,3066,7033,5669,9041,5102,9171,8077
"2681549",1524,2243,4610,2986,1824,3092,2392,2566,2237,3293,3049
"2714942",1504,3239,2549,3195,2212,5018,4174,3820,3181,5446,3785
"2714943",1446,3516,3193,3996,2321,5280,4172,5427,3852,6482,5170
"2653203",1214,1881,4572,2592,1327,2348,1834,2137,2152,2870,2586
"745310",1113,2004,4278,2572,1368,2303,1803,2039,1776,2696,2311
"1327635",1041,1919,3772,3048,1147,1963,1542,1865,1703,2635,2398
"2735134",1092,1405,3120,2041,1146,1888,1413,1780,1538,2368,2117
"2698679",1072,1718,3352,2563,1167,2212,1791,2177,1745,2656,2276
"1938607",1020,1791,3185,2756,1018,1706,1272,1693,1517,2466,2327
"2492837",992,1527,3228,1846,1051,1768,1394,1598,1231,2028,1701
"2596913",972,1338,2887,1966,1106,1849,1402,1694,1684,2246,1995
"2711156",895,1302,2956,1746,983,1584,1318,1489,1279,1782,1685
"1523415",912,1231,2775,1987,944,1493,1226,1607,1362,2096,1884
"2219696",872,1248,3453,1758,919,1458,1230,1516,1429,2002,1738
"2599297",736,1256,3130,1863,888,1558,1172,1322,1283,1887,2270
"2565555",654,934,2032,1383,823,1238,988,1191,1071,1430,1321
"1030157",610,922,2808,1206,646,1172,910,1019,950,1259,1114
"2759526",650,861,1989,1318,690,1182,934,1090,1013,1445,1374
"1517554",628,881,2043,1294,710,1091,854,1105,1004,1392,1221
"1390395",556,840,1940,1145,584,1013,807,872,884,1270,1035
"1517551",578,728,1865,1165,579,960,747,980,866,1263,1093
"1961362",352,466,1342,720,354,585,485,602,554,776,704
"2319844",338,413,1046,557,283,513,395,492,401,650,583
"304378",210,196,659,265,137,208,168,190,157,237,260
"1628059",12,16,139,33,23,26,17,37,18,28,50
"849864",4,5,11,1,0,0,1,4,2,0,4
"1381597",22,69,125,5,4,2,3,5,15,5,6
"28214",0,0,22,3,1,2,2,2,2,0,0
"90322",2,0,1,2,0,0,0,1,0,0,0
"386874",3430,5587,7318,8759,7375,10366,8252,10382,8719,20113,10466
"1176646",2696,5399,6884,7921,5589,9494,7414,9459,7146,17223,9069
"1045317",2511,5877,4474,8057,4654,10617,8108,11367,6359,13255,9597
"363835",2135,4855,4444,5630,3386,8037,6125,7176,5090,8837,6829
"2071607",1930,4305,3533,4155,2927,6801,5180,4674,4144,6633,4599
"2594473",1562,3829,2500,3179,2750,6601,4998,3276,3513,5351,3337
"392499",292,428,1471,527,304,449,317,408,329,563,440
"653931",1592,2233,5216,3251,1598,2691,1997,2558,2330,3269,2898
"1123269",1476,2090,5205,2907,1578,2633,2089,2207,1994,2960,2570
"93064",966,1779,4402,2333,1114,2017,1522,1780,1666,2391,3185
"1609977",1015,1425,3376,2659,1009,1683,1297,1641,1535,2279,2087
"1549858",992,1392,2904,2157,1031,1814,1368,1707,1692,2105,1830
"1560345",898,1347,3224,1908,971,1550,1213,1616,1499,1979,1838
"1813879",776,1223,2721,1919,885,1470,1206,1596,1570,1935,1739
"424800",680,968,1897,1296,777,1142,925,1134,1108,1516,1317
"13689",711,901,2844,1336,680,1079,882,1036,987,1349,1266
"621456",42,36,236,54,23,53,31,45,29,59,41
"2698828",388,511,1241,656,385,668,527,577,534,827,710
"2789327",1404,9845,84773,2336,1402,1384,1134,1547,745,1935,4784
"627192",952,1275,3521,1825,850,1422,1138,1309,1057,1743,1552
"1315974",539,1089,11714,905,583,833,643,722,716,954,1081
"2676077",478,898,4671,856,508,745,565,698,607,934,914
"2082188",495,850,4440,829,417,747,570,592,541,888,875
"1843368",517,763,3484,746,405,626,488,614,544,717,789
"1855519",487,1427,10108,986,569,723,603,859,871,962,1382
"2072936",495,748,2347,880,448,764,622,754,611,1027,810
"2733867",416,652,3564,599,314,572,448,539,430,677,704
"407020",306,799,6075,593,369,515,388,510,449,668,782
"2565554",135,161,606,219,110,137,119,170,107,229,214
"484429",56,120,890,172,65,82,70,106,109,133,163
"520734",52,227,1504,125,67,87,69,104,80,100,203
"2185111",12,11,107,24,9,6,4,7,12,15,13
"13690",1183,1505,8935,1595,1039,1445,1106,1128,1133,1535,1655
"135719",518,879,4434,960,514,885,612,787,655,946,1031
"120107",511,929,5109,1005,480,807,604,796,698,932,1005
"690566",456,849,7104,776,450,720,615,587,612,836,842
"1673076",421,717,4476,771,438,625,492,553,463,744,765
"452662",412,737,5234,732,404,663,515,594,979,847,823
"1332080",423,800,4637,749,399,618,479,598,471,836,889
"76947",337,1030,7310,703,384,558,435,547,443,645,988
"1208342",79,132,1045,139,109,154,128,104,106,140,159
"1054037",79,128,1229,197,104,105,78,135,94,171,146
"861109",8,19,32,15,7,19,18,14,23,9,22
"56193",2,5,32,4,9,3,3,1,7,3,5
"595605",1,0,194,1,3,0,0,0,0,1,0
"1357916",947,1538,21483,1395,782,1313,1088,1155,947,1614,1453
"1874061",580,970,10139,916,505,876,682,731,662,919,970
"2486273",772,1175,15000,1304,737,1159,956,973,790,1368,1172
"2565556",709,6018,53041,1303,683,1118,1178,983,1008,1238,1775
"292913",643,2015,21442,1145,688,1076,866,1029,915,1363,1181
"1914525",551,1195,11815,975,532,896,664,845,736,1058,1115
"1866325",69,213,1604,83,55,53,41,79,72,105,159
"1913578",46,54,151,57,41,42,40,50,36,56,59
"33050",1327,2270,33838,2134,1274,1991,1592,1853,1554,2344,2230
"2448440",591,1197,14299,1059,580,970,759,903,757,1162,1216
"2054227",647,1247,18732,1173,648,1083,823,1039,814,1281,1215
"1515612",550,1208,14440,1008,556,908,721,838,859,1072,1112
"317655",496,1095,9778,888,486,877,735,760,716,1002,949
"267128",318,601,6150,639,311,539,417,607,403,734,677
"2675225",1370,1376,3404,2039,1021,1839,1439,1615,1306,1941,1978
"2571749",1185,1155,3114,1704,761,1176,1014,1239,935,1416,1551
"1609758",1051,852,2451,1319,694,932,773,1025,855,1308,1283
"1016987",621,1460,5433,991,471,696,530,720,523,892,911
"2780074",655,719,7220,1150,451,772,579,784,610,874,934
"702113",396,695,1465,550,292,488,351,375,330,540,503
"164608",240,224,695,342,174,269,210,212,169,346,312
"158500",1542,1322,3277,1722,934,1359,1036,1262,1011,1569,1674
"279238",997,1010,2642,2112,697,1143,900,1180,852,1477,1409
"1176536",853,692,1818,1067,493,928,699,808,652,1076,992
"1088721",386,372,1227,550,292,389,278,352,307,457,524
"2762748",971,1565,13004,2286,1104,1917,1469,1786,1655,2350,2374
"2711215",798,1124,2375,1517,673,1236,1049,1252,1174,1567,1634
"941907",1868,3989,6372,4125,2321,5129,3928,3459,3535,4329,4398
"2584094",299,355,960,528,330,508,372,444,401,605,532
"2077182",323,462,1020,601,285,507,364,478,372,566,585
"1806885",248,324,752,444,243,421,343,371,287,437,441
"2725558",115,152,390,173,88,159,128,154,130,179,184
"392610",206,273,870,362,187,313,259,277,253,396,345
"2026624",953,1373,2620,1734,1011,1646,1274,1369,1188,1965,1757
"2724527",293,385,742,481,305,461,382,399,350,582,488
"1850238",1231,1547,4089,2138,1118,1897,1576,1677,1553,2269,1875
"1842535",233,309,1132,420,223,342,277,346,259,399,366
"1550728",184,262,1147,336,203,296,250,304,202,360,329
