"","X0n7bM2TOMPOOA100365.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report"
"43263",1104,778,7538,986,604,542,410,561,1957,1421,720
"627141",826,577,1003,740,459,481,375,538,969,722,777
"53408",509,337,614,503,307,356,238,335,602,401,492
"294",3170,2110,4379,2619,1764,1794,1654,1993,3316,2130,2847
"380021",852,612,1153,725,498,550,478,585,1060,706,765
"47878",467,312,525,426,301,250,279,303,458,297,403
"76758",422,255,561,360,265,254,211,279,538,300,384
"47883",298,213,523,272,183,190,169,226,341,210,307
"200451",262,190,309,206,137,150,122,170,249,169,257
"200450",253,186,352,252,170,175,143,189,275,191,309
"47879",233,168,493,195,116,126,103,115,235,182,191
"46679",204,119,272,145,73,86,72,84,170,111,122
"183795",201,134,13884,157,139,135,93,124,294,193,174
"76760",197,115,262,179,95,91,96,126,247,142,162
"29442",183,130,196,178,81,112,101,112,159,121,175
"78543",176,120,192,136,86,78,77,84,148,112,157
"651740",150,82,209,123,86,93,74,91,111,91,144
"129817",111,76,185,110,53,63,63,60,135,79,97
"169669",107,60,147,83,56,58,59,72,127,84,75
"75588",81,60,103,69,52,42,41,52,83,69,75
"76761",72,50,113,65,39,42,40,34,72,65,68
"75612",60,25,74,40,37,31,28,35,35,21,53
"303",4902,3159,16680,3719,2467,2422,2301,2706,4724,3540,3826
"47885",1085,657,1372,991,832,690,608,716,1041,700,990
"76759",636,387,864,415,359,299,338,354,586,398,559
"47880",496,339,840,381,352,269,244,290,775,463,423
"70775",270,192,500,222,124,108,124,145,224,169,216
"2217867",57,46,81,45,29,46,34,38,80,35,61
"78327",43,20,70,49,33,23,37,30,30,23,42
"578833",5435,3558,9630,5029,3506,3566,2737,3402,9850,6722,4887
"74829",760,577,4463,717,462,522,419,513,1088,861,805
"271420",277,208,454,259,143,181,136,148,354,223,216
"47886",68,40,95,63,34,38,45,41,105,72,57
"587753",2385,1567,2884,1900,1479,1253,1287,1487,2490,2264,2077
"86185",170,119,301,185,114,103,89,117,201,116,168
"296",119,87,161,121,76,49,64,95,120,93,139
"2604832",2629,2023,739,6498,1076,376,266,692,1258,5629,696
"251695",735,522,1331,693,430,493,421,493,786,566,614
"33069",247,170,424,215,104,112,130,148,242,176,201
"1190415",204,163,357,170,110,113,122,121,242,178,170
"36746",198,143,370,196,113,120,99,133,280,196,190
"53409",161,97,213,135,73,104,72,106,170,94,147
"251698",83,48,131,62,49,36,47,61,80,75,80
"50340",82,47,91,64,53,48,56,69,93,46,70
"251701",30,24,82,29,18,13,16,13,33,26,29
"2775504",10,20,31,8,4,7,5,9,8,7,7
"46257",5,2,7,3,0,2,1,2,6,8,3
"86840",4,2,1,2,0,0,3,0,0,1,0
"1392877",1632,710,1180,796,551,570,514,649,1288,863,854
"319939",1119,878,1201,833,679,679,503,614,1844,1223,898
"237610",1079,752,1343,875,630,602,575,611,1165,849,892
"1301098",195,122,185,130,107,82,92,158,214,126,178
"1245526",834,446,987,520,388,348,347,451,756,491,589
"384676",298,230,433,278,173,189,169,208,312,196,260
"43306",528,369,642,520,307,288,264,366,582,375,514
"157782",436,298,551,412,224,273,246,297,463,307,439
"2599595",432,311,555,403,269,265,262,290,444,308,419
"487184",396,218,725,351,202,220,160,226,417,293,343
"104087",389,223,469,255,189,206,177,201,318,221,288
"237609",377,251,490,241,232,170,179,197,356,235,315
"216142",329,232,420,273,193,181,162,191,441,267,292
"1499686",327,220,486,285,201,174,155,181,475,331,278
"472181",326,194,543,273,167,200,137,177,328,211,268
"364197",310,197,585,215,144,145,149,135,372,251,256
"157783",309,221,475,293,180,189,174,205,375,230,248
"198618",291,236,382,213,151,139,151,169,240,168,221
"86264",6,9,12,4,5,7,2,2,6,8,10
"198620",270,179,428,215,125,131,159,150,258,207,252
"553151",253,162,498,207,102,121,135,128,241,134,236
"515393",251,203,320,238,136,159,124,168,270,191,243
"1395516",64,54,113,62,37,27,25,43,64,44,45
"797277",241,172,406,250,128,134,128,164,223,163,219
"95300",230,173,391,183,130,114,119,117,229,169,178
"702115",226,193,425,225,127,161,125,152,207,151,197
"437900",218,153,460,155,118,144,99,115,227,169,173
"1691904",217,130,300,137,102,107,82,104,345,199,138
"219572",211,122,249,184,108,97,108,124,164,120,177
"86265",207,109,259,147,81,102,89,126,133,122,155
"1148509",198,142,219,167,114,97,67,113,188,145,187
"359110",196,119,306,126,97,108,88,118,193,183,160
"1853130",193,131,199,145,92,116,109,117,157,151,203
"191390",189,145,235,167,116,114,90,118,271,207,172
"395598",183,128,220,161,84,106,121,97,156,123,168
"741155",182,132,208,103,81,73,44,75,212,129,85
"1434072",178,141,334,201,82,114,76,119,240,169,212
"244566",171,119,207,143,75,89,94,104,159,86,166
"321846",153,106,163,132,78,59,78,99,117,80,109
"46677",153,125,252,163,103,91,93,133,230,195,184
"1274359",149,119,203,77,78,69,40,59,179,149,101
"1421430",148,134,234,159,105,94,72,107,196,131,157
"2505979",144,88,156,123,78,62,66,71,129,73,131
"47884",142,102,268,112,71,84,67,88,127,125,153
"554344",133,95,238,68,138,94,57,71,504,287,74
"163011",133,86,209,117,78,63,69,92,143,86,133
"158627",130,88,194,109,71,86,68,86,132,81,115
"2774460",127,89,160,87,49,62,49,76,128,94,82
"2774461",109,58,214,63,52,53,42,62,106,82,71
"2502979",108,68,200,83,63,64,37,58,170,143,95
"1788301",105,60,190,94,55,55,63,47,128,64,93
"122355",96,93,165,109,66,61,66,68,108,85,121
"1628086",87,53,140,64,41,45,40,58,79,70,96
"53407",82,56,113,52,52,47,35,48,75,45,66
"1306993",63,26,65,24,26,13,18,17,42,21,25
"2565368",62,29,77,68,28,32,29,34,46,25,40
"1615674",42,21,62,46,13,23,24,30,42,33,34
"1785145",31,16,50,25,11,15,20,13,17,5,20
"2681983",23,10,32,9,8,13,9,10,31,19,22
"1583341",15,14,16,20,10,7,4,12,9,10,10
"2219225",8,5,246,6,5,7,3,5,5,11,8
"1302376",8,11,17,6,3,2,1,3,7,9,9
"470150",3,4,4,9,8,2,5,5,0,3,2
"353",2664,1051,1215,793,614,557,637,820,1245,762,918
"69964",746,492,647,488,429,465,315,847,940,458,507
"354",726,495,780,548,403,415,334,500,762,627,637
"1510150",445,180,5082,326,161,176,125,163,199,157,275
"1697053",53,39,93,44,23,15,20,12,27,11,24
"2213226",12,13,31,13,4,10,7,4,9,11,10
"2785331",9,9,42,14,6,4,2,3,9,4,7
"1879049",95,79,185,82,50,59,70,60,78,52,116
"2563897",28,18,43,19,10,9,1,9,9,3,10
"2798861",21,5,31,11,7,9,5,11,3,12,16
"2004646",18,7,26,5,6,3,3,4,9,3,11
"2714110",18,9,25,15,8,9,7,8,11,5,11
"2004647",16,4,11,8,3,5,2,6,7,1,8
"1407071",15,9,26,12,3,6,9,6,8,8,5
"2601122",11,10,18,16,5,5,6,8,13,7,19
"1646498",10,7,44,10,2,7,9,6,4,5,10
"1808001",9,8,30,17,10,9,7,8,10,12,12
"1608473",8,4,14,5,7,5,7,2,7,3,4
"1758189",8,3,36,6,4,4,9,6,8,3,12
"2079596",7,4,4,2,2,3,0,1,7,4,5
"1636603",6,2,24,4,1,0,3,2,3,1,14
"2545797",6,5,14,3,2,3,3,0,4,14,11
"1827285",5,0,17,2,3,1,3,7,8,1,4
"2609668",4,10,10,2,3,4,2,2,4,3,8
"2725684",4,0,3,1,0,0,1,1,1,0,3
"2004644",3,1,8,2,2,3,0,4,0,3,2
"2743575",2,1,3,2,1,1,2,3,3,3,2
"470",53,46,151,66,105,41,29,68,109,35,55
"48296",24,19,47,31,22,20,12,9,79,14,19
"471",19,8,41,15,10,19,9,12,9,12,21
"1530123",19,18,40,20,18,7,5,17,40,16,21
"106654",10,8,28,14,7,12,10,11,17,6,16
"1785128",4,11,22,9,3,8,7,5,11,3,10
"756892",74,43,189,67,29,32,30,33,58,34,61
"1789224",62,32,53,18,9,8,10,6,24,6,28
"108981",44,25,156,22,27,20,9,22,19,14,27
"29430",35,13,60,8,13,11,6,14,18,11,14
"40214",31,11,0,0,15,0,22,25,49,0,0
"981334",2,0,5,4,1,0,2,1,1,3,3
"487316",26,48,59,16,14,13,5,11,18,14,22
"106648",25,16,82,16,11,12,18,11,25,14,20
"1046625",1,1,1,3,3,0,1,1,1,1,0
"134534",21,11,35,24,8,5,8,9,18,8,12
"202954",18,10,57,16,6,6,10,12,5,9,12
"70348",18,8,39,8,4,9,3,14,5,5,6
"1197884",16,10,39,9,5,1,7,3,3,2,2
"1879050",16,11,63,16,4,16,8,11,23,10,18
"62977",15,7,30,18,5,11,7,10,11,3,11
"70346",15,7,18,4,2,4,8,10,7,2,8
"108980",15,12,68,24,7,6,8,16,12,9,20
"2006115",14,3,36,8,4,2,6,9,15,4,11
"1871111",14,7,15,3,2,7,8,10,9,5,8
"2715163",11,5,35,6,4,3,8,9,6,5,4
"40215",10,14,113,20,9,20,39,15,28,7,30
"202956",10,8,19,5,3,10,6,10,13,4,3
"2136182",9,8,22,1,5,2,8,9,5,4,7
"436717",8,9,18,3,2,2,2,5,2,3,2
"106649",8,6,8,8,2,1,0,4,9,3,5
"2662362",7,4,30,6,5,7,2,8,2,6,10
"2715164",7,10,25,12,5,6,9,5,5,4,6
"2004650",2,3,5,6,5,2,9,3,9,8,12
"1324350",1,4,18,15,4,3,7,4,10,4,6
"1699621",21,10,37,13,9,12,17,19,11,8,11
"1028416",19,21,37,22,8,12,11,11,14,7,14
"1699623",16,1,26,3,5,1,5,4,7,9,8
"1720344",10,8,27,10,3,5,4,3,3,1,9
"1699622",10,2,9,1,5,2,1,1,3,5,11
"2772254",9,6,25,5,11,4,10,8,8,5,10
"571800",8,5,16,3,5,4,1,1,3,4,3
"349106",7,3,11,7,5,6,3,5,2,3,4
"1699624",4,5,15,4,6,2,6,1,7,3,7
"56811",4,3,1,1,1,0,0,1,0,1,5
"2733866",3,2,21,1,4,0,1,1,4,3,1
"2203895",2,2,11,6,3,1,0,2,2,3,0
"1028419",1,0,0,0,0,0,0,0,0,0,0
"256326",48,32,33,29,19,22,28,39,10,18,24
"45610",21,15,58,26,18,18,18,43,22,14,27
"259536",18,8,19,19,16,12,12,16,26,12,18
"330922",8,5,18,2,9,3,7,3,7,2,16
"34062",95,56,105,53,37,35,28,45,46,39,68
"476",21,11,53,21,11,12,10,5,7,9,16
"480",20,0,103,19,8,13,6,8,10,8,19
"34061",18,11,70,22,14,11,15,13,21,9,24
"386891",18,14,40,22,4,4,14,10,9,5,18
"478",8,10,31,7,11,9,4,6,12,7,15
"29433",6,3,4,1,0,0,2,5,3,3,2
"2283318",62,43,100,53,22,27,27,34,47,20,54
"453783",7746,3279,6768,30973,6055,3220,6787,6226,7279,4123,7685
"2290922",1754,1029,3552,2891,1388,1160,3566,1851,1924,2159,2876
"2762611",1005,504,2730,1452,992,711,808,987,1067,1233,1438
"2781021",290,183,552,337,195,197,231,231,255,334,392
"2781022",252,171,549,341,211,169,193,233,241,247,295
"2714936",169,129,370,227,72,110,113,134,124,150,160
"2781024",140,108,426,183,116,98,107,110,144,168,204
"2781023",114,78,320,163,94,89,113,103,130,141,190
"69",4043,2232,9089,5630,3654,2721,3423,3636,4125,4069,5517
"2763317",3798,1900,8889,6974,4296,4274,4699,6022,5536,6222,8634
"2795387",1888,879,3588,4678,1833,1202,1813,1891,2243,1914,2694
"84531",1526,928,3729,2183,1421,986,1267,1371,1607,1444,1929
"435897",1476,888,3514,2279,1260,967,1300,1296,1436,1329,2073
"1605891",1351,718,3963,2077,1451,1074,1381,1494,1654,1886,2032
"1324796",1305,659,9430,2231,1159,1031,1687,1371,1473,2664,2511
"262324",1197,680,2511,1683,967,760,957,1090,1157,1072,1561
"2591633",1142,618,2983,1563,1208,838,940,1179,1289,1336,1547
"2698682",860,439,2992,1252,824,595,830,813,947,1335,1450
"40324",3921,2440,8522,3902,2490,2193,2594,2960,3494,3210,4339
"2072414",308,169,547,301,186,161,200,232,261,231,347
"2072413",282,178,569,275,181,170,190,202,248,210,320
"2072405",144,110,294,169,80,60,128,111,124,101,186
"2072407",125,60,189,130,61,51,55,75,64,57,111
"2072412",89,71,192,102,78,60,78,79,95,60,117
"2072406",83,33,163,78,41,45,32,61,67,57,83
"2072409",43,22,56,45,14,17,18,15,23,18,29
"2072408",29,23,72,28,22,29,16,30,20,41,27
"1904944",508,317,1187,620,369,305,376,449,437,440,536
"2770322",461,258,945,540,308,283,322,364,388,412,555
"2691571",360,181,603,325,222,179,248,238,272,275,364
"2742129",200,128,349,199,126,90,141,136,176,139,196
"2303750",105,48,212,132,76,66,81,82,82,60,114
"2040586",98,54,174,136,50,71,198,120,73,112,113
"2005046",89,66,300,116,60,52,56,64,101,79,121
"2282124",27,27,76,36,13,15,9,16,32,23,33
"2682487",25,7,54,25,9,7,14,21,32,48,26
"2775920",25,13,49,33,24,11,17,17,15,11,32
"1827305",18,19,62,32,20,5,17,26,24,20,48
"216778",1603,945,3320,1705,972,859,998,1106,1338,1244,1763
"128780",929,565,2851,1095,677,580,652,781,840,887,1137
"2045451",48,25,85,35,20,20,24,22,29,25,34
"83617",1,0,2,2,0,1,3,0,3,0,2
"149696",223,151,523,243,166,156,136,146,183,179,271
"359385",119,78,239,111,73,64,76,95,131,89,141
"340",88,63,342,123,68,59,90,77,85,76,126
"92826",79,32,127,80,41,60,46,42,57,64,89
"2724122",162,90,276,133,112,108,88,104,122,143,200
"2724123",159,92,253,132,98,74,127,118,108,117,163
"2724121",158,123,257,202,92,88,122,113,118,130,221
"2775162",15,14,57,23,19,13,24,10,19,11,27
"2776703",3,1,1,0,0,1,0,0,1,0,3
"152263",234,165,463,314,148,135,186,199,206,240,348
"134875",189,118,308,214,136,113,163,123,203,211,252
"487909",60,35,104,75,38,28,50,58,41,65,76
"56458",807,472,1908,992,570,551,581,679,743,807,1169
"64187",194,93,241,145,101,90,82,95,115,120,183
"129394",75,49,114,72,39,33,57,63,61,35,91
"56464",595,332,1201,688,398,351,434,497,556,463,767
"346",589,343,943,572,371,309,326,388,426,386,645
"380358",3,1,1,0,1,1,2,1,4,0,3
"56455",469,317,906,517,335,291,322,371,381,435,599
"195709",99,70,188,116,46,60,77,65,69,87,85
"69929",77,40,272,66,35,39,40,36,44,32,72
"925775",52,38,115,50,32,28,50,39,61,35,53
"56453",331,217,731,395,225,195,221,233,240,306,417
"48664",325,200,783,376,198,174,231,266,249,226,388
"487904",84,63,199,101,50,52,74,79,82,61,136
"2754056",41,23,93,57,26,25,27,27,31,28,56
"707209",5,2,14,7,3,3,0,2,5,1,7
"454958",10,9,44,18,8,9,15,7,11,9,16
"325776",6,8,6,4,1,1,6,2,4,2,5
"487849",3,2,4,3,3,2,4,1,1,3,4
"1219375",244,174,429,272,144,128,169,193,203,232,278
"1982678",198,116,343,212,108,110,118,112,109,142,130
"1101443",24,19,20,9,8,3,2,7,11,3,11
"1304892",2,2,0,1,0,1,2,1,0,0,4
"2259622",150,126,303,147,104,114,88,122,111,130,172
"359387",15,9,22,18,14,8,6,10,15,5,5
"207721",14,9,19,17,9,5,8,8,12,7,21
"189396",6,7,37,19,11,7,7,12,11,16,16
"316273",1,0,0,3,2,2,2,0,0,0,1
"92828",74,57,229,73,49,49,46,53,68,78,100
"317013",4,2,4,4,0,1,1,1,2,4,2
"442694",15,12,47,58,177,7,11,23,37,6,25
"2799326",1299,695,3374,1612,997,800,1053,1118,1357,1316,1641
"1896164",1049,629,3174,1243,898,692,742,968,3012,1193,1523
"2508168",1004,590,2594,1245,826,652,750,848,1045,1126,1334
"2799325",983,570,2358,1282,719,626,816,804,1031,1098,1270
"2761107",913,547,2455,1143,743,568,726,834,884,1081,1325
"1176533",1268,738,3248,1596,1032,943,928,1107,1380,1435,1693
"2006110",1222,601,2825,1245,804,697,872,831,1029,1049,1408
"2565782",1000,536,2340,1225,740,594,756,774,991,1007,1263
"743721",1306,718,3195,1425,922,727,793,935,1143,1119,1477
"128785",2181,1297,35363,2274,3213,1473,1112,1397,1612,4821,2069
"1045855",795,455,2448,941,609,535,542,645,717,806,1027
"2202149",1135,563,5169,1593,1034,787,1199,1063,1162,1778,1649
"2771436",1037,554,8817,1214,804,683,745,878,1006,1308,1354
"2714945",706,294,2782,895,601,457,578,577,672,977,994
"215691",1258,671,9951,1906,1055,829,1208,1178,1280,1786,1963
"1463158",1026,558,3638,1222,816,641,785,842,949,1214,1217
"370777",3430,1220,18924,2052,1839,1046,878,1107,1561,1389,1733
"2511995",823,572,1855,1033,404,450,561,485,578,769,1315
"698414",3,2,13,1,1,1,1,1,2,0,4
"1401256",3,2,0,1,0,1,0,4,0,1,3
"644357",2,4,6,3,0,2,0,1,1,1,1
"671135",2,2,1,3,0,1,1,0,2,2,0
"1444770",86,43,124,61,38,44,46,61,58,57,81
"445710",1337,820,35893,1807,780,861,1130,922,1060,5404,4681
"2763498",728,467,1635,899,357,379,574,442,486,2839,1923
"2501295",278,207,724,365,168,151,215,148,205,848,962
"1217721",843,524,1866,1097,425,493,644,554,638,3161,2153
"1849581",409,283,1118,654,218,242,293,292,275,1219,1556
"666685",1405,848,6620,1741,734,853,1048,877,1017,5954,4622
"2778082",1112,693,4433,1387,652,698,907,767,880,3939,3418
"582702",746,517,2305,1026,424,517,555,458,529,7623,4779
"1300342",2677,1697,4685,2763,1368,1435,1619,1616,1922,2622,4547
"2589080",940,652,1891,1134,510,522,676,634,828,1881,1780
"1440763",905,590,1695,1113,504,525,656,578,702,1417,1610
"2010829",1263,832,2968,1509,678,714,874,806,951,3302,2993
"2021234",839,617,1425,1512,334,423,363,408,501,483,789
"767434",479,294,1010,509,239,266,285,278,338,548,706
"550",553,344,1620,497,326,258,6101,414,482,233,502
"158836",201,120,324,141,136,112,125,135,205,92,223
"69218",125,71,153,92,63,67,91,90,101,51,143
"61645",106,66,138,95,77,68,87,88,74,59,130
"1812935",92,45,153,127,45,48,82,57,87,50,126
"2494701",65,26,78,55,24,25,57,31,31,27,71
"208224",45,28,73,36,27,17,17,14,29,27,41
"299767",30,26,60,35,20,21,24,25,26,25,23
"2071710",30,20,15,24,17,9,14,21,18,21,15
"2757714",23,20,39,23,25,28,14,18,21,16,26
"2724468",145,78,138,112,59,67,99,92,89,71,132
"2596949",127,65,158,88,64,59,52,71,90,55,113
"1914861",115,66,159,84,72,44,56,73,71,44,100
"2742676",51,46,62,40,28,24,19,29,39,23,44
"2742639",50,18,82,26,16,21,21,18,27,19,36
"399742",47,24,64,43,27,24,33,34,33,30,57
"2742619",24,9,42,22,8,14,12,14,17,12,19
"1166130",21,10,10,16,8,7,11,5,4,5,6
"2705458",13,10,28,7,7,3,10,5,10,8,13
"2500132",11,7,5,10,5,3,4,6,4,2,13
"1560339",9,11,8,6,9,5,3,11,10,6,20
"648691",5,1,2,0,0,1,2,1,1,0,2
"2565914",4,4,1,2,3,0,1,1,7,1,3
"1868135",3,1,10,3,1,1,2,1,3,2,6
"1827481",2,1,4,1,0,1,1,2,2,1,0
"2742673",1,0,1,1,1,3,1,3,2,4,2
"2742656",1,0,0,3,0,0,9,1,1,0,1
"2747372",1,1,1,2,1,0,2,0,1,0,1
"2051905",1,0,0,0,0,0,0,0,0,1,0
"881260",93,57,138,76,35,32,48,89,84,38,61
"2478464",63,29,59,48,25,30,31,28,31,20,55
"885040",36,23,62,27,22,20,17,21,34,21,44
"539813",3,4,5,12,2,2,2,1,1,2,2
"72407",19,12,13,7,7,3,4,9,11,7,10
"39831",5,1,4,2,4,1,2,3,3,3,4
"1328373",1,0,2,0,0,0,0,0,0,0,0
"1365186",1,0,0,0,0,0,0,0,0,0,0
"1420012",1,0,0,0,1,1,1,0,0,0,0
"548",328,211,477,269,144,126,187,190,246,123,290
"2681387",22,12,15,17,9,8,11,10,15,5,19
"2787706",7,5,5,3,1,3,2,6,6,5,5
"2675726",6,3,6,6,4,3,8,6,5,1,5
"2697371",4,5,0,1,2,0,2,1,1,1,2
"2015795",2,0,1,0,1,1,1,0,1,2,0
"2267618",2,0,1,0,0,1,0,1,4,0,1
"2675710",1,1,1,1,0,2,2,2,7,4,5
"571",208,116,368,164,94,107,130,147,182,114,199
"1134687",202,136,0,155,101,101,109,99,162,111,185
"1667327",9,5,11,6,0,5,3,3,6,3,3
"244366",102,0,121,0,0,64,80,73,92,0,0
"2026240",47,27,93,71,30,29,27,29,42,29,35
"2153354",43,23,49,41,21,29,24,32,36,19,49
"2489010",38,32,64,30,21,14,26,29,28,25,35
"2058152",21,11,63,25,18,17,24,10,26,8,31
"546",204,129,428,173,110,102,86,104,148,86,179
"67827",28,14,51,19,12,14,12,22,15,4,27
"1639133",16,14,30,13,8,7,12,8,13,5,8
"2816438",13,7,18,12,13,5,10,13,12,5,16
"57706",12,5,17,5,9,10,8,7,8,5,10
"133448",10,4,15,27,8,3,5,10,6,2,5
"1573676",61,41,95,60,40,27,31,46,50,30,57
"2742624",55,40,58,82,33,41,34,37,36,32,66
"2546350",23,18,31,18,2,11,15,7,18,6,19
"2781952",17,19,15,12,10,8,8,9,11,7,8
"1702170",7,0,20,4,0,0,0,0,3,4,3
"2742627",6,5,5,5,2,0,1,1,3,3,0
"1703250",3,1,3,2,1,2,3,3,3,2,1
"1920110",3,3,21,4,0,3,0,0,1,1,0
"2742675",3,1,1,0,2,0,1,2,0,1,3
"2742667",3,3,2,2,1,1,0,2,3,0,2
"2742626",2,0,0,1,1,0,1,1,4,3,0
"2742657",1,2,3,2,2,1,0,0,1,0,0
"2742625",1,3,0,6,1,2,0,5,4,1,0
"2742668",1,2,6,1,0,0,0,2,0,1,1
"2697370",1,1,2,2,1,1,0,0,0,0,0
"2742678",1,0,1,1,0,0,2,0,0,0,0
"637910",112,58,159,105,49,57,74,72,89,55,104
"67824",75,51,74,46,32,39,27,27,59,29,47
"1261127",50,35,66,38,22,20,21,18,40,14,37
"545",38,19,45,31,14,16,20,14,34,20,27
"2562449",37,23,115,33,17,19,31,16,28,14,34
"2653932",31,22,66,42,31,31,18,27,33,25,24
"1748967",6,6,11,11,1,3,3,7,4,5,6
"1563222",5,4,16,3,1,4,1,8,4,3,3
"1138308",18,13,12,13,10,10,14,12,13,8,10
"413498",146,88,159,137,71,81,94,93,102,76,140
"1074000",121,70,125,97,395,57,64,81,74,57,107
"1073999",102,54,144,98,61,64,68,74,78,61,104
"1159491",1,0,0,1,2,1,1,0,0,1,5
"1159613",24,10,24,10,12,11,9,16,15,9,9
"1906275",13,13,30,13,13,12,13,5,11,11,25
"2725560",79,48,97,71,42,36,37,42,54,31,68
"2492396",65,39,60,61,22,29,32,31,38,22,57
"2067958",48,48,104,37,23,20,35,27,52,19,32
"1300165",20,12,17,21,14,7,14,13,30,4,17
"1235834",14,8,16,6,4,4,6,9,1,3,3
"551989",57,30,58,51,13,21,30,30,38,22,44
"1177180",1,3,2,1,3,3,1,3,10,3,7
"497725",41,21,44,30,25,14,27,27,32,13,34
"1646340",41,35,59,41,25,26,17,34,25,24,32
"2714951",82,52,83,59,44,62,59,99,72,55,80
"2815358",78,46,83,54,55,59,41,47,90,31,63
"2282310",21,10,16,16,4,6,21,10,9,10,23
"2282309",19,12,17,27,21,7,6,15,15,25,21
"2681308",14,17,25,13,18,13,9,18,20,7,24
"2681309",9,1,15,5,1,8,5,4,2,2,9
"1920114",7,4,3,12,4,5,11,4,5,3,6
"2681307",7,12,19,20,8,15,19,10,6,7,30
"83655",183,124,265,149,93,93,95,116,117,98,191
"2822132",10,9,2,1,2,3,0,3,4,2,3
"83334",7,3,5,2,4,2,3,6,4,4,3
"696406",3,0,0,0,0,0,0,0,0,0,0
"2233553",3,0,0,0,0,0,3,3,0,0,0
"930406",3,0,0,0,1,0,0,0,0,0,0
"585034",2,0,1,1,3,0,1,0,0,0,0
"409438",1,1,0,0,2,1,0,2,2,1,0
"2048778",1,0,0,0,0,0,0,0,0,0,0
"2048781",1,0,0,0,0,0,0,0,0,0,0
"1392858",1,0,0,0,0,0,0,0,0,1,0
"2763104",1,0,0,0,8,4,0,13,11,12,6
"1045010",1,0,0,0,0,0,0,0,0,0,0
"244319",1,0,0,0,0,0,0,0,0,0,0
"1078034",1,0,1,0,0,1,0,1,0,0,1
"2810408",1,0,0,2,0,0,0,0,0,0,0
"2810404",1,0,0,0,1,1,0,0,0,2,1
"208962",63,30,69,46,23,28,30,33,45,18,49
"564",61,33,77,32,23,24,22,25,33,16,38
"1499973",32,18,42,20,16,16,18,22,23,14,30
"2044467",14,14,39,23,9,8,4,15,15,11,10
"575",84,48,100,100,47,47,44,55,70,39,109
"577",83,59,116,54,41,29,36,51,48,50,77
"54291",68,0,0,0,42,27,37,0,0,34,53
"1259973",22,8,16,39,12,11,14,18,26,9,23
"2259647",3,0,1,3,0,3,0,2,0,0,1
"61647",419,295,522,411,219,244,229,266,291,213,402
"701347",19,21,50,19,14,9,17,19,32,14,37
"59201",139,96,266,96,66,76,77,96,95,101,107
"59202",22,21,46,26,17,25,17,26,25,22,37
"59208",8,2,25,12,5,6,3,3,9,6,18
"59204",4,2,2,4,1,5,6,0,3,2,5
"59205",4,3,3,4,0,3,8,5,5,0,3
"59203",3,0,24,4,1,3,6,2,5,7,5
"41527",3,1,10,24,1,1,3,0,3,1,1
"1197719",2,2,0,0,1,0,0,0,0,0,3
"158822",331,193,415,298,162,155,152,198,198,145,259
"2545798",90,45,128,62,45,44,49,41,52,37,89
"158823",76,63,128,58,58,57,46,72,70,39,116
"61646",144,105,186,102,68,64,59,96,98,62,131
"2153385",37,18,28,32,19,16,22,23,17,20,41
"69220",29,16,49,16,6,18,16,28,27,12,25
"61648",76,47,89,67,25,40,30,42,45,34,54
"2774055",71,50,129,77,28,43,58,46,57,42,71
"51288",32,20,23,23,14,12,25,23,20,17,30
"566",142,80,244,114,67,78,86,86,116,67,91
"2579935",137,78,192,127,64,72,60,91,107,90,145
"158877",113,62,153,61,53,61,56,48,67,51,76
"1851514",107,61,114,76,61,52,42,57,74,66,98
"2479367",57,31,83,43,26,25,25,22,37,23,42
"82977",35,26,79,44,27,21,24,27,36,43,46
"146507",34,41,77,25,16,26,15,19,31,16,26
"84564",20,17,74,15,11,9,13,15,22,8,17
"1906659",11,3,11,6,7,3,4,3,6,6,0
"1906661",8,4,10,6,0,3,3,1,5,3,7
"1906657",7,4,26,8,6,11,11,9,7,4,10
"1682492",5,2,7,0,1,2,4,0,3,1,1
"472825",4,2,8,6,1,2,3,3,0,0,4
"199891",3,0,11,0,0,1,2,1,2,0,4
"1906660",1,0,4,2,1,0,2,0,0,3,1
"565",93,77,149,93,54,45,51,63,79,77,85
"1972431",64,34,96,53,28,28,30,37,44,18,58
"395631",13,5,8,6,3,2,4,4,3,2,7
"1756993",8,1,8,8,4,4,3,3,2,1,2
"563",87,67,152,63,56,72,47,73,77,47,97
"2675784",5,1,1,1,0,0,1,0,0,0,0
"2675785",3,6,2,0,1,0,2,1,0,0,1
"2675772",2,0,3,1,0,0,0,0,1,0,0
"2675775",2,1,8,0,0,0,0,1,1,1,0
"2675794",2,3,3,2,0,0,0,1,0,0,2
"2675793",2,2,1,5,4,2,1,2,1,0,1
"2675791",2,2,3,3,0,0,0,1,0,1,0
"2675789",2,0,7,0,0,2,0,1,4,0,3
"2675782",2,1,1,0,0,0,0,1,0,1,1
"2675783",2,1,1,0,0,0,2,0,0,0,0
