"","AYtCM2TOMPOOA100360.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report"
"2712698",432,252,253,1138,538,294,322,323,232,379,180
"2305987",42,19,23,79,43,21,17,23,22,25,9
"2613769",9853,4655,5795,40086,10462,5112,6018,5893,5956,6100,6170
"384",5108,2437,3079,13769,5446,2678,2598,2804,2470,3013,1919
"29449",2436,695,895,3886,2081,738,935,869,1056,887,724
"348824",857,485,623,2656,1151,521,492,572,494,556,443
"396",909,384,441,2401,1086,395,507,528,378,512,354
"1312183",849,449,561,2622,1004,494,507,728,498,633,391
"379684",990,471,621,4533,921,527,486,560,701,662,751
"1138189",683,361,426,2065,722,349,388,392,417,442,315
"56730",855,374,498,1618,717,457,404,326,371,388,274
"1138194",595,338,352,1573,676,343,299,334,322,376,263
"293958",599,321,385,2110,666,277,348,386,318,432,305
"1138190",501,251,297,1406,660,271,284,334,263,299,216
"398",556,237,373,2131,615,322,370,357,339,358,295
"1368430",582,261,327,3850,584,281,329,287,495,357,357
"451876",454,226,274,0,548,243,445,249,540,564,357
"240521",502,241,337,2669,494,262,260,280,353,337,319
"2583231",396,184,207,800,401,170,190,215,176,203,132
"1335061",378,255,355,2041,368,251,221,235,491,243,1032
"1538158",298,147,162,882,365,196,167,157,135,161,124
"2267833",293,165,225,1351,333,160,191,164,199,218,199
"648995",336,127,128,1458,242,128,144,144,214,340,236
"1538159",109,44,77,378,108,45,56,68,57,79,50
"2081791",89,40,48,195,101,41,41,36,47,50,27
"448181",21,0,5,221,3,9,11,0,7,2,25
"1183400",5564,1439,1863,26597,3249,1539,1574,1612,1921,1884,1815
"373",1038,603,648,4166,1138,554,558,562,638,710,603
"2632611",1007,532,721,7914,1010,519,530,571,767,660,625
"359",528,272,318,2214,684,277,238,291,293,352,285
"28099",422,166,258,1499,416,238,255,241,274,290,256
"160699",390,188,241,1636,383,220,202,211,273,224,310
"1183412",3,3,2,103,1,4,8,1,9,3,6
"399",2182,980,1229,37853,2125,1119,994,1533,2395,1403,1765
"2629175",1852,811,1160,6961,1701,997,925,1088,1619,1134,2703
"1125847",167,67,94,1078,160,86,69,91,131,101,382
"663276",7435,3169,3567,11563,6087,3061,2855,2641,3636,2779,2443
"382",16399,4769,6561,28478,4028,5434,7106,2431,48209,3758,0
"2613772",2570,1347,1580,16763,2787,1341,1234,1336,1514,1556,3462
"194963",5925,839,1144,3252,2681,889,744,724,1054,707,634
"110321",1573,738,767,4102,1140,678,699,629,2094,754,1496
"106592",4626,1425,1538,8068,4501,1263,1138,1378,1543,1476,1570
"375549",1642,1025,1234,4250,1655,1123,870,1055,1551,997,825
"2633371",1152,626,655,3450,1308,531,517,588,518,637,1182
"1752398",1144,745,827,3358,1141,694,703,645,786,793,565
"716925",1057,734,764,2714,1031,727,651,595,720,723,608
"879274",2097,1050,1145,65723,2375,1054,907,979,1296,1221,5511
"2715959",1819,824,948,17656,1698,871,806,891,952,1133,5723
"2795690",2785,1418,1760,6538,3237,1531,1380,1693,1240,1756,1305
"2341112",1366,602,745,3790,1366,682,693,674,637,850,668
"1969821",1161,586,827,4186,1144,703,565,718,741,725,631
"1273132",6,9,8,30,26,3,12,15,6,10,3
"1174529",0,0,1,0,1,2,4,0,0,0,0
"658172",5,4,5,9,10,104,1,4,3,3,1
"34020",4,16,3,67,7,9,22,11,34,2,2
"1261131",14,2,0,12,7,1,2,3,7,5,0
"426117",4337,1852,2740,3637,3668,2274,1891,2274,1780,2499,635
"2202828",2424,1071,1525,2413,2180,1297,1066,1268,949,1533,417
"2603276",1760,788,1052,1847,1551,919,780,918,715,1088,292
"2202826",1793,789,1183,1781,1549,962,809,941,728,988,268
"925818",732,319,434,813,742,372,369,368,285,440,131
"2067957",513,247,351,497,463,298,250,281,250,305,109
"1479019",302,142,269,315,297,170,159,197,120,202,36
"739141",156,60,99,147,113,65,66,77,59,78,24
"2696060",0,0,0,0,1,0,0,2,0,0,0
"460265",4114,1639,2417,3477,3457,2035,1719,2434,1542,2677,606
"270351",3650,1551,2192,3574,3235,1740,1476,1866,1401,2102,613
"2202825",2868,1325,1842,2657,2511,1544,1228,1407,1176,1609,487
"2051553",1927,824,1153,1763,1707,1013,802,956,742,1110,284
"2202827",1942,832,1180,1697,1626,969,839,986,688,1175,298
"908290",1922,867,1202,2005,1590,959,827,956,767,1035,313
"269660",1706,775,1092,2066,1443,894,768,882,698,1017,292
"1775910",1649,736,970,1547,1424,785,678,814,619,948,270
"426355",402,203,245,422,331,184,169,225,165,267,54
"418223",221,134,147,311,256,124,93,153,97,141,30
"693986",112,49,58,89,77,42,43,70,41,52,15
"2807101",16406,3874,6901,10233,5813,5957,4602,2642,9550,2840,3359
"2082949",4063,1352,1977,4867,2311,1862,1598,1440,2697,2092,2314
"1882682",16607,3518,5545,8961,6226,4758,3910,2664,7527,3025,2716
"2651334",4923,1831,2532,5143,3209,2084,1998,1811,3283,2165,1414
"441620",451,234,302,800,433,229,218,277,188,351,129
"272630",880,376,554,1097,685,423,359,406,311,428,136
"440085",306,127,226,311,274,161,127,140,113,183,66
"419610",246,141,165,265,198,124,120,144,116,133,45
"29429",66,23,58,81,67,48,30,39,27,36,12
"674703",9164,5497,6648,9916,22740,5728,5350,11716,3278,10221,1025
"444923",7,5,7,3,6,2,5,4,5,5,2
"1736675",4489,1605,1895,46960,3923,1637,2113,1718,3524,2212,3176
"2801335",1467,554,739,12191,1192,688,729,552,1547,794,2048
"2657486",1159,548,743,9890,1156,566,638,641,1035,799,1769
"2499144",1053,526,618,5117,978,577,599,521,764,725,989
"2083786",770,422,557,13009,963,434,521,432,808,545,1865
"2774137",966,454,623,7538,928,487,657,492,841,726,1548
"2664417",478,300,343,2367,506,298,370,298,391,417,401
"2759954",389,211,260,2311,426,192,222,210,245,239,487
"400770",1742,735,922,32258,1409,800,946,651,1284,934,5256
"582899",1161,652,703,4235,1699,627,799,819,475,712,334
"670307",912,636,609,2656,1361,545,1730,993,453,827,264
"1029756",2066,1144,1158,8982,3132,996,799,1201,815,947,532
"717785",1081,614,686,2725,1662,778,1109,762,441,689,280
"2233851",2470,1305,1574,3713,3009,1423,1278,1606,1034,1662,536
"1079",2146,1204,1382,3089,2632,1290,1074,1388,894,1368,453
"1384459",1051,637,674,2191,1368,648,523,772,448,579,372
"2170729",996,614,677,2318,1320,585,435,651,377,584,373
"2742204",1542,976,1036,2830,2012,967,768,1134,662,1018,548
"2820278",1681,878,1165,3422,2002,980,870,1104,798,1100,411
"648757",1114,724,856,2289,1523,654,592,800,577,836,307
"1447062",1473,789,885,7159,1386,830,1132,876,1142,1219,1243
"1082931",0,0,0,0,1,0,0,0,1,0,0
"1608628",587,303,380,1520,754,354,267,357,279,312,310
"1219035",492,284,401,1355,551,304,312,324,289,400,174
"1335043",503,293,349,3037,522,250,386,312,403,451,559
"454601",139,83,91,382,178,86,93,103,66,85,59
"331696",4444,2391,2960,12484,7823,2886,3650,5047,1852,5400,955
"2562284",3756,1829,2300,27059,5897,2216,3381,10738,1445,3695,1630
"2709380",3256,1467,2012,5473,3731,2343,1421,1814,1165,1914,698
"639283",2810,1448,2048,22514,3675,1814,1277,1597,1321,1631,1111
"1850374",2007,1049,1410,4333,2384,1305,1022,1228,878,1322,507
"1745854",1597,837,1112,3362,1825,956,839,994,670,1085,399
"2528964",2826,1517,2049,6960,3436,1727,1573,1758,1244,1859,646
"438753",2063,1086,1449,3878,2443,1207,1014,1353,987,1375,560
"2789216",2223,1120,1407,4417,2386,1232,1191,1323,964,1381,593
"2712222",3562,2828,2407,49218,7105,2145,1691,2773,1187,1918,692
"1235591",3933,2350,2795,14226,6772,2746,1950,2463,1554,2455,1173
"1482074",1961,1052,1366,4113,2216,1156,985,1186,965,1338,575
"573658",23,23,23,57,19,9,13,17,18,12,6
"134",1171,666,868,2167,1471,754,642,861,542,929,294
"173366",1139,732,921,2010,1463,752,679,849,583,867,272
"655015",1284,727,840,1834,1432,772,656,862,519,950,290
"391905",1177,716,914,1647,1304,852,650,871,420,771,266
"187303",692,416,568,1208,820,432,368,544,329,623,179
"595536",1651,1003,1145,2344,1946,989,855,1116,666,1189,331
"2699395",1304,745,942,1985,1555,793,690,923,640,1095,302
"1349819",1908,915,1200,3748,1831,1045,941,1082,794,1275,646
"2758041",1488,826,975,3007,1467,877,773,850,720,1026,545
"2816454",1351,680,867,2782,1351,773,690,700,588,783,456
"1638161",5,3,6,3,4,1,1,2,1,9,3
"1701758",1607,830,1012,3093,1627,848,843,852,788,1052,583
"686597",551,238,342,1644,499,284,227,264,284,335,208
"1122214",908,467,626,2325,951,511,494,540,487,637,360
"1486262",842,442,522,2437,915,442,409,521,429,605,362
"2583532",430,253,302,1721,503,252,283,278,280,364,208
"538381",2579,1293,1716,4688,2623,1458,1289,1442,1140,1658,771
"1881061",1251,735,872,2515,1541,752,678,798,589,908,438
"2021862",709,420,479,1509,900,433,393,461,354,456,243
"2590016",327,186,254,724,380,197,182,220,134,254,91
"2587861",300,184,207,655,370,203,163,185,165,224,106
"2587854",90,52,68,171,94,60,65,56,44,78,26
"1674922",66,27,51,207,66,42,33,48,33,30,18
"244592",417,203,268,883,454,182,182,211,168,271,144
"187304",124,66,70,227,112,58,54,54,37,51,30
"1402210",393,139,201,1340,284,139,227,136,150,173,165
"911045",205,110,136,448,257,99,100,137,115,127,57
"1702325",2770,1560,2386,4809,2763,1531,1435,1488,1241,1873,757
"444444",1585,846,1211,2725,1598,880,743,830,720,910,388
"395965",1127,669,795,2083,1382,674,629,794,489,882,278
"227605",1041,562,698,1858,1235,581,516,695,486,770,240
"569860",992,623,707,1931,1378,611,594,722,436,855,224
"31994",545,316,404,1101,662,385,356,376,272,405,155
"402881",1248,859,963,2813,1539,895,820,909,595,989,407
"1712261",878,606,691,1625,1060,577,528,604,395,655,245
"1458461",393,287,325,799,494,244,262,266,183,298,101
"94625",729,383,390,9555,505,292,795,345,246,1234,1941
"2632610",272,136,158,1480,303,164,186,163,144,260,150
"271865",238,107,147,882,224,113,135,131,115,140,116
"529",188,76,121,1585,165,88,119,95,140,108,423
"419475",107,52,66,384,95,74,54,62,46,63,52
"571256",104,61,65,321,90,81,56,47,56,44,47
"1218315",13,8,11,133,31,7,8,9,8,12,82
"29459",23,22,23,53,22,10,9,19,5,11,5
"235",3,2,0,6,10,2,3,7,2,2,0
"236",7,6,4,8,6,0,6,3,6,2,1
"29461",7,7,11,35,4,8,1,1,2,9,1
"120577",2,2,2,2,4,1,1,2,0,3,0
"36855",1,0,1,3,1,0,2,0,1,1,0
"120576",0,1,1,13,1,2,1,3,2,1,4
"444163",1,0,1,2,1,0,0,0,0,0,1
"239106",91,45,73,403,90,42,45,44,38,57,60
"2304600",1714,1036,1159,3496,2218,1103,954,1205,798,1191,549
"1798205",348,214,268,773,416,237,205,251,189,255,123
"2528642",1217,598,902,1923,1355,688,649,845,527,829,267
"1686310",94,64,68,383,118,59,54,87,48,76,49
"2759660",26,9,16,100,25,14,12,12,9,21,9
"515256",7,1,1,3,6,0,1,1,0,2,0
"1933904",5,5,3,6,6,2,4,7,4,2,4
"1933910",0,0,0,0,1,0,4,0,0,0,0
"40933",8,6,2,12,3,0,2,2,0,0,1
"2267275",5,4,5,16,15,2,6,1,4,5,1
"1094489",13,8,10,28,15,7,7,13,7,6,6
"52764",5,1,3,8,12,1,6,2,4,0,1
"634504",7,4,4,26,11,4,1,7,4,8,0
"1225179",0,1,0,0,1,1,1,1,0,0,0
"687861",5,7,9,34,10,2,5,7,0,4,1
"774",9,4,7,28,10,2,1,6,4,5,2
"1095900",5,2,0,16,7,2,4,1,2,2,0
"1318743",4,2,5,25,7,4,4,4,5,9,5
"1094491",7,2,4,12,6,5,4,7,1,5,0
"38323",5,0,1,16,6,0,3,7,0,1,0
"85701",8,6,3,21,4,4,5,5,0,2,2
"696125",3,1,5,31,3,2,3,3,0,2,0
"2133959",2,0,1,16,3,2,2,2,0,2,0
"807",5,2,1,13,1,2,1,4,1,1,1
"2764186",5717,4154,7384,3965,2401,6006,5264,5424,2920,11344,1161
"2714944",5649,3909,7033,3852,2318,5669,5102,4886,2799,9041,1134
"2681549",2900,1855,3092,4610,2161,2392,2237,1896,1727,2566,991
"2714942",4843,2808,5018,2549,2093,4174,3181,2873,1823,3820,747
"2714943",4260,2975,5280,3193,1941,4172,3852,3424,2207,5427,998
"2653203",2214,1483,2348,4572,1859,1834,2152,1657,1265,2137,816
"745310",2210,1526,2303,4278,1660,1803,1776,1607,1434,2039,925
"1327635",2031,1397,1963,3772,1543,1542,1703,1636,1184,1865,753
"2735134",1822,1256,1888,3120,1494,1413,1538,1365,1088,1780,554
"2698679",2119,1338,2212,3352,1494,1791,1745,1565,1101,2177,732
"1938607",1803,1190,1706,3185,1436,1272,1517,1523,1163,1693,679
"2492837",1707,1149,1768,3228,1412,1394,1231,1198,1107,1598,561
"2596913",1770,1188,1849,2887,1409,1402,1684,1447,937,1694,528
"2711156",1607,1008,1584,2956,1330,1318,1279,1140,952,1489,591
"1523415",1591,942,1493,2775,1330,1226,1362,1268,842,1607,455
"2219696",1577,1025,1458,3453,1236,1230,1429,1199,881,1516,449
"2599297",1521,965,1558,3130,1227,1172,1283,1040,898,1322,599
"2565555",1203,784,1238,2032,984,988,1071,954,692,1191,391
"1030157",1083,735,1172,2808,941,910,950,743,668,1019,418
"2759526",1124,788,1182,1989,935,934,1013,874,622,1090,393
"1517554",1132,749,1091,2043,900,854,1004,841,626,1105,363
"1390395",997,701,1013,1940,821,807,884,729,595,872,337
"1517551",922,704,960,1865,808,747,866,741,559,980,316
"1961362",582,385,585,1342,510,485,554,473,339,602,204
"2319844",505,359,513,1046,439,395,401,374,292,492,173
"304378",245,145,208,659,349,168,157,162,239,190,112
"1628059",17,15,26,139,25,17,18,25,21,37,5
"849864",1,1,0,11,14,1,2,4,0,4,0
"1381597",7,4,2,125,13,3,15,4,46,5,9
"28214",3,1,2,22,2,2,2,1,2,2,0
"90322",1,0,0,1,2,0,0,0,0,1,0
"386874",10515,5618,10366,7318,6649,8252,8719,8277,3793,10382,1884
"1176646",9525,5167,9494,6884,3351,7414,7146,7279,3564,9459,1652
"1045317",8606,5676,10617,4474,3152,8108,6359,6929,3528,11367,1356
"363835",6254,4221,8037,4444,2893,6125,5090,4719,3016,7176,1307
"2071607",5396,4038,6801,3533,2710,5180,4144,3550,2452,4674,1041
"2594473",4583,3744,6601,2500,2539,4998,3513,2904,1861,3276,868
"392499",526,347,449,1471,380,317,329,300,263,408,131
"653931",2789,1697,2691,5216,2216,1997,2330,2060,1477,2558,937
"1123269",2606,1578,2633,5205,2110,2089,1994,1744,1517,2207,884
"93064",2067,1380,2017,4402,1586,1522,1666,1374,1166,1780,811
"1609977",1718,1066,1683,3376,1453,1297,1535,1438,1000,1641,541
"1549858",1760,1108,1814,2904,1423,1368,1692,1313,956,1707,499
"1560345",1578,1018,1550,3224,1385,1213,1499,1240,961,1616,518
"1813879",1485,1006,1470,2721,1197,1206,1570,1262,779,1596,466
"424800",1191,777,1142,1897,1037,925,1108,848,679,1134,340
"13689",1199,737,1079,2844,1035,882,987,811,664,1036,412
"621456",54,30,53,236,57,31,29,43,35,45,13
"2698828",614,439,668,1241,575,527,534,461,379,577,207
"2789327",2478,2683,1384,84773,2856,1134,745,1323,3464,1547,1363
"627192",1476,886,1422,3521,1355,1138,1057,1108,873,1309,554
"1315974",1118,672,833,11714,759,643,716,595,757,722,402
"2676077",925,527,745,4671,740,565,607,536,452,698,328
"2082188",863,448,747,4440,738,570,541,533,536,592,335
"1843368",812,436,626,3484,695,488,544,443,388,614,277
"1855519",1730,703,723,10108,695,603,871,611,584,859,577
"2072936",879,521,764,2347,666,622,611,597,503,754,299
"2733867",703,407,572,3564,646,448,430,435,359,539,262
"407020",1409,424,515,6075,501,388,449,412,316,510,321
"2565554",208,118,137,606,194,119,107,139,95,170,60
"484429",90,101,82,890,101,70,109,74,81,106,66
"520734",92,85,87,1504,91,69,80,62,94,104,121
"2185111",12,14,6,107,16,4,12,12,14,7,4
"13690",1750,1066,1445,8935,1688,1106,1133,1070,1101,1128,620
"135719",1000,533,885,4434,808,612,655,669,528,787,388
"120107",861,582,807,5109,756,604,698,636,532,796,408
"690566",956,526,720,7104,682,615,612,546,410,587,313
"1673076",740,469,625,4476,628,492,463,483,429,553,266
"452662",757,485,663,5234,614,515,979,515,420,594,324
"1332080",701,445,618,4637,580,479,471,528,390,598,377
"76947",1260,528,558,7310,522,435,443,465,405,547,408
"1208342",130,112,154,1045,120,128,106,73,92,104,65
"1054037",174,107,105,1229,97,78,94,94,95,135,47
"861109",8,5,19,32,9,18,23,9,9,14,3
"56193",3,4,3,32,4,3,7,2,6,1,1
"595605",1,0,0,194,1,0,0,1,0,0,0
"1357916",2347,871,1313,21483,1708,1088,947,901,815,1155,777
"1874061",1024,641,876,10139,1490,682,662,643,459,731,730
"2486273",1500,813,1159,15000,1261,956,790,780,636,973,721
"2565556",3192,999,1118,53041,1027,1178,1008,760,607,983,5359
"292913",1186,749,1076,21442,965,866,915,810,614,1029,1209
"1914525",1050,812,896,11815,914,664,736,611,594,845,852
"1866325",103,60,53,1604,94,41,72,53,69,79,205
"1913578",65,38,42,151,49,40,36,45,14,50,11
"33050",2490,1504,1991,33838,2064,1592,1554,1423,1450,1853,1488
"2448440",1050,721,970,14299,1206,759,757,740,1506,903,638
"2054227",1307,746,1083,18732,1006,823,814,762,602,1039,774
"1515612",1148,710,908,14440,876,721,859,649,536,838,1020
"317655",978,628,877,9778,766,735,716,571,506,760,737
"267128",565,347,539,6150,505,417,403,415,342,607,353
"2675225",2179,1222,1839,3404,2337,1439,1306,1389,1082,1615,579
"2571749",1357,896,1176,3114,1841,1014,935,996,986,1239,614
"1609758",1079,788,932,2451,1538,773,855,792,681,1025,447
"1016987",754,466,696,5433,1067,530,523,562,1702,720,330
"2780074",871,477,772,7220,1015,579,610,688,3724,784,349
"702113",475,358,488,1465,607,351,330,320,710,375,198
"164608",279,221,269,695,438,210,169,197,278,212,113
"158500",1437,1007,1359,3277,2304,1036,1011,1097,1003,1262,713
"279238",1331,803,1143,2642,1438,900,852,857,894,1180,455
"1176536",948,607,928,1818,1298,699,652,658,617,808,388
"1088721",492,342,389,1227,681,278,307,312,391,352,171
"2762748",1808,1212,1917,13004,1467,1469,1655,1345,1091,1786,941
"2711215",1245,830,1236,2375,1122,1049,1174,900,731,1252,451
"941907",4154,2801,5129,6372,2353,3928,3535,2646,3004,3459,2122
"2584094",546,338,508,960,484,372,401,379,276,444,170
"2077182",497,394,507,1020,425,364,372,371,315,478,211
"1806885",403,309,421,752,381,343,287,309,209,371,147
"2725558",156,109,159,390,177,128,130,126,78,154,54
"392610",328,244,313,870,307,259,253,227,307,277,120
"2026624",1683,1094,1646,2620,1317,1274,1188,1145,986,1369,550
"2724527",481,319,461,742,419,382,350,332,263,399,166
